qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoVel1.0.SUPER__1,234804448,231732283,233145000,-,mMyoVol1.0.SUPER__1,242898603,1186618,2625000,13796,1445491,13,SUPER__1 95.1336,1186618 2625000 231732283 233145000
mMyoVel1.0.SUPER__1,234804448,231145000,231720000,+,mMyoVol1.0.SUPER__1,242898603,2952061,3547725,5681,595664,13,SUPER__1 95.2941,2952061 3547725 231145000 231720000
mMyoVel1.0.SUPER__1,234804448,229625000,230885000,+,mMyoVol1.0.SUPER__1,242898603,3999487,5273265,12169,1273778,13,SUPER__1 95.4596,3999487 5273265 229625000 230885000
mMyoVel1.0.SUPER__1,234804448,182835000,207825000,-,mMyoVol1.0.SUPER__1,242898603,28003236,53371265,242999,25368029,15,SUPER__1 97.009,28003236 53371265 182835000 207825000
mMyoVel1.0.SUPER__1,234804448,158910232,182829933,-,mMyoVol1.0.SUPER__1,242898603,53530000,77639876,234567,24110060,15,SUPER__1 96.8547,53530000 77639876 158910232 182829933
mMyoVel1.0.SUPER__1,234804448,155310000,157577442,-,mMyoVol1.0.SUPER__1,242898603,78790000,81018864,22035,2280000,15,SUPER__1 96.6267,78790000 81018864 155310000 157577442
mMyoVel1.0.SUPER__1,234804448,128219910,128512506,-,mMyoVol1.0.SUPER__1,242898603,107945000,108245000,3017,312492,13,SUPER__1 94.5527,107945000 108245000 128219910 128512506
mMyoVel1.0.SUPER__1,234804448,127927355,128130000,-,mMyoVol1.0.SUPER__1,242898603,108246043,108475000,2250,231078,12,SUPER__1 93.2656,108246043 108475000 127927355 128130000
mMyoVel1.0.SUPER__1,234804448,126786918,127565000,-,mMyoVol1.0.SUPER__1,242898603,109167644,110000000,7971,838721,14,SUPER__1 96.3551,109167644 110000000 126786918 127565000
mMyoVel1.0.SUPER__1,234804448,117300000,126699674,-,mMyoVol1.0.SUPER__1,242898603,110100573,119673697,93078,9573124,15,SUPER__1 96.998,110100573 119673697 117300000 126699674
mMyoVel1.0.SUPER__1,234804448,108324201,108570000,+,mMyoVol1.0.SUPER__1,242898603,128155000,128409570,2458,256693,12,SUPER__1 93.9764,128155000 128409570 108324201 108570000
mMyoVel1.0.SUPER__1,234804448,102605000,104357018,+,mMyoVol1.0.SUPER__1,242898603,137705184,139480000,17222,1777794,15,SUPER__1 96.5326,137705184 139480000 102605000 104357018
mMyoVel1.0.SUPER__1,234804448,91200000,100431243,-,mMyoVol1.0.SUPER__1,242898603,144200000,153534760,91430,9337923,15,SUPER__1 96.6599,144200000 153534760 91200000 100431243
mMyoVel1.0.SUPER__1,234804448,88755000,89365176,-,mMyoVol1.0.SUPER__1,242898603,153795000,154393178,6223,645000,14,SUPER__1 95.804,153795000 154393178 88755000 89365176
mMyoVel1.0.SUPER__1,234804448,88282575,88670000,-,mMyoVol1.0.SUPER__1,242898603,154817321,155210000,3878,406897,13,SUPER__1 94.9311,154817321 155210000 88282575 88670000
mMyoVel1.0.SUPER__1,234804448,76730342,88085000,-,mMyoVol1.0.SUPER__1,242898603,155670246,167125000,159699,16292010,15,SUPER__1 96.7212,155670246 167125000 76730342 88085000
mMyoVel1.0.SUPER__1,234804448,46073530,67440000,-,mMyoVol1.0.SUPER__1,242898603,176576792,198075000,208586,21499675,15,SUPER__1 96.7402,176576792 198075000 46073530 67440000
mMyoVel1.0.SUPER__1,234804448,43026829,45991522,-,mMyoVol1.0.SUPER__1,242898603,198085000,201200000,31311,3195972,15,SUPER__1 96.6176,198085000 201200000 43026829 45991522
mMyoVel1.0.SUPER__1,234804448,31110000,42946249,-,mMyoVol1.0.SUPER__1,242898603,201220000,213322862,118998,12147030,15,SUPER__1 96.6263,201220000 213322862 31110000 42946249
mMyoVel1.0.SUPER__1,234804448,1730000,31018696,-,mMyoVol1.0.SUPER__1,242898603,213325000,242895261,285823,29572384,15,SUPER__1 96.6309,213325000 242895261 1730000 31018696
mMyoVel1.0.SUPER__4,118339641,115012300,118294026,-,mMyoVol1.0.SUPER__4,121843818,25000,3300000,31512,3295000,15,SUPER__4 96.8552,25000 3300000 115012300 118294026
mMyoVel1.0.SUPER__4,118339641,105625000,108895538,-,mMyoVol1.0.SUPER__4,121843818,9095000,12378112,32151,3299002,15,SUPER__4 97.0172,9095000 12378112 105625000 108895538
mMyoVel1.0.SUPER__4,118339641,105005000,105619060,-,mMyoVol1.0.SUPER__4,121843818,12450000,13003519,6085,620000,14,SUPER__4 96.121,12450000 13003519 105005000 105619060
mMyoVel1.0.SUPER__4,118339641,101310000,104994529,-,mMyoVol1.0.SUPER__4,121843818,13085044,16663236,35552,3685000,15,SUPER__4 97.0515,13085044 16663236 101310000 104994529
mMyoVel1.0.SUPER__4,118339641,98092199,101250000,-,mMyoVol1.0.SUPER__4,121843818,16665443,19860000,30910,3197943,14,SUPER__4 96.4441,16665443 19860000 98092199 101250000
mMyoVel1.0.SUPER__4,118339641,66115000,92359993,-,mMyoVol1.0.SUPER__4,121843818,25660000,51986531,252607,26332013,15,SUPER__4 97.0275,25660000 51986531 66115000 92359993
mMyoVel1.0.SUPER__4,118339641,55775000,66100000,-,mMyoVol1.0.SUPER__4,121843818,52136483,62664200,100298,10527717,15,SUPER__4 96.7871,52136483 62664200 55775000 66100000
mMyoVel1.0.SUPER__4,118339641,53710000,55773136,-,mMyoVol1.0.SUPER__4,121843818,62730000,64919079,21169,2190392,14,SUPER__4 96.0718,62730000 64919079 53710000 55773136
mMyoVel1.0.SUPER__4,118339641,52561587,53704032,-,mMyoVol1.0.SUPER__4,121843818,64980000,66100000,11116,1145000,14,SUPER__4 96.3161,64980000 66100000 52561587 53704032
mMyoVel1.0.SUPER__4,118339641,52296423,52560000,-,mMyoVol1.0.SUPER__4,121843818,66195763,66539439,3292,343676,13,SUPER__4 94.6224,66195763 66539439 52296423 52560000
mMyoVel1.0.SUPER__4,118339641,52175196,52258116,-,mMyoVol1.0.SUPER__4,121843818,67005000,67089307,840,86055,11,SUPER__4 91.1538,67005000 67089307 52175196 52258116
mMyoVel1.0.SUPER__4,118339641,51720000,52110000,-,mMyoVol1.0.SUPER__4,121843818,67399009,67786937,3765,390000,13,SUPER__4 95.0179,67399009 67786937 51720000 52110000
mMyoVel1.0.SUPER__4,118339641,51521422,51719744,-,mMyoVol1.0.SUPER__4,121843818,67982237,68200000,2123,217898,12,SUPER__4 93.3752,67982237 68200000 51521422 51719744
mMyoVel1.0.SUPER__4,118339641,51381428,51520000,-,mMyoVol1.0.SUPER__4,121843818,68265316,68418254,1448,152938,11,SUPER__4 91.9885,68265316 68418254 51381428 51520000
mMyoVel1.0.SUPER__4,118339641,51320000,51375000,-,mMyoVol1.0.SUPER__4,121843818,68486114,68542740,548,56626,10,SUPER__4 89.0547,68486114 68542740 51320000 51375000
mMyoVel1.0.SUPER__4,118339641,49735000,49854557,-,mMyoVol1.0.SUPER__4,121843818,70207187,70305941,1163,120000,11,SUPER__4 91.3995,70207187 70305941 49735000 49854557
mMyoVel1.0.SUPER__4,118339641,49361938,49530000,-,mMyoVol1.0.SUPER__4,121843818,71102737,71285000,1764,183308,12,SUPER__4 93.5043,71102737 71285000 49361938 49530000
