qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoOcc1.0.SUPER__1,232672419,103981695,104026688,+,mMyoLuc1.0.SUPER__1,244374582,109260000,109305000,49651,49796,25,103980000_104029792_109258305_109308101
mMyoOcc1.0.SUPER__1,232672419,231226000,231255000,+,mMyoLuc1.0.SUPER__1,244374582,243655128,243684081,29574,30000,18,231225000_231255000_243654112_243684081
mMyoOcc1.0.SUPER__1,232672419,156600430,156670924,+,mMyoLuc1.0.SUPER__1,244374582,167535000,167615000,134285,208896,3,156590128_156799024_167524774_167705099
mMyoOcc1.0.SUPER__1,232672419,156805000,156944365,+,mMyoLuc1.0.SUPER__1,244374582,167660527,167797536,127099,139392,9,156805000_156944392_167660527_167797615
mMyoOcc1.0.SUPER__1,232672419,231361385,231433336,+,mMyoLuc1.0.SUPER__1,244374582,244105000,244175185,67495,73216,9,231360120_231433336_244103736_244175185
mMyoOcc1.0.SUPER__1,232672419,106440174,106465000,+,mMyoLuc1.0.SUPER__1,244374582,115710000,115734855,28435,28720,19,106436280_106465000_115706229_115734855
mMyoOcc1.0.SUPER__1,232672419,107090000,107185000,+,mMyoLuc1.0.SUPER__1,244374582,109138766,109234105,94660,95339,21,107090000_107185000_109138766_109234105
mMyoOcc1.0.SUPER__45,147643,31629,122554,-,mMyoLuc1.0.SUPER__1,244374582,110940000,111030000,99308,108800,9,15931_124731_110937823_111042819
mMyoOcc1.0.SUPER__1,232672419,228995000,229573693,+,mMyoLuc1.0.SUPER__1,244374582,239674778,240250000,561497,630746,8,228995000_229585000_239674778_240305524
mMyoOcc1.0.SUPER__1,232672419,42757139,43122119,+,mMyoLuc1.0.SUPER__1,244374582,42830000,43209008,369895,407982,9,42735000_43131672_42809950_43217932
mMyoOcc1.0.SUPER__1,232672419,96020816,96049872,-,mMyoLuc1.0.SUPER__1,244374582,96368447,96397184,27843,29056,13,96020816_96049872_96368447_96397200
mMyoOcc1.0.SUPER__1,232672419,88910000,88985000,-,mMyoLuc1.0.SUPER__1,244374582,89855590,89935670,71756,80080,9,88910000_88985000_89855590_89935670
mMyoOcc1.0.SUPER__1,232672419,156983177,156984616,-,mMyoLuc1.0.SUPER__1,244374582,167891774,167924362,31044,34304,9,156950312_156984616_167891774_167924362
mMyoOcc1.0.SUPER__2,212937769,114250256,114518103,+,mMyoLuc1.0.SUPER__2,212563729,98036401,98313656,264372,286502,9,114250256_114529168_98036401_98322903
mMyoOcc1.0.SUPER__2,212937769,130770000,130793312,-,mMyoLuc1.0.SUPER__2,212563729,81880890,81910000,56580,65000,9,130770000_130835000_81880890_81938059
mMyoOcc1.0.SUPER__2,212937769,102771456,103399744,-,mMyoLuc1.0.SUPER__2,212563729,109451992,110091429,615958,639437,13,102771392_103399744_109451992_110091429
mMyoOcc1.0.SUPER__2,212937769,65885760,66039744,-,mMyoLuc1.0.SUPER__2,212563729,146454186,146608030,134680,153984,7,65885760_66039744_146454186_146608030
mMyoOcc1.0.SUPER__1,232672419,229600384,230957952,+,mMyoLuc1.0.SUPER__1,244374582,240656696,242031972,1245433,1375276,8,229600384_230957952_240656696_242031972
mMyoOcc1.0.SUPER__3,212757328,92642487,92710148,-,mMyoLuc1.0.SUPER__3,211792393,119550000,119625000,88410,97586,10,92640000_92730000_119529892_119627478
mMyoOcc1.0.SUPER__3,212757328,93260000,93311713,-,mMyoLuc1.0.SUPER__3,211792393,119160000,119211549,54194,55000,18,93260000_93315000_119156759_119211549
mMyoOcc1.0.SUPER__3,212757328,145180958,145239123,+,mMyoLuc1.0.SUPER__3,211792393,67411152,67470000,56275,61568,9,145177816_145239384_67409035_67470347
mMyoOcc1.0.SUPER__2,212937769,25000,1109120,-,mMyoLuc1.0.SUPER__2,212563729,211433432,212531009,984170,1112854,8,25000_1109232_211418155_212531009
mMyoOcc1.0.SUPER__3,212757328,6802294,6825000,-,mMyoLuc1.0.SUPER__3,211792393,205021684,205044360,138747,192447,4,6650664_6825000_205021684_205214131
