qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoEvo1.0.SUPER__1,230788764,227925000,230751331,-,mMyoThy1#0#SUPER__1,230758872,30000,2840574,27500,2830000,20,SUPER__1 99.0275,30000 2840574 227925000 230751331
mMyoEvo1.0.SUPER__1,230788764,141240000,141390000,-,mMyoThy1#0#SUPER__1,230758872,89108021,89254304,1489,150000,13,SUPER__1 94.3795,89108021 89254304 141240000 141390000
mMyoEvo1.0.SUPER__1,230788764,127606797,140020000,-,mMyoThy1#0#SUPER__1,230758872,90922814,103245000,123120,12475000,20,SUPER__1 98.9186,90922814 103245000 127606797 140020000
mMyoEvo1.0.SUPER__1,230788764,107520000,126710000,-,mMyoThy1#0#SUPER__1,230758872,103401285,122450354,189271,19190000,21,SUPER__1 99.1163,103401285 122450354 107520000 126710000
mMyoEvo1.0.SUPER__1,230788764,80055783,107445000,-,mMyoThy1#0#SUPER__1,230758872,122856763,150315000,274447,27500000,21,SUPER__1 99.1919,122856763 150315000 80055783 107445000
mMyoEvo1.0.SUPER__1,230788764,76015000,79885491,-,mMyoThy1#0#SUPER__1,230758872,150290000,154040184,39142,3930000,19,SUPER__1 98.7726,150290000 154040184 76015000 79885491
mMyoEvo1.0.SUPER__1,230788764,64512091,75929965,-,mMyoThy1#0#SUPER__1,230758872,154395000,165865000,114352,11470227,20,SUPER__1 99.0912,154395000 165865000 64512091 75929965
mMyoEvo1.0.SUPER__1,230788764,4587871,64467277,-,mMyoThy1#0#SUPER__1,230758872,165910000,225755000,597728,59925000,21,SUPER__1 99.1314,165910000 225755000 4587871 64467277
mMyoEvo1.0.SUPER__1,230788764,3205000,4485000,-,mMyoThy1#0#SUPER__1,230758872,225887204,227167155,12710,1280000,19,SUPER__1 98.6543,225887204 227167155 3205000 4485000
mMyoEvo1.0.SUPER__1,230788764,2338794,3015000,+,mMyoThy1#0#SUPER__1,230758872,227330704,227999991,6774,680000,18,SUPER__1 98.5112,227330704 227999991 2338794 3015000
mMyoEvo1.0.SUPER__1,230788764,875452,2250000,-,mMyoThy1#0#SUPER__1,230758872,228015641,229395000,13612,1380384,18,SUPER__1 98.2653,228015641 229395000 875452 2250000
mMyoEvo1.0.SUPER__1,230788764,35000,150000,-,mMyoThy1#0#SUPER__1,230758872,230616926,230732582,1155,115656,13,SUPER__1 95.2657,230616926 230732582 35000 150000
mMyoEvo1.0.SUPER__2,217004436,51385,7774780,+,mMyoThy1#0#SUPER__2,217270064,45000,7730000,80982,8150000,19,SUPER__2 98.6536,45000 7730000 51385 7774780
mMyoEvo1.0.SUPER__2,217004436,45046669,57560000,+,mMyoThy1#0#SUPER__2,217270064,45185000,57669222,381715,38225000,21,SUPER__2 99.1537,45185000 57669222 45046669 57560000
mMyoEvo1.0.SUPER__2,217004436,66477901,83805000,+,mMyoThy1#0#SUPER__2,217270064,66680670,83938932,172716,17330000,19,SUPER__2 98.8736,66680670 83938932 66477901 83805000
mMyoEvo1.0.SUPER__2,217004436,83805000,107346813,+,mMyoThy1#0#SUPER__2,217270064,84006922,107490000,231234,23545000,20,SUPER__2 99.0218,84006922 107490000 83805000 107346813
mMyoEvo1.0.SUPER__2,217004436,107352752,107410000,-,mMyoThy1#0#SUPER__2,217270064,107494733,107554679,597,60000,10,SUPER__2 90.8719,107494733 107554679 107352752 107410000
mMyoEvo1.0.SUPER__2,217004436,107410000,111030000,+,mMyoThy1#0#SUPER__2,217270064,107556163,111149203,36111,3620000,22,SUPER__2 99.4178,107556163 111149203 107410000 111030000
mMyoEvo1.0.SUPER__2,217004436,111110000,127676486,+,mMyoThy1#0#SUPER__2,217270064,111157541,127705000,165535,16570000,22,SUPER__2 99.3095,111157541 127705000 111110000 127676486
mMyoEvo1.0.SUPER__2,217004436,149170000,149369212,+,mMyoThy1#0#SUPER__2,217270064,149313846,149510000,3434,343522,17,SUPER__2 97.9323,149313846 149510000 149170000 149369212
mMyoEvo1.0.SUPER__2,217004436,174320120,183777721,+,mMyoThy1#0#SUPER__2,217270064,174505000,183965000,340312,34255000,21,SUPER__2 99.1253,174505000 183965000 174320120 183777721
mMyoEvo1.0.SUPER__2,217004436,183885000,191990000,+,mMyoThy1#0#SUPER__2,217270064,184211499,192284763,80857,8105000,21,SUPER__2 99.1506,184211499 192284763 183885000 191990000
mMyoEvo1.0.SUPER__2,217004436,191990000,205094426,+,mMyoThy1#0#SUPER__2,217270064,192374658,205475000,237680,23840000,20,SUPER__2 98.9535,192374658 205475000 191990000 205094426
mMyoEvo1.0.SUPER__2,217004436,215850259,216989370,+,mMyoThy1#0#SUPER__2,217270064,216135000,217255000,11951,1200000,18,SUPER__2 98.3447,216135000 217255000 215850259 216989370
mMyoEvo1.0.SUPER__3,215147351,99685000,122271040,+,mMyoThy1#0#SUPER__3,224416797,5913211,28480000,217106,22595000,22,SUPER__3 99.3962,5913211 28480000 99685000 122271040
mMyoEvo1.0.SUPER__3,215147351,122627797,146869678,+,mMyoThy1#0#SUPER__3,224416797,29025000,53070000,244161,24535000,20,SUPER__3 98.9475,29025000 53070000 122627797 146869678
mMyoEvo1.0.SUPER__3,215147351,146850000,160311188,+,mMyoThy1#0#SUPER__3,224416797,53247252,66735000,132995,13491603,20,SUPER__3 99.0848,53247252 66735000 146850000 160311188
mMyoEvo1.0.SUPER__3,215147351,160419129,191035561,+,mMyoThy1#0#SUPER__3,224416797,66735000,97430000,305773,30723771,21,SUPER__3 99.1311,66735000 97430000 160419129 191035561
mMyoEvo1.0.SUPER__3,215147351,191120000,206355000,+,mMyoThy1#0#SUPER__3,224416797,97510975,112728307,152065,15235000,20,SUPER__3 98.9282,97510975 112728307 191120000 206355000
mMyoEvo1.0.SUPER__3,215147351,206355000,212475000,+,mMyoThy1#0#SUPER__3,224416797,112908972,119091742,61655,6182770,19,SUPER__3 98.84,112908972 119091742 206355000 212475000
mMyoEvo1.0.SUPER__3,215147351,212477178,215109483,+,mMyoThy1#0#SUPER__3,224416797,119175000,121785000,26144,2640000,19,SUPER__3 98.721,119175000 121785000 212477178 215109483
mMyoEvo1.0.SUPER__3,215147351,17159,69554981,+,mMyoThy1#0#SUPER__3,224416797,121828238,191485000,693074,69656858,20,SUPER__3 99.0319,121828238 191485000 17159 69554981
mMyoEvo1.0.SUPER__4,126131752,114805000,126106643,-,mMyoThy1#0#SUPER__4,124798317,15000,11269385,113009,11305000,23,SUPER__4 99.5278,15000 11269385 114805000 126106643
mMyoEvo1.0.SUPER__4,126131752,52795000,114712135,-,mMyoThy1#0#SUPER__4,124798317,11365000,73101226,618087,61920000,24,SUPER__4 99.5615,11365000 73101226 52795000 114712135
mMyoEvo1.0.SUPER__4,126131752,52025666,52727745,-,mMyoThy1#0#SUPER__4,124798317,73158014,73865000,7063,707549,20,SUPER__4 98.968,73158014 73865000 52025666 52727745
mMyoEvo1.0.SUPER__4,126131752,48920000,52025000,-,mMyoThy1#0#SUPER__4,124798317,73920861,77002162,31033,3105000,24,SUPER__4 99.5932,73920861 77002162 48920000 52025000
mMyoEvo1.0.SUPER__4,126131752,36535000,48803582,-,mMyoThy1#0#SUPER__4,124798317,77110000,89454064,123146,12351933,24,SUPER__4 99.5834,77110000 89454064 36535000 48803582
mMyoEvo1.0.SUPER__4,126131752,27121185,34830000,-,mMyoThy1#0#SUPER__4,124798317,91212547,98930000,76769,7720794,21,SUPER__4 99.2391,91212547 98930000 27121185 34830000
mMyoEvo1.0.SUPER__4,126131752,2648772,24675159,-,mMyoThy1#0#SUPER__4,124798317,101390000,123445000,245629,24643877,23,SUPER__4 99.4645,101390000 123445000 2648772 24675159
