qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoOcc1.0.SUPER__1,232672419,127122631,127162464,+,mMyoCai1.0.SUPER__1,234393516,126218328,126273752,503377,717580,4,127122432_127801728_126218129_126935709
mMyoOcc1.0.SUPER__1,232672419,153394071,153477908,+,mMyoCai1.0.SUPER__1,234393516,154786024,154850000,139992,248064,3,153230992_153479056_154662596_154851147
mMyoOcc1.0.SUPER__1,232672419,156601378,156711805,+,mMyoCai1.0.SUPER__1,234393516,158020000,158145000,106036,135322,5,156591408_156718000_158009872_158145194
mMyoOcc1.0.SUPER__1,232672419,157325368,157360000,+,mMyoCai1.0.SUPER__1,234393516,158565640,158598408,216027,364872,3,156995128_157360000_158311022_158644298
mMyoOcc1.0.SUPER__1,232672419,153145000,153210000,+,mMyoCai1.0.SUPER__1,234393516,154683748,154740034,39375,65000,3,153145000_153210000_154683748_154740034
mMyoOcc1.0.SUPER__1,232672419,42736668,43125146,+,mMyoCai1.0.SUPER__1,234393516,43610000,44029328,348642,427689,6,42735000_43132440_43608346_44036035
mMyoOcc1.0.SUPER__1,232672419,127910000,127984198,+,mMyoCai1.0.SUPER__1,234393516,126938485,127010000,37971,75000,2,127910000_127985000_126938485_127010802
mMyoOcc1.0.SUPER__1,232672419,228995256,229574450,+,mMyoCai1.0.SUPER__1,234393516,232251699,232840000,525612,599331,7,228995256_229585000_232251699_232851030
mMyoOcc1.0.SUPER__3,212757328,112940000,113278304,+,mMyoCai1.0.SUPER__2,217612966,115299366,115657054,269889,357688,4,112940000_113278304_115299366_115657054
mMyoOcc1.0.SUPER__3,212757328,142895826,143169872,-,mMyoCai1.0.SUPER__2,217612966,146418211,146695000,248269,314496,5,142855376_143169872_146418211_146727289
mMyoOcc1.0.SUPER__3,212757328,162912655,162954179,-,mMyoCai1.0.SUPER__2,217612966,167000184,167034616,32698,44416,5,162911488_162955904_166998572_167035686
mMyoOcc1.0.SUPER__3,212757328,110098804,110763064,+,mMyoCai1.0.SUPER__2,217612966,112155000,112905000,562580,751576,5,110097432_110763288_112153649_112905225
mMyoOcc1.0.SUPER__3,212757328,184825000,184899416,+,mMyoCai1.0.SUPER__2,217612966,189290640,189365000,93823,134528,3,184825000_184959144_189290419_189424947
mMyoOcc1.0.SUPER__3,212757328,115730000,116399691,+,mMyoCai1.0.SUPER__2,217612966,118613871,119290000,493412,676437,4,115730000_116400000_118613871_119290308
mMyoOcc1.0.SUPER__1,232672419,157523894,158439526,+,mMyoCai1.0.SUPER__1,234393516,158765000,159717960,755809,955204,5,157521664_158439552_158762775_159717979
mMyoOcc1.0.SUPER__3,212757328,110837176,111630684,+,mMyoCai1.0.SUPER__2,217612966,112907216,113785000,1538602,2285251,3,110837176_112924856_112907216_115192467
mMyoOcc1.0.SUPER__1,232672419,227620000,228804744,-,mMyoCai1.0.SUPER__1,234393516,230487970,231681662,1020888,1193692,6,227620000_228804744_230487970_231681662
mMyoOcc1.0.SUPER__3,212757328,108785128,110080000,+,mMyoCai1.0.SUPER__2,217612966,110665413,112091921,1077253,1426508,5,108785128_110080000_110665413_112091921
mMyoOcc1.0.SUPER__1,232672419,45735512,47853305,+,mMyoCai1.0.SUPER__1,234393516,46487752,48688520,10682096,12448102,7,45735512_57730000_46487752_58935854
mMyoOcc1.0.SUPER__3,212757328,68345232,68410000,-,mMyoCai1.0.SUPER__2,217612966,67366896,67433459,59115,66563,8,68345232_68410000_67366896_67433459
mMyoOcc1.0.SUPER__2,212937769,103773245,103910000,+,mMyoCai1.0.SUPER__3,217383104,106335000,106493976,121324,161611,5,103770640_103910000_106332385_106493996
mMyoOcc1.0.SUPER__2,212937769,103920000,104349482,+,mMyoCai1.0.SUPER__3,217383104,106576389,107020000,359193,444131,5,103920000_104350000_106576389_107020520
mMyoOcc1.0.SUPER__2,212937769,114250000,114504409,-,mMyoCai1.0.SUPER__3,217383104,117095200,117373835,241498,314116,5,114250000_114529232_117059719_117373835
