qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoThy1.0.SUPER__1,230758872,123597416,123690000,+,mMyoCai1.0.SUPER__1,234393516,126305768,126393209,79663,92696,7,123597304_123690000_126305737_126393209
mMyoThy1.0.SUPER__3,224416797,172605128,172645000,+,mMyoCai1.0.SUPER__2,217612966,166998484,167034755,31997,39872,6,172605128_172645000_166998484_167034755
mMyoThy1.0.SUPER__3,224416797,112725000,112750016,-,mMyoCai1.0.SUPER__2,217612966,9213881,9238516,23441,25016,11,112725000_112750016_9213881_9238516
mMyoThy1.0.SUPER__3,224416797,192495640,192573639,+,mMyoCai1.0.SUPER__2,217612966,147224262,147325000,74691,102167,5,192495640_192574872_147224262_147326429
mMyoThy1.0.SUPER__1,230758872,227371186,227950000,+,mMyoCai1.0.SUPER__1,234393516,232255256,232839039,537502,584755,9,227370256_227950000_232254284_232839039
mMyoThy1.0.SUPER__3,224416797,205917112,206034616,-,mMyoCai1.0.SUPER__2,217612966,133851153,133954831,95636,117504,6,205917112_206034616_133851153_133954831
mMyoThy1.0.SUPER__3,224416797,193100128,193407139,+,mMyoCai1.0.SUPER__2,217612966,146417801,146725000,277252,309872,8,193100128_193410000_146417801_146727635
mMyoThy1.0.SUPER__1,230758872,122915936,123531448,+,mMyoCai1.0.SUPER__1,234393516,125693200,126298512,489183,615680,5,122915768_123531448_125693145_126298521
mMyoThy1.0.SUPER__3,224416797,52910000,52989900,+,mMyoCai1.0.SUPER__2,217612966,67737849,67740000,96641,124672,6,52910000_53034672_67737849_67846488
mMyoThy1.0.SUPER__3,224416797,66600419,66654264,-,mMyoCai1.0.SUPER__2,217612966,55396083,55415000,1334266,1574860,6,65195000_66724872_55396083_56970943
mMyoThy1.0.SUPER__3,224416797,53376123,53410000,+,mMyoCai1.0.SUPER__2,217612966,67365384,67398810,32969,35000,11,53375000_53410000_67364164_67398810
mMyoThy1.0.SUPER__3,224416797,62526626,62718464,+,mMyoCai1.0.SUPER__2,217612966,59441536,59640000,169563,205458,6,62515256_62720000_59436056_59641514
mMyoThy1.0.SUPER__2,217270064,110431466,111080352,-,mMyoCai1.0.SUPER__3,217383104,106335200,107020000,585703,688491,7,110430408_111083080_106332332_107020823
mMyoThy1.0.SUPER__2,217270064,205542457,205572430,-,mMyoCai1.0.SUPER__3,217383104,11676080,11710000,21619923,23738240,8,192355992_216094232_1190803_24795989
mMyoThy1.0.SUPER__3,224416797,9105000,10554872,-,mMyoCai1.0.SUPER__2,217612966,112943100,114363086,1199844,1449872,6,9105000_10554872_112943100_114363086
mMyoThy1.0.SUPER__3,224416797,120570000,121785000,-,mMyoCai1.0.SUPER__2,217612966,36386,1253937,1075954,1217551,7,120570000_121785000_36386_1253937
mMyoThy1.0.SUPER__2,217270064,116678104,116705000,+,mMyoCai1.0.SUPER__3,217383104,99750000,99777028,28021,29488,11,116675512_116705000_99747715_99777028
mMyoThy1.0.SUPER__2,217270064,44740400,44989744,-,mMyoCai1.0.SUPER__3,217383104,172410497,172644116,181377,249344,4,44740400_44989744_172410497_172644116
mMyoThy1.0.SUPER__2,217270064,57700000,58024296,-,mMyoCai1.0.SUPER__3,217383104,159531424,159856713,232562,327609,4,57700000_58026168_159529104_159856713
mMyoThy1.0.SUPER__2,217270064,107490295,107553637,+,mMyoCai1.0.SUPER__3,217383104,109855000,109920000,55584,66100,6,107490000_107554512_109854705_109920805
mMyoThy1.0.SUPER__2,217270064,216135375,217245000,-,mMyoCai1.0.SUPER__3,217383104,29537,1113048,976334,1129216,7,216115784_217245000_29537_1123398
mMyoThy1.0.SUPER__1,230758872,123691152,125203525,+,mMyoCai1.0.SUPER__1,234393516,126459018,128032728,1183822,1574039,4,123691152_125203856_126459018_128033057
mMyoThy1.0.SUPER__4,124798317,100970000,101190000,+,mMyoCai1.0.SUPER__4,126198552,101917121,102139527,202177,222406,8,100970000_101190000_101917121_102139527
mMyoThy1.0.SUPER__4,124798317,99100256,99170000,+,mMyoCai1.0.SUPER__4,126198552,99648571,99715084,52215,69744,4,99100256_99170000_99648571_99715084
mMyoThy1.0.SUPER__4,124798317,98618902,99007800,+,mMyoCai1.0.SUPER__4,126198552,99091024,99449867,332155,412032,6,98595768_99007800_99075121_99449867
mMyoThy1.0.SUPER__1,230758872,128275384,128723000,+,mMyoCai1.0.SUPER__1,234393516,131091308,131507803,354111,447616,5,128275384_128723000_131091308_131507803
mMyoThy1.0.SUPER__4,124798317,108530928,108575000,-,mMyoCai1.0.SUPER__4,126198552,109658153,109704872,41066,47467,7,108530328_108575000_109658153_109705620
mMyoThy1.0.SUPER__4,124798317,99190000,99313520,+,mMyoCai1.0.SUPER__4,126198552,100009353,100125725,85265,123520,4,99190000_99313520_100009353_100125725
mMyoThy1.0.SUPER__4,124798317,91335000,92395000,+,mMyoCai1.0.SUPER__4,126198552,91804956,92912475,912245,1107519,6,91335000_92395000_91804956_92912475
mMyoThy1.0.SUPER__4,124798317,42291939,42341690,-,mMyoCai1.0.SUPER__4,126198552,42270000,42323720,48894,56953,7,42291880_42345000_42266797_42323750
mMyoThy1.0.SUPER__4,124798317,7740129,7830000,-,mMyoCai1.0.SUPER__4,126198552,7955705,8045000,87648,95000,9,7735000_7830000_7955705_8049916
mMyoThy1.0.SUPER__4,124798317,11270612,11359967,-,mMyoCai1.0.SUPER__4,126198552,11485136,11570000,85717,94464,9,11270280_11364744_11479814_11570332
mMyoThy1.0.SUPER__4,124798317,13566582,13679872,-,mMyoCai1.0.SUPER__4,126198552,13840290,13950000,98850,114872,7,13565000_13679872_13840290_13951981
mMyoThy1.0.SUPER__4,124798317,68592407,68644232,-,mMyoCai1.0.SUPER__4,126198552,68343989,68400000,50547,58419,8,68590000_68644232_68343989_68402408
mMyoThy1.0.SUPER__4,124798317,77001945,77115000,-,mMyoCai1.0.SUPER__4,126198552,78117720,78225000,96142,113408,7,77001592_77115000_78117720_78225359
mMyoThy1.0.SUPER__4,124798317,74600509,74644935,-,mMyoCai1.0.SUPER__4,126198552,75760000,75815000,41067,55574,5,74600000_74645000_75759935_75815509
mMyoThy1.0.SUPER__2,217270064,75798406,80730000,-,mMyoCai1.0.SUPER__3,217383104,136625280,141573336,4338268,4951288,7,75795728_80730000_136625280_141576568
mMyoThy1.0.SUPER__4,124798317,72870045,72919439,+,mMyoCai1.0.SUPER__4,126198552,73061408,73099124,372930,488310,5,72491536_72928528_72610814_73099124
mMyoThy1.0.SUPER__4,124798317,70711349,71713648,+,mMyoCai1.0.SUPER__4,126198552,70517816,71546005,801452,1028232,5,70711280_71713648_70517773_71546005
mMyoThy1.0.SUPER__4,124798317,71721237,72475000,+,mMyoCai1.0.SUPER__4,126198552,71663584,72527338,597375,863839,4,71721152_72475000_71663499_72527338
mMyoThy1.0.SUPER__5,115481225,70170000,70299394,-,mMyoCai1.0.SUPER__5,115105322,70325000,70454225,114668,129488,7,70170000_70299488_70324908_70454225
mMyoThy1.0.SUPER__4,124798317,68655000,70703896,+,mMyoCai1.0.SUPER__4,126198552,68410664,70463407,1587326,2052743,4,68655000_70703896_68410664_70463407
mMyoThy1.0.SUPER__6,110604897,27489291,27660588,-,mMyoCai1.0.SUPER__6,110102919,81895000,82059744,228041,280000,6,27390000_27670000_81887520_82152872
mMyoThy1.0.SUPER__2,217270064,58115720,66640392,-,mMyoCai1.0.SUPER__3,217383104,150866254,159453326,7632656,8587072,7,58115720_66640392_150866254_159453326
mMyoThy1.0.SUPER__6,110604897,19534917,19900000,-,mMyoCai1.0.SUPER__6,110102919,89152159,89554232,356251,417523,7,19518304_19900000_89152159_89569682
mMyoThy1.0.SUPER__6,110604897,8393454,9828649,-,mMyoCai1.0.SUPER__6,110102919,99135000,100620000,1299788,1486560,7,8393200_9829872_99133776_100620336
mMyoThy1.0.SUPER__5,115481225,115106790,115215966,+,mMyoCai1.0.SUPER__6,110102919,109800000,109885000,72187,126976,3,115092048_115219024_109785065_109891313
mMyoThy1.0.SUPER__7,101229579,95205524,95235271,+,mMyoCai1.0.SUPER__7,101286765,95795000,95829304,28253,44136,3,95205256_95244807_95794829_95838965
mMyoThy1.0.SUPER__7,101229579,95430640,95506928,+,mMyoCai1.0.SUPER__7,101286765,95908292,95989728,62310,108401,3,95430640_95529200_95908292_96016693
mMyoThy1.0.SUPER__7,101229579,95890000,95971804,+,mMyoCai1.0.SUPER__7,101286765,96270246,96355000,62101,87299,4,95890000_95974352_96270246_96357545
