qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoCai1.0.SUPER__1,234393516,126305768,126393209,+,mMyoThy1#0#SUPER__1,230758872,123597416,123690000,80555,93728,7,126305768_126394344_123597416_123691144
mMyoCai1.0.SUPER__2,217612966,166998484,167034755,+,mMyoThy1#0#SUPER__3,224416797,172605128,172645000,32262,40147,6,166998456_167035000_172605098_172645245
mMyoCai1.0.SUPER__2,217612966,9213881,9238516,-,mMyoThy1#0#SUPER__3,224416797,112725000,112750016,27259,29695,10,9211200_9240000_112723495_112753190
mMyoCai1.0.SUPER__2,217612966,147224262,147325000,+,mMyoThy1#0#SUPER__3,224416797,192495640,192573639,73811,101288,5,147223712_147325000_192493072_192573639
mMyoCai1.0.SUPER__1,234393516,232255256,232839039,+,mMyoThy1#0#SUPER__1,230758872,227371186,227950000,593578,654744,9,232255256_232910000_227371186_228010186
mMyoCai1.0.SUPER__2,217612966,133851153,133954831,-,mMyoThy1#0#SUPER__3,224416797,205917112,206034616,95982,117940,6,133850808_133955000_205916815_206034755
mMyoCai1.0.SUPER__2,217612966,146417801,146725000,+,mMyoThy1#0#SUPER__3,224416797,193100128,193407139,278995,309721,8,146415512_146725000_193097418_193407139
mMyoCai1.0.SUPER__1,234393516,125693200,126298512,+,mMyoThy1#0#SUPER__1,230758872,122915936,123531448,487090,615564,5,125693200_126298512_122915936_123531500
mMyoCai1.0.SUPER__2,217612966,67737849,67740000,+,mMyoThy1#0#SUPER__3,224416797,52910000,52989900,66101,89569,5,67665000_67740000_52900331_52989900
mMyoCai1.0.SUPER__2,217612966,55396083,55415000,-,mMyoThy1#0#SUPER__3,224416797,66600419,66654264,30415,55000,2,55360000_55415000_66600419_66654264
mMyoCai1.0.SUPER__2,217612966,67365384,67398810,+,mMyoThy1#0#SUPER__3,224416797,53376123,53410000,63253,69616,10,67365384_67435000_53376123_53442399
mMyoCai1.0.SUPER__2,217612966,59441536,59640000,+,mMyoThy1#0#SUPER__3,224416797,62526626,62718464,166816,198464,6,59441536_59640000_62526626_62718464
