qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoAui1.0.SUPER__1,234041302,55384,97215,+,mMyoEvo1.0.SUPER__1,230788764,95792,136216,34403,41856,6,55384_97240_95792_136340
mMyoAui1.0.SUPER__1,234041302,65670000,65709215,-,mMyoEvo1.0.SUPER__1,230788764,64470000,64511445,38631,42227,10,65670000_65710000_64469218_64511445
mMyoAui1.0.SUPER__1,234041302,77135000,77190694,+,mMyoEvo1.0.SUPER__1,230788764,75725955,75817230,74490,91275,6,77135000_77217048_75725955_75817230
mMyoAui1.0.SUPER__1,234041302,1539184,1597645,+,mMyoEvo1.0.SUPER__1,230788764,181280,230000,49309,104104,2,1525896_1630000_170574_263843
mMyoAui1.0.SUPER__2,216233548,67151000,67275000,-,mMyoEvo1.0.SUPER__2,217004436,149073342,149199872,124550,130117,13,67147640_67275000_149073342_149203459
mMyoAui1.0.SUPER__2,216233548,67000000,67108208,-,mMyoEvo1.0.SUPER__2,217004436,149387935,149491593,99636,108208,10,67000000_67108208_149387935_149491593
mMyoAui1.0.SUPER__2,216233548,105575000,105629616,-,mMyoEvo1.0.SUPER__2,217004436,110952707,111011592,51319,58885,8,105575000_105629616_110952707_111011592
mMyoAui1.0.SUPER__2,216233548,99660000,99693791,+,mMyoEvo1.0.SUPER__2,217004436,116685849,116720000,34392,35359,15,99660000_99695000_116685849_116721208
mMyoAui1.0.SUPER__2,216233548,158680126,158784872,-,mMyoEvo1.0.SUPER__2,217004436,57446589,57544872,90133,104872,7,158680000_158784872_57446589_57545006
mMyoAui1.0.SUPER__2,216233548,132230376,132620681,-,mMyoEvo1.0.SUPER__2,217004436,83500000,83861887,287927,394624,4,132230376_132625000_83495686_83861887
mMyoAui1.0.SUPER__2,216233548,31615136,32893020,-,mMyoEvo1.0.SUPER__2,217004436,183913744,185241977,1210029,1333787,9,31615136_32897312_183908190_185241977
mMyoAui1.0.SUPER__1,234041302,106344303,108644768,+,mMyoEvo1.0.SUPER__1,230788764,105090000,107404949,1988959,2315791,6,106343456_108644768_105089158_107404949
mMyoAui1.0.SUPER__2,216233548,104477818,105329104,-,mMyoEvo1.0.SUPER__2,217004436,111111533,111915000,688135,888064,5,104441040_105329104_111111533_111918377
mMyoAui1.0.SUPER__3,215394694,206481728,206509107,+,mMyoEvo1.0.SUPER__3,215147351,206275000,206304312,50226,91776,3,206462688_206554464_206255728_206330321
mMyoAui1.0.SUPER__3,215394694,160765128,161265715,+,mMyoEvo1.0.SUPER__3,215147351,160691893,161210000,418424,522241,5,160765128_161269832_160691893_161214134
mMyoAui1.0.SUPER__3,215394694,70166828,70240000,-,mMyoEvo1.0.SUPER__3,215147351,70401067,70480000,71255,80518,9,70165248_70240000_70401067_70481585
mMyoAui1.0.SUPER__2,216233548,23718,1129775,-,mMyoEvo1.0.SUPER__2,217004436,215776024,216973304,981462,1221256,5,23672_1192440_215752048_216973304
mMyoAui1.0.SUPER__3,215394694,79686391,79812150,-,mMyoEvo1.0.SUPER__3,215147351,80025000,80149488,118001,130560,8,79686368_79816928_80020232_80149504
mMyoAui1.0.SUPER__3,215394694,79412763,79679616,-,mMyoEvo1.0.SUPER__3,215147351,79761891,80019616,248011,272640,9,79406976_79679616_79761891_80025384
mMyoAui1.0.SUPER__3,215394694,79820740,80159712,+,mMyoEvo1.0.SUPER__3,215147351,80185384,80518361,303206,339456,8,79820256_80159712_80184775_80518361
mMyoAui1.0.SUPER__3,215394694,83438712,83550722,+,mMyoEvo1.0.SUPER__3,215147351,83767846,83869696,102240,138624,5,83419608_83558232_83767846_83877140
mMyoAui1.0.SUPER__3,215394694,97435256,97905000,+,mMyoEvo1.0.SUPER__3,215147351,98199172,98704292,423682,505120,7,97435256_97905000_98199172_98704292
mMyoAui1.0.SUPER__3,215394694,96815384,97424792,+,mMyoEvo1.0.SUPER__3,215147351,97484132,98135223,558749,651091,7,96815384_97424792_97484132_98135223
mMyoAui1.0.SUPER__3,215394694,103510866,103548407,+,mMyoEvo1.0.SUPER__3,215147351,104255000,104295000,38667,42497,10,103510000_103550000_104254141_104296638
mMyoAui1.0.SUPER__3,215394694,103615192,103818256,+,mMyoEvo1.0.SUPER__3,215147351,104300000,104522298,175155,223732,5,103613840_103818256_104298566_104522298
mMyoAui1.0.SUPER__3,215394694,101140000,101342980,+,mMyoEvo1.0.SUPER__3,215147351,101757302,101925000,159596,204544,6,101140000_101344544_101757302_101926564
mMyoAui1.0.SUPER__3,215394694,103821280,104264800,+,mMyoEvo1.0.SUPER__3,215147351,104595480,105032946,385305,443520,7,103821280_104264800_104595480_105032946
mMyoAui1.0.SUPER__3,215394694,98500000,98585000,+,mMyoEvo1.0.SUPER__3,215147351,99386437,99475988,68042,89551,5,98500000_98585000_99386437_99475988
mMyoAui1.0.SUPER__3,215394694,102515128,103469706,+,mMyoEvo1.0.SUPER__3,215147351,103248668,104214856,862360,966447,8,102515128_103470000_103248668_104215115
mMyoAui1.0.SUPER__3,215394694,97906042,98495674,+,mMyoEvo1.0.SUPER__3,215147351,98757560,99319736,500092,591360,6,97906024_98497384_98757515_99321457
mMyoAui1.0.SUPER__4,125946359,42385256,42435000,+,mMyoEvo1.0.SUPER__4,126131752,83733242,83781466,44265,49744,8,42385256_42435000_83733242_83781466
mMyoAui1.0.SUPER__3,215394694,102239207,102507495,+,mMyoEvo1.0.SUPER__3,215147351,102855000,103119704,232890,270080,6,102238200_102508280_102853992_103120716
mMyoAui1.0.SUPER__4,125946359,68560775,69089431,-,mMyoEvo1.0.SUPER__4,126131752,56710000,57253336,464108,543661,6,68560720_69089744_56709688_57253349
mMyoAui1.0.SUPER__4,125946359,69688363,70080000,-,mMyoEvo1.0.SUPER__4,126131752,55702339,56075000,324616,395000,6,69685000_70080000_55702339_56078359
mMyoAui1.0.SUPER__3,215394694,101348328,102149476,+,mMyoEvo1.0.SUPER__3,215147351,101978979,102852568,693789,873895,5,101348328_102149736_101978979_102852874
mMyoAui1.0.SUPER__4,125946359,70530000,70780000,-,mMyoEvo1.0.SUPER__4,126131752,55043920,55251651,192131,250000,6,70530000_70780000_55043920_55251651
mMyoAui1.0.SUPER__1,234041302,231190128,234015000,+,mMyoEvo1.0.SUPER__1,230788764,227933318,230766377,2531300,2833059,8,231190128_234015000_227933318_230766377
mMyoAui1.0.SUPER__4,125946359,72172830,72222538,-,mMyoEvo1.0.SUPER__4,126131752,53416488,53465000,43832,55000,5,72170000_72225000_53415382_53467820
mMyoAui1.0.SUPER__3,215394694,98586152,100442024,+,mMyoEvo1.0.SUPER__3,215147351,99631361,101449112,1668347,1855872,8,98586152_100442024_99631361_101449112
mMyoAui1.0.SUPER__4,125946359,72229382,72297127,+,mMyoEvo1.0.SUPER__4,126131752,53350000,53415000,53116,72192,4,72225384_72297576_53346190_53415482
mMyoAui1.0.SUPER__4,125946359,41952176,41975000,+,mMyoEvo1.0.SUPER__4,126131752,84215233,84238009,21893,22824,12,41952176_41975000_84215233_84238009
mMyoAui1.0.SUPER__4,125946359,69152400,69680000,-,mMyoEvo1.0.SUPER__4,126131752,56142199,56708365,440130,566166,5,69152384_69680000_56142199_56708365
mMyoAui1.0.SUPER__4,125946359,8040000,8078188,+,mMyoEvo1.0.SUPER__4,126131752,118130914,118170000,38551,40577,12,8040000_8079680_118130914_118171491
mMyoAui1.0.SUPER__4,125946359,70082012,70462657,-,mMyoEvo1.0.SUPER__4,126131752,55260464,55629872,288878,383872,4,70081128_70465000_55254185_55630756
mMyoAui1.0.SUPER__4,125946359,70790000,71328780,-,mMyoEvo1.0.SUPER__4,126131752,54406584,54912762,430914,538848,5,70790000_71328848_54406562_54912762
mMyoAui1.0.SUPER__4,125946359,71335000,72099104,-,mMyoEvo1.0.SUPER__4,126131752,53470301,54240072,604216,769771,5,71335000_72099104_53470301_54240072
mMyoAui1.0.SUPER__4,125946359,21761,1630205,+,mMyoEvo1.0.SUPER__4,126131752,121350000,123039856,1448915,1692690,7,20256_1631648_121348609_123041299
mMyoAui1.0.SUPER__4,125946359,73996624,74610000,-,mMyoEvo1.0.SUPER__4,126131752,52139151,52708781,459296,613376,4,73996624_74610000_52139151_52708781
mMyoAui1.0.SUPER__2,216233548,93757640,99565000,-,mMyoEvo1.0.SUPER__2,217004436,116721516,122730760,5214211,6009244,7,93757640_99565000_116721516_122730760
mMyoAui1.0.SUPER__2,216233548,67569288,72739113,-,mMyoEvo1.0.SUPER__2,217004436,143715864,148892050,4678336,5185199,8,67569288_72754440_143706851_148892050
mMyoAui1.0.SUPER__4,125946359,101200000,101394763,+,mMyoEvo1.0.SUPER__4,126131752,24465641,24675000,177403,260753,4,101200000_101439744_24465641_24726394
mMyoAui1.0.SUPER__4,125946359,89355000,89460000,+,mMyoEvo1.0.SUPER__4,126131752,36432252,36536388,75492,105000,4,89355000_89460000_36432252_36536388
mMyoAui1.0.SUPER__4,125946359,74634763,75209744,-,mMyoEvo1.0.SUPER__4,126131752,51400413,52020000,501523,620562,6,74633744_75209744_51400413_52020975
mMyoAui1.0.SUPER__4,125946359,84716944,85608208,-,mMyoEvo1.0.SUPER__4,126131752,40460896,41377568,796347,916674,7,84716944_85608208_40460896_41377570
mMyoAui1.0.SUPER__4,125946359,77621280,77715889,+,mMyoEvo1.0.SUPER__4,126131752,48821075,48910000,74495,98720,4,77621280_77720000_48821075_48914287
mMyoAui1.0.SUPER__4,125946359,123805000,124602696,-,mMyoEvo1.0.SUPER__4,126131752,1344174,2178534,657943,834360,5,123805000_124602696_1344174_2178534
mMyoAui1.0.SUPER__4,125946359,82355000,82630000,-,mMyoEvo1.0.SUPER__4,126131752,43653305,43970219,232395,316914,5,82355000_82630000_43653305_43970219
mMyoAui1.0.SUPER__4,125946359,80731923,82344577,-,mMyoEvo1.0.SUPER__4,126131752,44045000,45717952,1443894,1673325,7,80731816_82344872_44044705_45718030
mMyoAui1.0.SUPER__4,125946359,84315000,84710000,-,mMyoEvo1.0.SUPER__4,126131752,41442447,41854433,335644,411986,6,84315000_84710000_41442447_41854433
mMyoAui1.0.SUPER__4,125946359,111812926,116388976,-,mMyoEvo1.0.SUPER__4,126131752,9754028,14283707,4223504,4638976,9,111750000_116388976_9754028_14283707
mMyoAui1.0.SUPER__5,115173812,40248089,40325000,-,mMyoEvo1.0.SUPER__5,115719297,40393442,40470000,76327,79488,12,40245512_40325000_40393442_40472625
mMyoAui1.0.SUPER__5,115173812,60060280,60221125,-,mMyoEvo1.0.SUPER__5,115719297,60245128,60404616,155671,163592,12,60060000_60223592_60242630_60404896
mMyoAui1.0.SUPER__4,125946359,124610432,125599104,-,mMyoEvo1.0.SUPER__4,126131752,4844,943184,741121,988672,5,124610432_125599104_4844_943184
mMyoAui1.0.SUPER__5,115173812,81025794,84249098,+,mMyoEvo1.0.SUPER__5,115719297,80685000,83924680,3076244,3278693,10,80985000_84252712_80649663_83928356
mMyoAui1.0.SUPER__5,115173812,103254127,103294776,+,mMyoEvo1.0.SUPER__5,115719297,102920000,102920396,1661957,1974784,6,101319992_103294776_101017090_102920396
mMyoAui1.0.SUPER__5,115173812,68605785,68654152,+,mMyoEvo1.0.SUPER__5,115719297,80510000,80552898,42459,49152,8,68605000_68654152_80509214_80552898
mMyoAui1.0.SUPER__3,215394694,83656303,94947628,+,mMyoEvo1.0.SUPER__3,215147351,83955000,95545000,10274987,11619977,7,83620000_94948000_83925395_95545372
mMyoAui1.0.SUPER__6,110475149,82090000,82180000,+,mMyoEvo1.0.SUPER__6,111209695,83652102,83743995,82736,91893,8,82090000_82180000_83652102_83743995
mMyoAui1.0.SUPER__7,99473469,97684797,97825000,+,mMyoEvo1.0.SUPER__7,100887357,98205000,98354005,133089,151988,7,97680000_97825000_98202017_98354005
mMyoAui1.0.SUPER__7,99473469,97850000,98048656,+,mMyoEvo1.0.SUPER__7,100887357,98430975,98627709,164488,198656,6,97850000_98048656_98430975_98627709
mMyoAui1.0.SUPER__6,110475149,102095229,105885568,+,mMyoEvo1.0.SUPER__6,111209695,102885504,106825991,3406548,3940571,7,102095104_105885568_102885420_106825991
mMyoAui1.0.SUPER__8,96090887,65603917,65668854,+,mMyoEvo1.0.SUPER__8,95574598,64875305,64940000,64535,66288,15,65603712_65670000_64875305_64941148
mMyoAui1.0.SUPER__8,96090887,94398985,94409824,+,mMyoEvo1.0.SUPER__8,95574598,93862611,93898907,25928,36296,5,94380000_94409824_93862611_93898907
mMyoAui1.0.SUPER__8,96090887,16608688,16698867,+,mMyoEvo1.0.SUPER__8,95574598,16865000,16964712,83531,102484,6,16605640_16698952_16862272_16964756
mMyoAui1.0.SUPER__8,96090887,16440000,16480169,+,mMyoEvo1.0.SUPER__8,95574598,17123521,17170000,42178,51273,7,16440000_16485000_17123521_17174794
mMyoAui1.0.SUPER__8,96090887,1347958,2802739,+,mMyoEvo1.0.SUPER__8,95574598,1665000,3203048,1261348,1540892,6,1345256_2802792_1662209_3203101
mMyoAui1.0.SUPER__10,85605049,2820000,3282955,-,mMyoEvo1.0.SUPER__10,85569753,82225000,82708739,389186,490802,5,2820000_3290000_82217937_82708739
mMyoAui1.0.SUPER__10,85605049,29770353,30164212,-,mMyoEvo1.0.SUPER__10,85569753,55190623,55585000,362772,418688,7,29745544_30164232_55190623_55600188
mMyoAui1.0.SUPER__5,115173812,103706611,114177277,+,mMyoEvo1.0.SUPER__5,115719297,103210000,113795000,9409903,10588788,7,103705384_114180000_103208784_113797572
mMyoAui1.0.SUPER__10,85605049,39491528,40490440,-,mMyoEvo1.0.SUPER__10,85569753,44668933,45648650,888556,998912,8,39491528_40490440_44668933_45648650
mMyoAui1.0.SUPER__2,216233548,107082563,122125000,-,mMyoEvo1.0.SUPER__2,217004436,93965192,109300000,13325958,15335856,7,107081544_122125000_93965192_109301048
mMyoAui1.0.SUPER__11,84496841,82623536,83070000,-,mMyoEvo1.0.SUPER__11,84706695,1300205,1742758,400911,446464,8,82623536_83070000_1300205_1742758
