"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoEvo1.0.SUPER__1",230788764,879977,2275000,"+","mMyoVol1.0.SUPER__1",242898603,1225000,2638920,13663,1420154,13,"SUPER__1 95.3177","1225000 2638920 879977 2275000"
"mMyoEvo1.0.SUPER__1",230788764,2375000,2965000,"+","mMyoVol1.0.SUPER__1",242898603,2951170,3548160,5726,596990,13,"SUPER__1 95.3308","2951170 3548160 2375000 2965000"
"mMyoEvo1.0.SUPER__1",230788764,3225000,4475000,"+","mMyoVol1.0.SUPER__1",242898603,4046239,5305046,11994,1258807,14,"SUPER__1 95.5545","4046239 5305046 3225000 4475000"
"mMyoEvo1.0.SUPER__1",230788764,4590000,51940000,"+","mMyoVol1.0.SUPER__1",242898603,6012748,53370707,464054,47357959,15,"SUPER__1 97.0122","6012748 53370707 4590000 51940000"
"mMyoEvo1.0.SUPER__1",230788764,51950000,64467769,"+","mMyoVol1.0.SUPER__1",242898603,53530295,66040000,117854,12520000,15,"SUPER__1 96.9247","53530295 66040000 51950000 64467769"
"mMyoEvo1.0.SUPER__1",230788764,64515000,75815000,"+","mMyoVol1.0.SUPER__1",242898603,66087765,77458391,110143,11370626,15,"SUPER__1 97.0134","66087765 77458391 64515000 75815000"
"mMyoEvo1.0.SUPER__1",230788764,75954930,76147227,"+","mMyoVol1.0.SUPER__1",242898603,77465000,77640000,3011,315000,12,"SUPER__1 93.4271","77465000 77640000 75954930 76147227"
"mMyoEvo1.0.SUPER__1",230788764,76365987,79891062,"+","mMyoVol1.0.SUPER__1",242898603,77840000,81100000,35991,3670000,15,"SUPER__1 96.6889","77840000 81100000 76365987 79891062"
"mMyoEvo1.0.SUPER__1",230788764,76195000,76298294,"+","mMyoVol1.0.SUPER__1",242898603,77756280,77865000,1454,154965,11,"SUPER__1 91.1247","77756280 77865000 76195000 76298294"
"mMyoEvo1.0.SUPER__1",230788764,80087736,102358152,"+","mMyoVol1.0.SUPER__1",242898603,81155000,103230000,246022,25145000,15,"SUPER__1 96.9811","81155000 103230000 80087736 102358152"
"mMyoEvo1.0.SUPER__1",230788764,105090000,106170000,"+","mMyoVol1.0.SUPER__1",242898603,106130985,107177684,10477,1080000,15,"SUPER__1 96.5793","106130985 107177684 105090000 106170000"
"mMyoEvo1.0.SUPER__1",230788764,106180266,106610000,"+","mMyoVol1.0.SUPER__1",242898603,107270566,107699039,4160,430000,13,"SUPER__1 95.1966","107270566 107699039 106180266 106610000"
"mMyoEvo1.0.SUPER__1",230788764,106612091,106874747,"+","mMyoVol1.0.SUPER__1",242898603,107765000,108024686,2496,265000,12,"SUPER__1 94.2919","107765000 108024686 106612091 106874747"
"mMyoEvo1.0.SUPER__1",230788764,106947237,107154602,"+","mMyoVol1.0.SUPER__1",242898603,108030000,108245000,2122,216880,12,"SUPER__1 93.903","108030000 108245000 106947237 107154602"
"mMyoEvo1.0.SUPER__1",230788764,107230736,107405000,"+","mMyoVol1.0.SUPER__1",242898603,108265309,108478955,2063,213646,11,"SUPER__1 91.8925","108265309 108478955 107230736 107405000"
"mMyoEvo1.0.SUPER__1",230788764,107566337,108382777,"+","mMyoVol1.0.SUPER__1",242898603,109168750,109925000,8058,820000,14,"SUPER__1 96.2013","109168750 109925000 107566337 108382777"
"mMyoEvo1.0.SUPER__1",230788764,108385000,126715000,"+","mMyoVol1.0.SUPER__1",242898603,110040000,128411692,181315,18372582,15,"SUPER__1 96.7014","110040000 128411692 108385000 126715000"
"mMyoEvo1.0.SUPER__1",230788764,130220000,130435000,"-","mMyoVol1.0.SUPER__1",242898603,128413437,128634234,2165,220797,10,"SUPER__1 90.0391","128413437 128634234 130220000 130435000"
"mMyoEvo1.0.SUPER__1",230788764,127965000,129720000,"-","mMyoVol1.0.SUPER__1",242898603,137695857,139495611,17478,1799754,15,"SUPER__1 96.772","137695857 139495611 127965000 129720000"
"mMyoEvo1.0.SUPER__1",230788764,130574592,140090000,"+","mMyoVol1.0.SUPER__1",242898603,144200000,153641505,92736,9520000,15,"SUPER__1 96.7473","144200000 153641505 130574592 140090000"
"mMyoEvo1.0.SUPER__1",230788764,140010000,140634958,"+","mMyoVol1.0.SUPER__1",242898603,153733522,154350000,6124,625000,14,"SUPER__1 96.178","153733522 154350000 140010000 140634958"
"mMyoEvo1.0.SUPER__1",230788764,140745000,141148492,"+","mMyoVol1.0.SUPER__1",242898603,154801985,155225000,4122,423336,13,"SUPER__1 95.2388","154801985 155225000 140745000 141148492"
"mMyoEvo1.0.SUPER__4",126131752,123031488,126092737,"-","mMyoVol1.0.SUPER__4",121843818,25000,3025000,32651,3410000,15,"SUPER__4 96.89","25000 3025000 123031488 126092737"
"mMyoEvo1.0.SUPER__4",126131752,116321464,122120000,"-","mMyoVol1.0.SUPER__4",121843818,3310490,9045000,84629,8765000,16,"SUPER__4 97.3042","3310490 9045000 116321464 122120000"
"mMyoEvo1.0.SUPER__4",126131752,99645000,112395000,"-","mMyoVol1.0.SUPER__4",121843818,13010326,25607144,124823,12750000,15,"SUPER__4 97.1753","13010326 25607144 99645000 112395000"
"mMyoEvo1.0.SUPER__4",126131752,86718478,99598224,"-","mMyoVol1.0.SUPER__4",121843818,25655000,38460000,298162,30580000,16,"SUPER__4 97.2274","25655000 38460000 86718478 99598224"
