qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVel1.0.SUPER__1,234804448,158855706,158945000,-,mMyoAui1.0.SUPER__1,234041302,77336912,77419744,87153,121693,4,158830312_158945000_77336912_77458605
mMyoVel1.0.SUPER__1,234804448,128450273,128517952,-,mMyoAui1.0.SUPER__1,234041302,107970897,108035000,51533,67952,5,128450000_128517952_107970897_108035272
mMyoVel1.0.SUPER__1,234804448,128215903,128433464,-,mMyoAui1.0.SUPER__1,234041302,108145000,108366416,172598,222336,5,128215864_128434360_108144104_108366440
mMyoVel1.0.SUPER__1,234804448,127937099,128107124,-,mMyoAui1.0.SUPER__1,234041302,108450887,108633976,128547,192181,3,127926320_128107184_108450887_108643068
mMyoVel1.0.SUPER__1,234804448,155147966,155229399,-,mMyoAui1.0.SUPER__1,234041302,81350000,81440000,76536,103178,5,155140280_155235000_81344396_81447574
mMyoVel1.0.SUPER__2,216113371,133445000,133491559,-,mMyoAui1.0.SUPER__2,216233548,122165000,122208158,55046,65000,7,133445000_133510000_122145327_122208158
mMyoVel1.0.SUPER__2,216113371,133100000,133275000,+,mMyoAui1.0.SUPER__2,216233548,132350752,132538486,155844,187734,6,133100000_133275000_132350752_132538486
mMyoVel1.0.SUPER__1,234804448,128677456,129055000,-,mMyoAui1.0.SUPER__1,234041302,107378848,107775000,300971,396983,5,128676632_129055000_107378848_107775831
mMyoVel1.0.SUPER__2,216113371,106878340,107049616,-,mMyoAui1.0.SUPER__2,216233548,106360656,106530000,108011,173184,3,106876432_107049616_106360586_106531905
mMyoVel1.0.SUPER__1,234804448,231145640,231720000,+,mMyoAui1.0.SUPER__1,234041302,3520913,4109086,505821,588173,7,231145640_231720000_3520913_4109086
mMyoVel1.0.SUPER__2,216113371,159143488,159285000,+,mMyoAui1.0.SUPER__2,216233548,158660000,158784781,138692,260000,2,159025000_159285000_158569711_158784781
mMyoVel1.0.SUPER__1,234804448,234705000,234749872,-,mMyoAui1.0.SUPER__1,234041302,61793,95277,23211,44872,2,234705000_234749872_61793_95277
mMyoVel1.0.SUPER__2,216113371,106123117,106165000,+,mMyoAui1.0.SUPER__2,216233548,105575000,105628007,44852,90000,2,106075000_106165000_105542659_105628007
mMyoVel1.0.SUPER__2,216113371,656400,805067,-,mMyoAui1.0.SUPER__2,216233548,960000,1127584,108635,170529,3,656400_808208_957055_1127584
mMyoVel1.0.SUPER__2,216113371,106255640,106858008,+,mMyoAui1.0.SUPER__2,216233548,105630636,106266924,490659,636288,5,106255640_106858008_105630636_106266924
mMyoVel1.0.SUPER__2,216113371,4688,644744,-,mMyoAui1.0.SUPER__2,216233548,1323266,1955000,556453,644224,7,520_644744_1323266_1959278
mMyoVel1.0.SUPER__2,216113371,67760000,67794502,-,mMyoAui1.0.SUPER__2,216233548,67066086,67098251,30390,34616,8,67760000_67794616_67066086_67098251
mMyoVel1.0.SUPER__2,216113371,89141841,89205000,+,mMyoAui1.0.SUPER__2,216233548,88790000,88841876,56659,114744,2,89090256_89205000_88760507_88841876
mMyoVel1.0.SUPER__1,234804448,46079816,48204488,-,mMyoAui1.0.SUPER__1,234041302,185947011,188110000,1851650,2164303,6,46074056_48204488_185947011_188111314
mMyoVel1.0.SUPER__3,212800901,111810504,112111843,-,mMyoAui1.0.SUPER__3,215394694,101140000,101397801,194598,314368,3,111810504_112124872_101126572_101397801
mMyoVel1.0.SUPER__2,216113371,104048418,105688136,+,mMyoAui1.0.SUPER__2,216233548,103716152,105287625,1215043,1643136,4,104045000_105688136_103712932_105287625
mMyoVel1.0.SUPER__3,212800901,109405000,109582311,-,mMyoAui1.0.SUPER__3,215394694,103626592,103816736,133014,190562,4,109405000_109584744_103626174_103816736
mMyoVel1.0.SUPER__2,216113371,134210763,136269175,+,mMyoAui1.0.SUPER__2,216233548,133480256,135521600,1700916,2094080,5,134175128_136269208_133463801_135521616
mMyoVel1.0.SUPER__2,216113371,102585932,104040000,+,mMyoAui1.0.SUPER__2,216233548,102175640,103638847,1176655,1463628,5,102585000_104040000_102175219_103638847
mMyoVel1.0.SUPER__3,212800901,115625000,115925582,-,mMyoAui1.0.SUPER__3,215394694,97617685,97906051,205996,300776,3,115625000_115925776_97617685_97906051
mMyoVel1.0.SUPER__3,212800901,107630913,108060411,-,mMyoAui1.0.SUPER__3,215394694,105245160,105663336,764774,1032846,4,107630752_108580000_104630613_105663459
mMyoVel1.0.SUPER__3,212800901,110686272,111797056,-,mMyoAui1.0.SUPER__3,215394694,101480856,102506617,808619,1110784,4,110686272_111797056_101480856_102506617
mMyoVel1.0.SUPER__2,216113371,141220128,141584544,+,mMyoAui1.0.SUPER__2,216233548,140478428,140843401,300032,364973,5,141220128_141584544_140478428_140843401
mMyoVel1.0.SUPER__3,212800901,133581408,133692516,+,mMyoAui1.0.SUPER__3,215394694,79688699,79810000,98414,123868,6,133581408_133695000_79688699_79812567
mMyoVel1.0.SUPER__3,212800901,133700128,133944864,+,mMyoAui1.0.SUPER__3,215394694,79412896,79679093,217162,266197,6,133700128_133944864_79412896_79679093
mMyoVel1.0.SUPER__3,212800901,109594136,110574014,-,mMyoAui1.0.SUPER__3,215394694,102515352,103531198,739613,1015936,4,109594136_110574104_102515262_103531198
mMyoVel1.0.SUPER__3,212800901,112966755,113630000,-,mMyoAui1.0.SUPER__3,215394694,99742871,100439872,567294,698043,6,112965680_113630000_99742871_100440914
mMyoVel1.0.SUPER__3,212800901,142318493,142637242,+,mMyoAui1.0.SUPER__3,215394694,70750128,71044784,261581,323584,6,142315256_142638840_70747176_71046588
mMyoVel1.0.SUPER__3,212800901,212517066,212746928,-,mMyoAui1.0.SUPER__3,215394694,40000,244744,177146,234564,4,212515000_212749376_38001_272565
mMyoVel1.0.SUPER__3,212800901,144020498,144108138,+,mMyoAui1.0.SUPER__3,215394694,69190000,69268464,69146,88576,6,144020000_144108576_69189503_69269051
mMyoVel1.0.SUPER__3,212800901,143732640,144017237,-,mMyoAui1.0.SUPER__3,215394694,69275000,69582799,218403,308393,4,143732640_144017952_69274406_69582799
mMyoVel1.0.SUPER__2,216113371,100081311,102580000,+,mMyoAui1.0.SUPER__2,216233548,99666280,102123575,2001937,2498720,5,100081280_102580000_99666275_102123575
mMyoVel1.0.SUPER__3,212800901,8920571,8960000,-,mMyoAui1.0.SUPER__3,215394694,206468843,206508464,41258,58077,4,8903168_8960000_206468843_206526920
mMyoVel1.0.SUPER__3,212800901,142642131,143722739,-,mMyoAui1.0.SUPER__3,215394694,69653320,70744744,897596,1093522,6,142640000_143722832_69653320_70746842
mMyoVel1.0.SUPER__3,212800901,40555000,40664568,+,mMyoAui1.0.SUPER__3,215394694,174431418,174546765,99112,115347,7,40555000_40664568_174431418_174546765
mMyoVel1.0.SUPER__3,212800901,6665000,8760000,-,mMyoAui1.0.SUPER__3,215394694,206655464,208726875,1851697,2095000,8,6665000_8760000_206655464_208726875
mMyoVel1.0.SUPER__3,212800901,116256714,116823720,-,mMyoAui1.0.SUPER__3,215394694,96822647,97424744,473483,602992,5,116255784_116823720_96822647_97425639
mMyoVel1.0.SUPER__3,212800901,130180000,133231032,-,mMyoAui1.0.SUPER__3,215394694,80238698,83331071,2597257,3092373,6,130180000_133231032_80238698_83331071
mMyoVel1.0.SUPER__3,212800901,118621554,121987156,-,mMyoAui1.0.SUPER__3,215394694,91812112,94969360,2610397,3366912,5,118620656_121987568_91811496_94970257
mMyoVel1.0.SUPER__2,216113371,95745474,100080000,+,mMyoAui1.0.SUPER__2,216233548,95366152,99569871,3424379,4335000,5,95745000_100080000_95365697_99569871
mMyoVel1.0.SUPER__2,216113371,67984860,73190000,+,mMyoAui1.0.SUPER__2,216233548,67505248,72737537,4407295,5244293,6,67965000_73190000_67493244_72737537
mMyoVel1.0.SUPER__4,118339641,52525864,52559360,-,mMyoAui1.0.SUPER__4,125946359,67183772,67222659,31335,38887,7,52525824_52559360_67183772_67222659
mMyoVel1.0.SUPER__4,118339641,52476649,52517378,-,mMyoAui1.0.SUPER__4,125946359,67286525,67337809,34955,51284,4,52476480_52517440_67286525_67337809
mMyoVel1.0.SUPER__4,118339641,52297203,52457836,-,mMyoAui1.0.SUPER__4,125946359,67401440,67577952,122732,177961,4,52297184_52459360_67400055_67578016
mMyoVel1.0.SUPER__4,118339641,52260000,52295000,-,mMyoAui1.0.SUPER__4,125946359,67747808,67782935,29800,35127,6,52260000_52295000_67747808_67782935
