qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoLuc1.0.SUPER__1,244374582,240655058,242017009,-,mMyoVol1.0.SUPER__1,242898603,1225000,2610000,14972,1545000,14,SUPER__1 95.6464,1225000 2610000 240655058 242017009
mMyoLuc1.0.SUPER__1,244374582,239676811,240250000,+,mMyoVol1.0.SUPER__1,242898603,2950000,3548655,5881,625000,14,SUPER__1 95.5762,2950000 3548655 239676811 240250000
mMyoLuc1.0.SUPER__1,244374582,238202852,239434445,-,mMyoVol1.0.SUPER__1,242898603,4020000,5275000,12595,1298894,14,SUPER__1 95.8634,4020000 5275000 238202852 239434445
mMyoLuc1.0.SUPER__1,244374582,216024295,237715000,-,mMyoVol1.0.SUPER__1,242898603,6001102,28015000,214116,22054700,15,SUPER__1 97.1743,6001102 28015000 216024295 237715000
mMyoLuc1.0.SUPER__1,244374582,191268212,215972425,-,mMyoVol1.0.SUPER__1,242898603,28015000,53381365,245096,25377101,16,SUPER__1 97.3964,28015000 53381365 191268212 215972425
mMyoLuc1.0.SUPER__1,244374582,170170000,191260000,-,mMyoVol1.0.SUPER__1,242898603,53528519,75120452,212150,21591933,16,SUPER__1 97.2956,53528519 75120452 170170000 191260000
mMyoLuc1.0.SUPER__1,244374582,142779064,164215000,-,mMyoVol1.0.SUPER__1,242898603,81018780,103005000,215281,21988178,16,SUPER__1 97.2984,81018780 103005000 142779064 164215000
mMyoLuc1.0.SUPER__1,244374582,138046102,142535000,-,mMyoVol1.0.SUPER__1,242898603,103235000,107869630,45958,4650042,16,SUPER__1 97.4864,103235000 107869630 138046102 142535000
mMyoLuc1.0.SUPER__1,244374582,137798116,138043424,-,mMyoVol1.0.SUPER__1,242898603,107945000,108245000,2964,303403,13,SUPER__1 94.9227,107945000 108245000 137798116 138043424
mMyoLuc1.0.SUPER__1,244374582,133078950,136895000,-,mMyoVol1.0.SUPER__1,242898603,109168935,113060000,37854,3895175,16,SUPER__1 97.534,109168935 113060000 133078950 136895000
mMyoLuc1.0.SUPER__1,244374582,118350000,133074961,-,mMyoVol1.0.SUPER__1,242898603,113125000,128401448,150451,15276790,15,SUPER__1 96.9932,113125000 128401448 118350000 133074961
mMyoLuc1.0.SUPER__1,244374582,106225000,107923225,+,mMyoVol1.0.SUPER__1,242898603,137703270,139490000,17551,1790455,15,SUPER__1 96.93,137703270 139490000 106225000 107923225
mMyoLuc1.0.SUPER__1,244374582,89985000,99070000,-,mMyoVol1.0.SUPER__1,242898603,144199992,153543051,90966,9343059,15,SUPER__1 97.0804,144199992 153543051 89985000 99070000
mMyoLuc1.0.SUPER__1,244374582,89192004,89890000,+,mMyoVol1.0.SUPER__1,242898603,153715000,154380122,6845,705000,14,SUPER__1 96.1095,153715000 154380122 89192004 89890000
mMyoLuc1.0.SUPER__1,244374582,88769651,89175000,-,mMyoVol1.0.SUPER__1,242898603,154812878,155220000,4028,411533,13,SUPER__1 95.4468,154812878 155220000 88769651 89175000
mMyoLuc1.0.SUPER__1,244374582,66545312,75852325,-,mMyoVol1.0.SUPER__1,242898603,167175000,176620000,402899,42401837,15,SUPER__1 97.1762,167175000 176620000 66545312 75852325
mMyoLuc1.0.SUPER__1,244374582,30860270,45616116,-,mMyoVol1.0.SUPER__1,242898603,198085000,213320000,145982,15297339,15,SUPER__1 97.0302,198085000 213320000 30860270 45616116
mMyoLuc1.0.SUPER__1,244374582,1790000,30775000,-,mMyoVol1.0.SUPER__1,242898603,213321020,242894509,288962,29573489,15,SUPER__1 97.0474,213321020 242894509 1790000 30775000
mMyoLuc1.0.SUPER__4,121730464,119572099,121688569,-,mMyoVol1.0.SUPER__4,121843818,25000,2170000,31706,3280340,16,SUPER__4 97.2451,25000 2170000 119572099 121688569
mMyoLuc1.0.SUPER__4,121730464,114240315,117917799,-,mMyoVol1.0.SUPER__4,121843818,3310000,7075000,37489,3811531,16,SUPER__4 97.5185,3310000 7075000 114240315 117917799
mMyoLuc1.0.SUPER__4,121730464,109485000,112300000,-,mMyoVol1.0.SUPER__4,121843818,9098987,11978993,28244,2880006,16,SUPER__4 97.3852,9098987 11978993 109485000 112300000
