qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVol1.0.SUPER__1,242898603,144115392,144199699,-,mMyoLuc1.0.SUPER__1,244374582,99165000,99232155,58526,84608,4,144115392_144200000_99164676_99232155
mMyoVol1.0.SUPER__1,242898603,107945000,108245000,-,mMyoLuc1.0.SUPER__1,244374582,137798113,138043353,205930,300000,4,107945000_108245000_137798113_138043353
mMyoVol1.0.SUPER__1,242898603,2950128,3548266,+,mMyoLuc1.0.SUPER__1,244374582,239676777,240249512,532562,619872,7,2950128_3570000_239676777_240269561
mMyoVol1.0.SUPER__3,218117916,111781088,111863943,+,mMyoLuc1.0.SUPER__2,212563729,108720210,108807782,78439,87572,9,111781024_111863968_108720210_108807782
mMyoVol1.0.SUPER__3,218117916,150446250,150663461,+,mMyoLuc1.0.SUPER__2,212563729,146145128,146355000,233909,303744,5,150360128_150663872_146060074_146355411
mMyoVol1.0.SUPER__3,218117916,186720000,186809038,+,mMyoLuc1.0.SUPER__2,212563729,181465000,181518969,86087,100000,7,186720000_186820000_181424965_181518969
mMyoVol1.0.SUPER__3,218117916,58067986,58225000,+,mMyoLuc1.0.SUPER__2,212563729,56360512,56479216,106306,158464,4,58066536_58225000_56357543_56479216
mMyoVol1.0.SUPER__3,218117916,107414929,108114256,+,mMyoLuc1.0.SUPER__2,212563729,104465384,105183567,587095,721974,5,107411152_108114256_104461593_105183567
mMyoVol1.0.SUPER__3,218117916,75610248,75890000,+,mMyoLuc1.0.SUPER__2,212563729,73743684,74017692,229886,279752,6,75610248_75890000_73743684_74017692
mMyoVol1.0.SUPER__3,218117916,83856080,84561029,+,mMyoLuc1.0.SUPER__2,212563729,82030128,82685000,550714,710000,5,83855000_84565000_82029051_82686150
mMyoVol1.0.SUPER__1,242898603,4020344,5275000,-,mMyoLuc1.0.SUPER__1,244374582,238202915,239433725,1083783,1254656,7,4020344_5275000_238202915_239433725
mMyoVol1.0.SUPER__3,218117916,217016232,218039720,+,mMyoLuc1.0.SUPER__2,212563729,211448840,212488979,911832,1077138,6,216985000_218039720_211411841_212488979
mMyoVol1.0.SUPER__2,219449921,194835000,194897966,+,mMyoLuc1.0.SUPER__3,211792393,187806477,187871631,56618,65154,7,194835000_194899384_187806477_187871631
mMyoVol1.0.SUPER__2,219449921,209720000,210048394,+,mMyoLuc1.0.SUPER__3,211792393,202587699,202913632,332244,481920,4,209720000_210201920_202587699_202961574
mMyoVol1.0.SUPER__2,219449921,164042575,164624696,+,mMyoLuc1.0.SUPER__3,211792393,157525000,158161597,481850,642432,5,164036536_164624696_157519165_158161597
mMyoVol1.0.SUPER__1,242898603,1226832,2610000,-,mMyoLuc1.0.SUPER__1,244374582,240656428,242017009,1153145,1383168,6,1226832_2610000_240656428_242017009
mMyoVol1.0.SUPER__2,219449921,69327891,69387881,-,mMyoLuc1.0.SUPER__3,211792393,67410224,67470000,55792,61696,8,69327536_69389232_67408873_67470422
mMyoVol1.0.SUPER__2,219449921,40405640,41739885,+,mMyoLuc1.0.SUPER__3,211792393,39326331,40639808,24776124,28919360,7,40405640_69325000_39326331_67402136
mMyoVol1.0.SUPER__2,219449921,71442488,71782630,-,mMyoLuc1.0.SUPER__3,211792393,69515000,69829881,272348,367790,4,71442488_71794488_69462091_69829881
mMyoVol1.0.SUPER__1,242898603,109169568,113060000,-,mMyoLuc1.0.SUPER__1,244374582,133079048,136894393,3236589,3890432,6,109169568_113060000_133079048_136894393
mMyoVol1.0.SUPER__2,219449921,71795000,72233912,+,mMyoLuc1.0.SUPER__3,211792393,69850198,70277748,360077,438912,6,71795000_72233912_69850198_70277748
mMyoVol1.0.SUPER__2,219449921,84386970,84506149,+,mMyoLuc1.0.SUPER__3,211792393,81927432,82035000,138970,177145,5,84386920_84555000_81927374_82104519
mMyoVol1.0.SUPER__2,219449921,80101134,80370000,+,mMyoLuc1.0.SUPER__3,211792393,77825000,78095555,245152,270916,8,80100768_80370000_77824639_78095555
mMyoVol1.0.SUPER__2,219449921,105691888,106670000,+,mMyoLuc1.0.SUPER__3,211792393,102100581,103037793,763994,978208,5,105691792_106670000_102100581_103037793
mMyoVol1.0.SUPER__2,219449921,103320256,103540764,+,mMyoLuc1.0.SUPER__3,211792393,99835512,100050000,174244,222080,5,103320256_103542336_99835352_100051237
mMyoVol1.0.SUPER__2,219449921,102900000,103212758,+,mMyoLuc1.0.SUPER__3,211792393,99481384,99830000,276246,350850,5,102900000_103215000_99481384_99832234
mMyoVol1.0.SUPER__3,218117916,108173584,111708047,+,mMyoLuc1.0.SUPER__2,212563729,105190298,108711361,2879723,3534464,5,108173584_111708048_105190298_108711361
mMyoVol1.0.SUPER__2,219449921,100461717,100618081,+,mMyoLuc1.0.SUPER__3,211792393,97140000,97314336,116018,175451,3,100460896_100618208_97139071_97314522
mMyoVol1.0.SUPER__2,219449921,100620000,102495429,+,mMyoLuc1.0.SUPER__3,211792393,97366386,99184776,1573462,1875456,6,100620000_102495456_97366386_99184789
mMyoVol1.0.SUPER__2,219449921,80830000,84207470,+,mMyoLuc1.0.SUPER__3,211792393,78590674,81925000,2923348,3379456,7,80830000_84209456_78590674_81926979
mMyoVol1.0.SUPER__2,219449921,95782871,98418080,+,mMyoLuc1.0.SUPER__3,211792393,92730000,95284093,2193270,2638080,6,95780000_98418080_92727133_95284093
mMyoVol1.0.SUPER__2,219449921,93130768,95721968,+,mMyoLuc1.0.SUPER__3,211792393,90160000,92719616,9113122,10782720,6,84941024_95723744_82348486_92721230
mMyoVol1.0.SUPER__4,121843818,90555176,90984360,-,mMyoLuc1.0.SUPER__4,121730464,33865547,34284476,369565,429184,7,90555176_90984360_33865547_34284476
mMyoVol1.0.SUPER__4,121843818,84445788,85339720,+,mMyoLuc1.0.SUPER__4,121730464,49230896,50153739,698048,923629,4,84445000_85339720_49230110_50153739
mMyoVol1.0.SUPER__3,218117916,78546792,83165000,+,mMyoLuc1.0.SUPER__2,212563729,76615773,81091208,3902313,4618208,6,78546792_83165000_76615773_81091208
