qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoYum1.0.SUPER__1,240344003,132398257,132443920,-,mMyoCai1.0.SUPER__1,234393516,103320000,103365000,163754,206988,5,132360000_132560000_103200695_103407683
mMyoYum1.0.SUPER__1,240344003,3022207,3124320,+,mMyoCai1.0.SUPER__1,234393516,231577379,231683542,89732,106163,7,3022048_3124320_231577379_231683542
mMyoYum1.0.SUPER__1,240344003,8641109,8678154,-,mMyoCai1.0.SUPER__1,234393516,224981536,225017248,6726750,7567843,8,4373184_11878336_222709799_230277642
mMyoYum1.0.SUPER__1,240344003,80277440,80359704,-,mMyoCai1.0.SUPER__1,234393516,158450952,158524391,52467,82560,3,80277440_80360000_158450660_158524391
mMyoYum1.0.SUPER__1,240344003,127440998,127688678,+,mMyoCai1.0.SUPER__1,234393516,109305000,109534248,197572,248192,6,127440512_127688704_109304547_109534302
mMyoYum1.0.SUPER__1,240344003,84201706,84408896,-,mMyoCai1.0.SUPER__1,234393516,154600000,154784616,143874,219744,3,84200000_84419744_154589674_154786121
mMyoYum1.0.SUPER__1,240344003,111340697,111612795,-,mMyoCai1.0.SUPER__1,234393516,125852848,126106544,201154,272512,4,111340568_111613080_125852651_126106611
mMyoYum1.0.SUPER__3,215164148,146053606,146110000,+,mMyoCai1.0.SUPER__2,217612966,67665000,67716992,47062,58848,6,146051152_146110000_67662772_67716992
mMyoYum1.0.SUPER__3,215164148,173945640,174054475,+,mMyoCai1.0.SUPER__2,217612966,41242761,41354304,100497,111588,9,173945640_174054568_41242761_41354349
mMyoYum1.0.SUPER__3,215164148,206190192,206267822,-,mMyoCai1.0.SUPER__2,217612966,9135000,9208056,74162,105088,4,206190192_206295280_9114688_9208056
mMyoYum1.0.SUPER__1,240344003,106005000,106482439,-,mMyoCai1.0.SUPER__1,234393516,131057384,131499919,331573,478080,4,106005000_106483080_131054910_131499919
mMyoYum1.0.SUPER__3,215164148,213985488,214290000,-,mMyoCai1.0.SUPER__2,217612966,943978,1244589,242097,304512,5,213985488_214290000_943978_1244589
mMyoYum1.0.SUPER__1,240344003,112191056,113005030,-,mMyoCai1.0.SUPER__1,234393516,124015216,124878301,662612,867596,5,112191056_113009616_124010705_124878301
mMyoYum1.0.SUPER__120,79583,12383,45000,+,mMyoCai1.0.SUPER__2,217612966,67500384,67532839,31089,35000,8,10000_45000_67498011_67532839
mMyoYum1.0.SUPER__137,58935,183,58539,-,mMyoCai1.0.SUPER__2,217612966,886501,936975,39765,58368,4,183_58551_886501_936975
mMyoYum1.0.SUPER__3,215164148,41259,231412,-,mMyoCai1.0.SUPER__2,217612966,217340000,217574616,1677370,2118615,5,10000_2080000_215483151_217601766
mMyoYum1.0.SUPER__3,215164148,160477528,160695000,-,mMyoCai1.0.SUPER__2,217612966,54598603,54815104,187168,217472,7,160477528_160695000_54598603_54815104
mMyoYum1.0.SUPER__1,240344003,113030209,114254750,-,mMyoCai1.0.SUPER__1,234393516,122645968,123888464,3632451,4657308,5,113026104_117634104_119241803_123899111
mMyoYum1.0.SUPER__3,215164148,214300672,215120000,-,mMyoCai1.0.SUPER__2,217612966,63818,878164,721387,819328,7,214300672_215120000_63818_878164
mMyoYum1.0.SUPER__1,240344003,3135000,4224616,-,mMyoCai1.0.SUPER__1,234393516,230502643,231573877,923006,1089616,6,3135000_4224616_230502643_231573877
mMyoYum1.0.SUPER__3,215164148,98355763,98401593,-,mMyoCai1.0.SUPER__2,217612966,118495832,118534616,31813,48000,3,98355720_98403720_118489605_118534649
mMyoYum1.0.SUPER__3,215164148,96420832,97300000,-,mMyoCai1.0.SUPER__2,217612966,119601376,120539360,660165,940390,4,96420640_97300000_119599147_120539537
mMyoYum1.0.SUPER__3,215164148,101591968,101939862,-,mMyoCai1.0.SUPER__2,217612966,115297630,115658967,258797,361337,4,101591968_101939872_115297630_115658967
mMyoYum1.0.SUPER__3,215164148,101946602,102398751,-,mMyoCai1.0.SUPER__2,217612966,114745000,115209872,1536605,2240734,3,101946424_104112440_112969317_115210051
mMyoYum1.0.SUPER__3,215164148,104961072,105066741,-,mMyoCai1.0.SUPER__2,217612966,111761328,111865926,77726,105728,4,104961072_105066800_111761258_111865926
