qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoYum1.0.SUPER__1,240344003,135858444,135860000,-,mMyoOcc1.0.SUPER__1,232672419,100573430,100575000,59794,69504,8,135790496_135860000_100573430_100636552
mMyoYum1.0.SUPER__1,240344003,196500000,196888336,-,mMyoOcc1.0.SUPER__1,232672419,42758652,43131083,332416,388336,7,196500000_196888336_42758652_43131083
mMyoYum1.0.SUPER__1,240344003,3022224,3127149,-,mMyoOcc1.0.SUPER__1,232672419,227615688,227723611,97672,107958,9,3022224_3127184_227615653_227723611
mMyoYum1.0.SUPER__1,240344003,2016666,2055000,-,mMyoOcc1.0.SUPER__1,232672419,231746287,231784744,37899,39933,12,2015192_2055000_231746287_231786220
mMyoYum1.0.SUPER__1,240344003,17304207,17558419,-,mMyoOcc1.0.SUPER__1,232672419,220665000,220920000,18996510,20975000,8,11880000_32855000_205617178_226347314
mMyoYum1.0.SUPER__1,240344003,80280000,80334616,-,mMyoOcc1.0.SUPER__1,232672419,157206280,157257685,42199,54616,5,80280000_80334616_157206280_157257685
mMyoYum1.0.SUPER__1,240344003,74322,675000,-,mMyoOcc1.0.SUPER__1,232672419,228997343,229570000,522110,605000,7,70000_675000_228997343_229574147
mMyoYum1.0.SUPER__1,240344003,2115000,2346032,-,mMyoOcc1.0.SUPER__1,232672419,230723096,230951730,184570,231032,5,2115000_2346032_230723096_230951730
mMyoYum1.0.SUPER__1,240344003,84300000,84374616,-,mMyoOcc1.0.SUPER__1,232672419,153145493,153214774,52928,74616,4,84300000_84374616_153145493_153214774
mMyoYum1.0.SUPER__1,240344003,127442569,127687043,+,mMyoOcc1.0.SUPER__1,232672419,111270256,111480000,192077,248832,6,127440384_127689216_111268085_111482180
mMyoYum1.0.SUPER__2,217333615,139816984,139853180,-,mMyoOcc1.0.SUPER__2,212937769,136472368,136508240,30994,38016,5,139816984_139855000_136470547_136508240
mMyoYum1.0.SUPER__108,94119,56,93069,+,mMyoOcc1.0.SUPER__2,212937769,208350000,208435000,80483,94119,8,0_94119_208349945_208435097
mMyoYum1.0.SUPER__2,217333615,117145000,117425000,-,mMyoOcc1.0.SUPER__2,212937769,114250518,114526175,244991,280000,7,117145000_117425000_114250518_114526175
mMyoYum1.0.SUPER__1,240344003,112191023,113009935,-,mMyoOcc1.0.SUPER__1,232672419,125425216,126195264,699422,819072,7,112190928_113010000_125425151_126195359
mMyoYum1.0.SUPER__2,217333615,67211024,67365114,+,mMyoOcc1.0.SUPER__2,212937769,65890323,66046712,133765,156411,6,67211024_67365136_65890323_66046734
mMyoYum1.0.SUPER__1,240344003,3135000,4285358,+,mMyoOcc1.0.SUPER__1,232672419,227727371,228790000,993782,1210000,6,3135000_4345000_227727371_228832657
mMyoYum1.0.SUPER__2,217333615,106293165,106475000,+,mMyoOcc1.0.SUPER__2,212937769,103695824,103909619,152130,213795,4,106285208_106475000_103695824_103909619
mMyoYum1.0.SUPER__2,217333615,106541434,107044252,+,mMyoOcc1.0.SUPER__2,212937769,103920000,104399232,439805,504064,7,106540256_107044320_103918909_104399307
mMyoYum1.0.SUPER__2,217333615,107070735,107230000,-,mMyoOcc1.0.SUPER__2,212937769,104554697,104700000,127008,159872,6,107070128_107230000_104554697_104700603
mMyoYum1.0.SUPER__2,217333615,104912176,105516719,+,mMyoOcc1.0.SUPER__2,212937769,102771456,103304272,462961,604544,5,104912176_105516720_102771456_103304280
mMyoYum1.0.SUPER__3,215164148,173943657,174053308,+,mMyoOcc1.0.SUPER__3,212757328,40940000,41049184,105436,112000,11,173942432_174054432_40938774_41050297
mMyoYum1.0.SUPER__3,215164148,190676172,190786472,-,mMyoOcc1.0.SUPER__3,212757328,24350000,24459928,28466090,31979872,8,174055000_206034872_9242434_40940615
mMyoYum1.0.SUPER__2,217333615,160015256,162819230,+,mMyoOcc1.0.SUPER__2,212937769,156343618,159145000,2527494,2804744,8,160015256_162820000_156343618_159145779
mMyoYum1.0.SUPER__137,58935,5000,58850,-,mMyoOcc1.0.SUPER__3,212757328,855752,918505,32952,62806,2,5000_58935_855699_918505
mMyoYum1.0.SUPER__1,240344003,129135000,131335000,-,mMyoOcc1.0.SUPER__1,232672419,107782186,109897653,1801078,2200000,6,129135000_131335000_107782186_109897653
mMyoYum1.0.SUPER__3,215164148,214292840,215105000,-,mMyoOcc1.0.SUPER__3,212757328,51644,854126,721020,812160,8,214292840_215105000_51644_854126
mMyoYum1.0.SUPER__2,217333615,209741950,212812224,+,mMyoOcc1.0.SUPER__2,212937769,205320896,208348352,2738640,3071360,8,209740864_212812224_205319821_208348378
