qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoAui1.0.SUPER__1,234041302,231190000,234005000,-,mMyoCai1.0.SUPER__1,234393516,40112,2853759,27072,2815000,14,SUPER__1 96.1676,40112 2853759 231190000 234005000
mMyoAui1.0.SUPER__1,234041302,134425402,145017357,-,mMyoCai1.0.SUPER__1,234393516,89930000,100645000,107534,11004324,16,SUPER__1 97.2316,89930000 100645000 134425402 145017357
mMyoAui1.0.SUPER__1,234041302,128165000,128369965,+,mMyoCai1.0.SUPER__1,234393516,100626146,100835000,2770,285955,12,SUPER__1 93.9765,100626146 100835000 128165000 128369965
mMyoAui1.0.SUPER__1,234041302,132071355,133692629,-,mMyoCai1.0.SUPER__1,234393516,101210000,102870000,17513,1811991,16,SUPER__1 97.2367,101210000 102870000 132071355 133692629
mMyoAui1.0.SUPER__1,234041302,109975000,128165000,-,mMyoCai1.0.SUPER__1,234393516,105548557,123932002,177394,18383445,15,SUPER__1 97.0886,105548557 123932002 109975000 128165000
mMyoAui1.0.SUPER__1,234041302,109140000,109970000,-,mMyoCai1.0.SUPER__1,234393516,124083181,124889135,8170,830000,15,SUPER__1 97.0064,124083181 124889135 109140000 109970000
mMyoAui1.0.SUPER__1,234041302,107952192,108595000,-,mMyoCai1.0.SUPER__1,234393516,125701184,126300000,6384,645000,15,SUPER__1 96.5005,125701184 126300000 107952192 108595000
mMyoAui1.0.SUPER__1,234041302,107775721,107878898,-,mMyoCai1.0.SUPER__1,234393516,126305118,126395000,1033,105000,11,SUPER__1 92.6954,126305118 126395000 107775721 107878898
mMyoAui1.0.SUPER__1,234041302,102710000,107775000,-,mMyoCai1.0.SUPER__1,234393516,126459882,131512363,48777,5065000,16,SUPER__1 97.182,126459882 131512363 102710000 107775000
mMyoAui1.0.SUPER__1,234041302,81440000,102710000,-,mMyoCai1.0.SUPER__1,234393516,133122295,154595799,209929,21473504,16,SUPER__1 97.356,133122295 154595799 81440000 102710000
mMyoAui1.0.SUPER__1,234041302,81321523,81450000,-,mMyoCai1.0.SUPER__1,234393516,154687278,154810000,2217,226512,12,SUPER__1 92.9914,154687278 154810000 81321523 81450000
mMyoAui1.0.SUPER__1,234041302,77394949,80722254,-,mMyoCai1.0.SUPER__1,234393516,154900000,158170000,33328,3445000,15,SUPER__1 97.1115,154900000 158170000 77394949 80722254
mMyoAui1.0.SUPER__1,234041302,77135000,77380000,-,mMyoCai1.0.SUPER__1,234393516,158292419,158524313,2425,245000,12,SUPER__1 93.745,158292419 158524313 77135000 77380000
mMyoAui1.0.SUPER__1,234041302,11413552,76959936,-,mMyoCai1.0.SUPER__1,234393516,158860000,224965000,650275,66135951,16,SUPER__1 97.4723,158860000 224965000 11413552 76959936
mMyoAui1.0.SUPER__1,234041302,10140659,11195931,+,mMyoCai1.0.SUPER__1,234393516,224980000,226025000,11050,1130000,15,SUPER__1 96.5647,224980000 226025000 10140659 11195931
mMyoAui1.0.SUPER__1,234041302,5775850,10061158,-,mMyoCai1.0.SUPER__1,234393516,225990000,230279117,42157,4315000,15,SUPER__1 97.0425,225990000 230279117 5775850 10061158
mMyoAui1.0.SUPER__1,234041302,4290000,5503974,+,mMyoCai1.0.SUPER__1,234393516,230495325,231685000,12146,1260000,14,SUPER__1 95.8486,230495325 231685000 4290000 5503974
mMyoAui1.0.SUPER__1,234041302,3520000,4110000,+,mMyoCai1.0.SUPER__1,234393516,232254999,232839473,5717,590000,15,SUPER__1 96.5526,232254999 232839473 3520000 4110000
mMyoAui1.0.SUPER__1,234041302,2095881,3225000,-,mMyoCai1.0.SUPER__1,234393516,233259906,234393409,10622,1133503,14,SUPER__1 95.9816,233259906 234393409 2095881 3225000
mMyoAui1.0.SUPER__4,125946359,1686940,4807669,+,mMyoCai1.0.SUPER__4,126198552,20000,3180000,30156,3162184,16,SUPER__4 97.2646,20000 3180000 1686940 4807669
mMyoAui1.0.SUPER__4,125946359,20018,1625000,-,mMyoCai1.0.SUPER__4,126198552,3180493,4944193,17046,1763700,15,SUPER__4 97.1147,3180493 4944193 20018 1625000
mMyoAui1.0.SUPER__4,125946359,4815137,7835000,+,mMyoCai1.0.SUPER__4,126198552,4945000,7959222,29908,3020000,17,SUPER__4 97.7956,4945000 7959222 4815137 7835000
mMyoAui1.0.SUPER__4,125946359,13639162,13750000,-,mMyoCai1.0.SUPER__4,126198552,13831661,13930000,1265,130000,11,SUPER__4 92.1001,13831661 13930000 13639162 13750000
mMyoAui1.0.SUPER__4,125946359,20895723,41950000,+,mMyoCai1.0.SUPER__4,126198552,20965000,41808792,277728,28195000,16,SUPER__4 97.6621,20965000 41808792 20895723 41950000
mMyoAui1.0.SUPER__4,125946359,41985000,68374546,+,mMyoCai1.0.SUPER__4,126198552,41891668,68334890,253021,26443222,16,SUPER__4 97.4204,41891668 68334890 41985000 68374546
mMyoAui1.0.SUPER__4,125946359,68500000,69090000,+,mMyoCai1.0.SUPER__4,126198552,68468184,69086029,5747,617845,14,SUPER__4 96.0105,68468184 69086029 68500000 69090000
mMyoAui1.0.SUPER__4,125946359,69152521,69680000,+,mMyoCai1.0.SUPER__4,126198552,69095000,69655000,5448,562390,14,SUPER__4 95.9752,69095000 69655000 69152521 69680000
mMyoAui1.0.SUPER__4,125946359,69687133,70080000,+,mMyoCai1.0.SUPER__4,126198552,69725000,70099151,3829,395000,14,SUPER__4 95.8894,69725000 70099151 69687133 70080000
mMyoAui1.0.SUPER__4,125946359,70081648,70780000,+,mMyoCai1.0.SUPER__4,126198552,70155000,70774900,6832,700000,14,SUPER__4 96.2269,70155000 70774900 70081648 70780000
mMyoAui1.0.SUPER__4,125946359,70790000,71329088,+,mMyoCai1.0.SUPER__4,126198552,70896891,71395000,5279,540000,14,SUPER__4 95.7013,70896891 71395000 70790000 71329088
mMyoAui1.0.SUPER__4,125946359,71335000,72092030,+,mMyoCai1.0.SUPER__4,126198552,71683192,72530000,9581,989031,14,SUPER__4 95.8634,71683192 72530000 71335000 72092030
mMyoAui1.0.SUPER__4,125946359,72227214,72302586,-,mMyoCai1.0.SUPER__4,126198552,72675000,72750000,771,80000,10,SUPER__4 90.0123,72675000 72750000 72227214 72302586
mMyoAui1.0.SUPER__4,125946359,72317304,72665000,+,mMyoCai1.0.SUPER__4,126198552,72750000,73134604,3989,405901,14,SUPER__4 95.7572,72750000 73134604 72317304 72665000
mMyoAui1.0.SUPER__4,125946359,74162003,74610000,+,mMyoCai1.0.SUPER__4,126198552,74620834,75044157,4401,450000,14,SUPER__4 95.7737,74620834 75044157 74162003 74610000
mMyoAui1.0.SUPER__4,125946359,74710000,75210000,+,mMyoCai1.0.SUPER__4,126198552,75211680,75667087,4713,500000,15,SUPER__4 96.6471,75211680 75667087 74710000 75210000
mMyoAui1.0.SUPER__4,125946359,75380000,77611513,+,mMyoCai1.0.SUPER__4,126198552,75856081,78110000,22470,2270158,16,SUPER__4 97.6307,75856081 78110000 75380000 77611513
mMyoAui1.0.SUPER__4,125946359,77725565,80720000,+,mMyoCai1.0.SUPER__4,126198552,78225000,81149008,29275,3000000,17,SUPER__4 97.8426,78225000 81149008 77725565 80720000
mMyoAui1.0.SUPER__4,125946359,80731854,82345000,+,mMyoCai1.0.SUPER__4,126198552,81221730,82889941,16309,1668211,16,SUPER__4 97.7534,81221730 82889941 80731854 82345000
mMyoAui1.0.SUPER__4,125946359,82355000,82630000,+,mMyoCai1.0.SUPER__4,126198552,82950431,83241559,2744,291128,13,SUPER__4 95.1723,82950431 83241559 82355000 82630000
mMyoAui1.0.SUPER__4,125946359,82692945,84260000,+,mMyoCai1.0.SUPER__4,126198552,83290000,84797769,15288,1570000,15,SUPER__4 97.0123,83290000 84797769 82692945 84260000
mMyoAui1.0.SUPER__4,125946359,84262514,85608488,+,mMyoCai1.0.SUPER__4,126198552,84885000,86300000,13887,1417233,16,SUPER__4 97.3449,84885000 86300000 84262514 85608488
mMyoAui1.0.SUPER__4,125946359,89471798,98164241,+,mMyoCai1.0.SUPER__4,126198552,90190000,98995000,86653,8850032,15,SUPER__4 97.1541,90190000 98995000 89471798 98164241
mMyoAui1.0.SUPER__4,125946359,98215000,98601596,+,mMyoCai1.0.SUPER__4,126198552,99095674,99450000,3623,390000,14,SUPER__4 95.5404,99095674 99450000 98215000 98601596
mMyoAui1.0.SUPER__4,125946359,98615000,98680000,+,mMyoCai1.0.SUPER__4,126198552,99774243,99837031,630,65000,10,SUPER__4 89.4701,99774243 99837031 98615000 98680000
mMyoAui1.0.SUPER__4,125946359,98785000,98911962,+,mMyoCai1.0.SUPER__4,126198552,100020168,100125000,1298,135000,11,SUPER__4 91.9553,100020168 100125000 98785000 98911962
mMyoAui1.0.SUPER__4,125946359,100760000,100998749,+,mMyoCai1.0.SUPER__4,126198552,101919726,102145000,2322,240000,13,SUPER__4 95.185,101919726 102145000 100760000 100998749
mMyoAui1.0.SUPER__4,125946359,101005674,101149408,+,mMyoCai1.0.SUPER__4,126198552,102210000,102355000,1425,146869,12,SUPER__4 94.0923,102210000 102355000 101005674 101149408
mMyoAui1.0.SUPER__4,125946359,101380000,105770000,+,mMyoCai1.0.SUPER__4,126198552,102535296,106908403,43399,4390000,16,SUPER__4 97.472,102535296 106908403 101380000 105770000
mMyoAui1.0.SUPER__4,125946359,105770000,111547482,+,mMyoCai1.0.SUPER__4,126198552,107046313,112760000,56462,5815000,16,SUPER__4 97.5343,107046313 112760000 105770000 111547482
mMyoAui1.0.SUPER__4,125946359,111818638,116370000,+,mMyoCai1.0.SUPER__4,126198552,112960000,117410624,45633,4655000,16,SUPER__4 97.7209,112960000 117410624 111818638 116370000
mMyoAui1.0.SUPER__4,125946359,116566031,120574647,+,mMyoCai1.0.SUPER__4,126198552,117540000,121615000,40892,4140000,17,SUPER__4 97.768,117540000 121615000 116566031 120574647
mMyoAui1.0.SUPER__5,115173812,33430,9779712,+,mMyoCai1.0.SUPER__5,115105322,30000,9754910,94282,9755000,15,SUPER__5 96.8369,30000 9754910 33430 9779712
mMyoAui1.0.SUPER__5,115173812,9782611,40239814,+,mMyoCai1.0.SUPER__5,115105322,9820000,40538700,292561,30719207,16,SUPER__5 97.443,9820000 40538700 9782611 40239814
mMyoAui1.0.SUPER__5,115173812,40245261,40324406,-,mMyoCai1.0.SUPER__5,115105322,40540000,40623238,818,83688,11,SUPER__5 91.7155,40540000 40623238 40245261 40324406
mMyoAui1.0.SUPER__5,115173812,40337515,60033878,+,mMyoCai1.0.SUPER__5,115105322,40625000,60415000,192592,19791979,16,SUPER__5 97.468,40625000 60415000 40337515 60033878
mMyoAui1.0.SUPER__5,115173812,60060000,60223940,-,mMyoCai1.0.SUPER__5,115105322,60416142,60586687,1662,170545,12,SUPER__5 94.2664,60416142 60586687 60060000 60223940
mMyoAui1.0.SUPER__5,115173812,60245303,68420709,+,mMyoCai1.0.SUPER__5,115105322,60590000,68770000,80565,8184179,16,SUPER__5 97.502,60590000 68770000 60245303 68420709
mMyoAui1.0.SUPER__5,115173812,68753060,80621827,+,mMyoCai1.0.SUPER__5,115105322,68770000,80715000,118689,12048110,16,SUPER__5 97.4515,68770000 80715000 68753060 80621827
mMyoAui1.0.SUPER__5,115173812,81020533,84249140,+,mMyoCai1.0.SUPER__5,115105322,80725000,83990000,32011,3288772,16,SUPER__5 97.4355,80725000 83990000 81020533 84249140
