"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoAui1.0.SUPER__1",234041302,203029678,233986551,"-","mMyoOcc1.0.SUPER__1",232672419,70000,30795000,410718,42965000,15,"SUPER__1 96.7411","70000 30795000 203029678 233986551"
"mMyoAui1.0.SUPER__1",234041302,190530000,190934635,"-","mMyoOcc1.0.SUPER__1",232672419,42735000,43123112,3999,405000,13,"SUPER__1 95.2266","42735000 43123112 190530000 190934635"
"mMyoAui1.0.SUPER__1",234041302,188111368,190565000,"-","mMyoOcc1.0.SUPER__1",232672419,43151072,45655000,24402,2504800,15,"SUPER__1 96.7621","43151072 45655000 188111368 190565000"
"mMyoAui1.0.SUPER__1",234041302,175950000,188110000,"-","mMyoOcc1.0.SUPER__1",232672419,45741134,57729868,117974,12160000,15,"SUPER__1 96.9269","45741134 57729868 175950000 188110000"
"mMyoAui1.0.SUPER__1",234041302,166862746,175990000,"-","mMyoOcc1.0.SUPER__1",232672419,57766634,66780000,89491,9130000,15,"SUPER__1 96.6478","57766634 66780000 166862746 175990000"
"mMyoAui1.0.SUPER__1",234041302,146060562,166829043,"-","mMyoOcc1.0.SUPER__1",232672419,66745000,87390000,202556,20905000,15,"SUPER__1 96.877","66745000 87390000 146060562 166829043"
"mMyoAui1.0.SUPER__1",234041302,145071407,145322682,"-","mMyoOcc1.0.SUPER__1",232672419,87615000,87860000,3121,320000,12,"SUPER__1 93.7025","87615000 87860000 145071407 145322682"
"mMyoAui1.0.SUPER__1",234041302,134458254,143915000,"-","mMyoOcc1.0.SUPER__1",232672419,89580624,98855000,91669,9470000,15,"SUPER__1 96.7778","89580624 98855000 134458254 143915000"
"mMyoAui1.0.SUPER__1",234041302,132070000,133757758,"-","mMyoOcc1.0.SUPER__1",232672419,101485000,103156494,16894,1720000,15,"SUPER__1 96.6251","101485000 103156494 132070000 133757758"
"mMyoAui1.0.SUPER__1",234041302,125875264,128140000,"-","mMyoOcc1.0.SUPER__1",232672419,107792447,109898767,22053,2265000,14,"SUPER__1 96.1231","107792447 109898767 125875264 128140000"
"mMyoAui1.0.SUPER__1",234041302,109975000,125807967,"-","mMyoOcc1.0.SUPER__1",232672419,109900000,125363010,154898,15835000,15,"SUPER__1 96.7455","109900000 125363010 109975000 125807967"
"mMyoAui1.0.SUPER__1",234041302,109155000,109970000,"-","mMyoOcc1.0.SUPER__1",232672419,125502059,126192901,7989,815000,14,"SUPER__1 96.2526","125502059 126192901 109155000 109970000"
"mMyoAui1.0.SUPER__1",234041302,108525000,108648859,"-","mMyoOcc1.0.SUPER__1",232672419,126615000,126743151,1233,129045,11,"SUPER__1 91.7951","126615000 126743151 108525000 108648859"
"mMyoAui1.0.SUPER__1",234041302,108145000,108440000,"-","mMyoOcc1.0.SUPER__1",232672419,126839976,127116899,2867,295000,13,"SUPER__1 94.4077","126839976 127116899 108145000 108440000"
"mMyoAui1.0.SUPER__1",234041302,107775504,107894436,"-","mMyoOcc1.0.SUPER__1",232672419,127190000,127320000,1285,131826,11,"SUPER__1 92.1131","127190000 127320000 107775504 107894436"
"mMyoAui1.0.SUPER__1",234041302,107378628,107775000,"-","mMyoOcc1.0.SUPER__1",232672419,127384134,127800000,4119,417740,13,"SUPER__1 95.2336","127384134 127800000 107378628 107775000"
"mMyoAui1.0.SUPER__1",234041302,81396334,107374613,"-","mMyoOcc1.0.SUPER__1",232672419,127910000,153210000,254334,25980000,15,"SUPER__1 96.9748","127910000 153210000 81396334 107374613"
