qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoCai1.0.SUPER__1,234393516,233242884,234393409,-,mMyoVol1.0.SUPER__1,242898603,1486375,2630000,10755,1158516,13,SUPER__1 94.8324,1486375 2630000 233242884 234393409
mMyoCai1.0.SUPER__1,234393516,232253625,232835687,+,mMyoVol1.0.SUPER__1,242898603,2950000,3545000,5781,602695,13,SUPER__1 95.1549,2950000 3545000 232253625 232835687
mMyoCai1.0.SUPER__1,234393516,230498746,231684813,+,mMyoVol1.0.SUPER__1,242898603,4045000,5274946,11819,1251188,13,SUPER__1 95.158,4045000 5274946 230498746 231684813
mMyoCai1.0.SUPER__1,234393516,182740389,230280000,-,mMyoVol1.0.SUPER__1,242898603,6011376,53370000,460398,47540000,15,SUPER__1 96.6624,6011376 53370000 182740389 230280000
mMyoCai1.0.SUPER__1,234393516,158858914,182739062,-,mMyoVol1.0.SUPER__1,242898603,53527973,77330000,232937,23885000,15,SUPER__1 96.6748,53527973 77330000 158858914 182739062
mMyoCai1.0.SUPER__1,234393516,154915311,158143875,-,mMyoVol1.0.SUPER__1,242898603,77810000,80919685,35991,3650000,15,SUPER__1 96.461,77810000 80919685 154915311 158143875
mMyoCai1.0.SUPER__1,234393516,133124720,154652552,-,mMyoVol1.0.SUPER__1,242898603,81090000,102560000,210231,21570000,15,SUPER__1 96.5893,81090000 102560000 133124720 154652552
mMyoCai1.0.SUPER__1,234393516,126936444,130920000,-,mMyoVol1.0.SUPER__1,242898603,103270958,107180000,38302,3985000,15,SUPER__1 96.5725,103270958 107180000 126936444 130920000
mMyoCai1.0.SUPER__1,234393516,126305224,126935000,-,mMyoVol1.0.SUPER__1,242898603,107271381,107848933,6125,630000,13,SUPER__1 95.2467,107271381 107848933 126305224 126935000
mMyoCai1.0.SUPER__1,234393516,125895266,126130000,-,mMyoVol1.0.SUPER__1,242898603,108031084,108245000,2142,235000,12,SUPER__1 93.8359,108031084 108245000 125895266 126130000
mMyoCai1.0.SUPER__1,234393516,125691836,125839348,-,mMyoVol1.0.SUPER__1,242898603,108265067,108397849,1395,150000,11,SUPER__1 91.3638,108265067 108397849 125691836 125839348
mMyoCai1.0.SUPER__1,234393516,123870183,124896215,-,mMyoVol1.0.SUPER__1,242898603,109137410,110097844,10111,1035000,14,SUPER__1 95.8886,109137410 110097844 123870183 124896215
mMyoCai1.0.SUPER__1,234393516,101120000,102890000,+,mMyoVol1.0.SUPER__1,242898603,137705439,139492327,17348,1786888,14,SUPER__1 96.4133,137705439 139492327 101120000 102890000
mMyoCai1.0.SUPER__1,234393516,91195000,100489334,-,mMyoVol1.0.SUPER__1,242898603,144200000,153508895,90376,9309381,14,SUPER__1 96.4495,144200000 153508895 91195000 100489334
mMyoCai1.0.SUPER__1,234393516,90500000,91055000,-,mMyoVol1.0.SUPER__1,242898603,153811455,154350222,5391,555000,14,SUPER__1 95.6385,153811455 154350222 90500000 91055000
mMyoCai1.0.SUPER__1,234393516,89957562,90488079,-,mMyoVol1.0.SUPER__1,242898603,154705000,155225000,5365,545000,13,SUPER__1 94.9833,154705000 155225000 89957562 90488079
mMyoCai1.0.SUPER__1,234393516,48740000,88948402,-,mMyoVol1.0.SUPER__1,242898603,155680000,195858332,384439,40220000,15,SUPER__1 96.4968,155680000 195858332 48740000 88948402
mMyoCai1.0.SUPER__2,217612966,176100000,177439754,-,mMyoVol1.0.SUPER__2,219449921,40410194,41737179,13105,1340000,14,SUPER__2 96.3817,40410194 41737179 176100000 177439754
