"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoAui1.0.SUPER__1",234041302,203030229,231202159,"-","mMyoVel1.0.SUPER__1",234804448,2885000,31020000,298561,30988248,14,"SUPER__1 96.3568","2885000 31020000 203030229 231202159"
"mMyoAui1.0.SUPER__1",234041302,191080000,203030000,"-","mMyoVel1.0.SUPER__1",234804448,31110408,42914352,115451,11950000,14,"SUPER__1 96.3369","31110408 42914352 191080000 203030000"
"mMyoAui1.0.SUPER__1",234041302,188113541,191080000,"-","mMyoVel1.0.SUPER__1",234804448,43044427,45995000,28536,2970000,14,"SUPER__1 96.2487","43044427 45995000 188113541 191080000"
"mMyoAui1.0.SUPER__1",234041302,185946793,188110000,"-","mMyoVel1.0.SUPER__1",234804448,46079381,48205000,20530,2165000,14,"SUPER__1 96.3153","46079381 48205000 185946793 188110000"
"mMyoAui1.0.SUPER__1",234041302,166903994,185945000,"-","mMyoVel1.0.SUPER__1",234804448,48267983,67435000,181535,19176840,15,"SUPER__1 96.4615","48267983 67435000 166903994 185945000"
"mMyoAui1.0.SUPER__1",234041302,143920000,144980000,"-","mMyoVel1.0.SUPER__1",234804448,88296094,89375959,10453,1079865,14,"SUPER__1 96.0956","88296094 89375959 143920000 144980000"
"mMyoAui1.0.SUPER__1",234041302,134320000,143820000,"-","mMyoVel1.0.SUPER__1",234804448,91194789,100700476,92663,9505687,14,"SUPER__1 96.4207","91194789 100700476 134320000 143820000"
"mMyoAui1.0.SUPER__1",234041302,129588922,129725000,"+","mMyoVel1.0.SUPER__1",234804448,102405000,102520000,1310,145000,10,"SUPER__1 90.428","102405000 102520000 129588922 129725000"
"mMyoAui1.0.SUPER__1",234041302,132071318,133793974,"-","mMyoVel1.0.SUPER__1",234804448,102575000,104349778,17598,1819862,14,"SUPER__1 96.1833","102575000 104349778 132071318 133793974"
"mMyoAui1.0.SUPER__1",234041302,110000000,127825000,"-","mMyoVel1.0.SUPER__1",234804448,108945177,126777483,174179,17832306,14,"SUPER__1 96.3222","108945177 126777483 110000000 127825000"
"mMyoAui1.0.SUPER__1",234041302,109173182,109970000,"-","mMyoVel1.0.SUPER__1",234804448,126857792,127545000,7585,815000,14,"SUPER__1 95.9611","126857792 127545000 109173182 109970000"
"mMyoAui1.0.SUPER__1",234041302,108450000,108635000,"-","mMyoVel1.0.SUPER__1",234804448,127937101,128107382,1760,185000,11,"SUPER__1 92.3005","127937101 128107382 108450000 108635000"
"mMyoAui1.0.SUPER__1",234041302,108145000,108366882,"-","mMyoVel1.0.SUPER__1",234804448,128215000,128433368,2167,225000,12,"SUPER__1 93.3055","128215000 128433368 108145000 108366882"
"mMyoAui1.0.SUPER__1",234041302,107378825,107775000,"-","mMyoVel1.0.SUPER__1",234804448,128677394,129055000,3934,400000,13,"SUPER__1 94.9504","128677394 129055000 107378825 107775000"
"mMyoAui1.0.SUPER__1",234041302,78505000,80825339,"-","mMyoVel1.0.SUPER__1",234804448,155310000,157539259,22542,2325000,14,"SUPER__1 96.349","155310000 157539259 78505000 80825339"
"mMyoAui1.0.SUPER__1",234041302,77336844,77420000,"-","mMyoVel1.0.SUPER__1",234804448,158855726,158945000,871,91562,11,"SUPER__1 91.2927","158855726 158945000 77336844 77420000"
"mMyoAui1.0.SUPER__1",234041302,77123027,77335000,"-","mMyoVel1.0.SUPER__1",234804448,158998757,159230000,2307,240780,11,"SUPER__1 92.7094","158998757 159230000 77123027 77335000"
"mMyoAui1.0.SUPER__1",234041302,28195000,76969578,"-","mMyoVel1.0.SUPER__1",234804448,159235000,207807714,476044,48895000,15,"SUPER__1 96.7184","159235000 207807714 28195000 76969578"
"mMyoAui1.0.SUPER__1",234041302,10182466,11150450,"+","mMyoVel1.0.SUPER__1",234804448,224355000,225290000,9841,1020000,14,"SUPER__1 95.8609","224355000 225290000 10182466 11150450"
"mMyoAui1.0.SUPER__1",234041302,5775059,10061330,"-","mMyoVel1.0.SUPER__1",234804448,225295000,229590000,42121,4390794,14,"SUPER__1 96.1326","225295000 229590000 5775059 10061330"
"mMyoAui1.0.SUPER__1",234041302,4282442,5502408,"+","mMyoVel1.0.SUPER__1",234804448,229660000,230885000,12836,1342812,13,"SUPER__1 94.9519","229660000 230885000 4282442 5502408"
"mMyoAui1.0.SUPER__1",234041302,3520837,4109083,"+","mMyoVel1.0.SUPER__1",234804448,231145000,231720000,5733,605000,13,"SUPER__1 94.9192","231145000 231720000 3520837 4109083"
"mMyoAui1.0.SUPER__1",234041302,1880000,3241418,"-","mMyoVel1.0.SUPER__1",234804448,231730000,233103824,13307,1382650,13,"SUPER__1 94.8579","231730000 233103824 1880000 3241418"
"mMyoAui1.0.SUPER__2",216233548,1323054,1955000,"-","mMyoVel1.0.SUPER__2",216113371,4314,645000,6048,643679,12,"SUPER__2 93.8959","4314 645000 1323054 1955000"
