qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoCai1.0.SUPER__1,234393516,170126694,170165637,+,mMyoEvo1.0.SUPER__1,230788764,64470000,64510000,39887,43776,9,170125256_170168136_64468621_64512397
mMyoCai1.0.SUPER__1,234393516,102882021,102961688,-,mMyoEvo1.0.SUPER__1,230788764,127775000,127849872,74098,89872,6,102880000_102969872_127766455_127852084
mMyoCai1.0.SUPER__1,234393516,126306828,126394360,-,mMyoEvo1.0.SUPER__1,230788764,106612099,106704872,80889,93861,7,126305784_126394360_106612099_106705960
mMyoCai1.0.SUPER__2,217612966,67845000,67926473,+,mMyoEvo1.0.SUPER__3,215147351,146898329,146975000,136918,155000,8,67845000_68000000_146898329_147046059
mMyoCai1.0.SUPER__1,234393516,104794874,104809872,-,mMyoEvo1.0.SUPER__1,230788764,127354735,127370000,116388,167144,4,104650256_104809872_127354735_127521879
mMyoCai1.0.SUPER__2,217612966,59441536,59640000,+,mMyoEvo1.0.SUPER__3,215147351,156134754,156348451,172762,213697,6,59441536_59640000_156134754_156348451
mMyoCai1.0.SUPER__2,217612966,166999237,167034552,+,mMyoEvo1.0.SUPER__3,215147351,50630000,50669076,31906,39812,6,166998456_167034552_50629264_50669076
mMyoCai1.0.SUPER__2,217612966,147223833,147303456,+,mMyoEvo1.0.SUPER__3,215147351,70400256,70479441,66966,79744,6,147223712_147303456_70400256_70479441
mMyoCai1.0.SUPER__1,234393516,125693211,126298464,-,mMyoEvo1.0.SUPER__1,230788764,106771689,107371800,488303,605312,5,125693152_126298464_106771689_107371892
mMyoCai1.0.SUPER__1,234393516,124085000,124864872,-,mMyoEvo1.0.SUPER__1,230788764,107581112,108383582,666815,802470,6,124085000_124864872_107581112_108383582
mMyoCai1.0.SUPER__2,217612966,133850840,133952440,-,mMyoEvo1.0.SUPER__3,215147351,83965288,84074355,93660,109067,7,133850808_133952440_83965288_84074355
mMyoCai1.0.SUPER__2,217612966,137245392,137724396,-,mMyoEvo1.0.SUPER__3,215147351,80025000,80512516,405181,490751,6,137245392_137730000_80021765_80512516
mMyoCai1.0.SUPER__1,234393516,230490000,231692495,+,mMyoEvo1.0.SUPER__1,230788764,3214579,4450000,1097058,1247202,8,230490000_231705000_3214579_4461781
mMyoCai1.0.SUPER__3,217383104,67100000,67146476,-,mMyoEvo1.0.SUPER__2,217004436,148850000,148894737,43939,55000,5,67100000_67155000_148842611_148894737
mMyoCai1.0.SUPER__3,217383104,99750000,99777875,+,mMyoEvo1.0.SUPER__2,217004436,116692655,116720000,28057,29440,12,99750000_99779440_116692655_116721453
mMyoCai1.0.SUPER__2,217612966,20542,1252045,-,mMyoEvo1.0.SUPER__3,215147351,213880456,215125000,1096414,1249126,7,20000_1255008_213876424_215125550
mMyoCai1.0.SUPER__2,217612966,112941047,114362970,-,mMyoEvo1.0.SUPER__3,215147351,102855000,104298720,1203830,1444276,6,112941000_114363464_102854509_104298785
mMyoCai1.0.SUPER__3,217383104,172350303,172405000,-,mMyoEvo1.0.SUPER__2,217004436,45024818,45080000,62973,89689,4,172325000_172405000_45024818_45114507
mMyoCai1.0.SUPER__3,217383104,172410312,172643146,-,mMyoEvo1.0.SUPER__2,217004436,44645392,44882436,201255,272512,4,172410312_172682824_44621854_44882436
mMyoCai1.0.SUPER__3,217383104,31350000,32813464,-,mMyoEvo1.0.SUPER__2,217004436,183869499,185350073,1300575,1480574,7,31350000_32813464_183869499_185350073
mMyoCai1.0.SUPER__2,217612966,137784347,139413403,-,mMyoEvo1.0.SUPER__3,215147351,78345632,80019488,1415709,1676982,6,137780000_139413592_78345420_80022402
mMyoCai1.0.SUPER__3,217383104,159531400,159819847,-,mMyoEvo1.0.SUPER__2,217004436,57620144,57859629,222168,311808,5,159531400_159843208_57600428_57859629
mMyoCai1.0.SUPER__3,217383104,159467623,159500000,+,mMyoEvo1.0.SUPER__2,217004436,57892432,57910922,31374,70729,2,159440000_159500000_57840193_57910922
mMyoCai1.0.SUPER__3,217383104,106332256,107020000,-,mMyoEvo1.0.SUPER__2,217004436,110284006,110962251,588952,687744,6,106332256_107020000_110284006_110962251
mMyoCai1.0.SUPER__4,126198552,68343266,68400000,+,mMyoEvo1.0.SUPER__4,126131752,57311024,57363593,50641,58720,8,68341280_68400000_57309263_57363593
mMyoCai1.0.SUPER__2,217612966,7120811,9143921,-,mMyoEvo1.0.SUPER__3,215147351,206313864,208401416,1925439,2236304,7,6990000_9226304_206286098_208468308
