"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoEvo1.0.SUPER__1",230788764,199415183,227876875,"-","mMyoVel1.0.SUPER__1",234804448,2825000,31020000,278929,28500000,15,"SUPER__1 96.6138","2825000 31020000 199415183 227876875"
"mMyoEvo1.0.SUPER__1",230788764,187516413,199414947,"-","mMyoVel1.0.SUPER__1",234804448,31111273,42855000,113994,12005000,15,"SUPER__1 96.5258","31111273 42855000 187516413 199414947"
"mMyoEvo1.0.SUPER__1",230788764,162908700,184305000,"-","mMyoVel1.0.SUPER__1",234804448,46076362,67435000,209541,21450000,15,"SUPER__1 96.6545","46076362 67435000 162908700 184305000"
"mMyoEvo1.0.SUPER__1",230788764,158261592,162826998,"-","mMyoVel1.0.SUPER__1",234804448,67435000,71900000,44017,4570000,15,"SUPER__1 96.6909","67435000 71900000 158261592 162826998"
"mMyoEvo1.0.SUPER__1",230788764,142149851,158260000,"-","mMyoVel1.0.SUPER__1",234804448,71951736,88045000,155263,16135000,15,"SUPER__1 96.6389","71951736 88045000 142149851 158260000"
"mMyoEvo1.0.SUPER__1",230788764,140085000,141226635,"-","mMyoVel1.0.SUPER__1",234804448,88200000,89369618,12293,1269523,14,"SUPER__1 96.2515","88200000 89369618 140085000 141226635"
"mMyoEvo1.0.SUPER__1",230788764,130415000,139975000,"-","mMyoVel1.0.SUPER__1",234804448,91193624,100578236,92445,9560000,15,"SUPER__1 96.5737","91193624 100578236 130415000 139975000"
"mMyoEvo1.0.SUPER__1",230788764,127985000,129720597,"-","mMyoVel1.0.SUPER__1",234804448,102595000,104346738,19181,1965000,14,"SUPER__1 96.3189","102595000 104346738 127985000 129720597"
"mMyoEvo1.0.SUPER__1",230788764,126420110,126712916,"+","mMyoVel1.0.SUPER__1",234804448,108325000,108570000,2930,300000,12,"SUPER__1 93.8811","108325000 108570000 126420110 126712916"
"mMyoEvo1.0.SUPER__1",230788764,108420000,126415000,"-","mMyoVel1.0.SUPER__1",234804448,108945790,126775467,177082,17995000,15,"SUPER__1 96.4887","108945790 126775467 108420000 126415000"
"mMyoEvo1.0.SUPER__1",230788764,107565142,108383149,"-","mMyoVel1.0.SUPER__1",234804448,126860000,127563367,7981,820000,14,"SUPER__1 95.9127","126860000 127563367 107565142 108383149"
"mMyoEvo1.0.SUPER__1",230788764,107231000,107395000,"-","mMyoVel1.0.SUPER__1",234804448,127936410,128107704,1654,171294,11,"SUPER__1 91.6043","127936410 128107704 107231000 107395000"
"mMyoEvo1.0.SUPER__1",230788764,106967460,107159097,"-","mMyoVel1.0.SUPER__1",234804448,128215583,128450000,2213,235824,12,"SUPER__1 93.1385","128215583 128450000 106967460 107159097"
"mMyoEvo1.0.SUPER__1",230788764,106611537,106679780,"-","mMyoVel1.0.SUPER__1",234804448,128525000,128599957,1030,110000,10,"SUPER__1 89.3043","128525000 128599957 106611537 106679780"
"mMyoEvo1.0.SUPER__1",230788764,106182462,106610000,"-","mMyoVel1.0.SUPER__1",234804448,128678563,129055000,4136,430000,13,"SUPER__1 95.2373","128678563 129055000 106182462 106610000"
"mMyoEvo1.0.SUPER__1",230788764,105090000,106170000,"-","mMyoVel1.0.SUPER__1",234804448,129150224,130187190,10563,1080000,14,"SUPER__1 96.3247","129150224 130187190 105090000 106170000"
"mMyoEvo1.0.SUPER__1",230788764,102640000,105087679,"-","mMyoVel1.0.SUPER__1",234804448,130245000,132751596,24416,2508986,15,"SUPER__1 96.8349","130245000 132751596 102640000 105087679"
"mMyoEvo1.0.SUPER__1",230788764,96215617,102330000,"-","mMyoVel1.0.SUPER__1",234804448,133031890,138965000,219140,22385000,15,"SUPER__1 96.7449","133031890 138965000 96215617 102330000"
"mMyoEvo1.0.SUPER__1",230788764,77366300,79799164,"-","mMyoVel1.0.SUPER__1",234804448,155310000,157590000,23695,2435000,15,"SUPER__1 96.5697","155310000 157590000 77366300 79799164"
"mMyoEvo1.0.SUPER__1",230788764,76344770,77410000,"-","mMyoVel1.0.SUPER__1",234804448,157603168,158615000,10521,1080000,14,"SUPER__1 95.9689","157603168 158615000 76344770 77410000"
"mMyoEvo1.0.SUPER__1",230788764,76220000,76302462,"-","mMyoVel1.0.SUPER__1",234804448,158570000,158651776,970,100980,10,"SUPER__1 89.1912","158570000 158651776 76220000 76302462"
"mMyoEvo1.0.SUPER__1",230788764,75962644,76110000,"-","mMyoVel1.0.SUPER__1",234804448,158998125,159130000,2580,270000,11,"SUPER__1 92.8414","158998125 159130000 75962644 76110000"
"mMyoEvo1.0.SUPER__1",230788764,64515000,75810000,"-","mMyoVel1.0.SUPER__1",234804448,159149772,170412597,108428,11295000,15,"SUPER__1 96.8178","159149772 170412597 64515000 75810000"
"mMyoEvo1.0.SUPER__1",230788764,4586915,64466888,"-","mMyoVel1.0.SUPER__1",234804448,170460000,229590000,568469,59985000,15,"SUPER__1 96.8375","170460000 229590000 4586915 64466888"
"mMyoEvo1.0.SUPER__1",230788764,3212421,4445000,"+","mMyoVel1.0.SUPER__1",234804448,229660000,230889115,12773,1355000,13,"SUPER__1 95.2133","229660000 230889115 3212421 4445000"
"mMyoEvo1.0.SUPER__1",230788764,2375000,2974060,"+","mMyoVel1.0.SUPER__1",234804448,231144339,231730000,6416,655000,13,"SUPER__1 95.1451","231144339 231730000 2375000 2974060"
"mMyoEvo1.0.SUPER__1",230788764,875294,2275000,"-","mMyoVel1.0.SUPER__1",234804448,231740000,233108569,13204,1400000,13,"SUPER__1 95.0448","231740000 233108569 875294 2275000"
"mMyoEvo1.0.SUPER__2",217004436,215040000,215667463,"+","mMyoVel1.0.SUPER__2",216113371,4360,630000,7006,725692,12,"SUPER__2 94.3175","4360 630000 215040000 215667463"
"mMyoEvo1.0.SUPER__2",217004436,215885000,216955000,"-","mMyoVel1.0.SUPER__2",216113371,858479,1916681,9839,1070000,13,"SUPER__2 95.3187","858479 1916681 215885000 216955000"
"mMyoEvo1.0.SUPER__2",217004436,185428222,197004689,"-","mMyoVel1.0.SUPER__2",216113371,20570000,32040000,289584,29930000,15,"SUPER__2 96.7078","20570000 32040000 185428222 197004689"
"mMyoEvo1.0.SUPER__2",217004436,149601354,183770000,"-","mMyoVel1.0.SUPER__2",216113371,34041134,67725000,335402,34215000,15,"SUPER__2 96.8754","34041134 67725000 149601354 183770000"
"mMyoEvo1.0.SUPER__2",217004436,127720000,148937040,"-","mMyoVel1.0.SUPER__2",216113371,68025000,89065276,207432,21220000,15,"SUPER__2 96.7609","68025000 89065276 127720000 148937040"
"mMyoEvo1.0.SUPER__2",217004436,116736304,121089607,"-","mMyoVel1.0.SUPER__2",216113371,95745269,100064886,42793,4355000,14,"SUPER__2 96.4073","95745269 100064886 116736304 121089607"
"mMyoEvo1.0.SUPER__2",217004436,114127060,116675000,"-","mMyoVel1.0.SUPER__2",216113371,100123145,102580000,25073,2550000,15,"SUPER__2 96.8024","100123145 102580000 114127060 116675000"
"mMyoEvo1.0.SUPER__2",217004436,112640903,114075000,"-","mMyoVel1.0.SUPER__2",216113371,102585000,104040000,14289,1459922,15,"SUPER__2 96.6409","102585000 104040000 112640903 114075000"
"mMyoEvo1.0.SUPER__2",217004436,111916537,112559831,"-","mMyoVel1.0.SUPER__2",216113371,104045000,104722833,6615,677978,14,"SUPER__2 96.2994","104045000 104722833 111916537 112559831"
"mMyoEvo1.0.SUPER__2",217004436,111120000,111915000,"-","mMyoVel1.0.SUPER__2",216113371,104814094,105679847,8305,865753,14,"SUPER__2 95.5565","104814094 105679847 111120000 111915000"
"mMyoEvo1.0.SUPER__2",217004436,110225977,111013514,"-","mMyoVel1.0.SUPER__2",216113371,106120538,106863238,7656,790000,14,"SUPER__2 95.7177","106120538 106863238 110225977 111013514"
"mMyoEvo1.0.SUPER__2",217004436,104795587,109897112,"-","mMyoVel1.0.SUPER__2",216113371,107050000,112193325,49820,5146276,15,"SUPER__2 96.5586","107050000 112193325 104795587 109897112"
"mMyoEvo1.0.SUPER__2",217004436,83851630,104785000,"-","mMyoVel1.0.SUPER__2",216113371,112307037,133095000,205037,20975000,15,"SUPER__2 96.4645","112307037 133095000 83851630 104785000"
