qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVel1.0.SUPER__1,234804448,158515000,158633338,+,mMyoOcc1.0.SUPER__1,232672419,156606670,156720000,93907,119296,5,158515000_158634296_156606670_156720957
mMyoVel1.0.SUPER__1,234804448,97609139,97640311,+,mMyoOcc1.0.SUPER__1,232672419,96020816,96050000,8256386,9395000,7,91150000_100545000_89600122_98848881
mMyoVel1.0.SUPER__1,234804448,108324852,108559616,-,mMyoOcc1.0.SUPER__1,232672419,107793727,108040000,212992,248809,7,108322304_108559616_107793727_108042536
mMyoVel1.0.SUPER__1,234804448,104383984,104454751,+,mMyoOcc1.0.SUPER__1,232672419,103261920,103334079,52788,76133,3,104380000_104454751_103257946_103334079
mMyoVel1.0.SUPER__1,234804448,101501174,101530000,-,mMyoOcc1.0.SUPER__1,232672419,105339364,105369872,87494,98323,8,101435000_101530000_105339364_105437687
mMyoVel1.0.SUPER__1,234804448,127926361,128210000,+,mMyoOcc1.0.SUPER__1,232672419,126620896,126838068,191799,283664,4,127926336_128210000_126620871_126838068
mMyoVel1.0.SUPER__1,234804448,158984524,159209248,+,mMyoOcc1.0.SUPER__1,232672419,157047048,157257113,139280,228992,3,158980256_159209248_157044563_157257113
mMyoVel1.0.SUPER__2,216113371,158861598,158984872,+,mMyoOcc1.0.SUPER__2,212937769,155875000,155994330,113751,124160,10,158860712_158984872_155874180_155994330
mMyoVel1.0.SUPER__2,216113371,139260000,139301471,-,mMyoOcc1.0.SUPER__2,212937769,136472368,136505877,29005,44104,4,139260000_139304104_136469878_136505877
mMyoVel1.0.SUPER__1,234804448,126788663,127563232,+,mMyoOcc1.0.SUPER__1,232672419,125430384,126195201,694176,782080,7,126781152_127563232_125423010_126195201
mMyoVel1.0.SUPER__2,216113371,116845000,117105000,-,mMyoOcc1.0.SUPER__2,212937769,114250192,114503635,224689,260000,7,116845000_117105000_114250172_114503635
mMyoVel1.0.SUPER__2,216113371,134140692,134182700,-,mMyoOcc1.0.SUPER__2,212937769,130577632,130620000,38285,53054,4,134131904_134184128_130576208_130629262
mMyoVel1.0.SUPER__2,216113371,32070000,32153558,+,mMyoOcc1.0.SUPER__2,212937769,31042073,31055000,1266104,1444608,7,32070000_33514608_31042073_32434586
mMyoVel1.0.SUPER__1,234804448,128216157,129221776,+,mMyoOcc1.0.SUPER__1,232672419,126922944,127983936,855623,1062420,5,128216024_129225000_126922856_127985276
mMyoVel1.0.SUPER__2,216113371,67600896,67757812,+,mMyoOcc1.0.SUPER__2,212937769,65890144,66045000,140949,158720,8,67600896_67759616_65890144_66046785
mMyoVel1.0.SUPER__2,216113371,106096564,106302488,+,mMyoOcc1.0.SUPER__2,212937769,103703576,103910000,167776,206575,5,106096488_106302568_103703500_103910075
mMyoVel1.0.SUPER__2,216113371,106358575,106861961,+,mMyoOcc1.0.SUPER__2,212937769,103920000,104399360,442702,504576,8,106357432_106862008_103918909_104399402
mMyoVel1.0.SUPER__2,216113371,105071152,105658120,+,mMyoOcc1.0.SUPER__2,212937769,102771456,103304272,466432,587008,6,105071152_105658160_102771456_103304278
mMyoVel1.0.SUPER__2,216113371,106877723,107049616,-,mMyoOcc1.0.SUPER__2,212937769,104553247,104700000,130276,173184,5,106876432_107049616_104553247_104701242
mMyoVel1.0.SUPER__2,216113371,0,648591,-,mMyoOcc1.0.SUPER__2,212937769,1119856,1749672,655238,808208,6,0_808208_984005_1749672
mMyoVel1.0.SUPER__3,212800901,116036536,116695000,+,mMyoOcc1.0.SUPER__3,212757328,116684301,117342066,568819,658464,6,116036536_116695000_116684301_117342066
mMyoVel1.0.SUPER__3,212800901,142315000,142604744,-,mMyoOcc1.0.SUPER__3,212757328,142898667,143173734,249539,289744,7,142315000_142604744_142898667_143173734
mMyoVel1.0.SUPER__3,212800901,92150384,92244848,+,mMyoOcc1.0.SUPER__3,212757328,93064937,93153999,77015,94464,6,92150384_92244848_93064937_93153999
mMyoVel1.0.SUPER__1,234804448,108945044,110839460,+,mMyoOcc1.0.SUPER__1,232672419,108042944,109897920,1568467,1894528,6,108945000_110839528_108042900_109897987
mMyoVel1.0.SUPER__2,216113371,159285000,162074934,+,mMyoOcc1.0.SUPER__2,212937769,156343664,159145000,2521570,2801402,8,159285000_162075000_156343664_159145066
mMyoVel1.0.SUPER__3,212800901,40556226,40665000,-,mMyoOcc1.0.SUPER__3,212757328,40942543,41049232,101839,110000,10,40555000_40665000_40942543_41050310
mMyoVel1.0.SUPER__1,234804448,231130000,233102403,+,mMyoOcc1.0.SUPER__1,232672419,228984230,230944528,1702291,2013215,6,231130000_233109392_228984230_230997445
mMyoVel1.0.SUPER__3,212800901,66530340,66599697,+,mMyoOcc1.0.SUPER__3,212757328,66670000,66765000,85995,114595,6,66510000_66600000_66650628_66765223
mMyoVel1.0.SUPER__3,212800901,109595000,112220280,+,mMyoOcc1.0.SUPER__3,212757328,110871977,113278386,2054819,2625280,5,109595000_112220280_110871977_113278386
mMyoVel1.0.SUPER__1,234804448,40287,2864901,+,mMyoOcc1.0.SUPER__1,232672419,90128,2904592,27809619,30988800,8,40256_31029056_90097_30805147
mMyoVel1.0.SUPER__4,118339641,52525896,52560000,+,mMyoOcc1.0.SUPER__4,122401111,57610438,57649454,31852,39016,7,52525896_52560000_57610438_57649454
mMyoVel1.0.SUPER__4,118339641,52297176,52458955,+,mMyoOcc1.0.SUPER__4,122401111,57271792,57442270,129201,170488,5,52297176_52458968_57271782_57442270
mMyoVel1.0.SUPER__4,118339641,52484206,52517426,+,mMyoOcc1.0.SUPER__4,122401111,57500000,57533792,25835,36301,4,52482560_52517632_57498202_57534503
mMyoVel1.0.SUPER__4,118339641,52175075,52254826,+,mMyoOcc1.0.SUPER__4,122401111,56781024,56881248,69387,100435,4,52175000_52254872_56780956_56881391
mMyoVel1.0.SUPER__3,212800901,112930248,116021634,+,mMyoOcc1.0.SUPER__3,212757328,113625607,116630000,2546617,3093760,6,112930248_116024008_113625607_116632415
mMyoVel1.0.SUPER__4,118339641,52151280,52173411,+,mMyoOcc1.0.SUPER__4,122401111,56682178,56705000,19175,24105,5,52151280_52174704_56682178_56706283
mMyoVel1.0.SUPER__4,118339641,52258456,52295000,+,mMyoOcc1.0.SUPER__4,122401111,57058325,57093162,28687,36544,5,52258456_52295000_57058325_57093162
mMyoVel1.0.SUPER__4,118339641,51381462,51520000,+,mMyoOcc1.0.SUPER__4,122401111,55460501,55601646,102881,141145,4,51381408_51520000_55460501_55601646
mMyoVel1.0.SUPER__4,118339641,51320384,51379651,+,mMyoOcc1.0.SUPER__4,122401111,55311600,55375000,56775,63752,9,51320384_51380000_55311600_55375352
mMyoVel1.0.SUPER__4,118339641,51522193,51718048,+,mMyoOcc1.0.SUPER__4,122401111,55676280,55887351,148721,211287,4,51522176_51718144_55676177_55887464
mMyoVel1.0.SUPER__4,118339641,97966270,98003229,-,mMyoOcc1.0.SUPER__4,122401111,102470312,102505000,30474,39488,5,97965000_98004488_102469644_102506270
mMyoVel1.0.SUPER__4,118339641,51720896,52110000,+,mMyoOcc1.0.SUPER__4,122401111,56058461,56444253,292657,389104,4,51720896_52110000_56058461_56444253
mMyoVel1.0.SUPER__4,118339641,105100000,105150000,-,mMyoOcc1.0.SUPER__4,122401111,109015734,109058101,34850,50000,4,105100000_105150000_109015734_109058101
mMyoVel1.0.SUPER__4,118339641,110710479,110800000,-,mMyoOcc1.0.SUPER__4,122401111,114785547,114875000,84089,90000,10,110710000_110800000_114785547_114875477
mMyoVel1.0.SUPER__3,212800901,53720384,56066837,+,mMyoOcc1.0.SUPER__3,212757328,53977055,56309376,5151062,6001129,6,53720384_59715000_53977055_59978184
mMyoVel1.0.SUPER__4,118339641,62870128,66100000,+,mMyoOcc1.0.SUPER__4,122401111,68182610,71234737,2705221,3229872,6,62870128_66100000_68182610_71234737
mMyoVel1.0.SUPER__4,118339641,49925000,49970000,-,mMyoOcc1.0.SUPER__4,122401111,109697132,109754705,43011,57573,6,49925000_49970000_109697132_109754705
mMyoVel1.0.SUPER__4,118339641,21260000,21650158,+,mMyoOcc1.0.SUPER__4,122401111,24896843,25257096,321202,392832,6,21260000_21652832_24896843_25259841
mMyoVel1.0.SUPER__2,216113371,34039874,43360000,+,mMyoOcc1.0.SUPER__2,212937769,32565640,41836253,8508410,9324744,9,34035256_43360000_32561295_41836253
mMyoVel1.0.SUPER__4,118339641,28781008,28935000,+,mMyoOcc1.0.SUPER__4,122401111,31980000,32129033,126080,154616,6,28780384_28935000_31979489_32129033
mMyoVel1.0.SUPER__4,118339641,29022081,30225000,+,mMyoOcc1.0.SUPER__4,122401111,32130512,33264032,956727,1202952,5,29022048_30225000_32130461_33264032
mMyoVel1.0.SUPER__4,118339641,38357432,38394040,+,mMyoOcc1.0.SUPER__4,122401111,47056883,47098008,29478,41220,4,38357432_38394040_47056883_47098103
mMyoVel1.0.SUPER__4,118339641,49861917,49908309,+,mMyoOcc1.0.SUPER__4,122401111,53863035,53905000,41138,47360,8,49861792_49909152_53863035_53905816
mMyoVel1.0.SUPER__4,118339641,49736136,49853400,+,mMyoOcc1.0.SUPER__4,122401111,53715000,53809169,76074,118272,4,49735128_49853400_53714170_53809169
mMyoVel1.0.SUPER__4,118339641,49580000,49696373,+,mMyoOcc1.0.SUPER__4,122401111,53577861,53675000,85108,117888,5,49580000_49697888_53577861_53676521
mMyoVel1.0.SUPER__4,118339641,49530645,49575835,+,mMyoOcc1.0.SUPER__4,122401111,53325179,53370000,37377,46720,5,49530512_49577232_53325179_53371511
mMyoVel1.0.SUPER__4,118339641,49182304,49290000,+,mMyoOcc1.0.SUPER__4,122401111,52765137,52874517,88310,109380,5,49182304_49290000_52765137_52874517
mMyoVel1.0.SUPER__4,118339641,49345000,49528775,+,mMyoOcc1.0.SUPER__4,122401111,52878804,53089272,162049,210564,5,49345000_49528808_52878804_53089368
mMyoVel1.0.SUPER__4,118339641,48710000,49125000,+,mMyoOcc1.0.SUPER__4,122401111,52367151,52763296,351901,415000,7,48710000_49125000_52367151_52763296
mMyoVel1.0.SUPER__1,234804448,129280000,138958300,+,mMyoOcc1.0.SUPER__1,232672419,127988262,137399400,8340359,9678336,7,129280000_138958336_127988262_137399445
mMyoVel1.0.SUPER__4,118339641,40195000,40949278,-,mMyoOcc1.0.SUPER__4,122401111,44540752,45324704,585947,784036,4,40195000_40949360_44540668_45324704
mMyoVel1.0.SUPER__4,118339641,25812048,28745000,+,mMyoOcc1.0.SUPER__4,122401111,29154414,31929839,2383087,2932952,6,25812048_28745000_29154414_31929839
mMyoVel1.0.SUPER__4,118339641,47427309,48481695,+,mMyoOcc1.0.SUPER__4,122401111,49915000,50889208,814261,1056640,5,47425128_48481768_49912800_50889238
mMyoVel1.0.SUPER__4,118339641,39180000,40114872,-,mMyoOcc1.0.SUPER__4,122401111,45346159,46323664,682155,977505,4,39180000_40114872_45346159_46323664
mMyoVel1.0.SUPER__6,110944935,85165000,85355000,+,mMyoOcc1.0.SUPER__6,109102458,24071010,24279492,153002,208482,4,85165000_85355000_24071010_24279492
mMyoVel1.0.SUPER__6,110944935,86377205,86538180,-,mMyoOcc1.0.SUPER__6,109102458,22860000,23015000,139474,189557,4,86350304_86539360_22858846_23048403
mMyoVel1.0.SUPER__6,110944935,89026872,89147261,+,mMyoOcc1.0.SUPER__6,109102458,20466792,20580000,106992,198976,3,88951024_89150000_20438914_20582759
mMyoVel1.0.SUPER__6,110944935,89385880,89501772,-,mMyoOcc1.0.SUPER__6,109102458,20270000,20387914,662435,866048,5,89385880_90251928_19646868_20387914
mMyoVel1.0.SUPER__5,113646647,99474128,101247102,-,mMyoOcc1.0.SUPER__5,111950362,11410000,13215000,1585570,1826824,7,99471496_101284744_11390787_13217611
mMyoVel1.0.SUPER__6,110944935,105813188,106025000,-,mMyoOcc1.0.SUPER__6,109102458,5081269,5299375,185209,218106,6,105813032_106025000_5081269_5299375
mMyoVel1.0.SUPER__4,118339641,35900888,38344545,-,mMyoOcc1.0.SUPER__4,122401111,47135000,49715000,1842705,2609971,4,35885232_38347696_47127143_49737114
mMyoVel1.0.SUPER__6,110944935,106210199,106260000,-,mMyoOcc1.0.SUPER__6,109102458,386485,435000,39648,50000,5,106210000_106260000_386485_435199
mMyoVel1.0.SUPER__4,118339641,2688,6556909,+,mMyoOcc1.0.SUPER__4,122401111,3784249,10330000,19312729,21177088,8,2688_21179776_3784249_24884555
mMyoVel1.0.SUPER__6,110944935,81380000,81404677,-,mMyoOcc1.0.SUPER__6,109102458,27840000,27864632,42312,45000,11,81380000_81425000_27820496_27864632
mMyoVel1.0.SUPER__7,98831194,95693591,95937384,+,mMyoOcc1.0.SUPER__7,98960009,94056632,94343007,182839,320186,3,95693544_95937384_94022821_94343007
mMyoVel1.0.SUPER__7,98831194,98365000,98598848,-,mMyoOcc1.0.SUPER__7,98960009,96772929,97021100,191493,248171,5,98365000_98598848_96772929_97021100
mMyoVel1.0.SUPER__5,113646647,4500046,9137616,+,mMyoOcc1.0.SUPER__5,111950362,102901536,107469728,4179882,4640000,8,4500000_9140000_102901496_107471958
mMyoVel1.0.SUPER__7,98831194,94372886,94419798,+,mMyoOcc1.0.SUPER__7,98960009,93405000,93450000,41811,62573,3,94361024_94420000_93387598_93450171
