qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoLuc1.0.SUPER__1,244374582,244281408,244325000,+,mMyoVel1.0.SUPER__1,234804448,234705542,234757771,33519,52229,3,244281408_244325000_234705542_234757771
mMyoLuc1.0.SUPER__1,244374582,166537209,166632105,+,mMyoVel1.0.SUPER__1,234804448,157600000,157685000,82672,119040,4,166515000_166634040_157571144_157687059
mMyoLuc1.0.SUPER__1,244374582,118330461,118609744,-,mMyoVel1.0.SUPER__1,234804448,108322838,108574616,229030,279744,6,118330000_118609744_108322838_108575075
mMyoLuc1.0.SUPER__1,244374582,137450000,137720000,+,mMyoVel1.0.SUPER__1,234804448,127908689,128209599,214819,300910,4,137450000_137720000_127908689_128209599
mMyoLuc1.0.SUPER__1,244374582,239678530,240248983,+,mMyoVel1.0.SUPER__1,234804448,231145128,231720000,516357,578751,8,239675256_240249464_231141710_231720461
mMyoLuc1.0.SUPER__1,244374582,42620000,42674656,+,mMyoVel1.0.SUPER__1,234804448,42930815,42971636,30569,54656,3,42620000_42674656_42930815_42971636
mMyoLuc1.0.SUPER__1,244374582,136135256,136895192,+,mMyoVel1.0.SUPER__1,234804448,126785209,127563268,683104,778059,7,136135256_136895192_126785209_127563268
mMyoLuc1.0.SUPER__2,212563729,107920000,108067968,+,mMyoVel1.0.SUPER__2,216113371,106876918,107049720,129840,172831,5,107920000_108067968_106876918_107049749
mMyoLuc1.0.SUPER__2,212563729,146432543,146603332,-,mMyoVel1.0.SUPER__2,216113371,67601075,67765000,130145,173056,4,146430280_146603336_67601075_67767247
mMyoLuc1.0.SUPER__2,212563729,43931073,44046301,-,mMyoVel1.0.SUPER__2,216113371,171505000,171605000,117038,179072,3,43925928_44105000_171438771_171609876
mMyoLuc1.0.SUPER__2,212563729,146327328,146418848,-,mMyoVel1.0.SUPER__2,216113371,67963428,68058080,76482,94672,5,146327328_146418848_67963428_68058100
mMyoLuc1.0.SUPER__2,212563729,108225695,108711288,-,mMyoVel1.0.SUPER__2,216113371,106357446,106861928,441628,504511,7,108225656_108711288_106357446_106861957
mMyoLuc1.0.SUPER__2,212563729,108720210,108932651,-,mMyoVel1.0.SUPER__2,216113371,106096616,106302463,174987,289792,3,108720208_109010000_106094277_106302463
mMyoLuc1.0.SUPER__3,211792393,100715896,100745000,+,mMyoVel1.0.SUPER__3,212800901,110793974,110824780,27272,30806,8,100715896_100745000_110793974_110824780
mMyoLuc1.0.SUPER__3,211792393,67411152,67468751,+,mMyoVel1.0.SUPER__3,212800901,144652023,144709775,53343,59000,8,67411152_67470000_144652023_144711023
mMyoLuc1.0.SUPER__3,211792393,69513582,69829966,+,mMyoVel1.0.SUPER__3,212800901,142315128,142632056,275080,368208,5,69461792_69830000_142304323_142632090
mMyoLuc1.0.SUPER__3,211792393,78147457,78408814,-,mMyoVel1.0.SUPER__3,212800901,133700000,133944616,479571,589440,6,77820560_78410000_133698828_134266331
mMyoLuc1.0.SUPER__1,244374582,240655957,242015000,+,mMyoVel1.0.SUPER__1,234804448,231750000,233104316,1158989,1360000,6,240655000_242015000_231748814_233104316
