qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoAui1.0.SUPER__1,234041302,145385000,145428787,+,mMyoVol1.0.SUPER__1,242898603,155672771,155720000,36806,47416,5,145385000_145429032_155672771_155720187
mMyoAui1.0.SUPER__1,234041302,128160000,128250000,-,mMyoVol1.0.SUPER__1,242898603,142235830,142321596,76542,90000,7,128160000_128250000_142235830_142321596
mMyoAui1.0.SUPER__1,234041302,108125384,108362382,+,mMyoVol1.0.SUPER__1,242898603,108032550,108244784,171844,237696,4,108125384_108363080_108032550_108245999
mMyoAui1.0.SUPER__2,216233548,67274758,67309752,-,mMyoVol1.0.SUPER__3,218117916,150671728,150705520,40013,73592,3,67240000_67313592_150659388_150717334
mMyoAui1.0.SUPER__1,234041302,108450893,108649168,+,mMyoVol1.0.SUPER__1,242898603,108267816,108482184,132330,214374,3,108450768_108649168_108267810_108482184
mMyoAui1.0.SUPER__1,234041302,107376963,107775000,+,mMyoVol1.0.SUPER__1,242898603,107270615,107699968,304325,429353,4,107376920_107775000_107270615_107699968
mMyoAui1.0.SUPER__2,216233548,66885144,67046398,-,mMyoVol1.0.SUPER__3,218117916,150971792,151125776,135766,167680,6,66885144_67052824_150965026_151125776
mMyoAui1.0.SUPER__1,234041302,77179650,77364257,+,mMyoVol1.0.SUPER__1,242898603,77410128,77639760,170254,303022,3,77120000_77365000_77337022_77640044
mMyoAui1.0.SUPER__1,234041302,107776352,108052247,+,mMyoVol1.0.SUPER__1,242898603,107765384,108025000,190667,279104,3,107775896_108055000_107764922_108026999
mMyoAui1.0.SUPER__2,216233548,208445944,208473976,-,mMyoVol1.0.SUPER__3,218117916,7812770,7841841,25423,29071,8,208445944_208473976_7812770_7841841
mMyoAui1.0.SUPER__2,216233548,158785152,158826692,-,mMyoVol1.0.SUPER__3,218117916,57889981,57983451,72853,94848,4,158785152_158880000_57889981_57983451
mMyoAui1.0.SUPER__2,216233548,111480000,111869104,-,mMyoVol1.0.SUPER__3,218117916,105194329,105612279,311040,417950,4,111480000_111869104_105194329_105612279
mMyoAui1.0.SUPER__1,234041302,109154216,109967059,+,mMyoVol1.0.SUPER__1,242898603,109168664,109924744,628824,813312,5,109154216_109967528_109168664_109925213
mMyoAui1.0.SUPER__2,216233548,105575000,106266854,-,mMyoVol1.0.SUPER__3,218117916,111218107,111907700,542623,691928,5,105575000_106266928_111218107_111907700
mMyoAui1.0.SUPER__2,216233548,132348013,132536699,-,mMyoVol1.0.SUPER__3,218117916,84066464,84259360,175336,218787,5,132330000_132539488_84058044_84276831
mMyoAui1.0.SUPER__2,216233548,140495280,140587257,-,mMyoVol1.0.SUPER__3,218117916,75945000,76053758,78705,111297,4,140495280_140590000_75942461_76053758
mMyoAui1.0.SUPER__2,216233548,140591707,140839849,-,mMyoVol1.0.SUPER__3,218117916,75645000,75890000,244911,395000,4,140590000_140985000_75595164_75891244
mMyoAui1.0.SUPER__3,215394694,121085000,121245000,+,mMyoVol1.0.SUPER__2,219449921,123804458,123949132,130852,160000,6,121085000_121245000_123804458_123949132
mMyoAui1.0.SUPER__2,216233548,31610296,32890333,-,mMyoVol1.0.SUPER__3,218117916,185300528,186627106,1171670,1332087,8,31610296_32892856_185295019_186627106
mMyoAui1.0.SUPER__1,234041302,4295128,5504472,+,mMyoVol1.0.SUPER__1,242898603,4046773,5275051,1032801,1228278,6,4295128_5504472_4046773_5275051
mMyoAui1.0.SUPER__3,215394694,104669808,105215000,+,mMyoVol1.0.SUPER__2,219449921,106730000,107283917,436708,555654,5,104668072_105215000_106728263_107283917
mMyoAui1.0.SUPER__2,216233548,62738,1094456,-,mMyoVol1.0.SUPER__3,218117916,217015224,218033208,896444,1096656,6,62008_1094456_216939326_218035982
mMyoAui1.0.SUPER__3,215394694,99741798,100440000,+,mMyoVol1.0.SUPER__2,219449921,101795912,102480518,566719,698208,5,99741792_100440000_101795912_102480518
mMyoAui1.0.SUPER__3,215394694,103519097,103588937,+,mMyoVol1.0.SUPER__2,219449921,105565384,105643336,65009,93791,4,103515000_103590000_105549633_105643424
mMyoAui1.0.SUPER__1,234041302,1880000,3224256,+,mMyoVol1.0.SUPER__1,242898603,1226792,2613160,1130908,1386393,6,1880000_3224256_1226767_2613160
mMyoAui1.0.SUPER__3,215394694,103821333,104665000,+,mMyoVol1.0.SUPER__2,219449921,105815000,106668545,624716,854561,4,103820384_104665000_105813984_106668545
mMyoAui1.0.SUPER__3,215394694,161380000,161450000,+,mMyoVol1.0.SUPER__2,219449921,164620650,164687342,52044,70000,4,161380000_161450000_164620650_164687342
mMyoAui1.0.SUPER__1,234041302,231186920,232318356,+,mMyoVol1.0.SUPER__1,242898603,241716073,242895376,960771,1181459,6,231186920_232319592_241716073_242897532
mMyoAui1.0.SUPER__3,215394694,191199860,191254767,+,mMyoVol1.0.SUPER__2,219449921,194635000,194687177,53584,63999,7,191190768_191254767_194626477_194687177
mMyoAui1.0.SUPER__3,215394694,206480587,206508384,+,mMyoVol1.0.SUPER__2,219449921,210055128,210084395,41723,52956,6,206462816_206508384_210031439_210084395
mMyoAui1.0.SUPER__3,215394694,98497700,98584216,+,mMyoVol1.0.SUPER__2,219449921,100446059,100526511,62458,86528,4,98497688_98584216_100446059_100526511
mMyoAui1.0.SUPER__3,215394694,208670336,208710016,-,mMyoVol1.0.SUPER__2,219449921,212430000,212462474,33485,64001,3,208670336_208710016_212398473_212462474
