qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVol1.0.SUPER__1,242898603,77646430,77673288,+,mMyoYum1.0.SUPER__1,240344003,80555000,80581066,26366,28160,11,77645128_77673288_80553696_80581066
mMyoVol1.0.SUPER__1,242898603,77565968,77639608,+,mMyoYum1.0.SUPER__1,240344003,80384352,80462825,70895,90081,5,77555512_77639608_80372744_80462825
mMyoVol1.0.SUPER__1,242898603,81020627,81125000,+,mMyoYum1.0.SUPER__1,240344003,84200896,84277634,61106,104616,3,81020384_81125000_84200798_84277634
mMyoVol1.0.SUPER__1,242898603,124416571,124659809,-,mMyoYum1.0.SUPER__1,240344003,127440400,127689104,195883,248849,5,124416544_124660000_127440353_127689202
mMyoVol1.0.SUPER__1,242898603,5166065,5275000,+,mMyoYum1.0.SUPER__1,240344003,3022207,3125357,91421,109104,6,5165896_5275000_3022207_3125357
mMyoVol1.0.SUPER__1,242898603,142385152,142448606,-,mMyoYum1.0.SUPER__1,240344003,133065000,133121837,121540,173952,4,142385152_142559104_132972515_133121837
mMyoVol1.0.SUPER__1,242898603,1221481,1481888,+,mMyoYum1.0.SUPER__1,240344003,2115000,2345957,188710,261760,4,1220128_1481888_2113638_2345957
mMyoVol1.0.SUPER__1,242898603,131709080,131813720,-,mMyoYum1.0.SUPER__1,240344003,135172490,135249872,85212,123720,4,131690000_131813720_135172490_135272520
mMyoVol1.0.SUPER__1,242898603,103008353,103203543,+,mMyoYum1.0.SUPER__1,240344003,106511408,106720000,184661,288592,3,103006408_103295000_106509456_106778372
mMyoVol1.0.SUPER__2,219449921,159470325,159673976,-,mMyoYum1.0.SUPER__3,215164148,155658371,155857952,166034,203976,5,159470000_159673976_155658371_155858539
mMyoVol1.0.SUPER__1,242898603,109168664,109999384,+,mMyoYum1.0.SUPER__1,240344003,112191164,113006345,661322,830720,5,109168664_109999384_112191164_113006345
mMyoVol1.0.SUPER__2,219449921,148612114,148681445,+,mMyoYum1.0.SUPER__3,215164148,146170000,146235000,74348,104832,4,148600000_148704832_146163197_146258549
mMyoVol1.0.SUPER__2,219449921,177806255,177925000,-,mMyoYum1.0.SUPER__3,215164148,173943677,174054488,103122,118784,8,177806216_177925000_173943677_174054526
mMyoVol1.0.SUPER__2,219449921,194640256,194690550,+,mMyoYum1.0.SUPER__3,215164148,190841936,190914719,156449,224744,4,194640256_194865000_190841936_191041050
mMyoVol1.0.SUPER__2,219449921,210241120,210314847,+,mMyoYum1.0.SUPER__3,215164148,206191053,206267602,61081,76549,5,210241120_210314847_206191053_206267602
mMyoVol1.0.SUPER__2,219449921,210080000,210104060,+,mMyoYum1.0.SUPER__3,215164148,206455036,206480000,20125,25094,5,210080000_210104192_206455036_206480130
mMyoVol1.0.SUPER__2,219449921,2178200,2204033,+,mMyoYum1.0.SUPER__284,26778,95,26496,21688,26567,6,2178200_2204184_95_26662
mMyoVol1.0.SUPER__2,219449921,218480000,218535000,+,mMyoYum1.0.SUPER__137,58935,1193,58152,39835,56959,4,218480000_218535000_1193_58152
mMyoVol1.0.SUPER__2,219449921,123414111,123471513,+,mMyoYum1.0.SUPER__3,215164148,121805000,121860000,70876,100000,4,123405000_123505000_121796159_121880654
mMyoVol1.0.SUPER__2,219449921,80683787,80805000,-,mMyoYum1.0.SUPER__3,215164148,79477535,79595000,100041,123776,5,80681224_80805000_79477535_79597510
mMyoVol1.0.SUPER__2,219449921,218540969,219389016,+,mMyoYum1.0.SUPER__3,215164148,214295504,215118888,728041,848128,7,218540888_219389016_214295485_215118888
mMyoVol1.0.SUPER__2,219449921,84386970,84501033,+,mMyoYum1.0.SUPER__3,215164148,82921174,83035000,89910,118080,4,84386920_84505000_82921174_83038916
mMyoVol1.0.SUPER__2,219449921,84644613,84860000,+,mMyoYum1.0.SUPER__3,215164148,83040256,83256130,183424,220235,6,84640384_84860000_83035895_83256130
mMyoVol1.0.SUPER__2,219449921,98471097,98578038,+,mMyoYum1.0.SUPER__3,215164148,96460210,96559712,87874,107136,6,98471024_98578160_96460210_96559849
mMyoVol1.0.SUPER__2,219449921,100461009,100513712,+,mMyoYum1.0.SUPER__3,215164148,98355649,98405000,38743,53120,4,100460896_100514016_98355649_98406181
mMyoVol1.0.SUPER__2,219449921,40410000,41737129,+,mMyoYum1.0.SUPER__3,215164148,39901073,41209824,1182994,1328384,8,40410000_41738384_39901073_41211502
mMyoVol1.0.SUPER__1,242898603,195895000,198073792,+,mMyoYum1.0.SUPER__1,240344003,191840737,193998776,1872142,2178944,6,195895000_198073944_191840737_193998989
mMyoVol1.0.SUPER__2,219449921,105518397,105577820,+,mMyoYum1.0.SUPER__3,215164148,104060896,104112224,45883,59775,5,105518072_105577847_104060737_104112251
mMyoVol1.0.SUPER__2,219449921,103301943,103540936,+,mMyoYum1.0.SUPER__3,215164148,101945000,102178728,199952,242304,6,103300000_103542304_101943069_102180164
mMyoVol1.0.SUPER__2,219449921,102897688,103215755,+,mMyoYum1.0.SUPER__3,215164148,101592061,101940000,268404,351054,5,102897688_103217560_101592061_101943115
mMyoVol1.0.SUPER__2,219449921,100573328,100619152,+,mMyoYum1.0.SUPER__3,215164148,98406504,98463624,41155,57139,5,100573328_100619152_98406504_98463643
mMyoVol1.0.SUPER__2,219449921,70835631,72232248,+,mMyoYum1.0.SUPER__3,215164148,69940512,71309051,1143851,1396864,6,70835384_72232248_69940270_71309051
mMyoVol1.0.SUPER__3,218117916,78030136,78059137,+,mMyoYum1.0.SUPER__2,217333615,139817048,139849688,27614,33011,7,78030128_78059568_139817005_139850016
mMyoVol1.0.SUPER__2,219449921,105692393,106434609,+,mMyoYum1.0.SUPER__3,215164148,104215000,104938328,696469,978048,4,105691792_106669840_104214368_105106725
mMyoVol1.0.SUPER__3,218117916,78485852,78533691,+,mMyoYum1.0.SUPER__2,217333615,139346773,139388392,40551,54360,5,78485640_78540000_139346773_139392065
mMyoVol1.0.SUPER__3,218117916,78065000,78478176,-,mMyoYum1.0.SUPER__2,217333615,139392472,139811288,375890,420146,8,78065000_78479744_139391143_139811289
mMyoVol1.0.SUPER__2,219449921,210323526,212368128,+,mMyoYum1.0.SUPER__3,215164148,206490000,208511833,1810795,2046592,7,210321536_212368128_206488024_208511833
mMyoVol1.0.SUPER__3,218117916,83735296,83818302,-,mMyoYum1.0.SUPER__2,217333615,133970000,134043726,75125,120346,3,83735296_83838976_133923380_134043726
mMyoVol1.0.SUPER__1,242898603,198085384,201248648,+,mMyoYum1.0.SUPER__1,240344003,194081319,197125809,2656418,3163264,6,198085384_201248648_194081319_197125809
mMyoVol1.0.SUPER__3,218117916,57891807,57973834,-,mMyoYum1.0.SUPER__2,217333615,159927192,160015000,77919,94250,6,57885920_57973984_159927095_160021345
mMyoVol1.0.SUPER__2,219449921,98625512,100364008,+,mMyoYum1.0.SUPER__3,215164148,96625042,98352888,1298727,1738496,4,98625512_100364008_96625042_98352888
mMyoVol1.0.SUPER__1,242898603,171961818,176483748,+,mMyoYum1.0.SUPER__1,240344003,167927688,172390000,3952623,4522624,7,171961792_176484416_167927662_172390668
mMyoVol1.0.SUPER__3,218117916,7845448,7893230,-,mMyoYum1.0.SUPER__2,217333615,209670000,209774959,364390,525545,3,7845448_8361032_209249414_209774959
mMyoVol1.0.SUPER__3,218117916,4631424,4718720,-,mMyoYum1.0.SUPER__108,94119,31,94118,80457,94087,7,4631424_4718720_31_94118
mMyoVol1.0.SUPER__1,242898603,167175384,171960000,+,mMyoYum1.0.SUPER__1,240344003,163006068,167808770,4169594,4802702,7,167175384_171960000_163006068_167808770
mMyoVol1.0.SUPER__3,218117916,111215000,111869563,-,mMyoYum1.0.SUPER__2,217333615,106381448,107043350,543655,661946,5,111215000_111869616_106381404_107043350
mMyoVol1.0.SUPER__2,219449921,48968,2132808,+,mMyoYum1.0.SUPER__3,215164148,43516,2081088,1707335,2083840,6,48968_2132808_43516_2081148
mMyoVol1.0.SUPER__3,218117916,217031329,218039530,-,mMyoYum1.0.SUPER__2,217333615,77274,1082312,892720,1032473,7,217015232_218039744_77274_1109747
mMyoVol1.0.SUPER__3,218117916,150970000,151129298,-,mMyoYum1.0.SUPER__2,217333615,67205000,67372043,129383,167760,5,150970000_151130000_67204283_67372043
mMyoVol1.0.SUPER__3,218117916,110911937,111054640,+,mMyoYum1.0.SUPER__2,217333615,107070000,107228541,115453,158907,4,110910000_111054640_107069634_107228541
mMyoVol1.0.SUPER__3,218117916,108175000,110909294,-,mMyoYum1.0.SUPER__2,217333615,107231432,110042519,2152301,2811147,4,108175000_110909360_107231372_110042519
mMyoVol1.0.SUPER__4,121843818,98712847,98737904,+,mMyoYum1.0.SUPER__235,30212,256,29056,23354,29138,6,98712816_98737904_225_29363
mMyoVol1.0.SUPER__4,121843818,6445816,6474270,-,mMyoYum1.0.SUPER__277,27154,1170,27124,24634,29184,7,6445816_6475000_440_27124
mMyoVol1.0.SUPER__4,121843818,29293200,29320000,+,mMyoYum1.0.SUPER__274,27606,37,27089,26091,27052,14,29293200_29320000_37_27089
mMyoVol1.0.SUPER__4,121843818,28076064,28100000,-,mMyoYum1.0.SUPER__257,28343,660,28285,19541,27625,4,28076064_28100000_660_28285
mMyoVol1.0.SUPER__4,121843818,111227488,111254852,-,mMyoYum1.0.SUPER__185,36983,5000,36658,28835,34598,6,111227488_111259872_2060_36658
mMyoVol1.0.SUPER__4,121843818,4356043,4395856,+,mMyoYum1.0.SUPER__167,42175,1152,41983,38637,45184,7,4350896_4396080_273_42062
mMyoVol1.0.SUPER__1,242898603,46203866,53378728,+,mMyoYum1.0.SUPER__1,240344003,49521086,56590000,6320341,7180032,7,46203840_53383872_49521086_56591353
mMyoVol1.0.SUPER__3,218117916,112281335,113804744,-,mMyoYum1.0.SUPER__2,217333615,103921389,105549488,1216021,1628147,4,112281288_113804744_103921389_105549536
mMyoVol1.0.SUPER__1,242898603,6001874,13559767,+,mMyoYum1.0.SUPER__1,240344003,4365000,11877960,6815915,7559616,8,6000384_13560000_4363654_11878193
mMyoVol1.0.SUPER__5,114967735,12375128,13930887,-,mMyoYum1.0.SUPER__4,114657940,100966016,102535402,1538842,1844164,6,12375128_14215000_100691238_102535402
mMyoVol1.0.SUPER__6,109406527,84910165,85111953,-,mMyoYum1.0.SUPER__5,108188207,84255000,84449872,142056,204488,4,84910000_85114488_84252810_84450037
