qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVol1.0.SUPER__1,242898603,77730000,77822524,-,mMyoVel1.0.SUPER__1,234804448,158685000,158783947,77885,101448,5,77730000_77825000_158682499_158783947
mMyoVol1.0.SUPER__1,242898603,110071840,110098208,-,mMyoVel1.0.SUPER__1,234804448,126753653,126777305,22130,26368,7,110071840_110098208_126753653_126777305
mMyoVol1.0.SUPER__1,242898603,108246136,108475000,-,mMyoVel1.0.SUPER__1,234804448,127927622,128128381,148311,228864,3,108246136_108475000_127927622_128128381
mMyoVol1.0.SUPER__1,242898603,2700995,2704488,-,mMyoVel1.0.SUPER__1,234804448,229631611,229683583,45242,59488,5,2645000_2704488_229631611_229683583
mMyoVol1.0.SUPER__3,218117916,150977552,151125794,-,mMyoVel1.0.SUPER__2,216113371,67601016,67752241,130162,158146,6,150977552_151130000_67594095_67752241
mMyoVol1.0.SUPER__1,242898603,109168869,109999360,-,mMyoVel1.0.SUPER__1,234804448,126786971,127562952,654206,830848,5,109168512_109999360_126786971_127563309
mMyoVol1.0.SUPER__3,218117916,110910000,111054256,+,mMyoVel1.0.SUPER__2,216113371,106876627,107046261,115459,169634,4,110910000_111054256_106876627_107046261
mMyoVol1.0.SUPER__3,218117916,111215940,111869576,-,mMyoVel1.0.SUPER__2,216113371,106211552,106860000,533467,654616,5,111215000_111869616_106211512_106860940
mMyoVol1.0.SUPER__3,218117916,57891512,57973935,-,mMyoVel1.0.SUPER__2,216113371,159185928,159285000,78093,105150,5,57885912_57973976_159185888_159291038
mMyoVol1.0.SUPER__3,218117916,185289599,186746265,-,mMyoVel1.0.SUPER__2,216113371,32030000,33515792,1297263,1493103,7,185289536_186760000_32022751_33515854
mMyoVol1.0.SUPER__3,218117916,78485852,78540000,+,mMyoVel1.0.SUPER__2,216113371,138770641,138819190,40706,54232,5,78485768_78540000_138770641_138819190
mMyoVol1.0.SUPER__3,218117916,106910000,108114090,-,mMyoVel1.0.SUPER__2,216113371,109825000,111037381,976349,1212474,5,106910000_108114232_109824907_111037381
mMyoVol1.0.SUPER__2,219449921,124348904,124421766,-,mMyoVel1.0.SUPER__3,212800901,92060000,92139872,5456058,6532352,6,124037648_130570000_86029104_92369610
mMyoVol1.0.SUPER__3,218117916,83170000,83680000,-,mMyoVel1.0.SUPER__2,216113371,133606885,134093929,402050,510000,5,83170000_83680000_133606885_134093929
