qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVol1.0.SUPER__1,242898603,107960868,108025000,-,mMyoCai1.0.SUPER__1,234393516,126199718,126275000,53832,76146,4,107960000_108025000_126199718_126275864
mMyoVol1.0.SUPER__1,242898603,154455552,154507749,+,mMyoCai1.0.SUPER__1,234393516,91140000,91190000,132919,162432,6,154351792_154514224_91049721_91196377
mMyoVol1.0.SUPER__1,242898603,80923981,81135032,-,mMyoCai1.0.SUPER__1,234393516,154651735,154850000,156592,212352,4,80922680_81135032_154651735_154851247
mMyoVol1.0.SUPER__1,242898603,108031802,108245000,-,mMyoCai1.0.SUPER__1,234393516,125895643,126128848,174668,239642,4,108027656_108245000_125895643_126135285
mMyoVol1.0.SUPER__1,242898603,108265213,108397547,-,mMyoCai1.0.SUPER__1,234393516,125693184,125837824,95712,144768,3,108265000_108397568_125693116_125837884
mMyoVol1.0.SUPER__2,219449921,159470968,159676577,+,mMyoCai1.0.SUPER__2,217612966,59441536,59634816,169644,224104,5,159470896_159695000_59441464_59639318
mMyoVol1.0.SUPER__2,219449921,50955640,50997131,+,mMyoCai1.0.SUPER__2,217612966,166999191,167035000,31044,42240,5,50955640_50997880_166999191_167035686
mMyoVol1.0.SUPER__2,219449921,80686920,80805000,+,mMyoCai1.0.SUPER__2,217612966,137602023,137723141,96941,121118,5,80686920_80805000_137602023_137723141
mMyoVol1.0.SUPER__1,242898603,2950512,3545000,+,mMyoCai1.0.SUPER__1,234393516,232253687,232835687,511342,594488,7,2950512_3545000_232253687_232835687
mMyoVol1.0.SUPER__2,219449921,84390000,84499488,-,mMyoCai1.0.SUPER__2,217612966,134073688,134183741,81602,110053,4,84390000_84499488_134073688_134183741
mMyoVol1.0.SUPER__1,242898603,107271213,107848464,-,mMyoCai1.0.SUPER__1,234393516,126305855,126935000,455313,629814,4,107270544_107848464_126305855_126935669
mMyoVol1.0.SUPER__2,219449921,105525000,105643410,-,mMyoCai1.0.SUPER__2,217612966,112908648,113023068,81168,118720,3,105525000_105643720_112907387_113023068
mMyoVol1.0.SUPER__1,242898603,102562919,103199677,-,mMyoCai1.0.SUPER__1,234393516,130904296,131504365,3530571,4616960,4,102562912_107179872_126936321_131504365
mMyoVol1.0.SUPER__2,219449921,164637045,164695000,-,mMyoCai1.0.SUPER__2,217612966,54485272,54575000,508655,698600,4,164036952_164695000_54424639_55123239
mMyoVol1.0.SUPER__1,242898603,109168481,110097638,-,mMyoCai1.0.SUPER__1,234393516,123871784,124878376,759127,1007202,5,109168416_110098208_123871207_124878409
mMyoVol1.0.SUPER__2,219449921,46626,248425,-,mMyoCai1.0.SUPER__2,217612966,217340168,217579016,24789915,28319359,7,15001_28334360_189339164_217601705
mMyoVol1.0.SUPER__2,219449921,40410171,41736898,-,mMyoCai1.0.SUPER__2,217612966,176100000,177439748,1169899,1342021,7,40410000_41739872_176097727_177439748
mMyoVol1.0.SUPER__1,242898603,4045256,5274772,+,mMyoCai1.0.SUPER__1,234393516,230498743,231684352,1027575,1229744,6,4045256_5275000_230498743_231684580
mMyoVol1.0.SUPER__3,218117916,111287876,111869488,-,mMyoCai1.0.SUPER__3,217383104,106396863,107018336,493866,624060,5,111285296_111869488_106396863_107020923
mMyoVol1.0.SUPER__2,219449921,102893712,103705768,-,mMyoCai1.0.SUPER__2,217612966,114745000,115662518,1325648,1985622,3,102893712_104730000_113676896_115662518
mMyoVol1.0.SUPER__2,219449921,105692560,106668431,-,mMyoCai1.0.SUPER__2,217612966,111665584,112750000,769378,1086459,4,105691952_106669872_111664148_112750607
mMyoVol1.0.SUPER__3,218117916,150448408,150625000,-,mMyoCai1.0.SUPER__3,217383104,67553435,67725000,188875,259712,4,150365288_150625000_67553435_67785519
mMyoVol1.0.SUPER__1,242898603,1486576,2629744,-,mMyoCai1.0.SUPER__1,234393516,233242881,234393220,980267,1150339,6,1486576_2629744_233242881_234393220
mMyoVol1.0.SUPER__2,219449921,210243236,212368414,-,mMyoCai1.0.SUPER__2,217612966,7125000,9204872,1881949,2173056,7,210241176_212414232_7113600_9206927
mMyoVol1.0.SUPER__2,219449921,99415504,100617310,-,mMyoCai1.0.SUPER__2,217612966,118365000,119518080,825059,1209984,3,99408864_100618848_118363506_119519937
mMyoVol1.0.SUPER__1,242898603,241685419,242895659,-,mMyoCai1.0.SUPER__1,234393516,1723999,2909736,987877,1210240,6,241685419_242895659_1723999_2909736
mMyoVol1.0.SUPER__2,219449921,100620000,102495197,-,mMyoCai1.0.SUPER__2,217612966,116400624,118306604,1511595,1906112,5,100620000_102495392_116400492_118306604
mMyoVol1.0.SUPER__3,218117916,45271729,45312788,-,mMyoCai1.0.SUPER__3,217383104,172340000,172380000,10812356,12522624,7,45247248_57769872_159912718_172406865
mMyoVol1.0.SUPER__3,218117916,57987455,58316928,-,mMyoCai1.0.SUPER__3,217383104,159568703,159905000,257846,348673,4,57980000_58316928_159568703_159917376
mMyoVol1.0.SUPER__2,219449921,104785000,105395000,-,mMyoCai1.0.SUPER__2,217612966,113035422,113671713,483738,636291,5,104785000_105395000_113035422_113671713
mMyoVol1.0.SUPER__3,218117916,75628813,75890000,-,mMyoCai1.0.SUPER__3,217383104,141738342,141997696,226629,291170,5,75605328_75890000_141738342_142029512
mMyoVol1.0.SUPER__3,218117916,105723542,108112987,-,mMyoCai1.0.SUPER__3,217383104,110095000,112339872,1775856,2391296,4,105722936_108114232_110093742_112340526
mMyoVol1.0.SUPER__3,218117916,78487759,78539412,-,mMyoCai1.0.SUPER__3,217383104,139200000,139237632,6332677,7734272,5,75945728_83680000_134080108_141733483
mMyoVol1.0.SUPER__2,219449921,98577944,98598424,+,mMyoCai1.0.SUPER__2,217612966,120337152,120356333,17608,20480,7,98577944_98598424_120337152_120356333
mMyoVol1.0.SUPER__2,219449921,93118355,96573208,-,mMyoCai1.0.SUPER__2,217612966,122272765,125685000,2763770,3456000,5,93117208_96573208_122272765_125686145
mMyoVol1.0.SUPER__2,219449921,80831439,81150000,-,mMyoCai1.0.SUPER__2,217612966,137246453,137591928,283502,345506,6,80831408_81150000_137246453_137591959
mMyoVol1.0.SUPER__4,121843818,100036309,100168274,+,mMyoCai1.0.SUPER__4,126198552,102215000,102353240,120030,143242,6,100035512_100174392_102214205_102357447
mMyoVol1.0.SUPER__4,121843818,99790015,100033504,+,mMyoCai1.0.SUPER__4,126198552,101920000,102134144,197018,245000,6,99790000_100035000_101919985_102135684
mMyoVol1.0.SUPER__4,121843818,100255624,100463269,-,mMyoCai1.0.SUPER__4,126198552,102400000,102569742,158498,229376,4,100255624_100485000_102357911_102569742
mMyoVol1.0.SUPER__4,121843818,98975208,99104704,-,mMyoCai1.0.SUPER__4,126198552,100995000,101141703,118267,147562,6,98975208_99105000_100994141_101141703
mMyoVol1.0.SUPER__1,242898603,77660880,77801680,-,mMyoCai1.0.SUPER__1,234393516,158097775,158258206,95449,160431,3,77660880_77801680_158097775_158258206
mMyoVol1.0.SUPER__3,218117916,108175000,111177718,-,mMyoCai1.0.SUPER__3,217383104,107022225,110083901,2290398,3061676,4,108175000_111177824_107022225_110083901
mMyoVol1.0.SUPER__4,121843818,97404179,97803712,+,mMyoCai1.0.SUPER__4,126198552,99095000,99449944,285762,400512,4,97403200_97803712_99093976_99449944
mMyoVol1.0.SUPER__4,121843818,107470320,107509287,-,mMyoCai1.0.SUPER__4,126198552,109660000,109694891,30986,39552,6,107470320_107509872_109659437_109694891
mMyoVol1.0.SUPER__4,121843818,96841792,97230000,+,mMyoCai1.0.SUPER__4,126198552,98596599,98977712,292251,388208,4,96841792_97230000_98596599_98977712
mMyoVol1.0.SUPER__23,11797300,1206552,1452184,-,mMyoCai1.0.SUPER__4,126198552,125951858,126196969,169492,245632,4,1206552_1452184_125951858_126196969
mMyoVol1.0.SUPER__4,121843818,88325496,88365000,-,mMyoCai1.0.SUPER__4,126198552,90180000,90227611,126238,150061,7,88225000_88365000_90077550_90227611
mMyoVol1.0.SUPER__4,121843818,3029659,3296936,+,mMyoCai1.0.SUPER__4,126198552,3236024,3505317,2902274,3474974,6,25896_3296936_30343_3505317
mMyoVol1.0.SUPER__4,121843818,25610000,25655000,-,mMyoCai1.0.SUPER__4,126198552,26524724,26568447,40012,45000,8,25610000_25655000_26524724_26568447
mMyoVol1.0.SUPER__4,121843818,41473873,41519872,-,mMyoCai1.0.SUPER__4,126198552,42270217,42313848,41347,50621,6,41471488_41519872_42270217_42320838
mMyoVol1.0.SUPER__4,121843818,55906232,55953990,-,mMyoCai1.0.SUPER__4,126198552,56865000,56909355,39746,48512,6,55906232_55954744_56864256_56909355
mMyoVol1.0.SUPER__4,121843818,67326747,67377440,-,mMyoCai1.0.SUPER__4,126198552,68341210,68400000,43377,60535,4,67325000_67377440_68341210_68401745
mMyoVol1.0.SUPER__4,121843818,12035334,14608409,+,mMyoCai1.0.SUPER__4,126198552,12942816,15540000,9334833,10944325,6,9003712_19933504_9949131_20893456
mMyoVol1.0.SUPER__4,121843818,83132787,83445000,+,mMyoCai1.0.SUPER__4,126198552,85090410,85363049,210217,312312,4,83132688_83445000_85090410_85363049
mMyoVol1.0.SUPER__4,121843818,73500648,73599735,+,mMyoCai1.0.SUPER__4,126198552,75731920,75835000,60080,106231,2,73500640_73601888_75731872_75838103
mMyoVol1.0.SUPER__4,121843818,72668456,72940540,+,mMyoCai1.0.SUPER__4,126198552,74620852,74950000,243957,332062,5,72668456_72943272_74620852_74952914
mMyoVol1.0.SUPER__4,121843818,83514234,84439664,+,mMyoCai1.0.SUPER__4,126198552,85369061,86396585,762285,1027524,5,83514224_84439664_85369061_86396585
mMyoVol1.0.SUPER__4,121843818,71365256,71614683,+,mMyoCai1.0.SUPER__4,126198552,72748699,73047976,212561,299694,4,71365256_71615000_72748699_73048393
mMyoVol1.0.SUPER__4,121843818,72947176,73492584,+,mMyoCai1.0.SUPER__4,126198552,75169583,75669901,392975,545408,4,72947176_73492584_75169583_75669901
mMyoVol1.0.SUPER__5,114967735,12170333,12309793,+,mMyoCai1.0.SUPER__5,115105322,102955000,103065000,127730,185000,4,12135000_12320000_102920218_103074329
mMyoVol1.0.SUPER__5,114967735,9380000,9588429,-,mMyoCai1.0.SUPER__5,115105322,105490000,105679394,183660,263464,4,9380000_9643464_105437624_105679394
mMyoVol1.0.SUPER__6,109406527,88843418,89015000,+,mMyoCai1.0.SUPER__6,110102919,88890000,89064928,381985,619488,3,88395512_89015000_88526820_89064928
mMyoVol1.0.SUPER__4,121843818,115167149,121838916,+,mMyoCai1.0.SUPER__4,126198552,117540768,124245664,5884188,6717681,7,115164760_121840000_117529024_124246705
mMyoVol1.0.SUPER__2,219449921,28503564,40275000,-,mMyoCai1.0.SUPER__2,217612966,177467712,189240000,10507023,11969408,7,28305592_40275000_177467712_189424684
mMyoVol1.0.SUPER__2,219449921,72322216,80663906,-,mMyoCai1.0.SUPER__2,217612966,137785000,145951577,6737493,8342272,5,72322216_80664488_137784420_145951577
mMyoVol1.0.SUPER__6,109406527,85430000,85965000,+,mMyoCai1.0.SUPER__6,110102919,85542153,86056536,417578,535000,5,85430000_85965000_85542153_86056536
mMyoVol1.0.SUPER__6,109406527,22708965,22781326,+,mMyoCai1.0.SUPER__6,110102919,22410128,22470000,99663,133848,5,22656152_22790000_22359084_22476949
mMyoVol1.0.SUPER__4,121843818,67382048,69905000,+,mMyoCai1.0.SUPER__4,126198552,68413579,71069839,1834496,2656260,4,67382048_69905000_68413579_71069839
mMyoVol1.0.SUPER__4,121843818,84447534,84689096,+,mMyoCai1.0.SUPER__4,126198552,86465128,86680726,187202,242176,5,84446920_84689096_86464565_86680726
mMyoVol1.0.SUPER__7,100618793,6545250,6643341,-,mMyoCai1.0.SUPER__7,101286765,94015152,94109488,2446899,2969600,6,6420272_9389872_91332185_94200459
mMyoVol1.0.SUPER__3,218117916,51637,7825954,-,mMyoCai1.0.SUPER__3,217383104,209715272,217324616,38768169,44748800,7,50352_44799152_172728462_217325937
mMyoVol1.0.SUPER__7,100618793,4156590,4185000,-,mMyoCai1.0.SUPER__7,101286765,96267755,96303976,35683,52686,4,4135976_4185000_96267755_96320441
mMyoVol1.0.SUPER__7,100618793,4770864,5630000,-,mMyoCai1.0.SUPER__7,101286765,94723164,95569869,717907,859136,6,4770864_5630000_94723164_95569869
mMyoVol1.0.SUPER__8,95393848,86807240,87004872,-,mMyoCai1.0.SUPER__8,94581416,7775961,7979232,176260,205452,7,86805000_87004872_7775961_7981413
mMyoVol1.0.SUPER__8,95393848,86770000,86801688,+,mMyoCai1.0.SUPER__8,94581416,7983701,8015000,28616,34560,6,86770000_86802640_7983701_8018261
mMyoVol1.0.SUPER__6,109406527,101320591,105361930,+,mMyoCai1.0.SUPER__6,110102919,102060608,105944384,3200467,4065624,5,101299376_105365000_102047248_105945744
mMyoVol1.0.SUPER__8,95393848,27133891,27858914,-,mMyoCai1.0.SUPER__8,94581416,67025000,67774488,667305,753386,8,27130000_27859488_67024554_67777940
mMyoVol1.0.SUPER__9,93067155,62400000,62463733,+,mMyoCai1.0.SUPER__9,94164217,63607371,63675000,55184,67640,6,62400000_62463744_63607371_63675011
mMyoVol1.0.SUPER__9,93067155,14695516,14771393,+,mMyoCai1.0.SUPER__9,94164217,15767176,15840000,158732,208384,6,14565000_14773384_15672400_15841693
mMyoVol1.0.SUPER__5,114967735,27066464,35574650,-,mMyoCai1.0.SUPER__5,115105322,79595712,88119744,7566955,8531169,7,27061984_35577568_79593030_88124199
mMyoVol1.0.SUPER__9,93067155,81795512,82014555,+,mMyoCai1.0.SUPER__9,94164217,83194596,83430000,169947,235840,4,81795512_82015000_83194596_83430436
mMyoVol1.0.SUPER__9,93067155,91056084,91119050,+,mMyoCai1.0.SUPER__9,94164217,92409848,92455000,46585,68992,5,91055256_91124248_92408978_92459990
mMyoVol1.0.SUPER__28,2210837,1397941,2210803,+,mMyoCai1.0.SUPER__9,94164217,242560,1017959,603413,813149,4,1397688_2210837_242308_1017959
mMyoVol1.0.SUPER__9,93067155,352,758528,+,mMyoCai1.0.SUPER__9,94164217,1027432,1743720,561517,758528,4,0_758528_1027092_1743731
mMyoVol1.0.SUPER__9,93067155,812226,935000,-,mMyoCai1.0.SUPER__9,94164217,1750897,1874488,97412,123697,5,812120_935000_1750897_1874594
