qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoCai1.0.SUPER__1,234393516,158105000,158255000,+,mMyoLuc1.0.SUPER__1,244374582,167673013,167783262,90899,150000,3,158105000_158255000_167673013_167783262
mMyoCai1.0.SUPER__2,217612966,67365875,67440000,+,mMyoLuc1.0.SUPER__3,211792393,143845000,143919498,66663,75283,7,67365000_67440000_143844215_143919498
mMyoCai1.0.SUPER__1,234393516,125845000,126104210,+,mMyoLuc1.0.SUPER__1,244374582,137723425,137980000,190750,260000,4,125845000_126105000_137723425_137980790
mMyoCai1.0.SUPER__1,234393516,158290896,158520382,+,mMyoLuc1.0.SUPER__1,244374582,167846800,168103680,189428,268875,4,158290896_158554320_167846800_168115675
mMyoCai1.0.SUPER__1,234393516,232255256,232835000,+,mMyoLuc1.0.SUPER__1,244374582,239678488,240245602,508234,579744,7,232255256_232835000_239678488_240245602
mMyoCai1.0.SUPER__1,234393516,126937062,127010000,+,mMyoLuc1.0.SUPER__1,244374582,138776543,138848908,36142,73080,2,126936920_127010000_138776543_138848908
mMyoCai1.0.SUPER__2,217612966,67500192,67524356,-,mMyoLuc1.0.SUPER__3,211792393,145425232,145447922,29234,48892,3,67500192_67540000_145399030_145447922
mMyoCai1.0.SUPER__1,234393516,126305965,126935000,+,mMyoLuc1.0.SUPER__1,244374582,138068840,138664563,463114,629104,4,126305896_126935000_138068771_138664563
mMyoCai1.0.SUPER__2,217612966,148795000,148853943,+,mMyoLuc1.0.SUPER__3,211792393,67412154,67470000,48787,59392,6,148795000_148854392_67412154_67470449
mMyoCai1.0.SUPER__2,217612966,166998484,167035000,+,mMyoLuc1.0.SUPER__3,211792393,49702176,49747494,31589,45323,4,166998456_167035000_49702171_49747494
mMyoCai1.0.SUPER__1,234393516,158858456,159715825,+,mMyoLuc1.0.SUPER__1,244374582,168127599,168920520,694542,859392,6,158858456_159717848_168127599_168922802
mMyoCai1.0.SUPER__2,217612966,138050184,138323336,-,mMyoLuc1.0.SUPER__3,211792393,77824791,78096247,242097,273152,7,138050184_138323336_77824791_78096247
mMyoCai1.0.SUPER__2,217612966,133847268,134055475,-,mMyoLuc1.0.SUPER__3,211792393,82120000,82345000,204278,254691,6,133845488_134070000_82092074_82346765
mMyoCai1.0.SUPER__2,217612966,146417738,146715000,+,mMyoLuc1.0.SUPER__3,211792393,69516792,69828672,251587,317121,5,146410000_146715000_69511551_69828672
mMyoCai1.0.SUPER__1,234393516,230475000,231681852,-,mMyoLuc1.0.SUPER__1,244374582,238205216,239435345,1051129,1232596,7,230475000_231684744_238202749_239435345
mMyoCai1.0.SUPER__1,234393516,233255856,234393490,+,mMyoLuc1.0.SUPER__1,244374582,240642872,241771960,992776,1163388,6,233230128_234393516_240619367_241772072
mMyoCai1.0.SUPER__2,217612966,112155000,112900795,-,mMyoLuc1.0.SUPER__3,211792393,101996448,102656521,562636,750000,5,112155000_112905000_101992034_102656521
mMyoCai1.0.SUPER__2,217612966,217266520,217574872,-,mMyoLuc1.0.SUPER__3,211792393,43067,297293,198354,308352,4,217266520_217574872_43067_297293
mMyoCai1.0.SUPER__3,217383104,106335000,106493976,-,mMyoLuc1.0.SUPER__2,212563729,108720210,108858341,119136,158976,5,106335000_106493976_108720210_108858341
mMyoCai1.0.SUPER__3,217383104,106575269,107020000,-,mMyoLuc1.0.SUPER__2,212563729,108274655,108711288,359153,444800,5,106575200_107020000_108274655_108711345
mMyoCai1.0.SUPER__2,217612966,115300869,115657184,-,mMyoLuc1.0.SUPER__3,211792393,99480847,99830000,268603,358400,4,115298784_115657184_99480847_99831781
mMyoCai1.0.SUPER__1,234393516,46490000,48688656,+,mMyoLuc1.0.SUPER__1,244374582,45707517,47809557,1896443,2198656,7,46490000_48688656_45707517_47809557
mMyoCai1.0.SUPER__3,217383104,66860000,67148368,-,mMyoLuc1.0.SUPER__2,212563729,146310000,146602198,216358,293477,4,66860000_67149872_146308721_146602198
mMyoCai1.0.SUPER__2,217612966,77848,1253998,-,mMyoLuc1.0.SUPER__3,211792393,210560864,211739360,994631,1178602,6,77784_1254104_210560759_211739361
mMyoCai1.0.SUPER__2,217612966,110665000,112092211,-,mMyoLuc1.0.SUPER__3,211792393,102670488,103962040,1083424,1428336,5,110665000_112093336_102669310_103962040
mMyoCai1.0.SUPER__2,217612966,118613781,119520000,-,mMyoLuc1.0.SUPER__3,211792393,96229468,97139232,661737,909769,4,118613760_119520000_96229468_97139237
