qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVel1.0.SUPER__1,234804448,170417143,170456344,+,mMyoEvo1.0.SUPER__1,230788764,64470000,64512368,37772,43708,8,170415640_170456344_64468725_64512433
mMyoVel1.0.SUPER__1,234804448,128450000,128510000,-,mMyoEvo1.0.SUPER__1,230788764,106794974,106856140,48940,61166,5,128450000_128510000_106794974_106856140
mMyoVel1.0.SUPER__1,234804448,128527296,128598804,-,mMyoEvo1.0.SUPER__1,230788764,106612097,106679592,56618,71552,5,128527296_128598848_106611921_106679592
mMyoVel1.0.SUPER__1,234804448,155098429,155234095,-,mMyoEvo1.0.SUPER__1,230788764,79805000,79930000,126419,179232,4,155060000_155239232_79800237_79962788
mMyoVel1.0.SUPER__1,234804448,158886632,158943476,-,mMyoEvo1.0.SUPER__1,230788764,76120000,76165029,40748,57728,5,158886632_158944360_76119168_76165029
mMyoVel1.0.SUPER__1,234804448,127937763,128107696,-,mMyoEvo1.0.SUPER__1,230788764,107231800,107395000,114224,181120,3,127926576_128107696_107231791_107402648
mMyoVel1.0.SUPER__1,234804448,42895936,42918080,-,mMyoEvo1.0.SUPER__1,230788764,187341354,187364295,19024,22941,6,42895936_42918080_187341354_187364295
mMyoVel1.0.SUPER__1,234804448,128215982,128449722,-,mMyoEvo1.0.SUPER__1,230788764,106968478,107158820,160229,233856,4,128215888_128449744_106968478_107158820
mMyoVel1.0.SUPER__2,216113371,139260000,139298388,+,mMyoEvo1.0.SUPER__2,217004436,77472922,77503664,31711,44032,5,139260000_139304032_77472922_77507112
mMyoVel1.0.SUPER__1,234804448,132810248,133043706,-,mMyoEvo1.0.SUPER__1,230788764,102340000,102629048,5137101,6411692,5,132810248_138964616_96217356_102629048
mMyoVel1.0.SUPER__1,234804448,128678562,129055000,-,mMyoEvo1.0.SUPER__1,230788764,106182436,106610000,316887,429594,5,128676504_129055000_106182436_106612030
mMyoVel1.0.SUPER__2,216113371,159142763,159184744,-,mMyoEvo1.0.SUPER__2,217004436,57624023,57665000,91210,159744,3,159025000_159184744_57624023_57751400
mMyoVel1.0.SUPER__1,234804448,101408770,101488012,-,mMyoEvo1.0.SUPER__1,230788764,130345000,130428336,181073,216898,6,101390000_101605000_130228703_130445601
mMyoVel1.0.SUPER__1,234804448,108326024,108570000,+,mMyoEvo1.0.SUPER__1,230788764,126420052,126712916,201802,292864,4,108326024_108570000_126420052_126712916
mMyoVel1.0.SUPER__2,216113371,106878702,107049069,+,mMyoEvo1.0.SUPER__2,217004436,109900000,110062560,119585,173184,4,106876536_107049720_109897834_110062993
mMyoVel1.0.SUPER__2,216113371,100075367,100119329,+,mMyoEvo1.0.SUPER__2,217004436,116680896,116720000,31241,45000,4,100075000_100120000_116680738_116720670
mMyoVel1.0.SUPER__2,216113371,664273,807843,+,mMyoEvo1.0.SUPER__2,217004436,215865640,216000000,114528,212588,3,656648_808328_215787908_216000496
mMyoVel1.0.SUPER__1,234804448,158998123,159130000,-,mMyoEvo1.0.SUPER__1,230788764,75962530,76108976,82083,148978,2,158995600_159130000_75962530_76111508
mMyoVel1.0.SUPER__2,216113371,104045000,104721980,-,mMyoEvo1.0.SUPER__2,217004436,111918337,112559472,541638,677184,5,104045000_104722184_111918135_112559472
mMyoVel1.0.SUPER__1,234804448,126860232,127563336,-,mMyoEvo1.0.SUPER__1,230788764,107565928,108382883,600326,816973,5,126860232_127563336_107565910_108382883
mMyoVel1.0.SUPER__2,216113371,106122278,106861800,-,mMyoEvo1.0.SUPER__2,217004436,110227420,111012440,597196,785117,5,106122216_106861800_110227420_111012537
mMyoVel1.0.SUPER__2,216113371,104814049,105679738,-,mMyoEvo1.0.SUPER__2,217004436,111122424,111914104,602788,868224,4,104811776_105680000_111122162_111916358
