"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoOcc1.0.SUPER__1",232672419,70419,2904893,"+","mMyoThy1#0#SUPER__1",230758872,51107,2855000,26945,2840000,14,"SUPER__1 95.9831","51107 2855000 70419 2904893"
"mMyoOcc1.0.SUPER__1",232672419,2875000,30792652,"+","mMyoThy1#0#SUPER__1",230758872,3092432,31470000,272351,28380140,15,"SUPER__1 97.0211","3092432 31470000 2875000 30792652"
"mMyoOcc1.0.SUPER__1",232672419,30845000,42487081,"+","mMyoThy1#0#SUPER__1",230758872,31471083,43435000,120280,12270950,15,"SUPER__1 96.9395","31471083 43435000 30845000 42487081"
"mMyoOcc1.0.SUPER__1",232672419,42761232,43110886,"+","mMyoThy1#0#SUPER__1",230758872,43655000,44030000,4080,421511,14,"SUPER__1 95.6221","43655000 44030000 42761232 43110886"
"mMyoOcc1.0.SUPER__1",232672419,43162194,45651382,"+","mMyoThy1#0#SUPER__1",230758872,44020000,46560000,25164,2602271,15,"SUPER__1 96.8721","44020000 46560000 43162194 45651382"
"mMyoOcc1.0.SUPER__1",232672419,45735000,57680344,"+","mMyoThy1#0#SUPER__1",230758872,46565150,58860000,121213,12364548,15,"SUPER__1 97.1021","46565150 58860000 45735000 57680344"
"mMyoOcc1.0.SUPER__1",232672419,66640000,87400210,"+","mMyoThy1#0#SUPER__1",230758872,67955109,88940000,204257,21101045,15,"SUPER__1 97.0579","67955109 88940000 66640000 87400210"
"mMyoOcc1.0.SUPER__1",232672419,87775000,87911132,"-","mMyoThy1#0#SUPER__1",230758872,88925000,89082823,1629,166563,11,"SUPER__1 92.1273","88925000 89082823 87775000 87911132"
"mMyoOcc1.0.SUPER__1",232672419,89625000,96020000,"+","mMyoThy1#0#SUPER__1",230758872,90921709,97454368,62073,6532659,15,"SUPER__1 96.9852","90921709 97454368 89625000 96020000"
"mMyoOcc1.0.SUPER__1",232672419,96055000,98854780,"+","mMyoThy1#0#SUPER__1",230758872,97496003,100420000,32302,3301291,15,"SUPER__1 96.6366","97496003 100420000 96055000 98854780"
"mMyoOcc1.0.SUPER__1",232672419,101475000,103156494,"+","mMyoThy1#0#SUPER__1",230758872,101135761,102925000,18447,1894442,15,"SUPER__1 96.7039","101135761 102925000 101475000 103156494"
"mMyoOcc1.0.SUPER__1",232672419,107789929,109899518,"+","mMyoThy1#0#SUPER__1",230758872,103405000,105613907,21678,2213292,14,"SUPER__1 96.2957","103405000 105613907 107789929 109899518"
"mMyoOcc1.0.SUPER__1",232672419,109900000,125364855,"+","mMyoThy1#0#SUPER__1",230758872,105697429,121624618,156874,15927189,15,"SUPER__1 96.9772","105697429 121624618 109900000 125364855"
"mMyoOcc1.0.SUPER__1",232672419,125502586,126195000,"+","mMyoThy1#0#SUPER__1",230758872,121625660,122439809,7721,814149,14,"SUPER__1 96.3363","121625660 122439809 125502586 126195000"
"mMyoOcc1.0.SUPER__1",232672419,126631393,126750000,"+","mMyoThy1#0#SUPER__1",230758872,122895000,122993844,1309,135000,10,"SUPER__1 90.8104","122895000 122993844 126631393 126750000"
"mMyoOcc1.0.SUPER__1",232672419,126838250,127120000,"+","mMyoThy1#0#SUPER__1",230758872,123060000,123317320,2805,285000,13,"SUPER__1 94.407","123060000 123317320 126838250 127120000"
"mMyoOcc1.0.SUPER__1",232672419,127122023,127185000,"+","mMyoThy1#0#SUPER__1",230758872,123445013,123512526,660,67513,10,"SUPER__1 89.0025","123445013 123512526 127122023 127185000"
"mMyoOcc1.0.SUPER__1",232672419,127190000,127318335,"+","mMyoThy1#0#SUPER__1",230758872,123582254,123690000,1251,130000,11,"SUPER__1 91.8207","123582254 123690000 127190000 127318335"
"mMyoOcc1.0.SUPER__1",232672419,127382461,127802072,"+","mMyoThy1#0#SUPER__1",230758872,123690000,124128575,4299,439527,13,"SUPER__1 95.3266","123690000 124128575 127382461 127802072"
"mMyoOcc1.0.SUPER__1",232672419,127910000,128874689,"+","mMyoThy1#0#SUPER__1",230758872,124136722,125225000,10355,1088770,15,"SUPER__1 96.6723","124136722 125225000 127910000 128874689"
