qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoLuc1.0.SUPER__1,244374582,30832313,42580000,+,mMyoVel1.0.SUPER__1,234804448,31085000,42896840,416811,42857869,15,SUPER__1 97.0305,31085000 42896840 30832313 42580000
mMyoLuc1.0.SUPER__1,244374582,47825000,66612761,+,mMyoVel1.0.SUPER__1,234804448,48266581,67445000,183996,19179916,15,SUPER__1 97.1568,48266581 67445000 47825000 66612761
mMyoLuc1.0.SUPER__1,244374582,89990000,99229920,+,mMyoVel1.0.SUPER__1,234804448,91196016,100590000,92782,9501683,15,SUPER__1 97.071,91196016 100590000 89990000 99229920
mMyoLuc1.0.SUPER__1,244374582,112333932,113234895,-,mMyoVel1.0.SUPER__1,234804448,102595000,103540000,19130,1965383,15,SUPER__1 97.1729,102595000 103540000 112333932 113234895
mMyoLuc1.0.SUPER__1,244374582,108160000,108168389,+,mMyoVel1.0.SUPER__1,234804448,104532106,104540000,1092,110000,10,SUPER__1 90.2786,104532106 104540000 108160000 108168389
mMyoLuc1.0.SUPER__1,244374582,118330449,118610000,-,mMyoVel1.0.SUPER__1,234804448,108322824,108575000,2725,280000,13,SUPER__1 95.2992,108322824 108575000 118330449 118610000
mMyoLuc1.0.SUPER__1,244374582,118610293,136052973,+,mMyoVel1.0.SUPER__1,234804448,108945000,126780000,175587,17837760,16,SUPER__1 97.3138,108945000 126780000 118610293 136052973
mMyoLuc1.0.SUPER__1,244374582,136135000,136915109,+,mMyoVel1.0.SUPER__1,234804448,126785345,127590000,8053,830000,15,SUPER__1 96.7127,126785345 127590000 136135000 136915109
mMyoLuc1.0.SUPER__1,244374582,137450000,137720000,+,mMyoVel1.0.SUPER__1,234804448,127908641,128209696,2871,301055,13,SUPER__1 95.14,127908641 128209696 137450000 137720000
mMyoLuc1.0.SUPER__1,244374582,137793209,148360000,+,mMyoVel1.0.SUPER__1,234804448,128215000,138955694,104715,10742042,16,SUPER__1 97.7449,128215000 138955694 137793209 148360000
mMyoLuc1.0.SUPER__1,244374582,148360000,164155000,+,mMyoVel1.0.SUPER__1,234804448,139022982,155115463,155926,16092481,16,SUPER__1 97.2761,139022982 155115463 148360000 164155000
mMyoLuc1.0.SUPER__1,244374582,165009385,166540000,+,mMyoVel1.0.SUPER__1,234804448,155990000,157548047,23500,2445000,15,SUPER__1 97.0491,155990000 157548047 165009385 166540000
mMyoLuc1.0.SUPER__1,244374582,167885000,170172863,+,mMyoVel1.0.SUPER__1,234804448,158994045,161345000,22968,2351197,15,SUPER__1 96.8687,158994045 161345000 167885000 170172863
mMyoLuc1.0.SUPER__1,244374582,170175000,237713874,+,mMyoVel1.0.SUPER__1,234804448,161397275,229595000,666538,68276176,16,SUPER__1 97.3113,161397275 229595000 170175000 237713874
mMyoLuc1.0.SUPER__1,244374582,238200000,239403896,-,mMyoVel1.0.SUPER__1,234804448,229680000,230888752,12454,1293213,14,SUPER__1 96.1158,229680000 230888752 238200000 239403896
mMyoLuc1.0.SUPER__1,244374582,239678644,240249053,+,mMyoVel1.0.SUPER__1,234804448,231145000,231720000,5545,579381,14,SUPER__1 96.1516,231145000 231720000 239678644 240249053
mMyoLuc1.0.SUPER__1,244374582,240656039,242015000,+,mMyoVel1.0.SUPER__1,234804448,231750000,233104316,13203,1360000,14,SUPER__1 95.7377,231750000 233104316 240656039 242015000
mMyoLuc1.0.SUPER__2,212563729,210705000,211355000,+,mMyoVel1.0.SUPER__2,216113371,4087,650859,6281,650000,13,SUPER__2 94.51,4087 650859 210705000 211355000
mMyoLuc1.0.SUPER__2,212563729,211451580,212490000,-,mMyoVel1.0.SUPER__2,216113371,865217,1904940,10281,1075000,14,SUPER__2 95.8212,865217 1904940 211451580 212490000
