qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoYum1.0.SUPER__1,240344003,80555000,80581066,+,mMyoVol1.0.SUPER__1,242898603,77646430,77673288,25242,30187,8,80555000_80581368_77646430_77676617
mMyoYum1.0.SUPER__1,240344003,80384352,80462825,+,mMyoVol1.0.SUPER__1,242898603,77565968,77639608,63912,80512,5,80384352_80464864_77565968_77641240
mMyoYum1.0.SUPER__1,240344003,84200896,84277634,+,mMyoVol1.0.SUPER__1,242898603,81020627,81125000,93535,144104,4,84200896_84345000_81020627_81133528
mMyoYum1.0.SUPER__1,240344003,127440400,127689104,-,mMyoVol1.0.SUPER__1,242898603,124416571,124659809,195853,248704,5,127440400_127689104_124416571_124659809
mMyoYum1.0.SUPER__1,240344003,3022207,3125357,+,mMyoVol1.0.SUPER__1,242898603,5166065,5275000,94941,112541,6,3022048_3130000_5166065_5278606
mMyoYum1.0.SUPER__1,240344003,133065000,133121837,-,mMyoVol1.0.SUPER__1,242898603,142385152,142448606,65801,81952,6,133065000_133146952_142375485_142448606
mMyoYum1.0.SUPER__1,240344003,2115000,2345957,+,mMyoVol1.0.SUPER__1,242898603,1221481,1481888,187240,260505,4,2115000_2346040_1221481_1481986
mMyoYum1.0.SUPER__1,240344003,135172490,135249872,-,mMyoVol1.0.SUPER__1,242898603,131709080,131813720,76711,113082,4,135156176_135249872_131709080_131822162
mMyoYum1.0.SUPER__1,240344003,106511408,106720000,+,mMyoVol1.0.SUPER__1,242898603,103008353,103203543,130289,208592,3,106511408_106720000_103008353_103203543
mMyoYum1.0.SUPER__3,215164148,155658371,155857952,-,mMyoVol1.0.SUPER__2,219449921,159470325,159673976,168268,206848,5,155651104_155857952_159470325_159676505
mMyoYum1.0.SUPER__1,240344003,112191164,113006345,+,mMyoVol1.0.SUPER__1,242898603,109168664,109999384,665249,834365,5,112191152_113010000_109168652_110003017
mMyoYum1.0.SUPER__3,215164148,146170000,146235000,+,mMyoVol1.0.SUPER__2,219449921,148612114,148681445,50691,69331,4,146170000_146235000_148612114_148681445
mMyoYum1.0.SUPER__3,215164148,173943677,174054488,-,mMyoVol1.0.SUPER__2,219449921,177806255,177925000,104198,120064,8,173942360_174054488_177806255_177926319
mMyoYum1.0.SUPER__3,215164148,190841936,190914719,+,mMyoVol1.0.SUPER__2,219449921,194640256,194690550,61044,94719,4,190820000_190914719_194619489_194690550
mMyoYum1.0.SUPER__3,215164148,206191053,206267602,+,mMyoVol1.0.SUPER__2,219449921,210241120,210314847,109935,199744,3,206070256_206270000_210150357_210317117
mMyoYum1.0.SUPER__3,215164148,206455036,206480000,+,mMyoVol1.0.SUPER__2,219449921,210080000,210104060,24109,29874,5,206450512_206480000_210074186_210104060
mMyoYum1.0.SUPER__284,26778,95,26496,+,mMyoVol1.0.SUPER__2,219449921,2178200,2204033,21733,26496,6,0_26496_2177962_2204033
mMyoYum1.0.SUPER__137,58935,1193,58152,+,mMyoVol1.0.SUPER__2,219449921,218480000,218535000,41556,58624,4,0_58624_218478571_218535348
mMyoYum1.0.SUPER__3,215164148,121805000,121860000,+,mMyoVol1.0.SUPER__2,219449921,123414111,123471513,43348,57402,4,121805000_121860000_123414111_123471513
mMyoYum1.0.SUPER__3,215164148,79477535,79595000,-,mMyoVol1.0.SUPER__2,219449921,80683787,80805000,100077,123982,5,79475000_79595000_80683787_80807769
mMyoYum1.0.SUPER__3,215164148,214295504,215118888,+,mMyoVol1.0.SUPER__2,219449921,218540969,219389016,728390,849297,7,214295504_215120000_218540969_219390266
mMyoYum1.0.SUPER__3,215164148,82921174,83035000,+,mMyoVol1.0.SUPER__2,219449921,84386970,84501033,86573,114063,4,82921152_83035000_84386970_84501033
mMyoYum1.0.SUPER__3,215164148,83040256,83256130,+,mMyoVol1.0.SUPER__2,219449921,84644613,84860000,181213,217600,6,83040256_83257856_84644613_84861720
mMyoYum1.0.SUPER__3,215164148,96460210,96559712,+,mMyoVol1.0.SUPER__2,219449921,98471097,98578038,87733,106941,6,96460128_96559712_98471097_98578038
mMyoYum1.0.SUPER__3,215164148,98355649,98405000,+,mMyoVol1.0.SUPER__2,219449921,100461009,100513712,37915,52703,4,98355640_98405000_100461009_100513712
mMyoYum1.0.SUPER__3,215164148,39901073,41209824,+,mMyoVol1.0.SUPER__2,219449921,40410000,41737129,1181865,1327775,8,39900512_41209824_40409354_41737129
mMyoYum1.0.SUPER__1,240344003,191840737,193998776,+,mMyoVol1.0.SUPER__1,242898603,195895000,198073792,18597281,21563776,6,172435000_193998776_176536546_198073792
mMyoYum1.0.SUPER__3,215164148,104060896,104112224,+,mMyoVol1.0.SUPER__2,219449921,105518397,105577820,45446,59423,5,104060896_104112224_105518397_105577820
mMyoYum1.0.SUPER__3,215164148,101945000,102178728,+,mMyoVol1.0.SUPER__2,219449921,103301943,103540936,196729,238993,6,101945000_102178728_103301943_103540936
mMyoYum1.0.SUPER__3,215164148,101592061,101940000,+,mMyoVol1.0.SUPER__2,219449921,102897688,103215755,267943,347952,5,101592048_101940000_102897676_103215755
mMyoYum1.0.SUPER__3,215164148,98406504,98463624,+,mMyoVol1.0.SUPER__2,219449921,100573328,100619152,41254,57344,5,98406280_98463624_100573040_100619188
mMyoYum1.0.SUPER__3,215164148,69940512,71309051,+,mMyoVol1.0.SUPER__2,219449921,70835631,72232248,1141941,1396782,6,69940512_71309216_70835631_72232413
mMyoYum1.0.SUPER__2,217333615,139817048,139849688,+,mMyoVol1.0.SUPER__3,218117916,78030136,78059137,27466,32640,7,139817048_139849688_78030136_78059137
mMyoYum1.0.SUPER__3,215164148,104215000,104938328,+,mMyoVol1.0.SUPER__2,219449921,105692393,106434609,573009,742216,5,104215000_104938328_105692393_106434609
mMyoYum1.0.SUPER__2,217333615,139346773,139388392,+,mMyoVol1.0.SUPER__3,218117916,78485852,78533691,37655,47839,6,139346664_139388392_78485852_78533691
mMyoYum1.0.SUPER__2,217333615,139392472,139811288,-,mMyoVol1.0.SUPER__3,218117916,78065000,78478176,374950,418816,8,139392472_139811288_78064983_78478176
mMyoYum1.0.SUPER__3,215164148,206490000,208511833,+,mMyoVol1.0.SUPER__2,219449921,210323526,212368128,1817723,2110458,7,206490000_208589968_210323526_212433984
mMyoYum1.0.SUPER__2,217333615,133970000,134043726,-,mMyoVol1.0.SUPER__3,218117916,83735296,83818302,63012,83029,5,133970000_134043848_83735273_83818302
mMyoYum1.0.SUPER__1,240344003,194081319,197125809,+,mMyoVol1.0.SUPER__1,242898603,198085384,201248648,2685098,3197340,6,194076664_197144184_198074186_201271526
mMyoYum1.0.SUPER__2,217333615,159927192,160015000,-,mMyoVol1.0.SUPER__3,218117916,57891807,57973834,72482,87808,6,159927192_160015000_57891807_57973834
mMyoYum1.0.SUPER__3,215164148,96625042,98352888,+,mMyoVol1.0.SUPER__2,219449921,98625512,100364008,1297627,1738812,4,96625000_98355000_98625462_100364274
mMyoYum1.0.SUPER__1,240344003,167927688,172390000,+,mMyoVol1.0.SUPER__1,242898603,171961818,176483748,3954240,4521930,7,167927688_172390000_171961818_176483748
mMyoYum1.0.SUPER__2,217333615,209670000,209774959,-,mMyoVol1.0.SUPER__3,218117916,7845448,7893230,2763065,3172835,7,209670000_212812184_4720395_7893230
mMyoYum1.0.SUPER__108,94119,31,94118,-,mMyoVol1.0.SUPER__3,218117916,4631424,4718720,80846,94119,7,0_94119_4630211_4718748
mMyoYum1.0.SUPER__1,240344003,163006068,167808770,+,mMyoVol1.0.SUPER__1,242898603,167175384,171960000,4163902,4803976,7,163006024_167810000_167175342_171961229
mMyoYum1.0.SUPER__2,217333615,106381448,107043350,-,mMyoVol1.0.SUPER__3,218117916,111215000,111869563,545414,662784,6,106381448_107044232_111214117_111869563
mMyoYum1.0.SUPER__3,215164148,43516,2081088,+,mMyoVol1.0.SUPER__2,219449921,48968,2132808,1705893,2085515,6,40384_2081088_47319_2132834
mMyoYum1.0.SUPER__2,217333615,77274,1082312,-,mMyoVol1.0.SUPER__3,218117916,217031329,218039530,884653,1008201,7,77256_1082312_217031329_218039530
mMyoYum1.0.SUPER__2,217333615,67205000,67372043,-,mMyoVol1.0.SUPER__3,218117916,150970000,151129298,130708,170000,5,67205000_67375000_150967667_151129298
mMyoYum1.0.SUPER__2,217333615,107070000,107228541,+,mMyoVol1.0.SUPER__3,218117916,110911937,111054640,116722,159616,4,107070000_107229616_110911937_111055700
mMyoYum1.0.SUPER__2,217333615,107231432,110042519,-,mMyoVol1.0.SUPER__3,218117916,108175000,110909294,2153065,2812416,4,107231432_110043848_108173627_110909294
mMyoYum1.0.SUPER__235,30212,256,29056,+,mMyoVol1.0.SUPER__4,121843818,98712847,98737904,23499,28800,7,256_29056_98712847_98737946
mMyoYum1.0.SUPER__277,27154,1170,27124,-,mMyoVol1.0.SUPER__4,121843818,6445816,6474270,24028,28483,7,1170_27154_6445787_6474270
mMyoYum1.0.SUPER__274,27606,37,27089,+,mMyoVol1.0.SUPER__4,121843818,29293200,29320000,26415,27606,12,0_27606_29293174_29320520
mMyoYum1.0.SUPER__257,28343,660,28285,-,mMyoVol1.0.SUPER__4,121843818,28076064,28100000,20134,28343,4,0_28343_28076004_28100726
mMyoYum1.0.SUPER__185,36983,5000,36658,-,mMyoVol1.0.SUPER__4,121843818,111227488,111254852,26313,31983,7,5000_36983_111227371_111254852
mMyoYum1.0.SUPER__167,42175,1152,41983,+,mMyoVol1.0.SUPER__4,121843818,4356043,4395856,37531,40831,10,1152_41983_4356043_4395856
mMyoYum1.0.SUPER__1,240344003,49521086,56590000,+,mMyoVol1.0.SUPER__1,242898603,46203866,53378728,6320842,7174862,7,49521024_56590000_46203866_53378728
mMyoYum1.0.SUPER__2,217333615,103921389,105549488,-,mMyoVol1.0.SUPER__3,218117916,112281335,113804744,1218105,1628160,4,103921328_105549488_112281335_113804841
mMyoYum1.0.SUPER__1,240344003,4365000,11877960,+,mMyoVol1.0.SUPER__1,242898603,6001874,13559767,6805633,7557893,8,4365000_11877960_6001874_13559767
mMyoYum1.0.SUPER__4,114657940,100966016,102535402,-,mMyoVol1.0.SUPER__5,114967735,12375128,13930887,1375209,1588480,7,100966016_102554496_12351194_13930887
mMyoYum1.0.SUPER__5,108188207,84255000,84449872,-,mMyoVol1.0.SUPER__6,109406527,84910165,85111953,140300,201788,4,84255000_84449872_84910165_85111953
mMyoYum1.0.SUPER__3,215164148,83260561,91248608,+,mMyoVol1.0.SUPER__2,219449921,84940896,93079957,6805906,8139110,6,83260512_91248608_84940847_93079957
mMyoYum1.0.SUPER__5,108188207,103070512,103229400,+,mMyoVol1.0.SUPER__6,109406527,104533490,104695000,142009,163946,7,103070512_103231792_104533490_104697436
mMyoYum1.0.SUPER__5,108188207,102720825,103065000,-,mMyoVol1.0.SUPER__6,109406527,104083455,104441672,294005,358258,6,102720808_103065000_104083455_104441713
mMyoYum1.0.SUPER__3,215164148,208680000,214290000,+,mMyoVol1.0.SUPER__2,219449921,212696690,218451102,4894259,5754412,7,208680000_214290000_212696690_218451102
mMyoYum1.0.SUPER__2,217333615,212816296,217277650,-,mMyoVol1.0.SUPER__3,218117916,65000,4630000,3821844,4571520,6,212815240_217285000_59548_4631068
mMyoYum1.0.SUPER__5,108188207,22610000,22664656,+,mMyoVol1.0.SUPER__6,109406527,22707578,22757269,45121,54656,7,22610000_22664656_22707578_22757269
mMyoYum1.0.SUPER__4,114657940,4505685,9189793,+,mMyoVol1.0.SUPER__5,114967735,105770640,110374544,4154915,4685000,8,4505000_9190000_105770161_110374751
mMyoYum1.0.SUPER__5,108188207,22770015,22965486,+,mMyoVol1.0.SUPER__6,109406527,22840823,23009856,127363,199296,3,22770000_22969296_22840823_23013773
mMyoYum1.0.SUPER__5,108188207,100012432,102720000,+,mMyoVol1.0.SUPER__6,109406527,101316346,104053097,2255711,2736751,6,100012432_102720000_101316346_104053097
mMyoYum1.0.SUPER__6,99144700,98190000,98442928,+,mMyoVol1.0.SUPER__7,100618793,1175199,1386840,166816,252928,4,98190000_98442928_1175199_1386855
mMyoYum1.0.SUPER__6,99144700,97133584,97409424,+,mMyoVol1.0.SUPER__7,100618793,2185256,2467835,222785,282691,5,97133456_97409424_2185144_2467835
mMyoYum1.0.SUPER__4,114657940,19842,4501558,-,mMyoVol1.0.SUPER__5,114967735,110380000,114930000,3917942,4552525,7,18984_4503208_110378352_114930877
mMyoYum1.0.SUPER__6,99144700,95277650,95417848,-,mMyoVol1.0.SUPER__7,100618793,4060073,4177568,83553,142848,3,95275000_95417848_4060073_4184680
mMyoYum1.0.SUPER__6,99144700,93414946,94277147,-,mMyoVol1.0.SUPER__7,100618793,4815144,5705000,725801,890248,6,93414592_94277184_4815107_5705355
mMyoYum1.0.SUPER__7,93950265,66616484,67348604,-,mMyoVol1.0.SUPER__8,95393848,27135000,27859744,674946,734464,9,66615536_67350000_27133316_27860925
mMyoYum1.0.SUPER__3,215164148,71320504,79473645,+,mMyoVol1.0.SUPER__2,219449921,72322513,80664184,6830936,8342652,6,71320504_79474616_72322513_80665165
mMyoYum1.0.SUPER__7,93950265,81445358,84349448,+,mMyoVol1.0.SUPER__8,95393848,9815000,12754880,2665896,2939930,9,81445256_84349448_9814950_12754880
mMyoYum1.0.SUPER__8,93940565,77401195,77425000,-,mMyoVol1.0.SUPER__9,93067155,14809169,14847064,36950,40000,11,77385000_77425000_14809169_14847064
mMyoYum1.0.SUPER__8,93940565,36746688,37138404,+,mMyoVol1.0.SUPER__9,93067155,55046152,55445000,342966,401450,6,36745512_37140000_55045145_55446595
