qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoCai1.0.SUPER__1,234393516,126199718,126275000,-,mMyoVol1.0.SUPER__1,242898603,107960868,108025000,55054,78208,4,126196792_126275000_107960868_108027074
mMyoCai1.0.SUPER__1,234393516,91140000,91190000,+,mMyoVol1.0.SUPER__1,242898603,154455552,154507749,46336,52197,8,91140000_91190000_154455552_154507749
mMyoCai1.0.SUPER__1,234393516,154651735,154850000,-,mMyoVol1.0.SUPER__1,242898603,80923981,81135032,156764,212643,4,154650192_154850000_80923981_81136624
mMyoCai1.0.SUPER__1,234393516,125895643,126128848,-,mMyoVol1.0.SUPER__1,242898603,108031802,108245000,171920,233848,4,125895000_126128848_108031802_108245474
mMyoCai1.0.SUPER__1,234393516,125693184,125837824,-,mMyoVol1.0.SUPER__1,242898603,108265213,108397547,96208,144640,3,125693184_125837824_108265213_108397547
mMyoCai1.0.SUPER__2,217612966,59441536,59634816,+,mMyoVol1.0.SUPER__2,219449921,159470968,159676577,165597,205609,6,59441536_59634816_159470968_159676577
mMyoCai1.0.SUPER__2,217612966,166999191,167035000,+,mMyoVol1.0.SUPER__2,219449921,50955640,50997131,31180,42149,5,166998584_167035000_50954982_50997131
mMyoCai1.0.SUPER__2,217612966,137602023,137723141,+,mMyoVol1.0.SUPER__2,219449921,80686920,80805000,104057,140648,4,137595000_137724408_80666130_80806778
mMyoCai1.0.SUPER__1,234393516,232253687,232835687,+,mMyoVol1.0.SUPER__1,242898603,2950512,3545000,518441,602699,7,232250384_232839440_2946577_3549276
mMyoCai1.0.SUPER__2,217612966,134073688,134183741,-,mMyoVol1.0.SUPER__2,219449921,84390000,84499488,86025,115000,4,134070000_134185000_84388746_84503086
mMyoCai1.0.SUPER__1,234393516,126305855,126935000,-,mMyoVol1.0.SUPER__1,242898603,107271213,107848464,456815,629248,4,126305752_126935000_107271213_107848567
mMyoCai1.0.SUPER__2,217612966,112908648,113023068,-,mMyoVol1.0.SUPER__2,219449921,105525000,105643410,82155,119041,3,112908648_113023848_105524369_105643410
mMyoCai1.0.SUPER__1,234393516,130904296,131504365,-,mMyoVol1.0.SUPER__1,242898603,102562919,103199677,450279,636758,4,130904296_131504488_102562919_103199677
mMyoCai1.0.SUPER__2,217612966,54485272,54575000,-,mMyoVol1.0.SUPER__2,219449921,164637045,164695000,66425,110775,3,54485272_54575000_164637045_164747820
mMyoCai1.0.SUPER__1,234393516,123871784,124878376,-,mMyoVol1.0.SUPER__1,242898603,109168481,110097638,759726,1006592,5,123871784_124878376_109168481_110097638
mMyoCai1.0.SUPER__2,217612966,217340168,217579016,-,mMyoVol1.0.SUPER__2,219449921,46626,248425,169437,238848,4,217340168_217579016_46626_248425
mMyoCai1.0.SUPER__2,217612966,176100000,177439748,-,mMyoVol1.0.SUPER__2,219449921,40410171,41736898,1166381,1340000,7,176100000_177440000_40410171_41736898
mMyoCai1.0.SUPER__1,234393516,230498743,231684352,+,mMyoVol1.0.SUPER__1,242898603,4045256,5274772,1042725,1251065,6,230480000_231684352_4023707_5274772
mMyoCai1.0.SUPER__3,217383104,106396863,107018336,-,mMyoVol1.0.SUPER__3,218117916,111287876,111869488,492162,621568,5,106396768_107018336_111287876_111869542
mMyoCai1.0.SUPER__2,217612966,114745000,115662518,-,mMyoVol1.0.SUPER__2,219449921,102893712,103705768,632129,917568,4,114745000_115662568_102893662_103705768
mMyoCai1.0.SUPER__2,217612966,111665584,112750000,-,mMyoVol1.0.SUPER__2,219449921,105692560,106668431,775210,1084416,4,111665584_112750000_105692560_106668431
mMyoCai1.0.SUPER__3,217383104,67553435,67725000,-,mMyoVol1.0.SUPER__3,218117916,150448408,150625000,159143,215000,4,67510000_67725000_150448408_150659146
mMyoCai1.0.SUPER__1,234393516,233242881,234393220,-,mMyoVol1.0.SUPER__1,242898603,1486576,2629744,979217,1158388,6,233235000_234393388_1486432_2638747
mMyoCai1.0.SUPER__2,217612966,7125000,9204872,-,mMyoVol1.0.SUPER__2,219449921,210243236,212368414,1874350,2125178,8,7125000_9204872_210243236_212368414
mMyoCai1.0.SUPER__2,217612966,118365000,119518080,-,mMyoVol1.0.SUPER__2,219449921,99415504,100617310,824653,1201806,3,118365000_119518080_99415504_100617310
mMyoCai1.0.SUPER__1,234393516,1723999,2909736,-,mMyoVol1.0.SUPER__1,242898603,241685419,242895659,998220,1230172,6,1722432_2920000_241667969_242898141
mMyoCai1.0.SUPER__2,217612966,116400624,118306604,-,mMyoVol1.0.SUPER__2,219449921,100620000,102495197,1512733,1906944,5,116400624_118307568_100619008_102495197
mMyoCai1.0.SUPER__3,217383104,172340000,172380000,-,mMyoVol1.0.SUPER__3,218117916,45271729,45312788,30785,41059,4,172340000_172380000_45271729_45312788
mMyoCai1.0.SUPER__3,217383104,159568703,159905000,-,mMyoVol1.0.SUPER__3,218117916,57987455,58316928,252307,337024,4,159567976_159905000_57987455_58320286
mMyoCai1.0.SUPER__2,217612966,113035422,113671713,-,mMyoVol1.0.SUPER__2,219449921,104785000,105395000,1185704,1687680,4,113035144_114722824_103759800_105395278
mMyoCai1.0.SUPER__3,217383104,141738342,141997696,-,mMyoVol1.0.SUPER__3,218117916,75628813,75890000,210339,262682,5,141736960_141997696_75628813_75891495
mMyoCai1.0.SUPER__3,217383104,110095000,112339872,-,mMyoVol1.0.SUPER__3,218117916,105723542,108112987,1769782,2389445,4,110095000_112339872_105723542_108112987
mMyoCai1.0.SUPER__3,217383104,139200000,139237632,+,mMyoVol1.0.SUPER__3,218117916,78487759,78539412,31959,51653,4,139200000_139237632_78487759_78539412
mMyoCai1.0.SUPER__2,217612966,120337152,120356333,-,mMyoVol1.0.SUPER__2,219449921,98577944,98598424,2098446,2726100,4,119522248_122204872_96591032_99317132
mMyoCai1.0.SUPER__2,217612966,122272765,125685000,-,mMyoVol1.0.SUPER__2,219449921,93118355,96573208,2765076,3458465,5,122266120_125685000_93118355_96576820
mMyoCai1.0.SUPER__2,217612966,137246453,137591928,-,mMyoVol1.0.SUPER__2,219449921,80831439,81150000,2823917,3404672,6,134187256_137591928_80831439_84209438
mMyoCai1.0.SUPER__4,126198552,102215000,102353240,+,mMyoVol1.0.SUPER__4,121843818,100036309,100168274,115077,138240,6,102215000_102353240_100036309_100168274
mMyoCai1.0.SUPER__4,126198552,101920000,102134144,+,mMyoVol1.0.SUPER__4,121843818,99790015,100033504,195343,243489,6,101920000_102134144_99790015_100033504
mMyoCai1.0.SUPER__4,126198552,102400000,102569742,-,mMyoVol1.0.SUPER__4,121843818,100255624,100463269,140053,210051,3,102400000_102589488_100253218_100463269
mMyoCai1.0.SUPER__4,126198552,100995000,101141703,-,mMyoVol1.0.SUPER__4,121843818,98975208,99104704,120990,149232,6,100995000_101144232_98971411_99104704
mMyoCai1.0.SUPER__1,234393516,158097775,158258206,-,mMyoVol1.0.SUPER__1,242898603,77660880,77801680,2881517,3626496,5,154915464_158541960_77356108_80919533
mMyoCai1.0.SUPER__3,217383104,107022225,110083901,-,mMyoVol1.0.SUPER__3,218117916,108175000,111177718,2295810,3062784,4,107022216_110085000_108173902_111177718
mMyoCai1.0.SUPER__4,126198552,99095000,99449944,+,mMyoVol1.0.SUPER__4,121843818,97404179,97803712,284511,399612,4,99095000_99450000_97404179_97803791
mMyoCai1.0.SUPER__4,126198552,109660000,109694891,-,mMyoVol1.0.SUPER__4,121843818,107470320,107509287,34312,42785,6,109660000_109700000_107466502_107509287
mMyoCai1.0.SUPER__4,126198552,98596599,98977712,+,mMyoVol1.0.SUPER__4,121843818,96841792,97230000,356598,496672,4,98513328_99010000_96783401_97259056
mMyoCai1.0.SUPER__4,126198552,125951858,126196969,-,mMyoVol1.0.SUPER__23,11797300,1206552,1452184,200424,315169,3,125905000_126198552_1205466_1520635
mMyoCai1.0.SUPER__4,126198552,90180000,90227611,+,mMyoVol1.0.SUPER__4,121843818,88325496,88365000,434080,577616,5,90180000_90705000_88325496_88903112
mMyoCai1.0.SUPER__4,126198552,3236024,3505317,+,mMyoVol1.0.SUPER__4,121843818,3029659,3296936,230091,283976,5,3236024_3520000_3029659_3304461
mMyoCai1.0.SUPER__4,126198552,26524724,26568447,-,mMyoVol1.0.SUPER__4,121843818,25610000,25655000,45478,51367,8,26520464_26569872_25608919_25660286
mMyoCai1.0.SUPER__4,126198552,42270217,42313848,-,mMyoVol1.0.SUPER__4,121843818,41473873,41519872,43625,50337,8,42265848_42313848_41473873_41524210
mMyoCai1.0.SUPER__4,126198552,56865000,56909355,-,mMyoVol1.0.SUPER__4,121843818,55906232,55953990,39145,47905,6,56865000_56909872_55906085_55953990
mMyoCai1.0.SUPER__4,126198552,68341210,68400000,-,mMyoVol1.0.SUPER__4,121843818,67326747,67377440,42009,59008,4,68340992_68400000_67326747_67377648
mMyoCai1.0.SUPER__4,126198552,12942816,15540000,+,mMyoVol1.0.SUPER__4,121843818,12035334,14608409,2255095,2597184,7,12942816_15540000_12035334_14608409
mMyoCai1.0.SUPER__4,126198552,85090410,85363049,+,mMyoVol1.0.SUPER__4,121843818,83132787,83445000,211652,313929,4,85090256_85365000_83132787_83446716
mMyoCai1.0.SUPER__4,126198552,75731920,75835000,+,mMyoVol1.0.SUPER__4,121843818,73500648,73599735,58614,103080,2,75731920_75835000_73500648_73599735
mMyoCai1.0.SUPER__4,126198552,74620852,74950000,+,mMyoVol1.0.SUPER__4,121843818,72668456,72940540,242230,329232,5,74620768_74950000_72668417_72940540
mMyoCai1.0.SUPER__4,126198552,85369061,86396585,+,mMyoVol1.0.SUPER__4,121843818,83514234,84439664,765965,1040256,5,85368968_86409224_83514234_84445441
mMyoCai1.0.SUPER__4,126198552,72748699,73047976,+,mMyoVol1.0.SUPER__4,121843818,71365256,71614683,212592,299776,4,72748200_73047976_71364757_71614683
mMyoCai1.0.SUPER__4,126198552,75169583,75669901,+,mMyoVol1.0.SUPER__4,121843818,72947176,73492584,398215,556475,4,75161152_75673792_72943283_73499758
mMyoCai1.0.SUPER__5,115105322,102955000,103065000,+,mMyoVol1.0.SUPER__5,114967735,12170333,12309793,92585,139460,4,102955000_103065000_12170333_12309793
mMyoCai1.0.SUPER__5,115105322,105490000,105679394,-,mMyoVol1.0.SUPER__5,114967735,9380000,9588429,152665,217587,4,105490000_105686672_9370842_9588429
mMyoCai1.0.SUPER__6,110102919,88890000,89064928,+,mMyoVol1.0.SUPER__6,109406527,88843418,89015000,154758,207488,5,88890000_89097488_88843418_89024725
mMyoCai1.0.SUPER__4,126198552,117540768,124245664,+,mMyoVol1.0.SUPER__4,121843818,115167149,121838916,5884580,6704896,7,117540768_124245664_115167149_121838916
mMyoCai1.0.SUPER__2,217612966,177467712,189240000,-,mMyoVol1.0.SUPER__2,219449921,28503564,40275000,10382058,11775000,7,177465000_189240000_28503564_40277143
mMyoCai1.0.SUPER__2,217612966,137785000,145951577,-,mMyoVol1.0.SUPER__2,219449921,72322216,80663906,6748768,8346139,5,137785000_145959104_72317767_80663906
mMyoCai1.0.SUPER__6,110102919,85542153,86056536,+,mMyoVol1.0.SUPER__6,109406527,85430000,85965000,443252,598912,4,85490128_86089040_85424362_85985339
mMyoCai1.0.SUPER__6,110102919,22410128,22470000,+,mMyoVol1.0.SUPER__6,109406527,22708965,22781326,55563,72361,6,22410128_22470000_22708965_22781326
mMyoCai1.0.SUPER__4,126198552,68413579,71069839,+,mMyoVol1.0.SUPER__4,121843818,67382048,69905000,1835924,2659872,4,68410128_71070000_67378398_69905161
mMyoCai1.0.SUPER__4,126198552,86465128,86680726,+,mMyoVol1.0.SUPER__4,121843818,84447534,84689096,2788414,3835748,4,86465128_90135000_84447534_88283282
mMyoCai1.0.SUPER__7,101286765,94015152,94109488,-,mMyoVol1.0.SUPER__7,100618793,6545250,6643341,83816,98091,7,94015152_94109488_6545250_6643341
mMyoCai1.0.SUPER__3,217383104,209715272,217324616,-,mMyoVol1.0.SUPER__3,218117916,51637,7825954,6557510,7774317,6,209715272_217324616_51637_7825954
mMyoCai1.0.SUPER__7,101286765,96267755,96303976,-,mMyoVol1.0.SUPER__7,100618793,4156590,4185000,24036,37632,3,96266344_96303976_4156590_4188304
mMyoCai1.0.SUPER__7,101286765,94723164,95569869,-,mMyoVol1.0.SUPER__7,100618793,4770864,5630000,743734,948219,5,94655248_95570448_4770271_5718490
mMyoCai1.0.SUPER__8,94581416,7775961,7979232,-,mMyoVol1.0.SUPER__8,95393848,86807240,87004872,174838,203520,7,7775712_7979232_86807240_87005153
mMyoCai1.0.SUPER__8,94581416,7983701,8015000,+,mMyoVol1.0.SUPER__8,95393848,86770000,86801688,28524,32565,7,7982816_8015000_86769123_86801688
mMyoCai1.0.SUPER__6,110102919,102060608,105944384,+,mMyoVol1.0.SUPER__6,109406527,101320591,105361930,3207993,4041339,5,102060608_105944384_101320591_105361930
mMyoCai1.0.SUPER__8,94581416,67025000,67774488,-,mMyoVol1.0.SUPER__8,95393848,27133891,27858914,662714,749488,8,67025000_67774488_27133891_27858914
mMyoCai1.0.SUPER__9,94164217,63607371,63675000,+,mMyoVol1.0.SUPER__9,93067155,62400000,62463733,57343,69488,6,63605512_63675000_62397917_62463733
mMyoCai1.0.SUPER__9,94164217,15767176,15840000,+,mMyoVol1.0.SUPER__9,93067155,14695516,14771393,68559,75877,9,15767176_15840000_14695516_14771393
mMyoCai1.0.SUPER__5,115105322,79595712,88119744,-,mMyoVol1.0.SUPER__5,114967735,27066464,35574650,7562933,8524032,7,79595712_88119744_27066464_35574650
mMyoCai1.0.SUPER__9,94164217,83194596,83430000,+,mMyoVol1.0.SUPER__9,93067155,81795512,82014555,171988,240008,4,83189992_83430000_81788988_82014555
mMyoCai1.0.SUPER__9,94164217,92409848,92455000,+,mMyoVol1.0.SUPER__9,93067155,91056084,91119050,41340,62966,4,92409848_92455000_91056084_91119050
