qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoLuc1.0.SUPER__1,244374582,109260000,109305000,+,mMyoOcc1.0.SUPER__1,232672419,103981695,104026688,44812,45000,22,109260000_109305000_103981695_104026688
mMyoLuc1.0.SUPER__1,244374582,243655128,243684081,+,mMyoOcc1.0.SUPER__1,232672419,231226000,231255000,32384,39551,7,243655128_243694679_231226000_231259191
mMyoLuc1.0.SUPER__1,244374582,167535000,167615000,+,mMyoOcc1.0.SUPER__1,232672419,156600430,156670924,62772,80000,6,167535000_167615000_156600430_156670924
mMyoLuc1.0.SUPER__1,244374582,167660527,167797536,+,mMyoOcc1.0.SUPER__1,232672419,156805000,156944365,145156,175872,6,167621664_167797536_156782593_156944365
mMyoLuc1.0.SUPER__1,244374582,244105000,244175185,+,mMyoOcc1.0.SUPER__1,232672419,231361385,231433336,74772,115000,4,244105000_244220000_231361385_231445229
mMyoLuc1.0.SUPER__1,244374582,115710000,115734855,+,mMyoOcc1.0.SUPER__1,232672419,106440174,106465000,127444,135000,12,115710000_115845000_106440174_106568699
mMyoLuc1.0.SUPER__1,244374582,109138766,109234105,+,mMyoOcc1.0.SUPER__1,232672419,107090000,107185000,109007,110000,19,109125000_109235000_107076210_107185895
mMyoLuc1.0.SUPER__1,244374582,110940000,111030000,-,mMyoOcc1.0.SUPER__45,147643,31629,122554,87515,90925,12,110940000_111030000_31629_122554
mMyoLuc1.0.SUPER__1,244374582,239674778,240250000,+,mMyoOcc1.0.SUPER__1,232672419,228995000,229573693,564253,593395,11,239660000_240250000_228980298_229573693
mMyoLuc1.0.SUPER__1,244374582,42830000,43209008,+,mMyoOcc1.0.SUPER__1,232672419,42757139,43122119,341640,379008,9,42830000_43209008_42757139_43122119
mMyoLuc1.0.SUPER__1,244374582,96368447,96397184,-,mMyoOcc1.0.SUPER__1,232672419,96020816,96049872,27719,29153,12,96368384_96397184_96020781_96049934
mMyoLuc1.0.SUPER__1,244374582,89855590,89935670,-,mMyoOcc1.0.SUPER__1,232672419,88910000,88985000,105546,115000,10,89855000_89970000_88875809_88985559
mMyoLuc1.0.SUPER__1,244374582,167891774,167924362,+,mMyoOcc1.0.SUPER__1,232672419,156983177,156984616,169636,275637,3,167860000_168103712_156983177_157258814
mMyoLuc1.0.SUPER__2,212563729,98036401,98313656,+,mMyoOcc1.0.SUPER__2,212937769,114250256,114518103,256044,277504,10,98036152_98313656_114250015_114518103
mMyoLuc1.0.SUPER__2,212563729,81880890,81910000,-,mMyoOcc1.0.SUPER__2,212937769,130770000,130793312,113636,131107,9,81795000_81910000_130662205_130793312
mMyoLuc1.0.SUPER__2,212563729,109451992,110091429,-,mMyoOcc1.0.SUPER__2,212937769,102771456,103399744,617465,640768,13,109450776_110091544_102771456_103400960
mMyoLuc1.0.SUPER__2,212563729,146454186,146608030,-,mMyoOcc1.0.SUPER__2,212937769,65885760,66039744,136626,158900,7,146450896_146608208_65885559_66044459
mMyoLuc1.0.SUPER__1,244374582,240656696,242031972,+,mMyoOcc1.0.SUPER__1,232672419,229600384,230957952,1249865,1376768,8,240655256_242032024_229598787_230957952
mMyoLuc1.0.SUPER__3,211792393,119550000,119625000,-,mMyoOcc1.0.SUPER__3,212757328,92642487,92710148,66372,75000,9,119550000_119625000_92642487_92710148
mMyoLuc1.0.SUPER__3,211792393,119160000,119211549,-,mMyoOcc1.0.SUPER__3,212757328,93260000,93311713,59402,60408,17,119160000_119220000_93251305_93311713
mMyoLuc1.0.SUPER__3,211792393,67411152,67470000,+,mMyoOcc1.0.SUPER__3,212757328,145180958,145239123,53900,58848,9,67411152_67470000_145180958_145239123
mMyoLuc1.0.SUPER__2,212563729,211433432,212531009,-,mMyoOcc1.0.SUPER__2,212937769,25000,1109120,985881,1100672,8,211433432_212534104_21910_1109120
mMyoLuc1.0.SUPER__3,211792393,205021684,205044360,-,mMyoOcc1.0.SUPER__3,212757328,6802294,6825000,22978,24442,11,205020000_205044360_6802294_6826736
mMyoLuc1.0.SUPER__3,211792393,205050184,205085000,-,mMyoOcc1.0.SUPER__3,212757328,6839481,6874308,33805,34827,15,205050184_205085000_6839481_6874308
mMyoLuc1.0.SUPER__3,211792393,202530000,202900000,-,mMyoOcc1.0.SUPER__3,212757328,9264541,9646568,347933,382027,9,202530000_202900000_9264541_9646568
mMyoLuc1.0.SUPER__1,244374582,136997571,137060000,+,mMyoOcc1.0.SUPER__1,232672419,126245000,126302200,68472,90000,6,136970000_137060000_126222051_126302200
