qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVol1.0.SUPER__1,242898603,155672771,155720000,+,mMyoAui1.0.SUPER__1,234041302,145385000,145428787,37502,48592,5,155671408_155720000_145381789_145428787
mMyoVol1.0.SUPER__1,242898603,142235830,142321596,-,mMyoAui1.0.SUPER__1,234041302,128160000,128250000,225291,305536,4,142030360_142334744_128146504_128452040
mMyoVol1.0.SUPER__1,242898603,108032550,108244784,+,mMyoAui1.0.SUPER__1,234041302,108125384,108362382,172004,237748,4,108031792_108244784_108124634_108362382
mMyoVol1.0.SUPER__3,218117916,150671728,150705520,-,mMyoAui1.0.SUPER__2,216233548,67274758,67309752,32712,34994,11,150671728_150705520_67274758_67309752
mMyoVol1.0.SUPER__1,242898603,108267816,108482184,+,mMyoAui1.0.SUPER__1,234041302,108450893,108649168,133568,217184,3,108267816_108485000_108450893_108650712
mMyoVol1.0.SUPER__1,242898603,107270615,107699968,+,mMyoAui1.0.SUPER__1,234041302,107376963,107775000,304324,429488,4,107270512_107700000_107376963_107775030
mMyoVol1.0.SUPER__3,218117916,150971792,151125776,-,mMyoAui1.0.SUPER__2,216233548,66885144,67046398,134975,168391,6,150971792_151130000_66878007_67046398
mMyoVol1.0.SUPER__1,242898603,77410128,77639760,+,mMyoAui1.0.SUPER__1,234041302,77179650,77364257,141165,229632,3,77410128_77639760_77179650_77364257
mMyoVol1.0.SUPER__1,242898603,107765384,108025000,+,mMyoAui1.0.SUPER__1,234041302,107776352,108052247,188956,275895,4,107765384_108025000_107776352_108052247
mMyoVol1.0.SUPER__3,218117916,7812770,7841841,-,mMyoAui1.0.SUPER__2,216233548,208445944,208473976,6586878,7786752,6,57992_7844744_208443035_216176369
mMyoVol1.0.SUPER__3,218117916,57889981,57983451,-,mMyoAui1.0.SUPER__2,216233548,158785152,158826692,140100,210238,3,57855000_58059744_158616454_158826692
mMyoVol1.0.SUPER__3,218117916,105194329,105612279,-,mMyoAui1.0.SUPER__2,216233548,111480000,111869104,8909472,10917312,5,94695000_105612312_111479950_122125002
mMyoVol1.0.SUPER__1,242898603,109168664,109924744,+,mMyoAui1.0.SUPER__1,234041302,109154216,109967059,628869,827827,5,109148808_109924744_109139232_109967059
mMyoVol1.0.SUPER__3,218117916,111218107,111907700,-,mMyoAui1.0.SUPER__2,216233548,105575000,106266854,543967,693773,5,111218032_111909616_105573081_106266854
mMyoVol1.0.SUPER__3,218117916,84066464,84259360,-,mMyoAui1.0.SUPER__2,216233548,132348013,132536699,157565,192896,6,84066464_84259360_132348013_132536699
mMyoVol1.0.SUPER__3,218117916,75945000,76053758,-,mMyoAui1.0.SUPER__2,216233548,140495280,140587257,104423,165728,3,75945000_76085000_140421529_140587257
mMyoVol1.0.SUPER__3,218117916,75645000,75890000,-,mMyoAui1.0.SUPER__2,216233548,140591707,140839849,201992,248142,5,75645000_75890000_140591707_140839849
mMyoVol1.0.SUPER__2,219449921,123804458,123949132,+,mMyoAui1.0.SUPER__3,215394694,121085000,121245000,217250,273724,5,123795640_124050000_121075976_121349700
mMyoVol1.0.SUPER__3,218117916,185300528,186627106,-,mMyoAui1.0.SUPER__2,216233548,31610296,32890333,1259590,1448064,7,185300528_186748592_31488200_32890333
mMyoVol1.0.SUPER__1,242898603,4046773,5275051,+,mMyoAui1.0.SUPER__1,234041302,4295128,5504472,1042331,1264901,6,4040000_5280000_4245717_5510618
mMyoVol1.0.SUPER__2,219449921,106730000,107283917,+,mMyoAui1.0.SUPER__3,215394694,104669808,105215000,1304727,1705000,5,106730000_108435000_104669808_106309391
mMyoVol1.0.SUPER__3,218117916,217015224,218033208,-,mMyoAui1.0.SUPER__2,216233548,62738,1094456,891466,1048042,7,217015224_218033208_62738_1110780
mMyoVol1.0.SUPER__2,219449921,101795912,102480518,+,mMyoAui1.0.SUPER__3,215394694,99741798,100440000,569197,699152,5,101795896_102481464_99741798_100440950
mMyoVol1.0.SUPER__2,219449921,105565384,105643336,+,mMyoAui1.0.SUPER__3,215394694,103519097,103588937,61268,77952,6,105565384_105643336_103519097_103588937
mMyoVol1.0.SUPER__1,242898603,1226792,2613160,+,mMyoAui1.0.SUPER__1,234041302,1880000,3224256,1170422,1448064,5,1226792_2674856_1879724_3289221
mMyoVol1.0.SUPER__2,219449921,105815000,106668545,+,mMyoAui1.0.SUPER__3,215394694,103821333,104665000,624381,854400,4,105815000_106669400_103821333_104665793
mMyoVol1.0.SUPER__2,219449921,164620650,164687342,+,mMyoAui1.0.SUPER__3,215394694,161380000,161450000,85926,131156,3,164581776_164699280_161330747_161461903
mMyoVol1.0.SUPER__1,242898603,241716073,242895376,+,mMyoAui1.0.SUPER__1,234041302,231186920,232318356,36368435,41684992,7,201210384_242895376_191027521_232318356
mMyoVol1.0.SUPER__2,219449921,194635000,194687177,+,mMyoAui1.0.SUPER__3,215394694,191199860,191254767,49471,57726,7,194635000_194690000_191199860_191257586
mMyoVol1.0.SUPER__2,219449921,210055128,210084395,+,mMyoAui1.0.SUPER__3,215394694,206480587,206508384,30776,63360,2,210055128_210118488_206480587_206532388
mMyoVol1.0.SUPER__2,219449921,100446059,100526511,+,mMyoAui1.0.SUPER__3,215394694,98497700,98584216,65624,89830,4,100446024_100529864_98497700_98587530
mMyoVol1.0.SUPER__2,219449921,212430000,212462474,+,mMyoAui1.0.SUPER__3,215394694,208670336,208710016,52725,104704,2,212430000_212534704_208661497_208740223
mMyoVol1.0.SUPER__2,219449921,100618975,101744231,+,mMyoAui1.0.SUPER__3,215394694,98592344,99740000,924890,1148462,5,100618968_101745000_98592344_99740806
mMyoVol1.0.SUPER__2,219449921,28251589,28316327,+,mMyoAui1.0.SUPER__3,215394694,28215000,28280000,133935,198656,4,28240512_28439168_28188325_28362906
mMyoVol1.0.SUPER__1,242898603,110049428,113060920,+,mMyoAui1.0.SUPER__1,234041302,109976792,113019480,2472748,3047414,5,110042048_113062848_109973974_113021388
mMyoVol1.0.SUPER__2,219449921,102882219,104282152,+,mMyoAui1.0.SUPER__3,215394694,101095000,102506584,1005440,1413160,4,102880680_104282152_101093460_102506620
mMyoVol1.0.SUPER__3,218117916,105724274,108114232,-,mMyoAui1.0.SUPER__2,216233548,109175216,111469616,1794292,2391296,4,105722936_108114232_109175191_111470979
mMyoVol1.0.SUPER__2,219449921,69956748,70034336,-,mMyoAui1.0.SUPER__3,215394694,69190000,69268519,70439,79180,8,69956664_70035000_69189339_69268519
mMyoVol1.0.SUPER__2,219449921,70037605,70342099,+,mMyoAui1.0.SUPER__3,215394694,69275000,69582712,227831,308409,4,70036920_70342200_69274406_69582815
mMyoVol1.0.SUPER__2,219449921,71432729,71779872,-,mMyoAui1.0.SUPER__3,215394694,70751543,71049488,271606,353920,5,71425952_71779872_70751543_71057191
mMyoVol1.0.SUPER__2,219449921,40410000,41736216,+,mMyoAui1.0.SUPER__3,215394694,40151345,41455000,1176658,1328640,8,40410000_41738640_40151345_41457473
mMyoVol1.0.SUPER__2,219449921,71795771,72232248,+,mMyoAui1.0.SUPER__3,215394694,71065000,71508112,361935,443883,5,71795000_72232248_71064229_71508112
mMyoVol1.0.SUPER__2,219449921,80405000,80664744,-,mMyoAui1.0.SUPER__3,215394694,79412715,79681318,235823,268603,8,80405000_80664744_79412715_79681318
mMyoVol1.0.SUPER__2,219449921,80686997,81151850,+,mMyoAui1.0.SUPER__3,215394694,79691400,80154640,403638,471040,6,80686920_81157960_79691400_80161897
mMyoVol1.0.SUPER__2,219449921,70345000,71412648,+,mMyoAui1.0.SUPER__3,215394694,69645781,70743074,893712,1097293,6,70345000_71412648_69645781_70743074
mMyoVol1.0.SUPER__2,219449921,99765512,100365000,+,mMyoAui1.0.SUPER__3,215394694,97905912,98486088,443352,599616,4,99765384_100365000_97905912_98486088
mMyoVol1.0.SUPER__2,219449921,99406675,99702566,+,mMyoAui1.0.SUPER__3,215394694,97617685,97892632,226421,308464,4,99406536_99715000_97617685_97905308
mMyoVol1.0.SUPER__2,219449921,99147354,99315000,+,mMyoAui1.0.SUPER__3,215394694,97475000,97613845,115618,169232,4,99145768_99315000_97473390_97613845
mMyoVol1.0.SUPER__2,219449921,96545000,96573288,+,mMyoAui1.0.SUPER__3,215394694,94950089,94972830,21181,28288,6,96545000_96573288_94950089_94972830
mMyoVol1.0.SUPER__2,219449921,98610256,99088080,+,mMyoAui1.0.SUPER__3,215394694,96976303,97438480,388578,477824,5,98610256_99088080_96976303_97438480
mMyoVol1.0.SUPER__2,219449921,84752551,84857371,+,mMyoAui1.0.SUPER__3,215394694,83675000,83788024,88253,113810,5,84752176_84857520_83674758_83788568
mMyoVol1.0.SUPER__2,219449921,84386920,84498253,+,mMyoAui1.0.SUPER__3,215394694,83237560,83330000,86574,113080,6,84386920_84500000_83237533_83331741
mMyoVol1.0.SUPER__3,218117916,108180920,111150313,-,mMyoAui1.0.SUPER__2,216233548,106275000,109172754,2190273,2972160,4,108180920_111153080_106270009_109172754
mMyoVol1.0.SUPER__4,121843818,83130362,83440000,+,mMyoAui1.0.SUPER__4,125946359,84455640,84709052,203526,310000,4,83130000_83440000_84455354_84709052
mMyoVol1.0.SUPER__4,121843818,82808810,82899720,+,mMyoAui1.0.SUPER__4,125946359,84261408,84332003,1128295,1694336,3,81205384_82899720_82694153_84332003
mMyoVol1.0.SUPER__4,121843818,81155070,81199446,-,mMyoAui1.0.SUPER__4,125946359,82640000,82675000,37017,50688,5,81151624_81202312_82637343_82678451
mMyoVol1.0.SUPER__4,121843818,80798090,81149816,+,mMyoAui1.0.SUPER__4,125946359,82355000,82629921,221413,352256,4,80797560_81149816_82354559_82629921
mMyoVol1.0.SUPER__2,219449921,96593328,98577655,+,mMyoAui1.0.SUPER__3,215394694,95031583,96918896,1548916,1984640,5,96593328_98577968_95031583_96919209
mMyoVol1.0.SUPER__2,219449921,81200092,84207045,+,mMyoAui1.0.SUPER__3,215394694,80240256,83234816,2532796,3009408,6,81200000_84209408_80240186_83237179
mMyoVol1.0.SUPER__4,121843818,79080175,80731273,+,mMyoAui1.0.SUPER__4,125946359,80731923,82344848,1354395,1651328,6,79080128_80731456_80731923_82345031
mMyoVol1.0.SUPER__4,121843818,76005264,76083015,-,mMyoAui1.0.SUPER__4,125946359,77620000,77715088,58731,101735,3,76005264_76089616_77613353_77715088
mMyoVol1.0.SUPER__4,121843818,72944242,73542688,+,mMyoAui1.0.SUPER__4,125946359,74615640,75234776,461047,621777,4,72943200_73544288_74614597_75236374
mMyoVol1.0.SUPER__4,121843818,72582688,72939800,+,mMyoAui1.0.SUPER__4,125946359,74056695,74505000,307631,448502,4,72582688_72940000_74056695_74505197
mMyoVol1.0.SUPER__4,121843818,90555256,91059448,+,mMyoAui1.0.SUPER__4,125946359,91645751,92143505,408316,504192,5,90555256_91059448_91645751_92143505
mMyoVol1.0.SUPER__2,219449921,93159491,96489568,+,mMyoAui1.0.SUPER__3,215394694,91812176,94946363,9371304,11548672,5,84940896_96489568_83790159_94946363
mMyoVol1.0.SUPER__4,121843818,96783296,97220000,+,mMyoAui1.0.SUPER__4,125946359,97677304,98086385,4708541,6139104,5,91080896_97220000_92192250_98086385
mMyoVol1.0.SUPER__4,121843818,98975336,99105000,-,mMyoAui1.0.SUPER__4,125946359,99882822,100026345,119635,143523,7,98975336_99105000_99882822_100026345
mMyoVol1.0.SUPER__3,218117916,112254592,117920000,-,mMyoAui1.0.SUPER__2,216233548,99662746,105328387,4567302,5665641,5,112254592_117920000_99662746_105328387
mMyoVol1.0.SUPER__4,121843818,98011536,98100321,+,mMyoAui1.0.SUPER__4,125946359,98783978,98909792,73121,128800,3,98011536_98118544_98783978_98912778
mMyoVol1.0.SUPER__4,121843818,76090384,79012873,+,mMyoAui1.0.SUPER__4,125946359,77725307,80720000,2352394,2996682,5,76090384_79014800_77725307_80721989
mMyoVol1.0.SUPER__4,121843818,71301310,71364768,+,mMyoAui1.0.SUPER__4,125946359,72125774,72199238,49906,73464,4,71301152_71364768_72125774_72199238
mMyoVol1.0.SUPER__4,121843818,71365256,71611537,+,mMyoAui1.0.SUPER__4,125946359,72316000,72567160,205470,252573,5,71365256_71612936_72316000_72568573
mMyoVol1.0.SUPER__2,219449921,151758972,158375350,+,mMyoAui1.0.SUPER__3,215394694,148695000,155340000,5820941,6715654,7,151710240_158380000_148629139_155344793
mMyoVol1.0.SUPER__4,121843818,3021330,3296507,-,mMyoAui1.0.SUPER__4,125946359,1325000,1626544,225289,301996,5,3021216_3296928_1324662_1626658
mMyoVol1.0.SUPER__4,121843818,7210992,7270000,-,mMyoAui1.0.SUPER__4,125946359,7961467,8024171,51759,62704,6,7210992_7270000_7961467_8024171
mMyoVol1.0.SUPER__4,121843818,7285000,7322385,-,mMyoAui1.0.SUPER__4,125946359,8040000,8077050,37687,39872,11,7285000_7324872_8037520_8077050
mMyoVol1.0.SUPER__4,121843818,3310224,4088067,-,mMyoAui1.0.SUPER__4,125946359,20370,804100,681057,783730,7,3310224_4088080_20370_804100
mMyoVol1.0.SUPER__4,121843818,110665632,115084832,+,mMyoAui1.0.SUPER__4,125946359,111819049,116320807,4032252,4501758,8,110665632_115084832_111819049_116320807
mMyoVol1.0.SUPER__4,121843818,12990256,13041408,+,mMyoAui1.0.SUPER__4,125946359,13738731,13795000,3754767,4410493,6,12990256_17278896_13738731_18149224
mMyoVol1.0.SUPER__4,121843818,25610000,25656311,-,mMyoAui1.0.SUPER__4,125946359,26550848,26594874,43997,50000,8,25610000_25660000_26548327_26594874
mMyoVol1.0.SUPER__23,11797300,1560000,2578869,-,mMyoAui1.0.SUPER__4,125946359,123605136,124589442,736830,1019104,4,1560000_2579104_123604923_124589442
mMyoVol1.0.SUPER__4,121843818,69967380,70303209,+,mMyoAui1.0.SUPER__4,125946359,71006920,71324360,227814,337824,3,69967176_70305000_71006716_71326147
mMyoVol1.0.SUPER__4,121843818,68611896,68963556,+,mMyoAui1.0.SUPER__4,125946359,69690000,70079504,283042,392848,4,68610000_68965000_69688082_70080930
mMyoVol1.0.SUPER__4,121843818,70573328,71284496,+,mMyoAui1.0.SUPER__4,125946359,71345257,72069947,480807,724690,3,70573328_71284496_71345257_72069947
mMyoVol1.0.SUPER__4,121843818,68013675,68544160,+,mMyoAui1.0.SUPER__4,125946359,69155128,69677752,394941,534360,4,68010640_68545000_69152319_69678532
mMyoVol1.0.SUPER__4,121843818,30248,3019213,+,mMyoAui1.0.SUPER__4,125946359,1701404,4805000,2682392,3104377,7,30248_3020000_1701404_4805781
mMyoVol1.0.SUPER__4,121843818,55905976,55955000,-,mMyoAui1.0.SUPER__4,125946359,56897957,56949485,42366,51528,6,55905976_55955000_56897957_56949485
mMyoVol1.0.SUPER__4,121843818,41472008,41521221,-,mMyoAui1.0.SUPER__4,125946359,42385000,42434200,44741,52224,6,41472008_41524232_42382089_42434200
mMyoVol1.0.SUPER__4,121843818,41013692,41038720,-,mMyoAui1.0.SUPER__4,125946359,41950354,41975000,23042,25728,8,41012992_41038720_41950354_41975688
mMyoVol1.0.SUPER__4,121843818,67383804,68009435,+,mMyoAui1.0.SUPER__4,125946359,68410000,69089808,810311,1159027,4,66930000_68010000_67931258_69090285
mMyoVol1.0.SUPER__4,121843818,69050000,69636958,+,mMyoAui1.0.SUPER__4,125946359,70087334,70779784,440285,693792,3,69050000_69638288_70087334_70781126
mMyoVol1.0.SUPER__5,114967735,54535329,54708568,+,mMyoAui1.0.SUPER__5,115173812,60060128,60223431,153350,173568,8,54535000_54708568_60059823_60223431
mMyoVol1.0.SUPER__5,114967735,74430128,74512385,+,mMyoAui1.0.SUPER__5,115173812,40247009,40325000,72506,84480,7,74430128_74514608_40247009_40327239
mMyoVol1.0.SUPER__24,3403869,6811,735025,+,mMyoAui1.0.SUPER__5,115173812,113500000,114185000,591825,745000,5,0_745000_113496916_114194842
mMyoVol1.0.SUPER__3,218117916,66897136,75589872,-,mMyoAui1.0.SUPER__2,216233548,141208114,149811101,7313235,8692736,6,66897136_75589872_141208114_149811101
mMyoVol1.0.SUPER__5,114967735,12244304,13949136,-,mMyoAui1.0.SUPER__5,115173812,101649640,103421744,1484726,1827646,6,12244304_13949136_101594098_103421744
mMyoVol1.0.SUPER__5,114967735,9639896,12064744,-,mMyoAui1.0.SUPER__5,115173812,103743355,106175000,2120910,2435565,7,9635944_12064744_103743355_106178920
mMyoVol1.0.SUPER__4,121843818,115166696,121839032,+,mMyoAui1.0.SUPER__4,125946359,116565902,123271176,5854409,6706015,7,115166696_121839848_116565902_123271917
mMyoVol1.0.SUPER__6,109406527,89445326,89555239,+,mMyoAui1.0.SUPER__6,110475149,90345000,90470000,8562697,9867392,7,89015896_98883288_89892089_99741458
mMyoVol1.0.SUPER__2,219449921,78645384,80370000,+,mMyoAui1.0.SUPER__3,215394694,77746706,79397694,1338069,1724616,5,78645384_80370000_77746706_79397694
mMyoVol1.0.SUPER__6,109406527,88810889,89015000,+,mMyoAui1.0.SUPER__6,110475149,89565000,89780721,294775,385000,5,88630000_89015000_89430644_89780721
mMyoVol1.0.SUPER__6,109406527,98885000,100428378,+,mMyoAui1.0.SUPER__6,110475149,99884883,101400000,1223969,1543552,5,98885000_100428552_99884883_101400174
mMyoVol1.0.SUPER__6,109406527,22709195,22709864,+,mMyoAui1.0.SUPER__6,110475149,22851792,22915810,63279,89374,4,22626024_22709864_22826436_22915810
mMyoVol1.0.SUPER__6,109406527,81818535,81971358,+,mMyoAui1.0.SUPER__6,110475149,81725000,81884616,149446,163233,10,81815896_81972312_81722314_81885547
mMyoVol1.0.SUPER__6,109406527,84987640,85400000,+,mMyoAui1.0.SUPER__6,110475149,85275918,85683976,332909,412360,5,84987640_85400000_85275918_85683976
mMyoVol1.0.SUPER__6,109406527,85426280,85945000,+,mMyoAui1.0.SUPER__6,110475149,85735384,86312811,425641,578389,5,85425384_85945000_85734422_86312811
mMyoVol1.0.SUPER__4,121843818,84446920,90497815,+,mMyoAui1.0.SUPER__4,125946359,85701777,91643936,4523109,6050944,4,84446920_90497864_85701777_91643984
mMyoVol1.0.SUPER__7,100618793,5968013,6033432,-,mMyoAui1.0.SUPER__7,99473469,93175000,93235000,139293,183936,5,5935296_6119232_93084504_93261042
