qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoEvo1.0.SUPER__1,230788764,141370000,141395000,-,mMyoVol1.0.SUPER__1,242898603,155667844,155692310,21503,25000,7,141370000_141395000_155667844_155692310
mMyoEvo1.0.SUPER__1,230788764,64470200,64512312,-,mMyoVol1.0.SUPER__1,242898603,66042838,66082349,36943,42112,8,64470200_64512312_66042838_66082349
mMyoEvo1.0.SUPER__1,230788764,76178850,76205000,+,mMyoVol1.0.SUPER__1,242898603,77795438,77823400,25040,40000,4,76165000_76205000_77795438_77823400
mMyoEvo1.0.SUPER__2,217004436,116680000,116719744,-,mMyoVol1.0.SUPER__3,218117916,117886120,117928626,37077,42506,8,116680000_116719744_117886120_117928626
mMyoEvo1.0.SUPER__2,217004436,148685768,148860000,+,mMyoVol1.0.SUPER__3,218117916,150445982,150638464,151058,192482,5,148685768_148860000_150445982_150638464
mMyoEvo1.0.SUPER__1,230788764,127539472,127580000,+,mMyoVol1.0.SUPER__1,242898603,131831437,131871702,32781,40528,5,127539472_127580000_131831437_131871702
mMyoEvo1.0.SUPER__1,230788764,106948048,107154237,+,mMyoVol1.0.SUPER__1,242898603,108031792,108245000,164816,214360,5,106945000_107154664_108030898_108245258
mMyoEvo1.0.SUPER__2,217004436,110975000,111012760,+,mMyoVol1.0.SUPER__3,218117916,111873349,111908677,30422,37760,6,110975000_111012760_111873349_111908677
mMyoEvo1.0.SUPER__1,230788764,106612122,106872784,+,mMyoVol1.0.SUPER__1,242898603,107765000,108024511,194050,260736,4,106612048_106872784_107764922_108024511
mMyoEvo1.0.SUPER__1,230788764,107231980,107405000,+,mMyoVol1.0.SUPER__1,242898603,108265213,108477822,109750,212609,2,107231920_107405000_108265213_108477822
mMyoEvo1.0.SUPER__1,230788764,106180512,106610000,+,mMyoVol1.0.SUPER__1,242898603,107270564,107698862,333700,429488,5,106180512_106610000_107270564_107698862
mMyoEvo1.0.SUPER__1,230788764,2375000,2965000,+,mMyoVol1.0.SUPER__1,242898603,2951092,3548129,508206,597037,6,2375000_2965000_2951092_3548129
mMyoEvo1.0.SUPER__2,217004436,83813785,84148368,+,mMyoVol1.0.SUPER__3,218117916,84265000,84561244,245780,337664,4,83810704_84148368_84262038_84561244
mMyoEvo1.0.SUPER__1,230788764,75955953,76147174,+,mMyoVol1.0.SUPER__1,242898603,77466280,77639720,167610,311416,2,75838584_76150000_77336829_77644037
mMyoEvo1.0.SUPER__2,217004436,57445439,57827033,+,mMyoVol1.0.SUPER__3,218117916,57890256,58316880,298163,427110,4,57445000_57827080_57889817_58316927
mMyoEvo1.0.SUPER__3,215147351,104225000,104285136,+,mMyoVol1.0.SUPER__2,219449921,105524893,105585000,52785,70000,4,104225000_104295000_105524893_105593230
mMyoEvo1.0.SUPER__1,230788764,107566280,108382548,+,mMyoVol1.0.SUPER__1,242898603,109168840,109924680,623470,816896,5,107566152_108383048_109168712_109925189
mMyoEvo1.0.SUPER__3,215147351,105519023,105875000,+,mMyoVol1.0.SUPER__2,219449921,106730256,107078299,288174,357952,5,105517048_105875000_106728229_107078299
mMyoEvo1.0.SUPER__2,217004436,111110256,111915000,+,mMyoVol1.0.SUPER__3,218117916,112252753,113109286,638282,856533,4,111110256_111915000_112252753_113109286
mMyoEvo1.0.SUPER__1,230788764,105090000,106170000,+,mMyoVol1.0.SUPER__1,242898603,106131119,107177606,844354,1080000,5,105090000_106170000_106131119_107177606
mMyoEvo1.0.SUPER__2,217004436,215855998,216908131,+,mMyoVol1.0.SUPER__3,218117916,216990000,218040000,913471,1108031,6,215808056_216909112_216932935_218040966
mMyoEvo1.0.SUPER__1,230788764,127975501,129720000,-,mMyoVol1.0.SUPER__1,242898603,137695869,139490552,1529628,1794695,6,127975488_129720000_137695869_139490564
mMyoEvo1.0.SUPER__3,215147351,98245000,98400000,+,mMyoVol1.0.SUPER__2,219449921,99146065,99314889,122051,168824,4,98245000_98400000_99146065_99314889
mMyoEvo1.0.SUPER__3,215147351,104425694,105513896,+,mMyoVol1.0.SUPER__2,219449921,105691888,106668549,757138,1088256,4,104425640_105513896_105691888_106668549
mMyoEvo1.0.SUPER__3,215147351,24330256,24448528,+,mMyoVol1.0.SUPER__2,219449921,24378381,24491585,102229,118272,7,24330256_24448528_24378381_24491585
mMyoEvo1.0.SUPER__3,215147351,99638551,101463513,+,mMyoVol1.0.SUPER__2,219449921,100620000,102495328,1526063,1876447,5,99637560_101463608_100618981_102495428
mMyoEvo1.0.SUPER__3,215147351,70424982,70479325,-,mMyoVol1.0.SUPER__2,219449921,70850208,70900000,63532,81536,6,70397824_70479360_70850173_70919885
mMyoEvo1.0.SUPER__3,215147351,101650557,102852512,+,mMyoVol1.0.SUPER__2,219449921,102895000,103967328,823694,1211008,4,101641504_102852512_102880415_103967328
mMyoEvo1.0.SUPER__3,215147351,80025256,80160680,-,mMyoVol1.0.SUPER__2,219449921,80672133,80806513,112752,135424,6,80025256_80160680_80672133_80806513
mMyoEvo1.0.SUPER__3,215147351,40255512,41566330,+,mMyoVol1.0.SUPER__2,219449921,40410602,41737744,1176784,1330581,7,40255512_41568664_40410602_41741183
mMyoEvo1.0.SUPER__2,217004436,105930709,107148731,+,mMyoVol1.0.SUPER__3,218117916,106910000,108114224,1883512,2391256,5,104796792_107148792_105723024_108114280
mMyoEvo1.0.SUPER__3,215147351,83965288,84074392,+,mMyoVol1.0.SUPER__2,219449921,84752677,84857504,88347,109184,5,83965256_84074440_84752677_84857504
mMyoEvo1.0.SUPER__3,215147351,98411920,99585000,+,mMyoVol1.0.SUPER__2,219449921,99415504,100617565,895716,1202061,4,98411920_99585000_99415504_100617565
mMyoEvo1.0.SUPER__4,126131752,34092808,34694104,-,mMyoVol1.0.SUPER__4,121843818,89930676,90497824,427194,601344,4,34092760_34694104_89930676_90497844
mMyoEvo1.0.SUPER__3,215147351,95715640,97475000,+,mMyoVol1.0.SUPER__2,219449921,96591861,98389879,1417899,1798018,5,95715640_97475000_96591861_98389879
mMyoEvo1.0.SUPER__4,126131752,26901237,27415000,-,mMyoVol1.0.SUPER__4,121843818,97406294,97955000,419776,549625,5,26900312_27415000_97406294_97955919
mMyoEvo1.0.SUPER__4,126131752,26805000,26886386,-,mMyoVol1.0.SUPER__4,121843818,98020000,98096277,68169,84232,6,26805000_26889232_98017147_98096277
mMyoEvo1.0.SUPER__4,126131752,40349091,41672376,-,mMyoVol1.0.SUPER__4,121843818,83130304,84440000,1021812,1325696,4,40348024_41673720_83128953_84441066
mMyoEvo1.0.SUPER__4,126131752,25810000,25949648,+,mMyoVol1.0.SUPER__4,121843818,98976019,99104715,118621,139648,7,25810000_25949648_98976019_99104715
mMyoEvo1.0.SUPER__4,126131752,24468061,24652914,+,mMyoVol1.0.SUPER__4,121843818,100265000,100439720,175402,244352,4,24465512_24709864_100262451_100481681
