qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoThy1.0.SUPER__1,230758872,153680000,153759744,+,mMyoOcc1.0.SUPER__1,232672419,156619455,156702921,74099,83466,8,153680000_153759744_156619455_156702921
mMyoThy1.0.SUPER__1,230758872,123446110,123512560,+,mMyoOcc1.0.SUPER__1,232672419,127122304,127185000,56290,68608,6,123446024_123514632_127122292_127187051
mMyoThy1.0.SUPER__1,230758872,123582337,123689823,+,mMyoOcc1.0.SUPER__1,232672419,127190000,127318371,93679,130562,5,123580256_123689823_127187809_127318371
mMyoThy1.0.SUPER__1,230758872,122895640,122993002,+,mMyoOcc1.0.SUPER__1,232672419,126632033,126750000,86577,159359,2,122895640_123054999_126632033_126766834
mMyoThy1.0.SUPER__1,230758872,97457767,97492696,-,mMyoOcc1.0.SUPER__1,232672419,96020911,96049987,24440,35072,4,97457624_97492696_96020911_96049987
mMyoThy1.0.SUPER__1,230758872,123060000,123317232,+,mMyoOcc1.0.SUPER__1,232672419,126838274,127120000,208791,283165,4,123060000_123320000_126838274_127121439
mMyoThy1.0.SUPER__1,230758872,89365000,89445000,-,mMyoOcc1.0.SUPER__1,232672419,87450335,87530300,73792,80000,9,89365000_89445000_87450335_87530300
mMyoThy1.0.SUPER__1,230758872,150375896,150464728,+,mMyoOcc1.0.SUPER__1,232672419,153393740,153479200,76471,88832,7,150375896_150464728_153393740_153479200
mMyoThy1.0.SUPER__1,230758872,227370256,227950000,+,mMyoOcc1.0.SUPER__1,232672419,228998010,229573492,510902,579744,7,227370256_227950000_228998010_229573492
mMyoThy1.0.SUPER__1,230758872,121626024,122438538,+,mMyoOcc1.0.SUPER__1,232672419,125503534,126195000,609149,812544,5,121626024_122438568_125503534_126195030
mMyoThy1.0.SUPER__1,230758872,100940000,101039584,+,mMyoOcc1.0.SUPER__1,232672419,99824628,99913254,75011,99584,5,100940000_101039584_99824628_99913254
mMyoThy1.0.SUPER__1,230758872,100435256,100519096,+,mMyoOcc1.0.SUPER__1,232672419,100483252,100578287,74225,95035,6,100435256_100519096_100483252_100578287
mMyoThy1.0.SUPER__1,230758872,124136844,125224664,+,mMyoOcc1.0.SUPER__1,232672419,127910000,128874428,809589,1088256,5,124136408_125224664_127909604_128874428
mMyoThy1.0.SUPER__2,217270064,116665582,116699048,+,mMyoOcc1.0.SUPER__2,212937769,98025000,98058221,28692,34048,6,116665000_116699048_98024713_98058221
mMyoThy1.0.SUPER__2,217270064,111976272,112605415,-,mMyoOcc1.0.SUPER__2,212937769,101895000,102559326,545091,666100,6,111976272_112607312_101893226_102559326
mMyoThy1.0.SUPER__2,217270064,149838069,149944616,-,mMyoOcc1.0.SUPER__2,212937769,65890578,66010000,127011,156571,6,149800000_149944616_65890578_66047149
mMyoThy1.0.SUPER__1,230758872,229655000,229672576,+,mMyoOcc1.0.SUPER__1,232672419,231318601,231340000,33160,52300,3,229655000_229704664_231318601_231370901
mMyoThy1.0.SUPER__2,217270064,127663662,127743720,-,mMyoOcc1.0.SUPER__2,212937769,87256618,87275000,5503191,6618720,6,121125000_127743720_87256618_93684991
mMyoThy1.0.SUPER__2,217270064,110952117,111129872,-,mMyoOcc1.0.SUPER__2,212937769,103723154,103910000,152417,186906,6,110952080_111129872_103723154_103910060
mMyoThy1.0.SUPER__2,217270064,111188328,111742335,-,mMyoOcc1.0.SUPER__2,212937769,102771752,103304360,410460,554368,4,111188328_111742696_102771374_103304366
mMyoThy1.0.SUPER__2,217270064,99988574,100274664,+,mMyoOcc1.0.SUPER__2,212937769,114250000,114510366,231523,287488,6,99987176_100274664_114247625_114510366
mMyoThy1.0.SUPER__2,217270064,216141841,217239872,-,mMyoOcc1.0.SUPER__2,212937769,30953,1123592,22191691,24884480,8,192355392_217239872_30953_24361961
mMyoThy1.0.SUPER__2,217270064,82845240,83395000,-,mMyoOcc1.0.SUPER__2,212937769,130860512,131403996,445328,549760,5,82845240_83395000_130860512_131403996
mMyoThy1.0.SUPER__3,224416797,222329348,224415725,-,mMyoOcc1.0.SUPER__2,212937769,193525000,195590000,2459760,2734976,8,221681821_224416797_193523913_196214087
mMyoThy1.0.SUPER__3,224416797,121847696,121984616,-,mMyoOcc1.0.SUPER__3,212757328,212557168,212705493,107386,174886,3,121847528_121984616_212530607_212705493
mMyoThy1.0.SUPER__2,217270064,83430848,83878825,-,mMyoOcc1.0.SUPER__2,212937769,130180000,130591852,335377,529152,4,83430848_83960000_130168694_130591852
mMyoThy1.0.SUPER__2,217270064,104982332,106544744,-,mMyoOcc1.0.SUPER__2,212937769,108075354,109651160,1310637,1575882,6,104982248_106544744_108075354_109651236
mMyoThy1.0.SUPER__1,230758872,103405384,105611976,+,mMyoOcc1.0.SUPER__1,232672419,107789929,109897908,1726764,2206592,5,103405384_105611976_107789929_109897908
mMyoThy1.0.SUPER__3,224416797,112789478,112810000,-,mMyoOcc1.0.SUPER__3,212757328,9014239,9034744,41909,84269,2,112735000_112810000_9014239_9098508
mMyoThy1.0.SUPER__1,230758872,51581,2855000,+,mMyoOcc1.0.SUPER__1,232672419,71126,2904726,2413441,2833600,6,51408_2855000_71126_2904726
mMyoThy1.0.SUPER__2,217270064,80783508,82809488,-,mMyoOcc1.0.SUPER__2,212937769,131533080,133559488,1698397,2027290,6,80782608_82809488_131533080_133560370
mMyoThy1.0.SUPER__2,217270064,112705225,116660000,-,mMyoOcc1.0.SUPER__2,212937769,98063458,101892952,3251113,3955000,6,112705000_116660000_98063458_101893177
mMyoThy1.0.SUPER__3,224416797,217510213,217568065,-,mMyoOcc1.0.SUPER__3,212757328,119350000,119398976,9627956,11723008,6,205916992_217640000_119314112_130570174
mMyoThy1.0.SUPER__3,224416797,150228990,150300000,-,mMyoOcc1.0.SUPER__3,212757328,184952744,184960000,3510989,3974400,8,146325600_150300000_184952744_188785906
mMyoThy1.0.SUPER__3,224416797,192495591,192564252,+,mMyoOcc1.0.SUPER__3,212757328,143705000,143775000,63813,74983,6,192490768_192564624_143700390_143775373
mMyoThy1.0.SUPER__3,224416797,191958187,192488202,-,mMyoOcc1.0.SUPER__3,212757328,143780567,144270000,407722,531456,5,191956752_192488208_143780567_144271428
mMyoThy1.0.SUPER__3,224416797,191592740,191893653,-,mMyoOcc1.0.SUPER__3,212757328,144271510,144559360,241330,301312,5,191592408_191893720_144271510_144559738
mMyoThy1.0.SUPER__3,224416797,146200000,146319117,-,mMyoOcc1.0.SUPER__3,212757328,188675000,188784526,103375,122184,7,146200000_146322184_188671953_188784526
mMyoThy1.0.SUPER__3,224416797,9105000,9650000,-,mMyoOcc1.0.SUPER__3,212757328,111656812,112167752,450587,545000,6,9105000_9650000_111656812_112167752
mMyoThy1.0.SUPER__2,217270064,116710000,121103720,-,mMyoOcc1.0.SUPER__2,212937769,93738166,98007920,3546696,4393720,5,116710000_121103720_93738166_98007920
mMyoThy1.0.SUPER__3,224416797,119175416,121755000,-,mMyoOcc1.0.SUPER__3,212757328,51103,2641925,2183237,2590822,6,119175416_121755000_51103_2641925
mMyoThy1.0.SUPER__2,217270064,75796360,80723080,-,mMyoOcc1.0.SUPER__2,212937769,133567621,138365106,4216708,4926720,7,75796360_80723080_133567621_138365106
mMyoThy1.0.SUPER__3,224416797,10556981,11267601,-,mMyoOcc1.0.SUPER__3,212757328,110081704,110743080,548699,711808,5,10556784_11268592_110080779_110743300
mMyoThy1.0.SUPER__3,224416797,9711507,10545664,-,mMyoOcc1.0.SUPER__3,212757328,110860000,111641800,657129,841600,5,9711480_10553080_110852591_111641827
mMyoThy1.0.SUPER__3,224416797,8394229,9101333,-,mMyoOcc1.0.SUPER__3,212757328,112240000,112935000,541557,710272,4,8392168_9102440_112238890_112938969
mMyoThy1.0.SUPER__3,224416797,11336302,12733793,-,mMyoOcc1.0.SUPER__3,212757328,108785000,110080000,1072475,1400000,5,11335000_12735000_108783737_110081302
mMyoThy1.0.SUPER__3,224416797,7975000,8284744,-,mMyoOcc1.0.SUPER__3,212757328,112942742,113271518,227637,328776,4,7975000_8284744_112942742_113271518
mMyoThy1.0.SUPER__3,224416797,54810000,54890000,-,mMyoOcc1.0.SUPER__3,212757328,66724314,66789716,42450,80000,2,54810000_54890000_66724314_66789716
mMyoThy1.0.SUPER__4,124798317,101427103,101550000,+,mMyoOcc1.0.SUPER__4,122401111,24775000,24882189,111244,140152,5,101409848_101550000_24752009_24882189
mMyoThy1.0.SUPER__4,124798317,100161386,100313856,+,mMyoOcc1.0.SUPER__4,122401111,25965000,26098077,124176,153856,6,100160000_100313856_25963021_26098077
