qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoThy1.0.SUPER__1,230758872,227355000,227982295,-,mMyoYum1.0.SUPER__1,240344003,40000,689688,6648,686204,13,SUPER__1 95.2383,40000 689688 227355000 227982295
mMyoThy1.0.SUPER__1,230758872,228019025,229163994,+,mMyoYum1.0.SUPER__1,240344003,700000,1815000,11144,1195000,13,SUPER__1 94.9794,700000 1815000 228019025 229163994
mMyoThy1.0.SUPER__1,230758872,229167027,229389612,-,mMyoYum1.0.SUPER__1,240344003,2120000,2345000,2194,227188,12,SUPER__1 93.4795,2120000 2345000 229167027 229389612
mMyoThy1.0.SUPER__1,230758872,225931405,226040000,-,mMyoYum1.0.SUPER__1,240344003,3023983,3125000,1061,110000,11,SUPER__1 91.427,3023983 3125000 225931405 226040000
mMyoThy1.0.SUPER__1,230758872,226055334,227145000,+,mMyoYum1.0.SUPER__1,240344003,3137320,4224861,10553,1090000,13,SUPER__1 94.9982,3137320 4224861 226055334 227145000
mMyoThy1.0.SUPER__1,230758872,218165000,220400000,-,mMyoYum1.0.SUPER__1,240344003,9638353,11878643,21361,2240290,14,SUPER__1 96.3749,9638353 11878643 218165000 220400000
mMyoThy1.0.SUPER__1,230758872,186952026,218370000,-,mMyoYum1.0.SUPER__1,240344003,18144212,49520000,300121,31420000,15,SUPER__1 96.9172,18144212 49520000 186952026 218370000
mMyoThy1.0.SUPER__1,230758872,154590582,185539902,-,mMyoYum1.0.SUPER__1,240344003,49520123,80285000,301241,31030000,15,SUPER__1 96.8582,49520123 80285000 154590582 185539902
mMyoThy1.0.SUPER__1,230758872,152700000,153759210,-,mMyoYum1.0.SUPER__1,240344003,80690000,81710064,10241,1060000,14,SUPER__1 96.0556,80690000 81710064 152700000 153759210
mMyoThy1.0.SUPER__1,230758872,150520000,152760000,-,mMyoYum1.0.SUPER__1,240344003,81762308,84014919,21913,2252611,15,SUPER__1 96.5847,81762308 84014919 150520000 152760000
mMyoThy1.0.SUPER__1,230758872,150375153,150465000,-,mMyoYum1.0.SUPER__1,240344003,84026842,84125000,947,98245,11,SUPER__1 91.1077,84026842 84125000 150375153 150465000
mMyoThy1.0.SUPER__1,230758872,150285000,150375000,-,mMyoYum1.0.SUPER__1,240344003,84201371,84303869,982,102498,10,SUPER__1 89.0249,84201371 84303869 150285000 150375000
mMyoThy1.0.SUPER__1,230758872,128272101,150280000,-,mMyoYum1.0.SUPER__1,240344003,84467753,106425000,210392,22010000,15,SUPER__1 96.7726,84467753 106425000 128272101 150280000
mMyoThy1.0.SUPER__1,230758872,125228486,128270000,-,mMyoYum1.0.SUPER__1,240344003,106506741,109490000,29850,3045000,15,SUPER__1 96.7587,106506741 109490000 125228486 128270000
mMyoThy1.0.SUPER__1,230758872,124125173,124900869,-,mMyoYum1.0.SUPER__1,240344003,109895000,110628400,10878,1100000,14,SUPER__1 96.2545,109895000 110628400 124125173 124900869
mMyoThy1.0.SUPER__1,230758872,123690000,124125000,-,mMyoYum1.0.SUPER__1,240344003,110719035,111117593,4198,435000,13,SUPER__1 95.1275,110719035 111117593 123690000 124125000
mMyoThy1.0.SUPER__1,230758872,123580000,123690000,-,mMyoYum1.0.SUPER__1,240344003,111181694,111272573,1062,110000,10,SUPER__1 89.6427,111181694 111272573 123580000 123690000
mMyoThy1.0.SUPER__1,230758872,123070000,123321847,-,mMyoYum1.0.SUPER__1,240344003,111340000,111613136,2659,274678,12,SUPER__1 93.6846,111340000 111613136 123070000 123321847
mMyoThy1.0.SUPER__1,230758872,122895000,123055000,-,mMyoYum1.0.SUPER__1,240344003,111707782,111860682,1545,160000,10,SUPER__1 90.6195,111707782 111860682 122895000 123055000
mMyoThy1.0.SUPER__1,230758872,121630000,122436658,-,mMyoYum1.0.SUPER__1,240344003,112195000,112911089,7824,810000,14,SUPER__1 95.9126,112195000 112911089 121630000 122436658
mMyoThy1.0.SUPER__1,230758872,117019068,121590000,-,mMyoYum1.0.SUPER__1,240344003,113025080,117635000,136324,14412320,15,SUPER__1 96.6368,113025080 117635000 117019068 121590000
mMyoThy1.0.SUPER__1,230758872,103398644,107093493,-,mMyoYum1.0.SUPER__1,240344003,127690000,131335000,37867,3895000,14,SUPER__1 95.9018,127690000 131335000 103398644 107093493
mMyoThy1.0.SUPER__1,230758872,101137061,102925000,-,mMyoYum1.0.SUPER__1,240344003,133351444,135110000,17366,1795000,14,SUPER__1 96.4154,133351444 135110000 101137061 102925000
mMyoThy1.0.SUPER__1,230758872,90905000,100415000,-,mMyoYum1.0.SUPER__1,240344003,139255889,148679910,92105,9510000,15,SUPER__1 96.5541,139255889 148679910 90905000 100415000
mMyoThy1.0.SUPER__1,230758872,90162059,90820000,-,mMyoYum1.0.SUPER__1,240344003,150117659,150740000,6453,665000,14,SUPER__1 95.721,150117659 150740000 90162059 90820000
mMyoThy1.0.SUPER__1,230758872,89745000,90145000,-,mMyoYum1.0.SUPER__1,240344003,150919427,151348583,4127,429156,13,SUPER__1 94.7839,150919427 151348583 89745000 90145000
mMyoThy1.0.SUPER__1,230758872,72656924,88873643,-,mMyoYum1.0.SUPER__1,240344003,151555000,167810000,158969,16284327,15,SUPER__1 96.6431,151555000 167810000 72656924 88873643
mMyoThy1.0.SUPER__1,230758872,46565000,48744803,-,mMyoYum1.0.SUPER__1,240344003,191840000,193999235,21171,2180000,15,SUPER__1 96.4707,191840000 193999235 46565000 48744803
mMyoThy1.0.SUPER__1,230758872,43400000,46560000,-,mMyoYum1.0.SUPER__1,240344003,194081017,197125498,30779,3160000,15,SUPER__1 96.4779,194081017 197125498 43400000 46560000
mMyoThy1.0.SUPER__1,230758872,31471876,43440000,-,mMyoYum1.0.SUPER__1,240344003,197162761,209145000,116983,11985059,15,SUPER__1 96.5708,197162761 209145000 31471876 43440000
mMyoThy1.0.SUPER__1,230758872,3034100,31470000,-,mMyoYum1.0.SUPER__1,240344003,209204144,237510000,275469,28460000,15,SUPER__1 96.6479,209204144 237510000 3034100 31470000
mMyoThy1.0.SUPER__1,230758872,62847,2860717,-,mMyoYum1.0.SUPER__1,240344003,237427056,240310000,28285,2950000,13,SUPER__1 95.4795,237427056 240310000 62847 2860717
mMyoThy1.0.SUPER__2,217270064,216150000,217205000,-,mMyoYum1.0.SUPER__2,217333615,76162,1115455,9936,1055000,13,SUPER__2 95.3328,76162 1115455 216150000 217205000
