qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoThy1.0.SUPER__1,230758872,150290384,150372871,+,mMyoVel1.0.SUPER__1,234804448,155145901,155235000,72802,91224,6,150290384_150375000_155145901_155237125
mMyoThy1.0.SUPER__1,230758872,123446421,123507966,+,mMyoVel1.0.SUPER__1,234804448,128450128,128510000,54986,68253,5,123446024_123513992_128449658_128517911
mMyoThy1.0.SUPER__1,230758872,150376045,150464707,+,mMyoVel1.0.SUPER__1,234804448,155310000,155403345,79515,93879,7,150375512_150464856_155309466_155403345
mMyoThy1.0.SUPER__1,230758872,153921038,153974520,+,mMyoVel1.0.SUPER__1,234804448,158895128,158948851,43349,62062,4,153916536_153974520_158886789_158948851
mMyoThy1.0.SUPER__1,230758872,230632638,230672331,+,mMyoVel1.0.SUPER__1,234804448,234705128,234750000,25483,47726,2,230630640_230673264_234703132_234750858
mMyoThy1.0.SUPER__1,230758872,123623605,123689696,+,mMyoVel1.0.SUPER__1,234804448,128527176,128597343,60607,106496,3,123583200_123689696_128517642_128597343
mMyoThy1.0.SUPER__1,230758872,153787901,153910000,+,mMyoVel1.0.SUPER__1,234804448,158565000,158716960,112568,167055,4,153775640_153910000_158549905_158716960
mMyoThy1.0.SUPER__2,217270064,107490466,107554117,+,mMyoVel1.0.SUPER__2,216113371,109605128,109662088,53953,64384,7,107490000_107554384_109604659_109662368
mMyoThy1.0.SUPER__1,230758872,100415128,100494744,-,mMyoVel1.0.SUPER__1,234804448,106155188,106240223,72124,85035,7,100415128_100494744_106155188_106240223
mMyoThy1.0.SUPER__1,230758872,122895640,123055000,+,mMyoVel1.0.SUPER__1,234804448,127938457,128105584,107676,167127,3,122895640_123055000_127938457_128105584
mMyoThy1.0.SUPER__2,217270064,77696049,77728152,+,mMyoVel1.0.SUPER__2,216113371,139260000,139298369,29621,39422,5,77695000_77728152_139258947_139298369
mMyoThy1.0.SUPER__2,217270064,110021097,110191356,+,mMyoVel1.0.SUPER__2,216113371,106876536,107049075,119053,172572,3,110021024_110191392_106876503_107049075
mMyoThy1.0.SUPER__2,217270064,57745313,57780000,-,mMyoVel1.0.SUPER__2,216113371,159144336,159177008,26943,34687,5,57745313_57780000_159144336_159177008
