"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoOcc1.0.SUPER__1",232672419,30837086,42480000,"+","mMyoVel1.0.SUPER__1",234804448,31085000,42948157,394809,40102355,15,"SUPER__1 97.0469","31085000 42948157 30837086 42480000"
"mMyoOcc1.0.SUPER__1",232672419,42500000,42734306,"+","mMyoVel1.0.SUPER__1",234804448,43032074,43270000,2249,238749,13,"SUPER__1 94.4298","43032074 43270000 42500000 42734306"
"mMyoOcc1.0.SUPER__1",232672419,42748779,43121384,"+","mMyoVel1.0.SUPER__1",234804448,43200000,43580000,3978,404552,14,"SUPER__1 95.6391","43200000 43580000 42748779 43121384"
"mMyoOcc1.0.SUPER__1",232672419,71275000,87340000,"+","mMyoVel1.0.SUPER__1",234804448,71950454,88064938,156817,16114484,15,"SUPER__1 97.1137","71950454 88064938 71275000 87340000"
"mMyoOcc1.0.SUPER__1",232672419,88980000,89658224,"-","mMyoVel1.0.SUPER__1",234804448,88675000,89345043,6548,680000,14,"SUPER__1 96.3868","88675000 89345043 88980000 89658224"
"mMyoOcc1.0.SUPER__1",232672419,89660000,96020000,"+","mMyoVel1.0.SUPER__1",234804448,91191787,97605788,62301,6414001,15,"SUPER__1 97.043","91191787 97605788 89660000 96020000"
"mMyoOcc1.0.SUPER__1",232672419,99840801,100029033,"+","mMyoVel1.0.SUPER__1",234804448,102445000,102595000,2175,225000,12,"SUPER__1 93.3774","102445000 102595000 99840801 100029033"
"mMyoOcc1.0.SUPER__1",232672419,101403951,103167504,"+","mMyoVel1.0.SUPER__1",234804448,102500000,104360000,19022,1948539,15,"SUPER__1 97.1546","102500000 104360000 101403951 103167504"
"mMyoOcc1.0.SUPER__1",232672419,99846371,99915000,"-","mMyoVel1.0.SUPER__1",234804448,104543879,104605000,1225,124030,10,"SUPER__1 89.5491","104543879 104605000 99846371 99915000"
"mMyoOcc1.0.SUPER__1",232672419,107793708,108040000,"-","mMyoVel1.0.SUPER__1",234804448,108324841,108560000,2566,260000,13,"SUPER__1 95.3716","108324841 108560000 107793708 108040000"
"mMyoOcc1.0.SUPER__1",232672419,108042738,109898524,"+","mMyoVel1.0.SUPER__1",234804448,108945000,110839697,18334,1897013,15,"SUPER__1 96.5994","108945000 110839697 108042738 109898524"
"mMyoOcc1.0.SUPER__1",232672419,125430000,126234975,"+","mMyoVel1.0.SUPER__1",234804448,126788546,127595000,8264,840000,15,"SUPER__1 96.6397","126788546 127595000 125430000 126234975"
"mMyoOcc1.0.SUPER__1",232672419,126620000,126838173,"+","mMyoVel1.0.SUPER__1",234804448,127926135,128210000,2737,284895,13,"SUPER__1 94.9221","127926135 128210000 126620000 126838173"
"mMyoOcc1.0.SUPER__1",232672419,126922450,127985000,"+","mMyoVel1.0.SUPER__1",234804448,128215000,129222383,10459,1065000,15,"SUPER__1 96.9881","128215000 129222383 126922450 127985000"
"mMyoOcc1.0.SUPER__1",232672419,127988117,137399972,"+","mMyoVel1.0.SUPER__1",234804448,129280000,138958706,95622,9681714,16,"SUPER__1 97.744","129280000 138958706 127988117 137399972"
"mMyoOcc1.0.SUPER__1",232672419,137400000,153145104,"+","mMyoVel1.0.SUPER__1",234804448,139017230,155030000,157996,16098410,16,"SUPER__1 97.2196","139017230 155030000 137400000 153145104"
"mMyoOcc1.0.SUPER__1",232672419,156606385,156720000,"+","mMyoVel1.0.SUPER__1",234804448,158515000,158633735,1290,132412,11,"SUPER__1 91.9679","158515000 158633735 156606385 156720000"
"mMyoOcc1.0.SUPER__1",232672419,157045000,157257057,"+","mMyoVel1.0.SUPER__1",234804448,158984396,159210000,2212,227545,12,"SUPER__1 93.0872","158984396 159210000 157045000 157257057"
"mMyoOcc1.0.SUPER__1",232672419,157615156,223115000,"+","mMyoVel1.0.SUPER__1",234804448,159240841,225323395,644128,66082554,16,"SUPER__1 97.3088","159240841 225323395 157615156 223115000"
"mMyoOcc1.0.SUPER__1",232672419,227595000,228789946,"-","mMyoVel1.0.SUPER__1",234804448,229675000,230903573,12518,1306582,14,"SUPER__1 96.1024","229675000 230903573 227595000 228789946"
"mMyoOcc1.0.SUPER__1",232672419,228984313,230945000,"+","mMyoVel1.0.SUPER__1",234804448,231130000,233102664,18923,1985413,14,"SUPER__1 95.9994","231130000 233102664 228984313 230945000"
"mMyoOcc1.0.SUPER__2",212937769,1095000,1749772,"-","mMyoVel1.0.SUPER__2",216113371,32,648692,6338,655000,12,"SUPER__2 94.269","32 648692 1095000 1749772"
"mMyoOcc1.0.SUPER__2",212937769,1135000,30801146,"+","mMyoVel1.0.SUPER__2",216113371,2016021,32080000,291139,30137078,15,"SUPER__2 97.1108","2016021 32080000 1135000 30801146"
