qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoYum1.0.SUPER__1,240344003,81600000,81711988,-,mMyoLuc1.0.SUPER__1,244374582,166525000,166628610,98653,145000,4,81600000_81745000_166495704_166628610
mMyoYum1.0.SUPER__1,240344003,127441463,127688979,+,mMyoLuc1.0.SUPER__1,244374582,121955000,122184248,191619,248704,5,127440384_127689088_121953973_122184412
mMyoYum1.0.SUPER__1,240344003,2115000,2345462,-,mMyoLuc1.0.SUPER__1,244374582,241775152,242025819,183339,251209,4,2115000_2346032_241774610_242025819
mMyoYum1.0.SUPER__1,240344003,16949219,17629746,-,mMyoLuc1.0.SUPER__1,244374582,230975184,231650000,19024856,20962944,9,11882056_32845000_216013992_236691745
mMyoYum1.0.SUPER__1,240344003,75000,675000,-,mMyoLuc1.0.SUPER__1,244374582,239677114,240245635,516971,600000,7,75000_675000_239677114_240245635
mMyoYum1.0.SUPER__1,240344003,112190079,113008337,-,mMyoLuc1.0.SUPER__1,244374582,136135000,136896176,692850,819968,7,112190032_113010000_136133338_136896213
mMyoYum1.0.SUPER__108,94119,154,93155,-,mMyoLuc1.0.SUPER__2,212563729,4525300,4612184,78348,94119,7,0_94119_4525300_4612337
mMyoYum1.0.SUPER__2,217333615,107070000,107229999,+,mMyoLuc1.0.SUPER__2,212563729,107920074,108066400,127362,159999,6,107070000_107229999_107920074_108066400
mMyoYum1.0.SUPER__2,217333615,31470000,31524744,-,mMyoLuc1.0.SUPER__2,212563729,181425000,181445215,48601,54744,9,31470000_31524744_181393666_181445215
mMyoYum1.0.SUPER__1,240344003,3135000,4230000,+,mMyoLuc1.0.SUPER__1,244374582,238311186,239403462,977238,1095000,8,3135000_4230000_238311186_239403462
mMyoYum1.0.SUPER__2,217333615,67573072,67667485,-,mMyoLuc1.0.SUPER__2,212563729,146330000,146418976,18611349,21276928,7,67573072_88850000_125751296_146418976
mMyoYum1.0.SUPER__2,217333615,88995000,89052791,-,mMyoLuc1.0.SUPER__2,212563729,125610488,125612468,3186424,3604232,7,88995000_92599232_122062289_125612468
mMyoYum1.0.SUPER__1,240344003,700000,1809911,+,mMyoLuc1.0.SUPER__1,244374582,240654758,241767528,967367,1117562,7,700000_1814368_240654758_241772320
