qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoLuc1.0.SUPER__1,244374582,167672646,167742705,-,mMyoAui1.0.SUPER__1,234041302,77383080,77465000,59609,92828,3,167671296_167760000_77373560_77466388
mMyoLuc1.0.SUPER__1,244374582,164295000,164340000,-,mMyoAui1.0.SUPER__1,234041302,80908575,80963170,36370,54595,4,164295000_164340000_80908575_80963170
mMyoLuc1.0.SUPER__1,244374582,137982760,138044488,-,mMyoAui1.0.SUPER__1,234041302,107972702,108035000,50340,62649,5,137982409_138044488_107972702_108035351
mMyoLuc1.0.SUPER__1,244374582,138050216,138183720,-,mMyoAui1.0.SUPER__1,234041302,107776021,107893372,94864,133504,4,138050216_138183720_107776021_107893372
mMyoLuc1.0.SUPER__1,244374582,137470093,137593466,-,mMyoAui1.0.SUPER__1,234041302,108527248,108649232,96334,135000,4,137465000_137600000_108524112_108650124
mMyoLuc1.0.SUPER__2,212563729,108851324,108915887,-,mMyoAui1.0.SUPER__2,216233548,105575000,105630000,58797,94616,3,108850000_108944616_105542457_105631324
mMyoLuc1.0.SUPER__2,212563729,108720210,108765000,-,mMyoAui1.0.SUPER__2,216233548,105634296,105678464,39646,45000,7,108720000_108765000_105634296_105678502
mMyoLuc1.0.SUPER__2,212563729,146432200,146603336,-,mMyoAui1.0.SUPER__2,216233548,66885095,67061188,142032,176093,5,146432200_146603336_66885095_67061188
mMyoLuc1.0.SUPER__1,244374582,137722558,137975000,-,mMyoAui1.0.SUPER__1,234041302,108145675,108440000,204183,296476,4,137720408_137975000_108145675_108442151
mMyoLuc1.0.SUPER__2,212563729,181525472,181571209,-,mMyoAui1.0.SUPER__2,216233548,31500000,31543875,49845,54528,10,181525472_181580000_31491426_31543875
mMyoLuc1.0.SUPER__2,212563729,108230136,108714872,-,mMyoAui1.0.SUPER__2,216233548,105756321,106266423,405671,510102,5,108230136_108714872_105756321_106266423
mMyoLuc1.0.SUPER__1,244374582,239678384,240299032,+,mMyoAui1.0.SUPER__1,234041302,3520256,4114816,559918,665000,6,239655000_240320000_3494700_4138039
mMyoLuc1.0.SUPER__2,212563729,82200621,82402952,-,mMyoAui1.0.SUPER__2,216233548,132347353,132537568,146120,202952,4,82200000_82402952_132347353_132538022
