qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoLuc1.0.SUPER__1,244374582,99165000,99232155,-,mMyoVol1.0.SUPER__1,242898603,144115392,144199699,101485,130851,5,99165000_99290000_144068848_144199699
mMyoLuc1.0.SUPER__1,244374582,137798113,138043353,-,mMyoVol1.0.SUPER__1,242898603,107945000,108245000,207715,301841,4,137796936_138044104_107944249_108246090
mMyoLuc1.0.SUPER__1,244374582,239676777,240249512,+,mMyoVol1.0.SUPER__1,242898603,2950128,3548266,515652,624128,6,239625384_240249512_2946205_3548266
mMyoLuc1.0.SUPER__2,212563729,108720210,108807782,+,mMyoVol1.0.SUPER__3,218117916,111781088,111863943,78637,87680,9,108720128_108807808_111781088_111863943
mMyoLuc1.0.SUPER__2,212563729,146145128,146355000,+,mMyoVol1.0.SUPER__3,218117916,150446250,150663461,178564,217211,6,146145128_146355000_150446250_150663461
mMyoLuc1.0.SUPER__2,212563729,181465000,181518969,+,mMyoVol1.0.SUPER__3,218117916,186720000,186809038,148535,183789,6,181465000_181640000_186625249_186809038
mMyoLuc1.0.SUPER__2,212563729,56360512,56479216,+,mMyoVol1.0.SUPER__3,218117916,58067986,58225000,114157,168004,4,56360512_56495000_58067986_58235990
mMyoLuc1.0.SUPER__2,212563729,104465384,105183567,+,mMyoVol1.0.SUPER__3,218117916,107414929,108114256,582774,718208,5,104465384_105183592_107414929_108114269
mMyoLuc1.0.SUPER__2,212563729,73743684,74017692,+,mMyoVol1.0.SUPER__3,218117916,75610248,75890000,234008,284360,6,73740000_74019040_75606990_75891350
mMyoLuc1.0.SUPER__2,212563729,82030128,82685000,+,mMyoVol1.0.SUPER__3,218117916,83856080,84561029,546561,704949,5,82030128_82685000_83856080_84561029
mMyoLuc1.0.SUPER__1,244374582,238202915,239433725,-,mMyoVol1.0.SUPER__1,242898603,4020344,5275000,1093160,1298645,6,238195000_239435000_4019070_5317715
mMyoLuc1.0.SUPER__2,212563729,211448840,212488979,+,mMyoVol1.0.SUPER__3,218117916,217016232,218039720,905070,1040768,7,211448840_212489608_217016232_218040510
mMyoLuc1.0.SUPER__3,211792393,187806477,187871631,+,mMyoVol1.0.SUPER__2,219449921,194835000,194897966,131634,174464,5,187745232_187919696_194733574_194897966
mMyoLuc1.0.SUPER__3,211792393,202587699,202913632,+,mMyoVol1.0.SUPER__2,219449921,209720000,210048394,314236,371456,7,202542176_202913632_209697923_210048394
mMyoLuc1.0.SUPER__3,211792393,157525000,158161597,+,mMyoVol1.0.SUPER__2,219449921,164042575,164624696,546326,710000,5,157525000_158235000_164042575_164707527
mMyoLuc1.0.SUPER__1,244374582,240656428,242017009,-,mMyoVol1.0.SUPER__1,242898603,1226832,2610000,1228607,1506688,5,240517856_242024544_1222701_2704224
mMyoLuc1.0.SUPER__3,211792393,67410224,67470000,-,mMyoVol1.0.SUPER__2,219449921,69327891,69387881,54217,59990,8,67410224_67470000_69327891_69387881
mMyoLuc1.0.SUPER__3,211792393,39326331,40639808,+,mMyoVol1.0.SUPER__2,219449921,40405640,41739885,1198341,1336782,8,39320000_40639808_40403103_41739885
mMyoLuc1.0.SUPER__3,211792393,69515000,69829881,-,mMyoVol1.0.SUPER__2,219449921,71442488,71782630,267332,350818,5,69515000_69840000_71431812_71782630
mMyoLuc1.0.SUPER__1,244374582,133079048,136894393,-,mMyoVol1.0.SUPER__1,242898603,109169568,113060000,3237502,3893257,6,133077144_136894872_109168877_113062134
mMyoLuc1.0.SUPER__3,211792393,69850198,70277748,+,mMyoVol1.0.SUPER__2,219449921,71795000,72233912,366417,445887,6,69845000_70279560_71789708_72235595
mMyoLuc1.0.SUPER__3,211792393,81927432,82035000,+,mMyoVol1.0.SUPER__2,219449921,84386970,84506149,91964,119179,5,81927432_82035000_84386970_84506149
mMyoLuc1.0.SUPER__3,211792393,77825000,78095555,+,mMyoVol1.0.SUPER__2,219449921,80101134,80370000,508145,585000,7,77825000_78410000_80101134_80665863
mMyoLuc1.0.SUPER__3,211792393,102100581,103037793,+,mMyoVol1.0.SUPER__2,219449921,105691888,106670000,763698,978540,5,102100512_103038240_105691888_106670428
mMyoLuc1.0.SUPER__3,211792393,99835512,100050000,+,mMyoVol1.0.SUPER__2,219449921,103320256,103540764,173544,222271,5,99835512_100050000_103318493_103540764
mMyoLuc1.0.SUPER__3,211792393,99481384,99830000,+,mMyoVol1.0.SUPER__2,219449921,102900000,103212758,280006,359496,5,99470504_99830000_102888610_103212758
mMyoLuc1.0.SUPER__2,212563729,105190298,108711361,+,mMyoVol1.0.SUPER__3,218117916,108173584,111708047,2881087,3534533,5,105190256_108711408_108173514_111708047
mMyoLuc1.0.SUPER__3,211792393,97140000,97314336,+,mMyoVol1.0.SUPER__2,219449921,100461717,100618081,115107,174336,3,97140000_97314336_100461717_100618081
mMyoLuc1.0.SUPER__3,211792393,97366386,99184776,+,mMyoVol1.0.SUPER__2,219449921,100620000,102495429,1574157,1876432,6,97365384_99184776_100618997_102495429
mMyoLuc1.0.SUPER__3,211792393,78590674,81925000,+,mMyoVol1.0.SUPER__2,219449921,80830000,84207470,2920618,3377630,7,78590512_81925000_80829840_84207470
mMyoLuc1.0.SUPER__3,211792393,92730000,95284093,+,mMyoVol1.0.SUPER__2,219449921,95782871,98418080,2190147,2635343,6,92730000_95284240_95782871_98418214
