qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoCai1.0.SUPER__1,234393516,158295000,158335000,+,mMyoVel1.0.SUPER__1,234804448,158895991,158946662,35103,50671,5,158295000_158335000_158895991_158946662
mMyoCai1.0.SUPER__1,234393516,67991024,68053125,+,mMyoVel1.0.SUPER__1,234804448,67378930,67445000,52482,66816,5,67991024_68053744_67378930_67445746
mMyoCai1.0.SUPER__1,234393516,43375000,43440000,+,mMyoVel1.0.SUPER__1,234804448,42960768,42967282,53594,65828,5,43375000_43440000_42901454_42967282
mMyoCai1.0.SUPER__1,234393516,154869104,154912848,+,mMyoVel1.0.SUPER__6,110944935,31600000,31639970,33525,62464,3,154850384_154912848_31591477_31639970
mMyoCai1.0.SUPER__1,234393516,102955000,103002832,+,mMyoVel1.0.SUPER__1,234804448,104364047,104409114,38899,47872,6,102955000_103002872_104364047_104409114
mMyoCai1.0.SUPER__1,234393516,125701395,125837712,+,mMyoVel1.0.SUPER__1,234804448,127995000,128107622,101399,147712,4,125690000_125837712_127991532_128107622
mMyoCai1.0.SUPER__1,234393516,154685928,154782663,+,mMyoVel1.0.SUPER__1,234804448,155137944,155235000,93015,132107,4,154660000_154785000_155105217_155237324
mMyoCai1.0.SUPER__1,234393516,100765000,100810000,+,mMyoVel1.0.SUPER__1,234804448,101547164,101594473,40434,47309,7,100765000_100810000_101547164_101594473
mMyoCai1.0.SUPER__1,234393516,105560000,105858628,-,mMyoVel1.0.SUPER__1,234804448,108325000,108568614,208533,300000,4,105560000_105860000_108323628_108568614
mMyoCai1.0.SUPER__1,234393516,103320434,103405000,-,mMyoVel1.0.SUPER__1,234804448,100586704,100670000,135351,165000,6,103240000_103405000_100586704_100751300
mMyoCai1.0.SUPER__1,234393516,154915384,155502008,+,mMyoVel1.0.SUPER__1,234804448,155415380,155989249,493656,586624,6,154915384_155502008_155415380_155989249
mMyoCai1.0.SUPER__1,234393516,158340000,158524053,+,mMyoVel1.0.SUPER__1,234804448,159003737,159211952,125182,219893,2,158340000_158549536_159003737_159223630
mMyoCai1.0.SUPER__1,234393516,232255426,232838338,+,mMyoVel1.0.SUPER__1,234804448,231145256,231720000,529439,609280,7,232250128_232859408_231139923_231742252
mMyoCai1.0.SUPER__2,217612966,166998496,167020000,-,mMyoVel1.0.SUPER__3,212800901,162686268,162711042,18550,24774,5,166998496_167020000_162686268_162711042
mMyoCai1.0.SUPER__1,234393516,126330000,126935000,+,mMyoVel1.0.SUPER__1,234804448,128528417,129056266,430358,605000,4,126330000_126935000_128528417_129056266
mMyoCai1.0.SUPER__2,217612966,115297630,115658904,+,mMyoVel1.0.SUPER__3,212800901,111810512,112222090,259359,411671,3,115297432_115658904_111810419_112222090
mMyoCai1.0.SUPER__1,234393516,124015256,124878276,+,mMyoVel1.0.SUPER__1,234804448,126788306,127563240,656988,863104,5,124015256_124878360_126788306_127563329
mMyoCai1.0.SUPER__2,217612966,114745000,115209545,+,mMyoVel1.0.SUPER__3,212800901,111315316,111800000,317180,485136,3,114745000_115210000_111315316_111800452
mMyoCai1.0.SUPER__2,217612966,119602523,120275271,+,mMyoVel1.0.SUPER__3,212800901,116036536,116694840,524238,675456,5,119601408_120276864_116032927_116696259
mMyoCai1.0.SUPER__2,217612966,24325896,24487354,+,mMyoVel1.0.SUPER__3,212800901,23896379,24100000,132646,206066,4,24325896_24489864_23896379_24102445
mMyoCai1.0.SUPER__2,217612966,41246154,41354312,-,mMyoVel1.0.SUPER__3,212800901,40555026,40664309,98998,109283,9,41246072_41354360_40555026_40664309
mMyoCai1.0.SUPER__1,234393516,126935640,127777976,+,mMyoVel1.0.SUPER__1,234804448,129147443,129874472,567781,842368,4,126935640_127778008_129147443_129874511
mMyoCai1.0.SUPER__2,217612966,110665000,111702259,+,mMyoVel1.0.SUPER__3,212800901,107632116,108580000,776170,1038848,5,110665000_111703848_107632116_108581275
mMyoCai1.0.SUPER__2,217612966,111761427,112856704,+,mMyoVel1.0.SUPER__3,212800901,108582990,109592512,784987,1095296,4,111761408_112856704_108582990_109592512
mMyoCai1.0.SUPER__1,234393516,233265000,234391109,+,mMyoVel1.0.SUPER__1,234804448,231752048,232874480,948617,1126656,6,233265000_234391656_231752005_232874949
mMyoCai1.0.SUPER__3,217383104,107141006,107324360,-,mMyoVel1.0.SUPER__2,216113371,106876503,107049608,120849,183424,3,107140936_107324360_106876503_107049608
mMyoCai1.0.SUPER__3,217383104,106335000,107020804,+,mMyoVel1.0.SUPER__2,216113371,106159922,106808547,511312,685824,4,106335000_107020824_106159922_106808547
mMyoCai1.0.SUPER__3,217383104,139680432,139706261,-,mMyoVel1.0.SUPER__2,216113371,139260000,139294165,25863,36371,5,139680432_139708464_139257794_139294165
mMyoCai1.0.SUPER__3,217383104,159530240,159824768,+,mMyoVel1.0.SUPER__2,216113371,158829222,159094628,217998,294528,5,159530240_159824768_158829222_159094628
mMyoCai1.0.SUPER__2,217612966,116387663,118532449,+,mMyoVel1.0.SUPER__3,212800901,112942698,115009760,1676486,2146816,5,116387560_118534376_112942698_115011691
mMyoCai1.0.SUPER__3,217383104,102440256,103843283,+,mMyoVel1.0.SUPER__2,216113371,102585963,104040000,1110021,1454558,5,102440256_103843776_102585963_104040521
mMyoCai1.0.SUPER__3,217383104,172410995,172644731,+,mMyoVel1.0.SUPER__2,216113371,171580000,171885000,198071,337105,3,172405000_172682888_171573770_171910875
mMyoCai1.0.SUPER__3,217383104,88690193,88726510,-,mMyoVel1.0.SUPER__2,216113371,95705000,95741563,27515,39233,4,88690193_88729360_95702330_95741563
