qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoYum1.0.SUPER__1,240344003,131351894,131403438,+,mMyoThy1#0#SUPER__1,230758872,100520000,100570000,79080,94360,6,131350640_131445000_100518885_100608501
mMyoYum1.0.SUPER__1,240344003,151475880,151555000,+,mMyoThy1#0#SUPER__1,230758872,89045000,89132543,168821,211897,6,151365000_151555000_88920646_89132543
mMyoYum1.0.SUPER__1,240344003,150645000,150754418,+,mMyoThy1#0#SUPER__1,230758872,90848550,90965000,111726,137472,5,150645000_150782472_90848550_90985825
mMyoYum1.0.SUPER__1,240344003,135185926,135272995,-,mMyoThy1#0#SUPER__1,230758872,100935000,101039744,123289,177684,4,135165000_135308208_100903158_101080842
mMyoYum1.0.SUPER__1,240344003,8640923,8678421,-,mMyoThy1#0#SUPER__1,230758872,220426280,220465000,6820375,7670548,8,4335000_11878208_218165308_225835856
mMyoYum1.0.SUPER__1,240344003,3024033,3124744,-,mMyoThy1#0#SUPER__1,230758872,225931309,226040000,87512,110524,5,3022088_3124744_225931309_226041833
mMyoYum1.0.SUPER__1,240344003,127441647,127688634,+,mMyoThy1#0#SUPER__1,230758872,107095000,107329368,197026,248448,5,127440256_127688704_107093592_107329368
mMyoYum1.0.SUPER__1,240344003,84026842,84125000,-,mMyoThy1#0#SUPER__1,230758872,150375408,150464616,81017,98176,7,84026824_84125000_150375408_150464731
mMyoYum1.0.SUPER__1,240344003,2120000,2345000,-,mMyoThy1#0#SUPER__1,230758872,229167102,229389606,174380,225000,5,2120000_2345000_229167102_229389606
mMyoYum1.0.SUPER__1,240344003,80722898,80735000,-,mMyoThy1#0#SUPER__1,230758872,153790730,153800000,65222,95000,4,80640000_80735000_153790730_153879967
mMyoYum1.0.SUPER__2,217333615,109825000,109882669,+,mMyoThy1#0#SUPER__2,217270064,107491259,107554256,52662,63012,7,109825000_109882728_107491259_107554271
mMyoYum1.0.SUPER__1,240344003,111707634,111855968,-,mMyoThy1#0#SUPER__1,230758872,122898072,123055000,104244,171786,3,111705584_111874800_122885209_123056995
mMyoYum1.0.SUPER__2,217333615,139818358,139849432,+,mMyoThy1#0#SUPER__2,217270064,77695000,77727486,30400,34635,8,139817048_139849432_77692851_77727486
mMyoYum1.0.SUPER__2,217333615,107070256,107230000,+,mMyoThy1#0#SUPER__2,217270064,110021809,110190432,117579,168623,4,107070256_107230000_110021809_110190432
mMyoYum1.0.SUPER__108,94119,10,90974,-,mMyoThy1#0#SUPER__2,217270064,4550520,4633208,80203,93863,8,0_93863_4548455_4633217
mMyoYum1.0.SUPER__2,217333615,209285040,209680432,-,mMyoThy1#0#SUPER__2,217270064,7700000,8086262,323386,395392,5,209285040_209680432_7694973_8086262
mMyoYum1.0.SUPER__2,217333615,31540336,31578161,-,mMyoThy1#0#SUPER__2,217270064,185555000,185674616,1381710,1554432,7,31540336_33094768_184178212_185729042
mMyoYum1.0.SUPER__2,217333615,106315000,107044232,-,mMyoThy1#0#SUPER__2,217270064,110376185,111094267,580853,729232,5,106315000_107044232_110376185_111094267
mMyoYum1.0.SUPER__2,217333615,67335000,67452007,-,mMyoThy1#0#SUPER__2,217270064,149545000,149651244,88740,132568,4,67335000_67467568_149533066_149651244
mMyoYum1.0.SUPER__2,217333615,67573455,67619786,-,mMyoThy1#0#SUPER__2,217270064,149110000,149159488,44076,53457,6,67570000_67620000_149109796_149163253
mMyoYum1.0.SUPER__2,217333615,104675451,105539488,-,mMyoThy1#0#SUPER__2,217270064,111168245,111972952,1126649,1618176,4,103921312_105539488_111168245_112612782
mMyoYum1.0.SUPER__2,217333615,77259,1114938,-,mMyoThy1#0#SUPER__2,217270064,216150536,217203464,909015,1146752,5,71712_1218464_216106957_217205425
mMyoYum1.0.SUPER__2,217333615,99930000,99964543,+,mMyoThy1#0#SUPER__2,217270064,116666622,116702376,26667,35824,4,99930000_99964560_116666622_116702446
mMyoYum1.0.SUPER__3,215164148,155645216,155860000,-,mMyoThy1#0#SUPER__3,224416797,62524264,62716909,166634,214784,5,155645216_155860000_62524264_62716909
mMyoYum1.0.SUPER__1,240344003,191843167,193999150,-,mMyoThy1#0#SUPER__1,230758872,46566440,48741672,1867786,2175665,6,191842944_193999360_46566230_48741895
mMyoYum1.0.SUPER__2,217333615,93970823,95511929,-,mMyoThy1#0#SUPER__2,217270064,121125000,122644744,8894636,11002370,5,88997632_99918464_116722638_127725008
mMyoYum1.0.SUPER__3,215164148,160045398,160284824,+,mMyoThy1#0#SUPER__3,224416797,66745000,66973107,192029,267008,4,160017816_160284824_66727551_66973107
mMyoYum1.0.SUPER__3,215164148,173945693,174053072,-,mMyoThy1#0#SUPER__3,224416797,80635448,80754744,101557,120858,7,173945560_174054616_80634056_80754914
mMyoYum1.0.SUPER__1,240344003,194081529,197125558,-,mMyoThy1#0#SUPER__1,230758872,43400000,46559616,2669895,3179669,6,194076696_197134872_43386768_46566437
mMyoYum1.0.SUPER__2,217333615,109892304,112450000,-,mMyoThy1#0#SUPER__2,217270064,104983105,107489780,1995224,2557696,5,109892304_112450000_104983105_107489780
