qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoCai1.0.SUPER__1,234393516,154785000,154855000,-,mMyoAui1.0.SUPER__1,234041302,81037048,81113139,64109,76091,7,154785000_154855000_81037048_81113139
mMyoCai1.0.SUPER__1,234393516,126305912,126394334,-,mMyoAui1.0.SUPER__1,234041302,107775998,107878130,81416,102132,6,126305912_126394360_107775998_107878130
mMyoCai1.0.SUPER__1,234393516,89195296,89298900,-,mMyoAui1.0.SUPER__1,234041302,145910000,146014606,95066,105583,8,89195296_89299872_145909023_146014606
mMyoCai1.0.SUPER__1,234393516,100870128,100905000,+,mMyoAui1.0.SUPER__1,234041302,128407200,128442736,31295,35536,8,100870128_100905000_128407200_128442736
mMyoCai1.0.SUPER__3,217383104,133463207,133492139,+,mMyoAui1.0.SUPER__2,216233548,132231408,132246900,8677681,10264616,6,123250384_133515000_122210793_132246900
mMyoCai1.0.SUPER__28,1124793,948313,1109480,+,mMyoAui1.0.SUPER__1,234041302,1880000,2032832,118866,162176,4,947304_1109480_1877450_2032837
mMyoCai1.0.SUPER__1,234393516,232254896,232839249,+,mMyoAui1.0.SUPER__1,234041302,3520000,4110000,635111,712312,8,232195000_232890000_3453615_4165927
mMyoCai1.0.SUPER__3,217383104,133915000,133980000,-,mMyoAui1.0.SUPER__2,216233548,122151064,122209214,53853,65000,7,133915000_133980000_122151064_122209214
mMyoCai1.0.SUPER__1,234393516,125701245,126298464,-,mMyoAui1.0.SUPER__1,234041302,107953644,108594616,498902,642725,5,125693152_126298464_107953644_108596369
mMyoCai1.0.SUPER__3,217383104,172410128,172644599,+,mMyoAui1.0.SUPER__2,216233548,171427376,171665000,204252,272768,4,172410128_172682896_171427376_171692778
mMyoCai1.0.SUPER__3,217383104,159529976,159797483,+,mMyoAui1.0.SUPER__2,216233548,158458602,158695135,185736,267520,4,159529976_159797496_158458602_158695135
mMyoCai1.0.SUPER__3,217383104,106450000,107020419,+,mMyoAui1.0.SUPER__2,216233548,105631777,106215000,503406,583809,7,106450000_107021008_105631777_106215586
mMyoCai1.0.SUPER__3,217383104,107052704,107822731,+,mMyoAui1.0.SUPER__2,216233548,106275000,107080000,633400,814269,5,107046536_107823880_106266856_107081125
mMyoCai1.0.SUPER__1,234393516,230495404,231684120,+,mMyoAui1.0.SUPER__1,234041302,4290000,5503973,1043420,1214379,7,230495000_231684120_4289594_5503973
mMyoCai1.0.SUPER__3,217383104,32688,1044144,+,mMyoAui1.0.SUPER__2,216233548,24147,1031625,902055,1011456,8,32688_1044144_24147_1031625
mMyoCai1.0.SUPER__2,217612966,119248258,119744222,-,mMyoAui1.0.SUPER__3,215394694,97435000,97905000,382435,497920,5,119247080_119745000_97434222_97906217
mMyoCai1.0.SUPER__2,217612966,115418250,115664827,-,mMyoAui1.0.SUPER__3,215394694,101103731,101344616,200671,257664,5,115418120_115675784_101103731_101344765
mMyoCai1.0.SUPER__1,234393516,233260034,234393177,-,mMyoAui1.0.SUPER__1,234041302,2096296,3224616,1000190,1143388,7,233250000_234393388_2096096_3236718
mMyoCai1.0.SUPER__2,217612966,116415568,117089332,-,mMyoAui1.0.SUPER__3,215394694,99741798,100441513,615396,699715,8,116415568_117089360_99741798_100441513
mMyoCai1.0.SUPER__2,217612966,112646484,112993291,-,mMyoAui1.0.SUPER__3,215394694,103510496,103820000,273838,348800,6,112646200_112995000_103508783_103820284
mMyoCai1.0.SUPER__2,217612966,94705000,94766463,-,mMyoAui1.0.SUPER__3,215394694,121110408,121177188,84400,97121,7,94705000_94798720_121080067_121177188
mMyoCai1.0.SUPER__2,217612966,148151059,148229700,+,mMyoAui1.0.SUPER__3,215394694,69192039,69268592,70004,78976,8,148151024_148230000_69192039_69268949
mMyoCai1.0.SUPER__2,217612966,67748181,67780000,+,mMyoAui1.0.SUPER__3,215394694,145880000,145913945,31929,37376,7,67745000_67780000_145876569_145913945
mMyoCai1.0.SUPER__2,217612966,217340071,217588377,-,mMyoAui1.0.SUPER__3,215394694,30000,245000,192860,250000,6,217340000_217590000_28343_245071
mMyoCai1.0.SUPER__2,217612966,113033139,113962440,-,mMyoAui1.0.SUPER__3,215394694,102516199,103469872,795703,955861,6,113030984_113962440_102516199_103472060
