qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoThy1.0.SUPER__1,230758872,154375344,154449593,-,mMyoVol1.0.SUPER__1,242898603,77390000,77459104,77842,122617,3,154375000_154484616_77336829_77459446
mMyoThy1.0.SUPER__1,230758872,153931368,154039858,-,mMyoVol1.0.SUPER__1,242898603,77505736,77644536,96509,157741,3,153931368_154062184_77486795_77644536
mMyoThy1.0.SUPER__1,230758872,150270568,150464744,-,mMyoVol1.0.SUPER__1,242898603,80922764,81111285,155463,194176,5,150270568_150464744_80922764_81111285
mMyoThy1.0.SUPER__1,230758872,123135000,123341317,-,mMyoVol1.0.SUPER__1,242898603,108031752,108244738,164558,214545,4,123135000_123345000_108030193_108244738
mMyoThy1.0.SUPER__2,217270064,116665320,116705000,-,mMyoVol1.0.SUPER__3,218117916,117886705,117928576,36335,41871,7,116665320_116705000_117886705_117928576
mMyoThy1.0.SUPER__1,230758872,100440000,100530000,+,mMyoVol1.0.SUPER__1,242898603,128716980,128805096,76466,90000,6,100440000_100530000_128716980_128805096
mMyoThy1.0.SUPER__2,217270064,111097536,111130000,+,mMyoVol1.0.SUPER__3,218117916,111875000,111906280,29872,35000,7,111095000_111130000_111872607_111906280
mMyoThy1.0.SUPER__2,217270064,149379690,149413581,+,mMyoVol1.0.SUPER__3,218117916,150671664,150705584,40077,71680,3,149376024_149447704_150659489_150717063
mMyoThy1.0.SUPER__1,230758872,122882328,123055000,-,mMyoVol1.0.SUPER__1,242898603,108269187,108478247,108735,209060,2,122882328_123055000_108269187_108478247
mMyoThy1.0.SUPER__1,230758872,89735103,90159744,-,mMyoVol1.0.SUPER__1,242898603,154804810,155220000,332978,429184,5,89730560_90159744_154804810_155224304
mMyoThy1.0.SUPER__2,217270064,107490878,107554134,-,mMyoVol1.0.SUPER__3,218117916,108335361,108400000,53266,65655,5,107490000_107554360_108335266_108400921
mMyoThy1.0.SUPER__1,230758872,123414306,123689488,-,mMyoVol1.0.SUPER__1,242898603,107766853,108025000,193727,278912,4,123410576_123689488_107766853_108026704
mMyoThy1.0.SUPER__1,230758872,123692151,124125000,-,mMyoVol1.0.SUPER__1,242898603,107272223,107699872,334687,433792,5,123691208_124125000_107272223_107700829
mMyoThy1.0.SUPER__2,217270064,57555128,57680568,+,mMyoVol1.0.SUPER__3,218117916,57891257,58022754,89028,131497,3,57555128_57680568_57891257_58022754
mMyoThy1.0.SUPER__2,217270064,148710000,148977593,+,mMyoVol1.0.SUPER__3,218117916,150367545,150639168,206205,295534,3,148710000_149002736_150367545_150663079
mMyoThy1.0.SUPER__2,217270064,57735256,57991733,+,mMyoVol1.0.SUPER__3,218117916,58067897,58316904,183378,259744,4,57735256_57995000_58067897_58318917
mMyoThy1.0.SUPER__2,217270064,107301979,107478969,+,mMyoVol1.0.SUPER__3,218117916,108175000,108323096,124987,190000,4,107300000_107490000_108172929_108327600
mMyoThy1.0.SUPER__3,224416797,10485000,10543341,+,mMyoVol1.0.SUPER__2,219449921,105526683,105585000,44974,59648,4,10485000_10544648_105526683_105586234
mMyoThy1.0.SUPER__3,224416797,11767920,12119816,+,mMyoVol1.0.SUPER__2,219449921,106730000,107078667,295654,353536,6,11766280_12119816_106728359_107078667
mMyoThy1.0.SUPER__1,230758872,225930000,227149232,-,mMyoVol1.0.SUPER__1,242898603,4044765,5275433,1054827,1230668,7,225930000_227149232_4044765_5275433
mMyoThy1.0.SUPER__3,224416797,9830484,10470000,+,mMyoVol1.0.SUPER__2,219449921,104782176,105394005,511699,639616,5,9830384_10470000_104782076_105394005
mMyoThy1.0.SUPER__3,224416797,9115896,9828198,+,mMyoVol1.0.SUPER__2,219449921,104053153,104730000,545948,714104,5,9115896_9830000_104053153_104731636
mMyoThy1.0.SUPER__2,217270064,216140768,217203631,+,mMyoVol1.0.SUPER__3,218117916,216989808,218039808,899544,1063936,6,216140768_217204704_216989808_218041012
mMyoThy1.0.SUPER__3,224416797,66727945,66950000,+,mMyoVol1.0.SUPER__2,219449921,163762304,163989863,181978,228127,5,66727432_66950000_163761736_163989863
mMyoThy1.0.SUPER__3,224416797,10685000,11763958,+,mMyoVol1.0.SUPER__2,219449921,105692974,106669456,748237,1079680,4,10685000_11764680_105692974_106670179
mMyoThy1.0.SUPER__1,230758872,51581,1695904,-,mMyoVol1.0.SUPER__29,1795489,11802,1718976,1440423,1707178,6,51488_1695904_11802_1718980
mMyoThy1.0.SUPER__3,224416797,112680896,112723493,+,mMyoVol1.0.SUPER__2,219449921,210298881,210320000,36668,72704,2,112680896_112753600_210298881_210364743
mMyoThy1.0.SUPER__3,224416797,7990455,9102664,+,mMyoVol1.0.SUPER__2,219449921,102905256,103967366,822343,1209472,4,7893192_9102664_102879889_103967366
mMyoThy1.0.SUPER__3,224416797,146200000,146322112,+,mMyoVol1.0.SUPER__2,219449921,24376053,24491542,104191,122112,7,146200000_146322112_24376053_24491542
mMyoThy1.0.SUPER__3,224416797,219582158,219923346,+,mMyoVol1.0.SUPER__2,219449921,98610000,98940000,584503,762112,5,219577688_220339800_98607234_99317083
mMyoThy1.0.SUPER__3,224416797,191592489,191664009,+,mMyoVol1.0.SUPER__2,219449921,70036920,70098232,230969,305326,4,191592304_191893616_70036835_70342161
mMyoThy1.0.SUPER__3,224416797,192499443,192565000,-,mMyoVol1.0.SUPER__2,219449921,70850778,70915000,62736,74112,7,192490888_192565000_70850778_70919916
mMyoThy1.0.SUPER__3,224416797,162225384,163545000,+,mMyoVol1.0.SUPER__2,219449921,40410078,41738064,1180457,1327986,7,162225384_163545000_40410078_41738064
mMyoThy1.0.SUPER__3,224416797,191959446,192488084,+,mMyoVol1.0.SUPER__2,219449921,70345000,70846760,414020,531328,5,191956792_192488120_70342308_70846781
mMyoThy1.0.SUPER__3,224416797,193100000,193404872,-,mMyoVol1.0.SUPER__2,219449921,71435993,71780860,269252,344867,6,193100000_193404872_71435993_71780860
mMyoThy1.0.SUPER__3,224416797,193415000,193854680,+,mMyoVol1.0.SUPER__2,219449921,71790470,72234162,368514,443692,6,193415000_193854680_71790470_72234162
mMyoThy1.0.SUPER__3,224416797,202045000,202173481,-,mMyoVol1.0.SUPER__2,219449921,80679824,80807452,108042,130000,6,202045000_202175000_80678277_80807452
mMyoThy1.0.SUPER__2,217270064,104982432,107288028,+,mMyoVol1.0.SUPER__3,218117916,105723152,108113344,1873383,2390645,5,104982432_107288480_105723152_108113797
mMyoThy1.0.SUPER__3,224416797,219441925,219528242,+,mMyoVol1.0.SUPER__2,219449921,98480000,98575000,92650,113022,6,219425512_219530000_98463709_98576731
mMyoThy1.0.SUPER__3,224416797,205920000,206034560,+,mMyoVol1.0.SUPER__2,219449921,84752700,84857285,88423,114560,5,205920000_206034560_84752700_84857285
mMyoThy1.0.SUPER__3,224416797,205840633,205903445,+,mMyoVol1.0.SUPER__2,219449921,84325000,84380000,82532,101888,7,205814992_205916880_84299903_84386588
mMyoThy1.0.SUPER__3,224416797,223768054,224346461,+,mMyoVol1.0.SUPER__3,218117916,19315000,19915000,2435775,2766703,7,221681792_224416797_17217122_19983825
mMyoThy1.0.SUPER__4,124798317,91905000,92396264,+,mMyoVol1.0.SUPER__4,121843818,90555379,91059389,414288,504010,6,91905000_92396264_90555379_91059389
mMyoThy1.0.SUPER__3,224416797,1996715,3686981,+,mMyoVol1.0.SUPER__2,219449921,96595000,98315000,1414695,1796867,5,1995000_3718648_96593296_98390163
mMyoThy1.0.SUPER__4,124798317,91338328,91903274,+,mMyoVol1.0.SUPER__4,121843818,89939831,90497808,422834,564992,4,91338328_91903320_89939831_90497827
mMyoThy1.0.SUPER__4,124798317,89410000,89549488,-,mMyoVol1.0.SUPER__4,121843818,88227055,88365188,124645,139488,8,89410000_89549488_88227055_88365188
mMyoThy1.0.SUPER__3,224416797,2358,1928690,+,mMyoVol1.0.SUPER__2,219449921,94665000,96573224,1583621,1935360,5,0_1935360_94662639_96576930
mMyoThy1.0.SUPER__4,124798317,84321887,85624448,+,mMyoVol1.0.SUPER__4,121843818,83130128,84439824,1011118,1310691,4,84321280_85624832_83129516_84440207
mMyoThy1.0.SUPER__3,224416797,119171287,121767823,+,mMyoVol1.0.SUPER__2,219449921,216710450,219389040,2238725,2686517,6,119170000_121772112_216710450_219396967
mMyoThy1.0.SUPER__4,124798317,100160376,100312898,-,mMyoVol1.0.SUPER__4,121843818,98975336,99104626,121038,153984,6,100160376_100314360_98973084_99104626
mMyoThy1.0.SUPER__3,224416797,202176085,205579800,+,mMyoVol1.0.SUPER__2,219449921,80831536,84208345,2884382,3403776,6,202176024_205579800_80831475_84208345
mMyoThy1.0.SUPER__4,124798317,100315000,101349375,+,mMyoVol1.0.SUPER__4,121843818,99106872,100174312,821035,1068694,5,100315000_101350000_99106872_100175566
mMyoThy1.0.SUPER__4,124798317,123425497,123490000,-,mMyoVol1.0.SUPER__23,11797300,2514473,2570000,52702,73600,5,123416400_123490000_2514473_2579249
mMyoThy1.0.SUPER__4,124798317,77015000,77099598,-,mMyoVol1.0.SUPER__4,121843818,76005000,76079351,56755,95000,3,77015000_77110000_75994636_76079351
mMyoThy1.0.SUPER__2,217270064,122705000,127666536,+,mMyoVol1.0.SUPER__3,218117916,123910064,128881645,4095206,4971581,5,122705000_127666536_123910064_128881645
mMyoThy1.0.SUPER__4,124798317,74605320,74645000,-,mMyoVol1.0.SUPER__4,121843818,73526002,73557457,27026,39680,4,74605320_74645000_73526002_73557457
mMyoThy1.0.SUPER__4,124798317,9805216,9860000,-,mMyoVol1.0.SUPER__4,121843818,9126353,9182632,49845,56279,8,9805216_9860000_9126353_9182632
mMyoThy1.0.SUPER__4,124798317,11268648,11357662,-,mMyoVol1.0.SUPER__4,121843818,10555000,10644872,84766,95199,8,11265000_11359744_10552942_10648141
mMyoThy1.0.SUPER__2,217270064,184230352,192316677,+,mMyoVol1.0.SUPER__3,218117916,185300463,193364184,7222005,8121728,7,184230352_192352080_185300463_193397683
mMyoThy1.0.SUPER__4,124798317,26435922,26484744,-,mMyoVol1.0.SUPER__4,121843818,25610336,25660000,44124,49854,7,26435848_26484744_25610218_25660072
mMyoThy1.0.SUPER__4,124798317,73211512,73635000,+,mMyoVol1.0.SUPER__4,121843818,72575821,72939808,308705,423488,5,73211512_73635000_72575821_72939808
mMyoThy1.0.SUPER__4,124798317,72609865,72860355,+,mMyoVol1.0.SUPER__4,121843818,71365256,71610888,225982,319122,4,72609480_72914760_71364837_71683959
mMyoThy1.0.SUPER__4,124798317,57035000,57079360,-,mMyoVol1.0.SUPER__4,121843818,55906935,55953325,39955,46390,7,57035000_57079360_55906935_55953325
mMyoThy1.0.SUPER__4,124798317,71750768,72454640,+,mMyoVol1.0.SUPER__4,121843818,70573308,71283821,502497,710513,4,71750768_72454640_70573308_71283821
mMyoThy1.0.SUPER__4,124798317,83402666,84233144,+,mMyoVol1.0.SUPER__4,121843818,82255000,83028601,1992056,2756608,4,81476536_84233144_80304343_83028601
mMyoThy1.0.SUPER__5,115481225,70170000,70299397,+,mMyoVol1.0.SUPER__5,114967735,44757381,44874808,107905,129408,7,70170000_70299408_44757381_44874841
mMyoThy1.0.SUPER__4,124798317,34283,3399816,+,mMyoVol1.0.SUPER__4,121843818,30248,3303354,2957563,3394816,7,5000_3399816_1487_3303354
mMyoThy1.0.SUPER__6,110604897,20090832,20235110,-,mMyoVol1.0.SUPER__6,109406527,88625000,88792490,117123,174593,3,20090832_20261072_88617897_88792490
mMyoThy1.0.SUPER__6,110604897,19420256,19424646,+,mMyoVol1.0.SUPER__6,109406527,89470000,89500132,103854,122810,6,19420256_19540000_89377322_89500132
mMyoThy1.0.SUPER__6,110604897,8391280,9828743,-,mMyoVol1.0.SUPER__6,109406527,98885360,100386084,1180643,1501963,5,8391280_9830000_98884121_100386084
mMyoThy1.0.SUPER__6,110604897,87170000,87271966,-,mMyoVol1.0.SUPER__6,109406527,22205000,22300042,106513,129616,7,87170000_87299616_22187879_22300042
mMyoThy1.0.SUPER__4,124798317,116390000,123080623,+,mMyoVol1.0.SUPER__4,121843818,115167445,121839816,5900903,6690816,7,116390000_123080816_115167445_121840009
mMyoThy1.0.SUPER__7,101229579,94291602,95104488,-,mMyoVol1.0.SUPER__7,100618793,4812545,5638976,727533,835427,7,94286056_95104488_4812545_5647972
mMyoThy1.0.SUPER__7,101229579,95210952,95277353,-,mMyoVol1.0.SUPER__7,100618793,4645376,4709050,59422,112768,2,95210952_95323720_4616604_4709050
mMyoThy1.0.SUPER__7,101229579,96112140,96355000,-,mMyoVol1.0.SUPER__7,100618793,3888893,4154616,189784,292983,3,96090552_96355000_3888893_4181876
mMyoThy1.0.SUPER__8,94109772,26830000,27600000,+,mMyoVol1.0.SUPER__8,95393848,27118158,27858647,684680,770000,8,26830000_27600000_27118158_27858647
mMyoThy1.0.SUPER__3,224416797,193861408,202039660,+,mMyoVol1.0.SUPER__2,219449921,72321794,80664064,6760697,8342322,5,193861408_202039712_72321794_80664116
mMyoThy1.0.SUPER__7,101229579,99095626,99313639,-,mMyoVol1.0.SUPER__7,100618793,1175000,1373464,1967009,2487696,5,96835000_99315000_1173707_3661403
mMyoThy1.0.SUPER__9,93446574,82281947,82524282,+,mMyoVol1.0.SUPER__9,93067155,81821280,82015000,168854,257952,3,82267048_82525000_81783944_82015600
mMyoThy1.0.SUPER__9,93446574,16405000,16800966,+,mMyoVol1.0.SUPER__9,93067155,16514873,16929424,340762,417968,6,16405000_16804616_16514873_16932841
mMyoThy1.0.SUPER__9,93446574,770613,879104,-,mMyoVol1.0.SUPER__9,93067155,815305,923080,84735,108672,5,770432_879104_815305_923261
mMyoThy1.0.SUPER__9,93446574,10512,762667,+,mMyoVol1.0.SUPER__9,93067155,317,763648,575075,763872,4,10512_763024_317_764189
mMyoThy1.0.SUPER__9,93446574,16880640,19746995,+,mMyoVol1.0.SUPER__9,93067155,17012226,19902704,2537828,2901992,7,16880640_19770000_17012226_19914218
mMyoThy1.0.SUPER__10,87183007,40288891,40363467,+,mMyoVol1.0.SUPER__10,86300628,39910128,39971568,75300,168960,2,40285000_40453960_39901149_40050262
mMyoThy1.0.SUPER__10,87183007,3511625,3618877,-,mMyoVol1.0.SUPER__10,86300628,3325000,3427696,136890,254616,3,3425000_3679616_3255219_3450988
mMyoThy1.0.SUPER__10,87183007,2845256,3275470,+,mMyoVol1.0.SUPER__10,86300628,2838896,3250000,396246,508544,5,2845256_3353800_2838896_3301693
mMyoThy1.0.SUPER__10,87183007,39562922,39745698,+,mMyoVol1.0.SUPER__10,86300628,39230128,39404720,163383,198528,5,39550128_39748656_39209924_39407872
mMyoThy1.0.SUPER__11,84664575,55370768,55454411,+,mMyoVol1.0.SUPER__11,84216940,55327714,55415000,90230,103709,8,55370768_55470000_55327714_55431423
mMyoThy1.0.SUPER__2,217270064,75359379,75663853,+,mMyoVol1.0.SUPER__3,218117916,75632688,75890000,15203167,17609216,7,58055128_75664344_58332058_75890489
mMyoThy1.0.SUPER__2,217270064,174507762,183963784,+,mMyoVol1.0.SUPER__3,218117916,175780384,185234945,21695659,24438784,7,159525000_183963784_160815950_185234945
mMyoThy1.0.SUPER__11,84664575,72175000,72268386,-,mMyoVol1.0.SUPER__11,84216940,71955400,72043267,59761,95000,3,72175000_72270000_71954010_72043267
mMyoThy1.0.SUPER__10,87183007,52895760,58740000,+,mMyoVol1.0.SUPER__10,86300628,52052024,57833846,5072708,5844240,7,52895760_58740000_52052024_57833846
mMyoThy1.0.SUPER__12,80721813,75740788,75785000,+,mMyoVol1.0.SUPER__12,81250772,75680640,75714170,29520,44232,4,75740768_75785000_75680455_75714170
mMyoThy1.0.SUPER__12,80721813,75475862,75610000,+,mMyoVol1.0.SUPER__12,81250772,75375256,75510000,104882,144779,4,75475000_75610000_75374418_75519197
mMyoThy1.0.SUPER__12,80721813,75305000,75321992,-,mMyoVol1.0.SUPER__12,81250772,75261288,75288741,25279,30000,7,75305000_75335000_75261288_75288741
mMyoThy1.0.SUPER__11,84664575,37560,2969784,+,mMyoVol1.0.SUPER__11,84216940,49605,2973574,2569540,2932224,7,37560_2969784_49605_2973574
mMyoThy1.0.SUPER__12,80721813,70535000,71415000,+,mMyoVol1.0.SUPER__12,81250772,70497593,71287045,685548,880000,5,70535000_71415000_70497593_71287045
mMyoThy1.0.SUPER__12,80721813,45001,1678152,+,mMyoVol1.0.SUPER__12,81250772,40007,1695081,1412063,1655074,6,45000_1678152_40007_1695081
mMyoThy1.0.SUPER__13,68689766,57789321,58382597,+,mMyoVol1.0.SUPER__13,72188642,55555768,56080000,484868,653184,5,57730000_58383184_55508932_56080586
mMyoThy1.0.SUPER__13,68689766,45410105,45550000,+,mMyoVol1.0.SUPER__13,72188642,45115000,45248186,114365,140000,6,45410000_45550000_45114897_45248186
mMyoThy1.0.SUPER__13,68689766,56595496,57544744,-,mMyoVol1.0.SUPER__13,72188642,56591219,57533680,824387,949248,7,56595496_57544744_56591219_57533680
mMyoThy1.0.SUPER__10,87183007,52480044,52551661,+,mMyoVol1.0.SUPER__10,86300628,51865000,51945000,8261876,9457246,7,43235896_52564408_42500464_51957710
mMyoThy1.0.SUPER__8,94109772,31280,9636717,+,mMyoVol1.0.SUPER__8,95393848,44505,9771968,8612109,9727488,8,31280_9636784_44505_9771993
mMyoThy1.0.SUPER__14,62386317,49914984,49954201,+,mMyoVol1.0.SUPER__14,62965468,49985699,50024552,38534,41856,10,49914984_49956840_49985699_50027189
mMyoThy1.0.SUPER__12,80721813,41515000,48852507,+,mMyoVol1.0.SUPER__12,81250772,41528942,48775000,6571894,7355000,8,41515000_48870000_41528942_48803893
mMyoThy1.0.SUPER__14,62386317,50128,988102,+,mMyoVol1.0.SUPER__14,62965468,61244,1042136,823411,980902,6,50128_988112_61244_1042146
mMyoThy1.0.SUPER__16,60442534,35183157,35646827,-,mMyoVol1.0.SUPER__15,60939032,24470000,25035400,372761,570796,4,35180880_35649744_24466863_25037659
mMyoThy1.0.SUPER__16,60442534,45434006,45475000,-,mMyoVol1.0.SUPER__15,60939032,14084620,14125000,56283,65000,7,45410000_45475000_14084620_14147494
mMyoThy1.0.SUPER__16,60442534,55259813,55374616,-,mMyoVol1.0.SUPER__15,60939032,4530133,4650000,108785,134016,5,55240600_55374616_4530133_4661498
mMyoThy1.0.SUPER__16,60442534,45562929,45610000,-,mMyoVol1.0.SUPER__15,60939032,15046990,15090000,43128,49280,9,45560720_45610000_15046990_15092125
mMyoThy1.0.SUPER__16,60442534,48512368,49830000,-,mMyoVol1.0.SUPER__15,60939032,9834777,11088659,1064557,1317632,6,48512368_49830000_9834777_11088659
mMyoThy1.0.SUPER__16,60442534,52715000,54144661,-,mMyoVol1.0.SUPER__15,60939032,5540216,6735805,960312,1505000,4,52715000_54220000_5534704_6735805
mMyoThy1.0.SUPER__19,45450922,40184,311195,+,mMyoVol1.0.SUPER__19,45251460,61240,330000,242569,351173,4,40096_340000_61160_412333
mMyoThy1.0.SUPER__16,60442534,59471923,60396119,-,mMyoVol1.0.SUPER__15,60939032,41648,910000,744791,1057920,4,59340288_60398208_39748_971222
mMyoThy1.0.SUPER__20,30203243,27950000,28520008,-,mMyoVol1.0.SUPER__30,1669486,1099591,1663084,476612,570008,6,27950000_28520008_1099591_1663084
mMyoThy1.0.SUPER__20,30203243,2570128,2819900,+,mMyoVol1.0.SUPER__20,29934523,2509003,2684608,135804,249872,3,2570128_2820000_2509003_2684708
mMyoThy1.0.SUPER__2,217270064,84353454,104973444,+,mMyoVol1.0.SUPER__3,218117916,84700000,105612128,17260933,20914089,6,84351664_104973616_84698200_105612289
mMyoThy1.0.SUPER__20,30203243,55128,1030774,+,mMyoVol1.0.SUPER__20,29934523,60342,1054808,862373,997006,7,55128_1033304_60342_1057348
mMyoThy1.0.SUPER__14,62386317,54795061,61555000,+,mMyoVol1.0.SUPER__14,62965468,55105632,61855496,5618174,6760000,6,54795000_61555000_55105569_61855496
mMyoThy1.0.SUPER__17,55958539,39720000,39905000,+,mMyoVol1.0.SUPER__17,56019011,39737279,39920175,142293,185000,5,39720000_39905000_39737279_39920175
mMyoThy1.0.SUPER__17,55958539,39994347,40142353,+,mMyoVol1.0.SUPER__17,56019011,40089856,40240000,141790,164073,7,39981152_40144096_40077651_40241724
mMyoThy1.0.SUPER__21,25455428,14336152,14520000,+,mMyoVol1.0.SUPER__21,28618527,19957377,20153793,147236,196416,4,14336152_14520000_19957377_20153793
mMyoThy1.0.SUPER__21,25455428,13965000,13999560,+,mMyoVol1.0.SUPER__21,28618527,19572610,19607769,33533,35159,12,13965000_13999560_19572610_19607769
