qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoEvo1.0.SUPER__1,230788764,64470320,64510000,-,mMyoYum1.0.SUPER__1,240344003,69091401,69129905,34211,39680,7,64470320_64510000_69091401_69129905
mMyoEvo1.0.SUPER__1,230788764,4335384,4445000,+,mMyoYum1.0.SUPER__1,240344003,3023707,3128199,88650,109616,6,4335384_4445000_3023707_3128199
mMyoEvo1.0.SUPER__1,230788764,106795000,106855618,+,mMyoYum1.0.SUPER__1,240344003,111283357,111340000,47573,61312,5,106795000_106856312_111283357_111340692
mMyoEvo1.0.SUPER__1,230788764,106611920,106723535,+,mMyoYum1.0.SUPER__1,240344003,111180384,111273478,65719,111615,3,106611920_106723535_111180338_111273478
mMyoEvo1.0.SUPER__1,230788764,122782437,123019616,-,mMyoYum1.0.SUPER__1,240344003,127442066,127688630,194728,246564,5,122782432_123019616_127442066_127688630
mMyoEvo1.0.SUPER__1,230788764,107231958,107395000,+,mMyoYum1.0.SUPER__1,240344003,111705576,111863882,102312,163208,3,107231792_107395000_111705576_111863882
mMyoEvo1.0.SUPER__1,230788764,130345000,130445000,-,mMyoYum1.0.SUPER__1,240344003,131892629,132005737,83720,113108,5,130345000_130445000_131892629_132005737
mMyoEvo1.0.SUPER__1,230788764,106968438,107218952,+,mMyoYum1.0.SUPER__1,240344003,111340886,111613018,202463,272132,5,106968328_107218952_111340886_111613018
mMyoEvo1.0.SUPER__2,217004436,77470000,77503664,+,mMyoYum1.0.SUPER__2,217333615,139817412,139850126,30807,33664,9,77470000_77503664_139817412_139850126
mMyoEvo1.0.SUPER__1,230788764,883946,1092493,+,mMyoYum1.0.SUPER__1,240344003,2120512,2344768,192940,271082,4,829336_1094040_2075117_2346199
mMyoEvo1.0.SUPER__2,217004436,57625000,57665000,-,mMyoYum1.0.SUPER__2,217333615,159887427,159925487,36046,40000,9,57625000_57665000_159887427_159925487
mMyoEvo1.0.SUPER__1,230788764,79805000,79890603,+,mMyoYum1.0.SUPER__1,240344003,84204541,84303936,152622,270000,3,79805000_80075000_84204541_84411573
mMyoEvo1.0.SUPER__2,217004436,4590136,4673720,-,mMyoYum1.0.SUPER__108,94119,14,91571,79215,91557,8,4590136_4673720_14_91571
mMyoEvo1.0.SUPER__1,230788764,107566024,108380000,+,mMyoYum1.0.SUPER__1,240344003,112191068,112910897,595880,813976,5,107566024_108380000_112191068_112910897
mMyoEvo1.0.SUPER__2,217004436,109900000,110061603,+,mMyoYum1.0.SUPER__2,217333615,107071714,107230000,117108,162944,4,109900000_110062944_107071714_107231453
mMyoEvo1.0.SUPER__2,217004436,83263861,83744223,-,mMyoYum1.0.SUPER__2,217333615,133490336,133860000,350774,570904,3,83260000_83830904_133472513_133911820
mMyoEvo1.0.SUPER__2,217004436,110227397,110973360,-,mMyoYum1.0.SUPER__2,217333615,106315000,107044232,595176,747264,5,110227352_110974616_106313484_107044251
mMyoEvo1.0.SUPER__2,217004436,149505000,149535000,-,mMyoYum1.0.SUPER__2,217333615,67585640,67617865,23755,32225,4,149505000_149535000_67585640_67617865
mMyoEvo1.0.SUPER__1,230788764,77380578,77414056,+,mMyoYum1.0.SUPER__1,240344003,81720512,81730659,866875,1113984,5,76330512_77444496_80625884_81730659
mMyoEvo1.0.SUPER__2,217004436,183913688,185415000,-,mMyoYum1.0.SUPER__2,217333615,31554575,33049652,1336648,1501312,8,183913688_185415000_31554575_33049652
mMyoEvo1.0.SUPER__2,217004436,116681179,116716565,+,mMyoYum1.0.SUPER__2,217333615,99930000,99964560,30347,45794,4,116681024_116720000_99929845_99975639
mMyoEvo1.0.SUPER__1,230788764,127990000,129721713,+,mMyoYum1.0.SUPER__1,240344003,133363206,135095000,1510528,1759872,6,127990000_129749872_133363206_135113331
mMyoEvo1.0.SUPER__2,217004436,111918208,112556126,-,mMyoYum1.0.SUPER__2,217333615,103921184,104582622,527131,665200,5,111918208_112559616_103917422_104582622
mMyoEvo1.0.SUPER__3,215147351,156132322,156346898,-,mMyoYum1.0.SUPER__3,215164148,155645216,155860000,179616,221827,5,156130480_156350000_155642138_155863965
mMyoEvo1.0.SUPER__1,230788764,182125256,184302792,+,mMyoYum1.0.SUPER__1,240344003,191792984,193995046,1868284,2202062,6,182125256_184302792_191792984_193995046
mMyoEvo1.0.SUPER__2,217004436,148953360,148995908,-,mMyoYum1.0.SUPER__2,217333615,67540000,67573813,52850,100908,2,148953360_149047568_67472905_67573813
mMyoEvo1.0.SUPER__2,217004436,121110000,122654616,-,mMyoYum1.0.SUPER__2,217333615,93970707,95511324,1303061,1544616,6,121110000_122654616_93970707_95511324
mMyoEvo1.0.SUPER__3,215147351,148400000,148456303,+,mMyoYum1.0.SUPER__3,215164148,147656232,147725000,47908,70953,4,148400000_148458496_147656232_147727185
mMyoEvo1.0.SUPER__3,215147351,160690000,161188432,+,mMyoYum1.0.SUPER__3,215164148,160251746,160695406,363519,498432,4,160690000_161188432_160251746_160695406
mMyoEvo1.0.SUPER__3,215147351,174321072,174430000,-,mMyoYum1.0.SUPER__3,215164148,173947967,174054482,100273,108928,10,174321072_174430000_173947967_174054482
mMyoEvo1.0.SUPER__3,215147351,102130000,102852304,+,mMyoYum1.0.SUPER__3,215164148,101948611,102687656,543276,739067,4,102130000_102852304_101948611_102687678
mMyoEvo1.0.SUPER__3,215147351,214252201,215088503,+,mMyoYum1.0.SUPER__3,215164148,214300752,215120000,733075,843264,7,214245384_215088648_214292678_215120163
mMyoEvo1.0.SUPER__3,215147351,214192176,214243922,+,mMyoYum1.0.SUPER__137,58935,351,58624,38701,58283,4,214192176_214244015_351_58634
mMyoEvo1.0.SUPER__3,215147351,2140512,2164320,+,mMyoYum1.0.SUPER__284,26778,706,26371,21367,25665,7,2140512_2164320_706_26371
