qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoOcc1.0.SUPER__1,232672419,96020768,96050000,+,mMyoVol1.0.SUPER__1,242898603,146965902,146994975,27772,29232,11,96020768_96050000_146965902_146994975
mMyoOcc1.0.SUPER__1,232672419,42755855,43117921,-,mMyoVol1.0.SUPER__1,242898603,200580000,200970000,349911,429757,6,42735000_43131672_200566796_200996553
mMyoOcc1.0.SUPER__1,232672419,89540000,89586771,-,mMyoVol1.0.SUPER__1,242898603,153729550,153816963,80323,100000,6,89540000_89640000_153729550_153816963
mMyoOcc1.0.SUPER__1,232672419,131596448,131780000,-,mMyoVol1.0.SUPER__1,242898603,103006516,103200426,119293,193910,3,131596448_131780000_103006516_103200426
mMyoOcc1.0.SUPER__2,212937769,65891026,66039744,-,mMyoVol1.0.SUPER__3,218117916,150977421,151125000,132931,152832,7,65886912_66039744_150977421_151128968
mMyoOcc1.0.SUPER__2,212937769,30819504,30979616,-,mMyoVol1.0.SUPER__3,218117916,186640091,186810000,153689,180406,7,30810000_30979616_186640091_186820497
mMyoOcc1.0.SUPER__2,212937769,101895000,102749744,-,mMyoVol1.0.SUPER__3,218117916,113000896,113792836,701946,854744,6,101895000_102749744_113000896_113792836
mMyoOcc1.0.SUPER__2,212937769,103820145,103910000,-,mMyoVol1.0.SUPER__3,218117916,111781170,111869012,80722,89855,8,103820145_103910000_111781170_111869012
mMyoOcc1.0.SUPER__1,232672419,1773582,2910000,-,mMyoVol1.0.SUPER__1,242898603,241710167,242893995,989410,1185812,6,1770288_2910000_241710167_242895979
mMyoOcc1.0.SUPER__1,232672419,227616096,228779360,-,mMyoVol1.0.SUPER__1,242898603,4048869,5276384,1033269,1227515,7,227616096_228779360_4048869_5276384
mMyoOcc1.0.SUPER__2,212937769,102772633,103379698,-,mMyoVol1.0.SUPER__3,218117916,112200000,112848592,482559,649961,4,102772592_103400432_112198761_112848722
mMyoOcc1.0.SUPER__2,212937769,135990000,136040000,+,mMyoVol1.0.SUPER__3,218117916,78486596,78541170,38951,54574,4,135990000_136040000_78486596_78541170
mMyoOcc1.0.SUPER__2,212937769,81896,1124616,-,mMyoVol1.0.SUPER__3,218117916,216966822,218040000,903922,1074660,6,80392_1124616_216966822_218041482
mMyoOcc1.0.SUPER__2,212937769,129900560,130569872,-,mMyoVol1.0.SUPER__3,218117916,83858332,84561222,542968,702890,5,129900560_130569872_83858332_84561222
mMyoOcc1.0.SUPER__3,212757328,58795896,58983160,+,mMyoVol1.0.SUPER__2,219449921,159470645,159678834,169649,208189,6,58795896_58983160_159470645_159678834
mMyoOcc1.0.SUPER__1,232672419,229600103,230948228,-,mMyoVol1.0.SUPER__1,242898603,1225000,2610000,1151314,1386870,6,229600000_230950000_1223232_2610102
mMyoOcc1.0.SUPER__2,212937769,130860253,130894155,+,mMyoVol1.0.SUPER__3,218117916,84650000,84694938,74940,109184,3,130785000_130894184_84587718_84694938
mMyoOcc1.0.SUPER__2,212937769,107395000,108074872,-,mMyoVol1.0.SUPER__3,218117916,107411902,108110886,557625,698984,5,107395000_108074872_107411902_108110886
mMyoOcc1.0.SUPER__3,212757328,9030408,9097668,-,mMyoVol1.0.SUPER__2,219449921,210065424,210160701,72880,129279,3,9030408_9124488_210031422_210160701
mMyoOcc1.0.SUPER__1,232672419,122401058,126194416,-,mMyoVol1.0.SUPER__1,242898603,109169590,113060000,3225950,3890460,6,122401008_126194416_109169590_113060050
mMyoOcc1.0.SUPER__3,212757328,6884941,6885000,+,mMyoVol1.0.SUPER__2,219449921,212374666,212412056,70106,99616,4,6785384_6885000_212374666_212461272
mMyoOcc1.0.SUPER__2,212937769,103920000,107389744,-,mMyoVol1.0.SUPER__3,218117916,108173672,111706866,2880907,3533194,5,103920000_107389744_108173672_111706866
mMyoOcc1.0.SUPER__2,212937769,138506586,138615000,-,mMyoVol1.0.SUPER__3,218117916,75944440,76068080,2164550,2575000,6,136040000_138615000_75944440_78477429
mMyoOcc1.0.SUPER__3,212757328,4430452,6734284,-,mMyoVol1.0.SUPER__2,219449921,212645368,214955000,2092964,2378723,7,4387144_6761288_212621063_214999786
mMyoOcc1.0.SUPER__3,212757328,134165384,134286088,+,mMyoVol1.0.SUPER__2,219449921,80687040,80811934,104549,124894,6,134165384_134286088_80687040_80811934
