qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoCai1.0.SUPER__1,234393516,126218328,126273752,+,mMyoOcc1.0.SUPER__1,232672419,127122631,127162464,38086,55424,5,126218328_126273752_127122631_127162464
mMyoCai1.0.SUPER__1,234393516,154786024,154850000,+,mMyoOcc1.0.SUPER__1,232672419,153394071,153477908,60620,83837,5,154786024_154850000_153394071_153477908
mMyoCai1.0.SUPER__1,234393516,158020000,158145000,+,mMyoOcc1.0.SUPER__1,232672419,156601378,156711805,95635,125000,5,158020000_158145000_156601378_156711805
mMyoCai1.0.SUPER__1,234393516,158565640,158598408,+,mMyoOcc1.0.SUPER__1,232672419,157325368,157360000,29491,38073,6,158565640_158598408_157325368_157363441
mMyoCai1.0.SUPER__1,234393516,154683748,154740034,+,mMyoOcc1.0.SUPER__1,232672419,153145000,153210000,109208,199961,3,154625000_154785000_153140622_153340583
mMyoCai1.0.SUPER__1,234393516,43610000,44029328,+,mMyoOcc1.0.SUPER__1,232672419,42736668,43125146,341556,419328,6,43610000_44029328_42736668_43125146
mMyoCai1.0.SUPER__1,234393516,126938485,127010000,+,mMyoOcc1.0.SUPER__1,232672419,127910000,127984198,39584,75818,2,126936920_127010000_127908380_127984198
mMyoCai1.0.SUPER__1,234393516,232251699,232840000,+,mMyoOcc1.0.SUPER__1,232672419,228995256,229574450,539901,615000,7,232225000_232840000_228968078_229574450
mMyoCai1.0.SUPER__2,217612966,115299366,115657054,+,mMyoOcc1.0.SUPER__3,212757328,112940000,113278304,269696,358912,4,115298200_115657112_112939279_113278362
mMyoCai1.0.SUPER__2,217612966,146418211,146695000,-,mMyoOcc1.0.SUPER__3,212757328,142895826,143169872,240132,279552,7,146415448_146695000_142895826_143172696
mMyoCai1.0.SUPER__2,217612966,167000184,167034616,-,mMyoOcc1.0.SUPER__3,212757328,162912655,162954179,30034,41524,5,167000184_167034616_162912655_162954179
mMyoCai1.0.SUPER__2,217612966,112155000,112905000,+,mMyoOcc1.0.SUPER__3,212757328,110098804,110763064,562113,750000,5,112155000_112905000_110098804_110763064
mMyoCai1.0.SUPER__2,217612966,189290640,189365000,+,mMyoOcc1.0.SUPER__3,212757328,184825000,184899416,60179,74538,5,189290640_189365000_184824878_184899416
mMyoCai1.0.SUPER__2,217612966,118613871,119290000,+,mMyoOcc1.0.SUPER__3,212757328,115730000,116399691,492954,676288,4,118613712_119290000_115729910_116399691
mMyoCai1.0.SUPER__1,234393516,158765000,159717960,+,mMyoOcc1.0.SUPER__1,232672419,157523894,158439526,753078,952960,5,158765000_159717960_157523894_158439526
mMyoCai1.0.SUPER__2,217612966,112907216,113785000,+,mMyoOcc1.0.SUPER__3,212757328,110837176,111630684,639468,877952,4,112907048_113785000_110837164_111630684
mMyoCai1.0.SUPER__1,234393516,230487970,231681662,-,mMyoOcc1.0.SUPER__1,232672419,227620000,228804744,1045470,1229568,6,230465432_231695000_227598855_228824819
mMyoCai1.0.SUPER__2,217612966,110665413,112091921,+,mMyoOcc1.0.SUPER__3,212757328,108785128,110080000,1081433,1428352,5,110665000_112093352_108784715_110081394
mMyoCai1.0.SUPER__1,234393516,46487752,48688520,+,mMyoOcc1.0.SUPER__1,232672419,45735512,47853305,1886135,2201088,7,46487432_48688520_45735201_47853305
mMyoCai1.0.SUPER__2,217612966,67366896,67433459,-,mMyoOcc1.0.SUPER__3,212757328,68345232,68410000,75103,89600,7,67365272_67454872_68328438_68411533
mMyoCai1.0.SUPER__3,217383104,106335000,106493976,+,mMyoOcc1.0.SUPER__2,212937769,103773245,103910000,118777,158976,5,106335000_106493976_103773245_103910028
mMyoCai1.0.SUPER__3,217383104,106576389,107020000,+,mMyoOcc1.0.SUPER__2,212937769,103920000,104349482,359811,444744,5,106575256_107020000_103918917_104349482
mMyoCai1.0.SUPER__3,217383104,117095200,117373835,-,mMyoOcc1.0.SUPER__2,212937769,114250000,114504409,225817,280064,6,117095200_117375264_114247618_114504409
