qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoEvo1.0.SUPER__1,230788764,95792,136216,+,mMyoAui1.0.SUPER__1,234041302,55384,97215,35007,42623,6,95000_136216_54592_97215
mMyoEvo1.0.SUPER__1,230788764,64470000,64511445,-,mMyoAui1.0.SUPER__1,234041302,65670000,65709215,38688,42440,10,64470000_64512440_65669025_65709215
mMyoEvo1.0.SUPER__1,230788764,75725955,75817230,+,mMyoAui1.0.SUPER__1,234041302,77135000,77190694,10430330,11476934,8,64515512_75924024_65713760_77190694
mMyoEvo1.0.SUPER__1,230788764,181280,230000,+,mMyoAui1.0.SUPER__1,234041302,1539184,1597645,31930,58461,2,181280_230000_1539184_1597645
mMyoEvo1.0.SUPER__2,217004436,149073342,149199872,-,mMyoAui1.0.SUPER__2,216233548,67151000,67275000,152631,158464,13,149041408_149199872_67151000_67308486
mMyoEvo1.0.SUPER__2,217004436,149387935,149491593,-,mMyoAui1.0.SUPER__2,216233548,67000000,67108208,102691,111734,10,149387736_149495000_66996555_67108289
mMyoEvo1.0.SUPER__2,217004436,110952707,111011592,-,mMyoAui1.0.SUPER__2,216233548,105575000,105629616,54492,62568,8,110950000_111012568_105574163_105632292
mMyoEvo1.0.SUPER__2,217004436,116685849,116720000,+,mMyoAui1.0.SUPER__2,216233548,99660000,99693791,33580,34616,14,116685384_116720000_99659537_99693791
mMyoEvo1.0.SUPER__2,217004436,57446589,57544872,-,mMyoAui1.0.SUPER__2,216233548,158680126,158784872,91614,106354,7,57445000_57544872_158680126_158786480
mMyoEvo1.0.SUPER__2,217004436,83500000,83861887,-,mMyoAui1.0.SUPER__2,216233548,132230376,132620681,9253145,10465000,7,83500000_93965000_122210448_132620681
mMyoEvo1.0.SUPER__2,217004436,183913744,185241977,-,mMyoAui1.0.SUPER__2,216233548,31615136,32893020,1297917,1456256,8,183913744_185370000_31493717_32893020
mMyoEvo1.0.SUPER__1,230788764,105090000,107404949,+,mMyoAui1.0.SUPER__1,234041302,106344303,108644768,1990229,2315000,6,105090000_107405000_106344303_108644819
mMyoEvo1.0.SUPER__2,217004436,111111533,111915000,-,mMyoAui1.0.SUPER__2,216233548,104477818,105329104,685443,851336,5,111111416_111915000_104477818_105329154
mMyoEvo1.0.SUPER__3,215147351,206275000,206304312,+,mMyoAui1.0.SUPER__3,215394694,206481728,206509107,24697,29312,7,206275000_206304312_206481728_206509107
mMyoEvo1.0.SUPER__3,215147351,160691893,161210000,+,mMyoAui1.0.SUPER__3,215394694,160765128,161265715,417764,520000,5,160690000_161210000_160763244_161265715
mMyoEvo1.0.SUPER__3,215147351,70401067,70480000,-,mMyoAui1.0.SUPER__3,215394694,70166828,70240000,70790,79744,9,70400256_70480000_70166828_70240810
mMyoEvo1.0.SUPER__2,217004436,215776024,216973304,-,mMyoAui1.0.SUPER__2,216233548,23718,1129775,977687,1197312,6,215776024_216973336_23718_1129775
mMyoEvo1.0.SUPER__3,215147351,80025000,80149488,-,mMyoAui1.0.SUPER__3,215394694,79686391,79812150,113706,125759,8,80025000_80149488_79686391_79812150
mMyoEvo1.0.SUPER__3,215147351,79761891,80019616,-,mMyoAui1.0.SUPER__3,215394694,79412763,79679616,242534,267232,9,79761440_80019616_79412763_79679995
mMyoEvo1.0.SUPER__3,215147351,80185384,80518361,+,mMyoAui1.0.SUPER__3,215394694,79820740,80159712,301841,363136,6,80185384_80548520_79820740_80161561
mMyoEvo1.0.SUPER__3,215147351,83767846,83869696,+,mMyoAui1.0.SUPER__3,215394694,83438712,83550722,92344,112010,6,83760128_83869696_83438712_83550722
mMyoEvo1.0.SUPER__3,215147351,98199172,98704292,+,mMyoAui1.0.SUPER__3,215394694,97435256,97905000,426465,507440,7,98197560_98705000_97433647_97905704
mMyoEvo1.0.SUPER__3,215147351,97484132,98135223,+,mMyoAui1.0.SUPER__3,215394694,96815384,97424792,2218515,2538752,7,95610000_98148752_94948151_97438455
mMyoEvo1.0.SUPER__3,215147351,104255000,104295000,+,mMyoAui1.0.SUPER__3,215394694,103510866,103548407,36115,40000,10,104255000_104295000_103510866_103548407
mMyoEvo1.0.SUPER__3,215147351,104300000,104522298,+,mMyoAui1.0.SUPER__3,215394694,103615192,103818256,175575,236672,5,104300000_104536672_103615192_103820333
mMyoEvo1.0.SUPER__3,215147351,101757302,101925000,+,mMyoAui1.0.SUPER__3,215394694,101140000,101342980,160903,216633,4,101726864_101925000_101126347_101342980
mMyoEvo1.0.SUPER__3,215147351,104595480,105032946,+,mMyoAui1.0.SUPER__3,215394694,103821280,104264800,387050,445597,7,104595000_105034552_103820808_104266405
mMyoEvo1.0.SUPER__3,215147351,99386437,99475988,+,mMyoAui1.0.SUPER__3,215394694,98500000,98585000,72312,93824,5,99385000_99478824_98498561_98587880
mMyoEvo1.0.SUPER__3,215147351,103248668,104214856,+,mMyoAui1.0.SUPER__3,215394694,102515128,103469706,862604,967296,8,103247560_104214856_102514020_103469706
mMyoEvo1.0.SUPER__3,215147351,98757560,99319736,+,mMyoAui1.0.SUPER__3,215394694,97906042,98495674,499068,589632,6,98757560_99319736_97906042_98495674
mMyoEvo1.0.SUPER__4,126131752,83733242,83781466,+,mMyoAui1.0.SUPER__4,125946359,42385256,42435000,49142,55381,8,83730000_83784016_42382116_42437497
mMyoEvo1.0.SUPER__3,215147351,102855000,103119704,+,mMyoAui1.0.SUPER__3,215394694,102239207,102507495,231427,268288,7,102855000_103119704_102239207_102507495
mMyoEvo1.0.SUPER__4,126131752,56710000,57253336,-,mMyoAui1.0.SUPER__4,125946359,68560775,69089431,464709,543336,6,56710000_57253336_68560775_69089431
mMyoEvo1.0.SUPER__4,126131752,55702339,56075000,-,mMyoAui1.0.SUPER__4,125946359,69688363,70080000,323078,392836,6,55701112_56075000_69688363_70081199
mMyoEvo1.0.SUPER__3,215147351,101978979,102852568,+,mMyoAui1.0.SUPER__3,215394694,101348328,102149476,694062,873600,5,101978968_102852568_101348307_102149476
mMyoEvo1.0.SUPER__4,126131752,55043920,55251651,-,mMyoAui1.0.SUPER__4,125946359,70530000,70780000,194109,252155,6,55042904_55252824_70528822_70780977
mMyoEvo1.0.SUPER__1,230788764,227933318,230766377,+,mMyoAui1.0.SUPER__1,234041302,231190128,234015000,2528278,2877352,7,227897648_230775000_231186524_234038549
mMyoEvo1.0.SUPER__4,126131752,53416488,53465000,-,mMyoAui1.0.SUPER__4,125946359,72172830,72222538,40266,49708,5,53416488_53465000_72172830_72222538
mMyoEvo1.0.SUPER__3,215147351,99631361,101449112,+,mMyoAui1.0.SUPER__3,215394694,98586152,100442024,1667966,1856103,8,99631280_101449264_98586072_100442175
mMyoEvo1.0.SUPER__4,126131752,53350000,53415000,+,mMyoAui1.0.SUPER__4,125946359,72229382,72297127,49141,67745,4,53350000_53415000_72229382_72297127
mMyoEvo1.0.SUPER__4,126131752,84215233,84238009,+,mMyoAui1.0.SUPER__4,125946359,41952176,41975000,23903,31488,6,84207176_84238664_41950393_41975657
mMyoEvo1.0.SUPER__4,126131752,56142199,56708365,-,mMyoAui1.0.SUPER__4,125946359,69152400,69680000,442779,568464,5,56140000_56708464_69152400_69682444
mMyoEvo1.0.SUPER__4,126131752,118130914,118170000,+,mMyoAui1.0.SUPER__4,125946359,8040000,8078188,37751,40000,12,118130000_118170000_8039318_8078188
mMyoEvo1.0.SUPER__4,126131752,55260464,55629872,-,mMyoAui1.0.SUPER__4,125946359,70082012,70462657,284916,380645,4,55260464_55629872_70082012_70462657
mMyoEvo1.0.SUPER__4,126131752,54406584,54912762,-,mMyoAui1.0.SUPER__4,125946359,70790000,71328780,430343,541009,5,54406584_54914744_70787771_71328780
mMyoEvo1.0.SUPER__4,126131752,53470301,54240072,-,mMyoAui1.0.SUPER__4,125946359,71335000,72099104,605065,770688,5,53470216_54240904_71334284_72099189
mMyoEvo1.0.SUPER__4,126131752,121350000,123039856,+,mMyoAui1.0.SUPER__4,125946359,21761,1630205,1446754,1689856,7,121350000_123039856_21761_1630205
mMyoEvo1.0.SUPER__4,126131752,52139151,52708781,-,mMyoAui1.0.SUPER__4,125946359,73996624,74610000,460330,614231,4,52138736_52709232_73996184_74610415
mMyoEvo1.0.SUPER__2,217004436,116721516,122730760,-,mMyoAui1.0.SUPER__2,216233548,93757640,99565000,9570081,10994816,7,116721352_127716168_88873450_99565175
mMyoEvo1.0.SUPER__2,217004436,143715864,148892050,-,mMyoAui1.0.SUPER__2,216233548,67569288,72739113,4668956,5176320,8,143715864_148892184_67569155_72739113
mMyoEvo1.0.SUPER__4,126131752,24465641,24675000,+,mMyoAui1.0.SUPER__4,125946359,101200000,101394763,146218,209872,4,24465128_24675000_101199489_101394763
mMyoEvo1.0.SUPER__4,126131752,36432252,36536388,-,mMyoAui1.0.SUPER__4,125946359,89355000,89460000,4717455,5540000,6,34850000_40390000_85612766_91083514
mMyoEvo1.0.SUPER__4,126131752,51400413,52020000,-,mMyoAui1.0.SUPER__4,125946359,74634763,75209744,502401,621696,6,51398304_52020000_74634763_75211848
mMyoEvo1.0.SUPER__4,126131752,40460896,41377568,-,mMyoAui1.0.SUPER__4,125946359,84716944,85608208,797602,916736,7,40460832_41377568_84716931_85608328
mMyoEvo1.0.SUPER__4,126131752,48821075,48910000,+,mMyoAui1.0.SUPER__4,125946359,77621280,77715889,76573,100696,5,48815000_48910000_77615193_77715889
mMyoEvo1.0.SUPER__4,126131752,1344174,2178534,-,mMyoAui1.0.SUPER__4,125946359,123805000,124602696,659408,845696,5,1334304_2180000_123803543_124602910
mMyoEvo1.0.SUPER__4,126131752,43653305,43970219,-,mMyoAui1.0.SUPER__4,125946359,82355000,82630000,235672,320128,5,43651288_43971416_82353899_82632016
mMyoEvo1.0.SUPER__4,126131752,44045000,45717952,-,mMyoAui1.0.SUPER__4,125946359,80731923,82344577,1443507,1672952,7,44045000_45717952_80731923_82344577
mMyoEvo1.0.SUPER__4,126131752,41442447,41854433,-,mMyoAui1.0.SUPER__4,125946359,84315000,84710000,336258,412928,6,41441560_41854488_84314945_84710961
mMyoEvo1.0.SUPER__4,126131752,9754028,14283707,-,mMyoAui1.0.SUPER__4,125946359,111812926,116388976,4232902,4585083,9,9745000_14292824_111812926_116398009
mMyoEvo1.0.SUPER__5,115719297,40393442,40470000,-,mMyoAui1.0.SUPER__5,115173812,40248089,40325000,75851,79231,12,40391152_40470000_40248089_40327320
