qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoLuc1.0.SUPER__1,244374582,100171065,100249356,+,mMyoThy1#0#SUPER__1,230758872,100945000,101039592,120244,175579,4,100135000_100280000_100910528_101086107
mMyoLuc1.0.SUPER__1,244374582,138250782,138665000,+,mMyoThy1#0#SUPER__1,230758872,123691233,124126456,333332,435223,5,138250768_138665000_123691233_124126456
mMyoLuc1.0.SUPER__1,244374582,239678165,240249208,+,mMyoThy1#0#SUPER__1,230758872,227370640,227949520,510843,582196,7,239675000_240249208_227367324_227949520
mMyoLuc1.0.SUPER__1,244374582,137982176,138045000,+,mMyoThy1#0#SUPER__1,230758872,123446024,123512537,53760,66555,6,137982176_138045000_123445982_123512537
mMyoLuc1.0.SUPER__1,244374582,137720607,137980000,+,mMyoThy1#0#SUPER__1,230758872,123060000,123318709,204911,259616,5,137720384_137980000_123059777_123318709
mMyoLuc1.0.SUPER__1,244374582,137475000,137620090,+,mMyoThy1#0#SUPER__1,230758872,122882555,123055000,92822,174620,2,137475000_137622200_122882555_123057175
mMyoLuc1.0.SUPER__1,244374582,100459663,100536247,+,mMyoThy1#0#SUPER__1,230758872,100490384,100570000,212502,287015,4,100375000_100658264_100418224_100705239
mMyoLuc1.0.SUPER__1,244374582,138777581,139757668,+,mMyoThy1#0#SUPER__1,230758872,124136447,125224664,818721,1089160,5,138777560_139758552_124136447_125225607
mMyoLuc1.0.SUPER__1,244374582,238202485,239434850,+,mMyoThy1#0#SUPER__1,230758872,225930000,227185240,1092020,1273728,6,238176024_239449752_225913378_227185240
mMyoLuc1.0.SUPER__2,212563729,114995720,115029360,-,mMyoThy1#0#SUPER__2,217270064,116665000,116699167,28502,34306,6,114995568_115029360_116664861_116699167
mMyoLuc1.0.SUPER__2,212563729,105358463,105405000,-,mMyoThy1#0#SUPER__2,217270064,107492092,107539872,46430,49552,11,105356616_105405000_107492092_107541644
mMyoLuc1.0.SUPER__2,212563729,108720256,108914328,+,mMyoThy1#0#SUPER__2,217270064,110952163,111129584,154285,197632,5,108720256_108917888_110952163_111132144
mMyoLuc1.0.SUPER__1,244374582,240655893,242013490,+,mMyoThy1#0#SUPER__1,230758872,228020128,229389344,1164334,1390296,6,240635000_242023928_228003325_229393621
mMyoLuc1.0.SUPER__2,212563729,109550199,110320705,+,mMyoThy1#0#SUPER__2,217270064,111188328,111973096,599539,784913,4,109550128_110320816_111188300_111973213
mMyoLuc1.0.SUPER__2,212563729,56355000,56484280,+,mMyoThy1#0#SUPER__2,217270064,57730609,57884389,107005,153780,4,56355000_56484280_57730609_57884389
mMyoLuc1.0.SUPER__2,212563729,65077188,65132296,+,mMyoThy1#0#SUPER__2,217270064,66585000,66640000,51969,67584,4,65065896_65133352_66573490_66641074
mMyoLuc1.0.SUPER__3,211792393,23875128,23920000,+,mMyoThy1#0#SUPER__3,224416797,146271025,146318595,42481,47570,9,23875128_23920000_146271025_146318595
mMyoLuc1.0.SUPER__2,212563729,104465128,105352911,+,mMyoThy1#0#SUPER__2,217270064,106606896,107489864,703522,887808,5,104465128_105352936_106606896_107489889
mMyoLuc1.0.SUPER__2,212563729,211415512,212525006,+,mMyoThy1#0#SUPER__2,217270064,216111639,217240000,927673,1129626,6,211415512_212526296_216111639_217241265
mMyoLuc1.0.SUPER__3,211792393,202558811,202915000,+,mMyoThy1#0#SUPER__3,224416797,112275000,112646310,319266,398848,5,202516152_202915000_112258159_112646310
mMyoLuc1.0.SUPER__3,211792393,187715000,187871477,+,mMyoThy1#0#SUPER__3,224416797,97502471,97623547,105692,167296,4,187715000_187882296_97502471_97623547
mMyoLuc1.0.SUPER__3,211792393,39340000,40637848,+,mMyoThy1#0#SUPER__3,224416797,162227231,163544808,1182578,1318201,8,39340000_40639840_162227231_163545432
mMyoLuc1.0.SUPER__3,211792393,157344091,157609412,+,mMyoThy1#0#SUPER__3,224416797,66745000,66990000,214227,278272,5,157331536_157609808_66727839_66990395
mMyoLuc1.0.SUPER__2,212563729,102866135,104461918,+,mMyoThy1#0#SUPER__2,217270064,104983584,106544800,1313200,1598464,6,102864096_104462560_104982856_106545441
mMyoLuc1.0.SUPER__3,211792393,97140000,97310000,+,mMyoThy1#0#SUPER__3,224416797,221339469,221512412,123916,172943,4,97140000_97310000_221339469_221512412
mMyoLuc1.0.SUPER__3,211792393,119321169,119380000,+,mMyoThy1#0#SUPER__3,224416797,28797304,28842042,39073,64616,3,119315384_119380000_28784461_28842042
mMyoLuc1.0.SUPER__3,211792393,96855000,97139160,+,mMyoThy1#0#SUPER__3,224416797,220971881,221241775,225281,284160,5,96855000_97139160_220971881_221241775
mMyoLuc1.0.SUPER__3,211792393,92845000,93225000,+,mMyoThy1#0#SUPER__3,224416797,216984109,217359130,338075,380000,8,92845000_93225000_216984109_217359130
mMyoLuc1.0.SUPER__3,211792393,92565000,92720000,+,mMyoThy1#0#SUPER__3,224416797,216627230,216784849,127430,157619,5,92565000_92720000_216627230_216784849
mMyoLuc1.0.SUPER__3,211792393,68900034,68980000,-,mMyoThy1#0#SUPER__3,224416797,192493588,192564616,61351,80000,5,68900000_68980000_192493588_192564650
mMyoLuc1.0.SUPER__3,211792393,68122175,68413368,+,mMyoThy1#0#SUPER__3,224416797,191591792,191893603,246978,334177,5,68115000_68413368_191559426_191893603
mMyoLuc1.0.SUPER__3,211792393,68415000,68892907,+,mMyoThy1#0#SUPER__3,224416797,191958270,192488120,404690,529879,5,68415000_68892952_191958270_192488149
mMyoLuc1.0.SUPER__3,211792393,67410000,67469115,-,mMyoThy1#0#SUPER__3,224416797,190790000,190854415,52465,65301,6,67410000_67470000_190789114_190854415
mMyoLuc1.0.SUPER__3,211792393,67475444,68113807,+,mMyoThy1#0#SUPER__3,224416797,190857304,191481432,525337,638464,6,67475384_68113848_190857229_191481473
mMyoLuc1.0.SUPER__3,211792393,99835000,100525000,+,mMyoThy1#0#SUPER__3,224416797,8393339,9102151,531956,708812,4,99835000_100525000_8393339_9102151
mMyoLuc1.0.SUPER__3,211792393,100745256,101115956,+,mMyoThy1#0#SUPER__3,224416797,9255056,9650000,324822,397653,6,100745256_101118632_9255056_9652709
mMyoLuc1.0.SUPER__3,211792393,100716072,100744359,-,mMyoThy1#0#SUPER__3,224416797,9220000,9255000,27787,35756,6,100716072_100745000_9219356_9255112
