qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoThy1#0#SUPER__1,230758872,228015660,229395000,-,mMyoVol1.0.SUPER__1,242898603,1222712,2615000,13890,1435081,13,SUPER__1 95.4165,1222712 2615000 228015660 229395000
mMyoThy1#0#SUPER__1,230758872,227370000,227950000,+,mMyoVol1.0.SUPER__1,242898603,2950890,3548108,5783,597218,13,SUPER__1 95.3637,2950890 3548108 227370000 227950000
mMyoThy1#0#SUPER__1,230758872,225930000,227150000,-,mMyoVol1.0.SUPER__1,242898603,4043570,5276119,11681,1232549,14,SUPER__1 95.5332,4043570 5276119 225930000 227150000
mMyoThy1#0#SUPER__1,230758872,178425000,225755000,-,mMyoVol1.0.SUPER__1,242898603,6011230,53372134,467121,47360904,15,SUPER__1 97.0267,6011230 53372134 178425000 225755000
mMyoThy1#0#SUPER__1,230758872,154590638,178425000,-,mMyoVol1.0.SUPER__1,242898603,53529699,77385000,234293,23928647,15,SUPER__1 96.9852,53529699 77385000 154590638 178425000
mMyoThy1#0#SUPER__1,230758872,153930802,154040364,-,mMyoVol1.0.SUPER__1,242898603,77505000,77644536,1600,169435,11,SUPER__1 91.5744,77505000 77644536 153930802 154040364
mMyoThy1#0#SUPER__1,230758872,153786655,153890000,-,mMyoVol1.0.SUPER__1,242898603,77755528,77875000,1275,130264,11,SUPER__1 91.3799,77755528 77875000 153786655 153890000
mMyoThy1#0#SUPER__1,230758872,150520000,153755000,-,mMyoVol1.0.SUPER__1,242898603,77821040,80919555,31899,3235000,15,SUPER__1 96.7608,77821040 80919555 150520000 153755000
mMyoThy1#0#SUPER__1,230758872,124136452,125224796,-,mMyoVol1.0.SUPER__1,242898603,106130212,107180000,10650,1100000,15,SUPER__1 96.5314,106130212 107180000 124136452 125224796
mMyoThy1#0#SUPER__1,230758872,123692206,124125000,-,mMyoVol1.0.SUPER__1,242898603,107272285,107700000,4209,435000,13,SUPER__1 95.4244,107272285 107700000 123692206 124125000
mMyoThy1#0#SUPER__1,230758872,123414294,123690000,-,mMyoVol1.0.SUPER__1,242898603,107766864,108025000,2752,280000,12,SUPER__1 94.35,107766864 108025000 123414294 123690000
mMyoThy1#0#SUPER__1,230758872,123135000,123342368,-,mMyoVol1.0.SUPER__1,242898603,108030000,108244631,2018,216358,12,SUPER__1 94.0281,108030000 108244631 123135000 123342368
mMyoThy1#0#SUPER__1,230758872,122882179,123055000,-,mMyoVol1.0.SUPER__1,242898603,108269229,108480000,2019,210992,11,SUPER__1 91.9114,108269229 108480000 122882179 123055000
mMyoThy1#0#SUPER__1,230758872,121627274,122430184,-,mMyoVol1.0.SUPER__1,242898603,109185000,109925000,8041,815000,14,SUPER__1 96.1838,109185000 109925000 121627274 122430184
mMyoThy1#0#SUPER__1,230758872,103410000,121625000,-,mMyoVol1.0.SUPER__1,242898603,110040000,128397783,176211,18358733,15,SUPER__1 96.7157,110040000 128397783 103410000 121625000
