qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoLuc1.0.SUPER__1,244374582,166525000,166628610,-,mMyoYum1.0.SUPER__1,240344003,81600000,81711988,77535,117823,3,166525000_166634488_81594165_81711988
mMyoLuc1.0.SUPER__1,244374582,121955000,122184248,+,mMyoYum1.0.SUPER__1,240344003,127441463,127688979,190611,247516,5,121955000_122184248_127441463_127688979
mMyoLuc1.0.SUPER__1,244374582,241775152,242025819,-,mMyoYum1.0.SUPER__1,240344003,2115000,2345462,187655,254848,4,241775152_242030000_2110877_2345462
mMyoLuc1.0.SUPER__1,244374582,230975184,231650000,-,mMyoYum1.0.SUPER__1,240344003,16949219,17629746,623985,680527,9,230975184_231650000_16949219_17629746
mMyoLuc1.0.SUPER__1,244374582,239677114,240245635,-,mMyoYum1.0.SUPER__1,240344003,75000,675000,569609,661092,7,239672416_240299744_18627_679719
mMyoLuc1.0.SUPER__1,244374582,136135000,136896176,-,mMyoYum1.0.SUPER__1,240344003,112190079,113008337,691262,818258,7,136135000_136896176_112190079_113008337
mMyoLuc1.0.SUPER__2,212563729,4525300,4612184,-,mMyoYum1.0.SUPER__108,94119,154,93155,77994,93001,7,4525144_4612184_154_93155
mMyoLuc1.0.SUPER__2,212563729,107920074,108066400,+,mMyoYum1.0.SUPER__2,217333615,107070000,107229999,128900,161507,6,107920000_108067840_107069926_107231433
mMyoLuc1.0.SUPER__2,212563729,181425000,181445215,-,mMyoYum1.0.SUPER__2,217333615,31470000,31524744,78262,95651,6,181425000_181515000_31463285_31558936
mMyoLuc1.0.SUPER__1,244374582,238311186,239403462,+,mMyoYum1.0.SUPER__1,240344003,3135000,4230000,1007708,1133374,8,238310128_239440000_3133942_4267316
mMyoLuc1.0.SUPER__2,212563729,146330000,146418976,-,mMyoYum1.0.SUPER__2,217333615,67573072,67667485,81448,94421,7,146330000_146419104_67573064_67667485
mMyoLuc1.0.SUPER__2,212563729,125610488,125612468,-,mMyoYum1.0.SUPER__2,217333615,88995000,89052791,48015,64512,4,125610488_125675000_88989829_89052791
mMyoLuc1.0.SUPER__1,244374582,240654758,241767528,+,mMyoYum1.0.SUPER__1,240344003,700000,1809911,985324,1142528,7,240625000_241767528_675247_1809911
mMyoLuc1.0.SUPER__2,212563729,108720566,108940000,-,mMyoYum1.0.SUPER__2,217333615,106294001,106475000,157489,220000,5,108720000_108940000_106294001_106475465
mMyoLuc1.0.SUPER__3,211792393,171200432,171309488,-,mMyoYum1.0.SUPER__3,215164148,173945667,174051831,100737,109056,10,171200432_171309488_173945667_174051831
mMyoLuc1.0.SUPER__2,212563729,146435400,146603208,-,mMyoYum1.0.SUPER__2,217333615,67211191,67381870,130602,170679,4,146435400_146603208_67211191_67381870
mMyoLuc1.0.SUPER__2,212563729,108225673,108711058,-,mMyoYum1.0.SUPER__2,217333615,106540552,107044360,439017,504059,7,108225656_108711288_106540310_107044369
mMyoLuc1.0.SUPER__3,211792393,145160000,145246400,+,mMyoYum1.0.SUPER__3,215164148,147715186,147827217,80558,112031,5,145160000_145246400_147715186_147827217
mMyoLuc1.0.SUPER__1,244374582,167853181,167889595,-,mMyoYum1.0.SUPER__1,240344003,80425000,80474616,1008611,1276783,5,166643416_167895000_80373693_81650476
mMyoLuc1.0.SUPER__1,244374582,168023166,170170000,-,mMyoYum1.0.SUPER__1,240344003,78125265,80360000,1885029,2235430,6,168022416_170170000_78125265_80360695
mMyoLuc1.0.SUPER__2,212563729,120832992,122030066,-,mMyoYum1.0.SUPER__2,217333615,92666872,93893278,1044892,1260559,6,120832992_122057056_92632719_93893278
mMyoLuc1.0.SUPER__2,212563729,109550199,111066592,-,mMyoYum1.0.SUPER__2,217333615,103920000,105516766,1296449,1600050,6,109550128_111069872_103916716_105516766
mMyoLuc1.0.SUPER__3,211792393,202542693,202949210,+,mMyoYum1.0.SUPER__3,215164148,205695000,206082072,338641,454144,4,202495608_202949752_205650382_206082613
