qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoThy1.0.SUPER__1,230758872,165866399,165904381,+,mMyoEvo1.0.SUPER__1,230788764,64470128,64510000,40497,43666,10,165865000_165906728_64468728_64512394
mMyoThy1.0.SUPER__1,230758872,230616887,230732377,-,mMyoEvo1.0.SUPER__1,230788764,35000,150000,108331,117504,9,230616728_230734232_33135_150159
mMyoThy1.0.SUPER__1,230758872,90161655,90300000,+,mMyoEvo1.0.SUPER__1,230788764,139990000,140110190,119301,139872,8,90160128_90300000_139988474_140110190
mMyoThy1.0.SUPER__1,230758872,89156676,89230101,-,mMyoEvo1.0.SUPER__1,230788764,141390000,141401889,209151,228169,10,89095224_89315000_141173720_141401889
mMyoThy1.0.SUPER__1,230758872,154126683,154375938,-,mMyoEvo1.0.SUPER__1,230788764,75815000,76048624,263812,344583,5,154065528_154395000_75796557_76141140
mMyoThy1.0.SUPER__1,230758872,230006208,230038848,-,mMyoEvo1.0.SUPER__1,230788764,756174,793564,26955,37390,4,230006208_230038848_756174_793564
mMyoThy1.0.SUPER__2,217270064,107494623,107554360,-,mMyoEvo1.0.SUPER__2,217004436,107352693,107410000,57340,64360,8,107490000_107554360_107352693_107414692
mMyoThy1.0.SUPER__2,217270064,149500896,149539808,+,mMyoEvo1.0.SUPER__2,217004436,149170000,149202918,38069,40373,12,149500896_149539808_149162545_149202918
mMyoThy1.0.SUPER__1,230758872,2888451,2930000,-,mMyoEvo1.0.SUPER__1,230788764,227818211,227945000,2736419,2932608,10,30000_2930000_227818211_230750819
mMyoThy1.0.SUPER__3,224416797,221685181,222634749,+,mMyoEvo1.0.SUPER__2,217004436,17030000,17984752,2633339,2734877,12,221681920_224416797_17026767_19754304
mMyoThy1.0.SUPER__3,224416797,97435512,97478694,+,mMyoEvo1.0.SUPER__3,215147351,191088747,191140000,46531,57626,7,97435512_97485000_191088747_191146373
mMyoThy1.0.SUPER__2,217270064,216135268,217255000,+,mMyoEvo1.0.SUPER__2,217004436,215850364,216989127,1054139,1138763,9,216135256_217255000_215850364_216989127
mMyoThy1.0.SUPER__1,230758872,228015610,229395000,-,mMyoEvo1.0.SUPER__1,230788764,875638,2250000,1263743,1385000,8,228010000_229395000_875638_2255644
mMyoThy1.0.SUPER__2,217270064,8245384,8278842,+,mMyoEvo1.0.SUPER__2,217004436,8236813,8275000,31688,39361,6,8245384_8280000_8236813_8276174
mMyoThy1.0.SUPER__4,124798317,89410000,89542908,+,mMyoEvo1.0.SUPER__4,126131752,36440627,36575000,138881,141223,17,89410000_89549520_36440627_36581850
mMyoThy1.0.SUPER__4,124798317,77010385,77109840,+,mMyoEvo1.0.SUPER__4,126131752,48820256,48919712,99432,99840,23,77010000_77109840_48819872_48919712
mMyoThy1.0.SUPER__4,124798317,73158568,73865000,-,mMyoEvo1.0.SUPER__4,126131752,52025541,52727375,681549,706432,12,73158568_73865000_52025541_52727375
mMyoThy1.0.SUPER__4,124798317,11270000,11360740,+,mMyoEvo1.0.SUPER__4,126131752,114717244,114805000,81439,95000,7,11270000_11365000_114717244_114809147
