qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoOcc1.0.SUPER__1,232672419,156593846,156709840,-,mMyoAui1.0.SUPER__1,234041302,77420174,77545000,109893,128642,7,156590000_156715904_77420174_77548816
mMyoOcc1.0.SUPER__1,232672419,87310000,87405000,-,mMyoAui1.0.SUPER__1,234041302,145780302,145863849,77088,95000,7,87310000_87405000_145780302_145863849
mMyoOcc1.0.SUPER__1,232672419,127122890,127187260,-,mMyoAui1.0.SUPER__1,234041302,107970074,108035000,53015,65545,5,127122288_127187312_107970074_108035619
mMyoOcc1.0.SUPER__1,232672419,127190000,127319616,-,mMyoAui1.0.SUPER__1,234041302,107776021,107893611,93792,129616,4,127190000_127319616_107776021_107893611
mMyoOcc1.0.SUPER__1,232672419,103477151,103520000,-,mMyoAui1.0.SUPER__1,234041302,129593654,129635000,76429,104396,4,103425000_103520000_129593654_129698050
mMyoOcc1.0.SUPER__1,232672419,126615000,126742421,-,mMyoAui1.0.SUPER__1,234041302,108527120,108648712,95899,135000,4,126615000_126750000_108522920_108648712
mMyoOcc1.0.SUPER__1,232672419,153250000,153337654,-,mMyoAui1.0.SUPER__1,234041302,81345000,81444624,66702,106693,3,153250000_153339872_81342894_81449587
mMyoOcc1.0.SUPER__1,232672419,126840226,127116916,-,mMyoAui1.0.SUPER__1,234041302,108145000,108440000,211249,300185,4,126838016_127117824_108144096_108444281
mMyoOcc1.0.SUPER__1,232672419,228998613,229573727,+,mMyoAui1.0.SUPER__1,234041302,3520256,4110000,520685,594517,7,228995000_229574712_3516469_4110986
mMyoOcc1.0.SUPER__2,212937769,114250000,114507146,-,mMyoAui1.0.SUPER__2,216233548,116030576,116307232,244226,303083,6,114250000_114528976_116004149_116307232
mMyoOcc1.0.SUPER__1,232672419,125502019,126192581,-,mMyoAui1.0.SUPER__1,234041302,109155000,109969872,616317,817000,5,125500000_126192752_109154829_109971829
mMyoOcc1.0.SUPER__2,212937769,103915000,104394744,+,mMyoAui1.0.SUPER__2,216233548,105756013,106266288,407235,510275,5,103915000_104394744_105756013_106266288
mMyoOcc1.0.SUPER__2,212937769,155881024,156060000,+,mMyoAui1.0.SUPER__2,216233548,158497825,158672414,143824,178976,5,155881024_156060000_158497825_158672414
mMyoOcc1.0.SUPER__2,212937769,66325000,66392526,+,mMyoAui1.0.SUPER__2,216233548,67330000,67337020,182078,195000,11,66325000_66520000_67149144_67337020
mMyoOcc1.0.SUPER__2,212937769,103865000,103910000,+,mMyoAui1.0.SUPER__2,216233548,105634072,105678384,39779,45000,7,103865000_103910000_105634072_105678423
mMyoOcc1.0.SUPER__2,212937769,103721902,103780000,+,mMyoAui1.0.SUPER__2,216233548,105575000,105629724,52724,60000,8,103720000_103780000_105573100_105629724
mMyoOcc1.0.SUPER__2,212937769,155835000,155862772,-,mMyoAui1.0.SUPER__2,216233548,158417416,158436866,15218,28080,3,155835000_155863080_158417347_158436866
mMyoOcc1.0.SUPER__2,212937769,1077978,1109971,+,mMyoAui1.0.SUPER__2,216233548,1065000,1110000,939504,1086310,7,31664_1110000_23718_1110028
mMyoOcc1.0.SUPER__2,212937769,102771792,103300000,+,mMyoAui1.0.SUPER__2,216233548,104711210,105248576,408461,537366,4,102771792_103300000_104711210_105248576
mMyoOcc1.0.SUPER__2,212937769,101895000,102770000,+,mMyoAui1.0.SUPER__2,216233548,103723722,104577114,700768,875000,5,101895000_102770000_103723722_104577114
mMyoOcc1.0.SUPER__1,232672419,227615728,228786132,-,mMyoAui1.0.SUPER__1,234041302,4255000,5506364,1046600,1254296,6,227615728_228869616_4252068_5506364
mMyoOcc1.0.SUPER__3,212757328,116608432,116837472,-,mMyoAui1.0.SUPER__3,215394694,97435160,97615000,146387,233344,3,116605760_116839104_97433468_97617652
mMyoOcc1.0.SUPER__1,232672419,229601168,230944744,-,mMyoAui1.0.SUPER__1,234041302,1881405,3220000,1141939,1369472,6,229575272_230944744_1881405_3247943
mMyoOcc1.0.SUPER__3,212757328,112940000,112990631,-,mMyoAui1.0.SUPER__3,215394694,101350000,101396039,205946,338472,3,112940000_113278472_101121263_101396039
mMyoOcc1.0.SUPER__3,212757328,113682741,114362227,-,mMyoAui1.0.SUPER__3,215394694,99741760,100439744,1503025,1852809,5,113681640_115505000_98588035_100440844
mMyoOcc1.0.SUPER__3,212757328,110565000,110764030,-,mMyoAui1.0.SUPER__3,215394694,103591904,103818943,149400,227669,3,110565000_110765000_103591274_103818943
mMyoOcc1.0.SUPER__3,212757328,115663263,116273336,-,mMyoAui1.0.SUPER__3,215394694,97911870,98585000,494164,675840,4,115660600_116273336_97911870_98587710
mMyoOcc1.0.SUPER__3,212757328,130570168,130674616,-,mMyoAui1.0.SUPER__3,215394694,83437855,83548913,96838,111058,8,130570168_130674616_83437855_83548913
mMyoOcc1.0.SUPER__3,212757328,133828212,134159872,-,mMyoAui1.0.SUPER__3,215394694,79821912,80154616,291604,335867,7,133826176_134159872_79821912_80157779
mMyoOcc1.0.SUPER__3,212757328,134340000,134605000,+,mMyoAui1.0.SUPER__3,215394694,79409803,79679120,229421,269317,6,134340000_134605000_79409803_79679120
mMyoOcc1.0.SUPER__3,212757328,111905791,112924744,-,mMyoAui1.0.SUPER__3,215394694,101495016,102506606,781332,1019008,4,111905736_112924744_101495016_102506606
mMyoOcc1.0.SUPER__3,212757328,144562323,144637752,+,mMyoAui1.0.SUPER__3,215394694,69190000,69268720,69571,80138,7,144561536_144638464_69189305_69269443
mMyoOcc1.0.SUPER__3,212757328,111655232,111798232,-,mMyoAui1.0.SUPER__3,215394694,102515000,102671716,122261,157595,5,111655232_111799104_102514121_102671716
mMyoOcc1.0.SUPER__3,212757328,144271744,144559028,-,mMyoAui1.0.SUPER__3,215394694,69275000,69582564,236665,307638,5,144271744_144559104_69274926_69582564
mMyoOcc1.0.SUPER__3,212757328,184931313,184994488,-,mMyoAui1.0.SUPER__3,215394694,28230707,28298848,56859,68665,6,184930744_184994488_28230707_28299372
mMyoOcc1.0.SUPER__3,212757328,134630416,135604481,-,mMyoAui1.0.SUPER__3,215394694,78420544,79399335,813492,982946,6,134630416_135610000_78416389_79399335
mMyoOcc1.0.SUPER__3,212757328,108785000,110503455,-,mMyoAui1.0.SUPER__3,215394694,103820520,105661813,1419431,1841558,5,108785000_110503720_103820255_105661813
mMyoOcc1.0.SUPER__3,212757328,6911568,9009872,-,mMyoAui1.0.SUPER__3,215394694,206622171,208703374,1862197,2098304,8,6911568_9009872_206622171_208703374
mMyoOcc1.0.SUPER__3,212757328,58795640,58987295,+,mMyoAui1.0.SUPER__3,215394694,156351712,156569776,171869,224783,5,58795640_58994040_156351712_156576495
mMyoOcc1.0.SUPER__2,212937769,98033521,101892949,+,mMyoAui1.0.SUPER__2,216233548,99660543,103638880,3221236,3978516,5,98033456_101893168_99660543_103639059
mMyoOcc1.0.SUPER__3,212757328,54048591,54884872,-,mMyoAui1.0.SUPER__3,215394694,160435797,161229616,651922,837248,5,54047624_54884872_160435797_161230586
mMyoOcc1.0.SUPER__2,212937769,93738520,98029854,+,mMyoAui1.0.SUPER__2,216233548,95366920,99569800,3456140,4294872,5,93735128_98030000_95362832_99569946
mMyoOcc1.0.SUPER__4,122401111,81503449,81552110,+,mMyoAui1.0.SUPER__4,125946359,42385000,42435000,47649,55367,7,81500256_81554656_42382089_42437456
mMyoOcc1.0.SUPER__4,122401111,67600583,68024105,-,mMyoAui1.0.SUPER__4,125946359,56440000,56890000,361317,451131,5,67600168_68024744_56439346_56890477
mMyoOcc1.0.SUPER__4,122401111,67551536,67595000,+,mMyoAui1.0.SUPER__4,125946359,56896825,56940180,34095,43464,5,67551536_67595000_56896825_56940180
mMyoOcc1.0.SUPER__4,122401111,55315000,55858592,-,mMyoAui1.0.SUPER__4,125946359,69152400,69675038,397394,543592,4,55315000_55858592_69152400_69675038
mMyoOcc1.0.SUPER__4,122401111,54871369,55247986,-,mMyoAui1.0.SUPER__4,125946359,69690000,70080000,276264,393036,4,54870352_55249872_69688106_70081142
mMyoOcc1.0.SUPER__2,212937769,114530256,120217169,+,mMyoAui1.0.SUPER__2,216233548,116326637,122125000,4903983,5798492,6,114530256_120217296_116326637_122125129
mMyoOcc1.0.SUPER__4,122401111,53396977,53468086,-,mMyoAui1.0.SUPER__4,125946359,71335000,71403464,57312,72192,5,53396784_53468976_71334284_71403666
mMyoOcc1.0.SUPER__4,122401111,53717653,54036780,-,mMyoAui1.0.SUPER__4,125946359,71006920,71323976,221333,331520,3,53705536_54037056_71006756_71328786
mMyoOcc1.0.SUPER__2,212937769,32560768,41833998,+,mMyoAui1.0.SUPER__2,216233548,33138994,42500000,8429905,9364277,8,32560768_41837696_33138994_42503271
mMyoOcc1.0.SUPER__4,122401111,114645529,114684808,+,mMyoAui1.0.SUPER__4,125946359,8040384,8079467,37597,39808,11,114645000_114684808_8039847_8079467
mMyoOcc1.0.SUPER__4,122401111,54422520,54795000,-,mMyoAui1.0.SUPER__4,125946359,70081586,70565284,298763,483698,3,54422520_54795000_70081586_70565284
mMyoOcc1.0.SUPER__2,212937769,104474145,109648574,+,mMyoAui1.0.SUPER__2,216233548,106278968,111469624,4009193,5192106,4,104474096_109651312_106278953_111471059
mMyoOcc1.0.SUPER__4,122401111,117790000,119390435,+,mMyoAui1.0.SUPER__4,125946359,20701,1625000,1357590,1605958,6,117790000_119392048_20701_1626659
mMyoOcc1.0.SUPER__4,122401111,52779900,53394926,-,mMyoAui1.0.SUPER__4,125946359,71556704,72220000,419081,668440,3,52775000_53395000_71556630_72225070
mMyoOcc1.0.SUPER__4,122401111,119395160,122369368,-,mMyoAui1.0.SUPER__4,125946359,1689744,4803921,2681851,3114177,7,119395160_122369368_1689744_4803921
mMyoOcc1.0.SUPER__4,122401111,24775000,25258720,-,mMyoAui1.0.SUPER__4,125946359,100759649,101376446,423548,616797,4,24775000_25258720_100759649_101376446
mMyoOcc1.0.SUPER__4,122401111,26896965,26987416,-,mMyoAui1.0.SUPER__4,125946359,98785000,98910000,492974,699004,4,26885624_27513464_98213187_98912191
mMyoOcc1.0.SUPER__4,122401111,50458976,50862952,-,mMyoAui1.0.SUPER__4,125946359,74055926,74512056,311580,457923,4,50450000_50862952_74055926_74513849
mMyoOcc1.0.SUPER__4,122401111,49900000,50444872,-,mMyoAui1.0.SUPER__4,125946359,74629128,75235741,457089,606613,5,49900000_50444872_74629128_75235741
mMyoOcc1.0.SUPER__4,122401111,47366090,47693985,+,mMyoAui1.0.SUPER__4,125946359,84405000,84710000,248951,330000,5,47365000_47695000_84403916_84710955
