qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoYum1.0.SUPER__1,240344003,69091401,69129905,-,mMyoEvo1.0.SUPER__1,230788764,64470320,64510000,35507,41415,7,69090000_69130000_64470225_64511640
mMyoYum1.0.SUPER__1,240344003,3023707,3128199,+,mMyoEvo1.0.SUPER__1,230788764,4335384,4445000,94936,116545,6,3022176_3133408_4333868_4450413
mMyoYum1.0.SUPER__1,240344003,111283357,111340000,+,mMyoEvo1.0.SUPER__1,230788764,106795000,106855618,49601,63465,5,111280512_111340000_106792153_106855618
mMyoYum1.0.SUPER__1,240344003,111180384,111273478,+,mMyoEvo1.0.SUPER__1,230788764,106611920,106723535,66230,111752,3,111180384_111273568_106611904_106723656
mMyoYum1.0.SUPER__1,240344003,127442066,127688630,-,mMyoEvo1.0.SUPER__1,230788764,122782437,123019616,195428,248448,5,127440272_127688720_122782437_123021344
mMyoYum1.0.SUPER__1,240344003,111705576,111863882,+,mMyoEvo1.0.SUPER__1,230788764,107231958,107395000,102491,168064,3,111705512_111873576_107231958_107396132
mMyoYum1.0.SUPER__1,240344003,131892629,132005737,-,mMyoEvo1.0.SUPER__1,230788764,130345000,130445000,226867,309977,4,131890488_132194616_130136605_130446582
mMyoYum1.0.SUPER__1,240344003,111340886,111613018,+,mMyoEvo1.0.SUPER__1,230788764,106968438,107218952,202685,272384,5,111340768_111613152_106968438_107219033
mMyoYum1.0.SUPER__2,217333615,139817412,139850126,+,mMyoEvo1.0.SUPER__2,217004436,77470000,77503664,33617,37952,8,139817048_139855000_77469724_77506261
mMyoYum1.0.SUPER__1,240344003,2120512,2344768,+,mMyoEvo1.0.SUPER__1,230788764,883946,1092493,171976,224256,5,2120512_2344768_883946_1092493
mMyoYum1.0.SUPER__2,217333615,159887427,159925487,-,mMyoEvo1.0.SUPER__2,217004436,57625000,57665000,94617,160000,3,159770000_159930000_57621182_57750949
mMyoYum1.0.SUPER__1,240344003,84204541,84303936,+,mMyoEvo1.0.SUPER__1,230788764,79805000,79890603,75081,103040,5,84200896_84303936_79801348_79890603
