qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoEvo1.0.SUPER__1,230788764,2374359,3045379,-,mMyoYum1.0.SCAF__1,240344003,35000,675000,7793,800000,13,SUPER__1 95.2735,35000 675000 2374359 3045379
mMyoEvo1.0.SUPER__1,230788764,1095813,2245000,-,mMyoYum1.0.SCAF__1,240344003,700761,1815000,11032,1150000,13,SUPER__1 94.8743,700761 1815000 1095813 2245000
mMyoEvo1.0.SUPER__1,230788764,883874,1093056,+,mMyoYum1.0.SCAF__1,240344003,2120000,2345000,2678,280000,12,SUPER__1 93.2306,2120000 2345000 883874 1093056
mMyoEvo1.0.SUPER__1,230788764,4335000,4445000,+,mMyoYum1.0.SCAF__1,240344003,3023623,3128505,959,110000,10,SUPER__1 91.0481,3023623 3128505 4335000 4445000
mMyoEvo1.0.SUPER__1,230788764,3207638,4320000,-,mMyoYum1.0.SCAF__1,240344003,3137951,4268794,10881,1130843,13,SUPER__1 95.0906,3137951 4268794 3207638 4320000
mMyoEvo1.0.SUPER__1,230788764,4590000,12170000,+,mMyoYum1.0.SCAF__1,240344003,4374738,11871591,74592,7580000,14,SUPER__1 96.4455,4374738 11871591 4590000 12170000
mMyoEvo1.0.SUPER__1,230788764,12040000,43392965,+,mMyoYum1.0.SCAF__1,240344003,18209609,49520000,300375,31355000,15,SUPER__1 96.916,18209609 49520000 12040000 43392965
mMyoEvo1.0.SUPER__1,230788764,44800000,64469076,+,mMyoYum1.0.SCAF__1,240344003,49520000,69088208,191055,19670000,15,SUPER__1 96.8631,49520000 69088208 44800000 64469076
mMyoEvo1.0.SUPER__1,230788764,64511317,75815000,+,mMyoYum1.0.SCAF__1,240344003,69131672,80356004,109260,11305000,15,SUPER__1 96.8289,69131672 80356004 64511317 75815000
mMyoEvo1.0.SUPER__1,230788764,76338545,77444280,+,mMyoYum1.0.SCAF__1,240344003,80690000,81730000,10046,1115000,14,SUPER__1 95.9262,80690000 81730000 76338545 77444280
mMyoEvo1.0.SUPER__1,230788764,77365110,79805000,+,mMyoYum1.0.SCAF__1,240344003,81761574,84128670,23796,2440000,15,SUPER__1 96.5047,81761574 84128670 77365110 79805000
mMyoEvo1.0.SUPER__1,230788764,80040000,102075000,+,mMyoYum1.0.SCAF__1,240344003,84463607,106424883,211841,22035000,15,SUPER__1 96.7719,84463607 106424883 80040000 102075000
mMyoEvo1.0.SUPER__1,230788764,102080000,105085432,+,mMyoYum1.0.SCAF__1,240344003,106508968,109490000,29093,3010000,15,SUPER__1 96.7252,106508968 109490000 102080000 105085432
mMyoEvo1.0.SUPER__1,230788764,105090000,106170000,+,mMyoYum1.0.SCAF__1,240344003,109557336,110625354,10605,1080000,14,SUPER__1 96.2874,109557336 110625354 105090000 106170000
