qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoLuc1.0.SUPER__1,244374582,239677183,240245729,-,mMyoYum1.0.SUPER__1,240344003,75000,675000,7014,725000,14,SUPER__1 96.2577,75000 675000 239677183 240245729
mMyoLuc1.0.SUPER__1,244374582,240654860,241772845,+,mMyoYum1.0.SUPER__1,240344003,700000,1815000,11034,1150000,14,SUPER__1 95.6589,700000 1815000 240654860 241772845
mMyoLuc1.0.SUPER__1,244374582,241775000,242025700,-,mMyoYum1.0.SUPER__1,240344003,2115000,2345745,2446,255000,12,SUPER__1 93.9714,2115000 2345745 241775000 242025700
mMyoLuc1.0.SUPER__1,244374582,238311110,239403436,+,mMyoYum1.0.SUPER__1,240344003,3135000,4230000,10868,1133350,14,SUPER__1 95.9857,3135000 4230000 238311110 239403436
mMyoLuc1.0.SUPER__1,244374582,216012913,230920000,-,mMyoYum1.0.SUPER__1,240344003,17684481,32845000,146417,15189172,16,SUPER__1 97.2941,17684481 32845000 216012913 230920000
mMyoLuc1.0.SUPER__1,244374582,199653619,215979172,-,mMyoYum1.0.SUPER__1,240344003,32807677,49520000,162470,16714880,16,SUPER__1 97.4374,32807677 49520000 199653619 215979172
mMyoLuc1.0.SUPER__1,244374582,170170000,198274022,-,mMyoYum1.0.SUPER__1,240344003,49520123,78074887,280739,28554764,16,SUPER__1 97.365,49520123 78074887 170170000 198274022
mMyoLuc1.0.SUPER__1,244374582,166643786,167819279,-,mMyoYum1.0.SUPER__1,240344003,80535000,81650000,12654,1279447,15,SUPER__1 96.7928,80535000 81650000 166643786 167819279
mMyoLuc1.0.SUPER__1,244374582,164085000,166569076,-,mMyoYum1.0.SUPER__1,240344003,81780000,84377460,24744,2599651,15,SUPER__1 97.0201,81780000 84377460 164085000 166569076
mMyoLuc1.0.SUPER__1,244374582,148362444,164145000,-,mMyoYum1.0.SUPER__1,240344003,84403371,100610000,154910,16207146,16,SUPER__1 97.2948,84403371 100610000 148362444 164145000
mMyoLuc1.0.SUPER__1,244374582,138111560,148360000,-,mMyoYum1.0.SUPER__1,240344003,100670704,111255000,110293,11206157,16,SUPER__1 97.7348,100670704 111255000 138111560 148360000
mMyoLuc1.0.SUPER__1,244374582,136135000,136900029,-,mMyoYum1.0.SUPER__1,240344003,112185000,113008175,8882,898341,15,SUPER__1 96.5546,112185000 113008175 136135000 136900029
