qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoOcc1.0.SUPER__1,232672419,156606670,156720000,+,mMyoVel1.0.SUPER__1,234804448,158515000,158633338,105743,132051,5,156590000_156720000_158501287_158633338
mMyoOcc1.0.SUPER__1,232672419,96020816,96050000,-,mMyoVel1.0.SUPER__1,234804448,97609139,97640311,27818,31172,9,96020816_96050000_97609139_97640311
mMyoOcc1.0.SUPER__1,232672419,107793727,108040000,-,mMyoVel1.0.SUPER__1,234804448,108324852,108559616,223623,260000,7,107780000_108040000_108324852_108572601
mMyoOcc1.0.SUPER__1,232672419,103261920,103334079,+,mMyoVel1.0.SUPER__1,234804448,104383984,104454751,167737,208080,5,103261920_103470000_104383984_104590199
mMyoOcc1.0.SUPER__1,232672419,105339364,105369872,-,mMyoVel1.0.SUPER__1,234804448,101501174,101530000,80130,90172,7,105280000_105369872_101501174_101591346
mMyoOcc1.0.SUPER__1,232672419,126620896,126838068,+,mMyoVel1.0.SUPER__1,234804448,127926361,128210000,191186,283806,4,126620896_126838240_127926361_128210167
mMyoOcc1.0.SUPER__1,232672419,157047048,157257113,+,mMyoVel1.0.SUPER__1,234804448,158984524,159209248,139245,226688,3,157047048_157259272_158984524_159211212
mMyoOcc1.0.SUPER__2,212937769,155875000,155994330,+,mMyoVel1.0.SUPER__2,216113371,158861598,158984872,172716,189285,9,155875000_156060000_158861598_159050883
mMyoOcc1.0.SUPER__2,212937769,136472368,136505877,-,mMyoVel1.0.SUPER__2,216113371,139260000,139301471,28751,43958,4,136472368_136508336_139257513_139301471
mMyoOcc1.0.SUPER__1,232672419,125430384,126195201,+,mMyoVel1.0.SUPER__1,234804448,126788663,127563232,687011,774676,7,125430384_126195312_126788663_127563339
mMyoOcc1.0.SUPER__2,212937769,114250192,114503635,-,mMyoVel1.0.SUPER__2,216113371,116845000,117105000,241624,291344,6,114250192_114528336_116813688_117105032
mMyoOcc1.0.SUPER__2,212937769,130577632,130620000,-,mMyoVel1.0.SUPER__2,216113371,134140692,134182700,29082,42368,3,130577632_130620000_134140692_134182700
mMyoOcc1.0.SUPER__2,212937769,31042073,31055000,+,mMyoVel1.0.SUPER__2,216113371,32070000,32153558,104036,129740,6,30935000_31055000_32023818_32153558
mMyoOcc1.0.SUPER__1,232672419,126922944,127983936,+,mMyoVel1.0.SUPER__1,234804448,128216157,129221776,848631,1060992,5,126922944_127983936_128216157_129221776
mMyoOcc1.0.SUPER__2,212937769,65890144,66045000,+,mMyoVel1.0.SUPER__2,216113371,67600896,67757812,146908,209872,4,65835128_66045000_67575787_67757812
mMyoOcc1.0.SUPER__2,212937769,103703576,103910000,+,mMyoVel1.0.SUPER__2,216113371,106096564,106302488,167069,206424,5,103703576_103910000_106096564_106302488
mMyoOcc1.0.SUPER__2,212937769,103920000,104399360,+,mMyoVel1.0.SUPER__2,216113371,106358575,106861961,441264,503386,8,103920000_104399360_106358575_106861961
mMyoOcc1.0.SUPER__2,212937769,102771456,103304272,+,mMyoVel1.0.SUPER__2,216113371,105071152,105658120,464898,586994,6,102771408_103304272_105071126_105658120
mMyoOcc1.0.SUPER__2,212937769,104553247,104700000,-,mMyoVel1.0.SUPER__2,216113371,106877723,107049616,128832,171997,5,104553184_104700000_106877723_107049720
mMyoOcc1.0.SUPER__2,212937769,1119856,1749672,-,mMyoVel1.0.SUPER__2,216113371,0,648591,566564,648591,8,1119856_1749744_0_648591
mMyoOcc1.0.SUPER__3,212757328,116684301,117342066,+,mMyoVel1.0.SUPER__3,212800901,116036536,116695000,571382,663239,6,116683200_117343296_116032906_116696145
mMyoOcc1.0.SUPER__3,212757328,142898667,143173734,-,mMyoVel1.0.SUPER__3,212800901,142315000,142604744,265643,349616,5,142875000_143224616_142304330_142623486
mMyoOcc1.0.SUPER__3,212757328,93064937,93153999,+,mMyoVel1.0.SUPER__3,212800901,92150384,92244848,248035,323367,5,92971280_93254288_92046885_92370252
mMyoOcc1.0.SUPER__1,232672419,108042944,109897920,+,mMyoVel1.0.SUPER__1,234804448,108945044,110839460,1570650,1894416,6,108042944_109897920_108945044_110839460
mMyoOcc1.0.SUPER__2,212937769,156343664,159145000,+,mMyoVel1.0.SUPER__2,216113371,159285000,162074934,2524762,2804872,8,156340128_159145000_159281465_162074934
mMyoOcc1.0.SUPER__3,212757328,40942543,41049232,-,mMyoVel1.0.SUPER__3,212800901,40556226,40665000,102141,110375,10,40940944_41049232_40556226_40666601
mMyoOcc1.0.SUPER__1,232672419,228984230,230944528,+,mMyoVel1.0.SUPER__1,234804448,231130000,233102403,1704066,1984110,6,228970000_230944528_231118293_233102403
mMyoOcc1.0.SUPER__3,212757328,66670000,66765000,+,mMyoVel1.0.SUPER__3,212800901,66530340,66599697,67439,95000,5,66670000_66765000_66530340_66599697
mMyoOcc1.0.SUPER__3,212757328,110871977,113278386,+,mMyoVel1.0.SUPER__3,212800901,109595000,112220280,2050609,2627852,5,110870000_113278448_109592504_112220356
mMyoOcc1.0.SUPER__1,232672419,90128,2904592,+,mMyoVel1.0.SUPER__1,234804448,40287,2864901,2444722,2824614,7,90128_2904592_40287_2864901
mMyoOcc1.0.SUPER__4,122401111,57610438,57649454,+,mMyoVel1.0.SUPER__4,118339641,52525896,52560000,33972,42372,5,57608968_57650696_52518862_52561234
mMyoOcc1.0.SUPER__4,122401111,57271792,57442270,+,mMyoVel1.0.SUPER__4,118339641,52297176,52458955,129011,170496,4,57271792_57442288_52297153_52458955
mMyoOcc1.0.SUPER__4,122401111,57500000,57533792,+,mMyoVel1.0.SUPER__4,118339641,52484206,52517426,24260,33792,4,57500000_57533792_52484206_52517426
mMyoOcc1.0.SUPER__4,122401111,56781024,56881248,+,mMyoVel1.0.SUPER__4,118339641,52175075,52254826,70166,100224,5,56781024_56881248_52175075_52254826
mMyoOcc1.0.SUPER__3,212757328,113625607,116630000,+,mMyoVel1.0.SUPER__3,212800901,112930248,116021634,2542361,3092252,6,113625000_116630000_112929382_116021634
mMyoOcc1.0.SUPER__4,122401111,56682178,56705000,+,mMyoVel1.0.SUPER__4,118339641,52151280,52173411,18758,23976,5,56681024_56705000_52150000_52173411
mMyoOcc1.0.SUPER__4,122401111,57058325,57093162,+,mMyoVel1.0.SUPER__4,118339641,52258456,52295000,29210,37633,5,57058072_57093912_52258206_52295839
