qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoCai1.0.SUPER__1,234393516,40000,2820000,+,mMyoThy1#0#SUPER__1,230758872,30740,2810245,26824,2780000,15,SUPER__1 96.5784,30740 2810245 40000 2820000
mMyoCai1.0.SUPER__1,234393516,2975000,68000000,+,mMyoThy1#0#SUPER__1,230758872,3104498,67922099,638179,65025000,16,SUPER__1 97.442,3104498 67922099 2975000 68000000
mMyoCai1.0.SUPER__1,234393516,68000000,88955000,+,mMyoThy1#0#SUPER__1,230758872,68017502,88890216,204233,20955000,16,SUPER__1 97.4921,68017502 88890216 68000000 88955000
mMyoCai1.0.SUPER__1,234393516,89915000,90380000,+,mMyoThy1#0#SUPER__1,230758872,89692492,90143721,4505,465000,14,SUPER__1 95.8692,89692492 90143721 89915000 90380000
mMyoCai1.0.SUPER__1,234393516,91125000,100912044,+,mMyoThy1#0#SUPER__1,230758872,90925047,100705000,89383,9790000,16,SUPER__1 97.3479,90925047 100705000 91125000 100912044
mMyoCai1.0.SUPER__1,234393516,101095000,102870000,+,mMyoThy1#0#SUPER__1,230758872,101133977,102924200,17682,1790223,16,SUPER__1 97.3802,101133977 102924200 101095000 102870000
mMyoCai1.0.SUPER__1,234393516,105560228,123940000,+,mMyoThy1#0#SUPER__1,230758872,103400000,121624916,178634,18380000,16,SUPER__1 97.3228,103400000 121624916 105560228 123940000
mMyoCai1.0.SUPER__1,234393516,124085000,124879546,+,mMyoThy1#0#SUPER__1,230758872,121626777,122440000,8020,813832,15,SUPER__1 96.9476,121626777 122440000 124085000 124879546
mMyoCai1.0.SUPER__1,234393516,125690257,126300000,+,mMyoThy1#0#SUPER__1,230758872,122915692,123532901,6042,617209,15,SUPER__1 96.5376,122915692 123532901 125690257 126300000
mMyoCai1.0.SUPER__1,234393516,126305097,126393327,+,mMyoThy1#0#SUPER__1,230758872,123597103,123690000,912,94381,11,SUPER__1 92.7028,123597103 123690000 126305097 126393327
mMyoCai1.0.SUPER__1,234393516,126458378,128033088,+,mMyoThy1#0#SUPER__1,230758872,123690000,125204878,15473,1580000,15,SUPER__1 96.6932,123690000 125204878 126458378 128033088
mMyoCai1.0.SUPER__1,234393516,128091723,131054532,+,mMyoThy1#0#SUPER__1,230758872,125225000,128235000,34464,3507636,16,SUPER__1 97.5102,125225000 128235000 128091723 131054532
mMyoCai1.0.SUPER__1,234393516,133124978,154603678,+,mMyoThy1#0#SUPER__1,230758872,128730000,150300000,211980,21606062,16,SUPER__1 97.5288,128730000 150300000 133124978 154603678
