"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoCai1.0.SUPER__1",234393516,233255062,234393409,"-","mMyoEvo1.0.SUPER__1",230788764,1096482,2300000,12257,1253773,14,"SUPER__1 96.2363","1096482 2300000 233255062 234393409"
"mMyoCai1.0.SUPER__1",234393516,232254344,232838999,"+","mMyoEvo1.0.SUPER__1",230788764,2375000,2965000,6764,690000,15,"SUPER__1 96.7758","2375000 2965000 232254344 232838999"
"mMyoCai1.0.SUPER__1",234393516,230490000,231692612,"+","mMyoEvo1.0.SUPER__1",230788764,3214592,4450000,11907,1247157,14,"SUPER__1 96.4001","3214592 4450000 230490000 231692612"
"mMyoCai1.0.SUPER__1",234393516,170170000,230280000,"-","mMyoEvo1.0.SUPER__1",230788764,4587969,64468346,591001,60110000,16,"SUPER__1 97.6313","4587969 64468346 170170000 230280000"
"mMyoCai1.0.SUPER__1",234393516,158859416,170125000,"-","mMyoEvo1.0.SUPER__1",230788764,64512634,75705000,107965,11270000,16,"SUPER__1 97.6265","64512634 75705000 158859416 170125000"
"mMyoCai1.0.SUPER__1",234393516,158295000,158516360,"-","mMyoEvo1.0.SUPER__1",230788764,75860000,76160074,2969,309750,12,"SUPER__1 93.89","75860000 76160074 158295000 158516360"
"mMyoCai1.0.SUPER__1",234393516,154656057,156986028,"-","mMyoEvo1.0.SUPER__1",230788764,77555000,79925919,35116,3603678,16,"SUPER__1 97.4093","77555000 79925919 154656057 156986028"
"mMyoCai1.0.SUPER__1",234393516,133126225,154630000,"-","mMyoEvo1.0.SUPER__1",230788764,80045000,101615000,208504,21611647,16,"SUPER__1 97.5313","80045000 101615000 133126225 154630000"
"mMyoCai1.0.SUPER__1",234393516,128091657,131504469,"-","mMyoEvo1.0.SUPER__1",230788764,101630000,105090000,34289,3475046,16,"SUPER__1 97.5107","101630000 105090000 128091657 131504469"
"mMyoCai1.0.SUPER__1",234393516,126460821,128033088,"-","mMyoEvo1.0.SUPER__1",230788764,105110000,106610000,15516,1580000,15,"SUPER__1 96.6852","105110000 106610000 126460821 128033088"
"mMyoCai1.0.SUPER__1",234393516,126306884,126395000,"-","mMyoEvo1.0.SUPER__1",230788764,106612025,106705000,914,94203,11,"SUPER__1 92.6818","106612025 106705000 126306884 126395000"
"mMyoCai1.0.SUPER__1",234393516,125690651,126299937,"-","mMyoEvo1.0.SUPER__1",230788764,106770281,107372638,5929,610000,15,"SUPER__1 96.57","106770281 107372638 125690651 126299937"
"mMyoCai1.0.SUPER__1",234393516,124085000,124865000,"-","mMyoEvo1.0.SUPER__1",230788764,107581101,108383450,7893,802349,15,"SUPER__1 97.0013","107581101 108383450 124085000 124865000"
"mMyoCai1.0.SUPER__1",234393516,105534723,123940000,"-","mMyoEvo1.0.SUPER__1",230788764,108385134,126740000,179515,18485000,16,"SUPER__1 97.3029","108385134 126740000 105534723 123940000"
"mMyoCai1.0.SUPER__1",234393516,101120000,102870000,"-","mMyoEvo1.0.SUPER__1",230788764,127981872,129710321,17205,1750000,16,"SUPER__1 97.4214","127981872 129710321 101120000 102870000"
"mMyoCai1.0.SUPER__1",234393516,90465000,100913851,"-","mMyoEvo1.0.SUPER__1",230788764,130135000,140678955,104494,10544438,16,"SUPER__1 97.4151","130135000 140678955 90465000 100913851"
"mMyoCai1.0.SUPER__1",234393516,89215000,89336372,"-","mMyoEvo1.0.SUPER__1",230788764,141365000,141494104,2189,223652,11,"SUPER__1 92.0957","141365000 141494104 89215000 89336372"
"mMyoCai1.0.SUPER__1",234393516,89740957,89840000,"-","mMyoEvo1.0.SUPER__1",230788764,141274721,141365000,1215,130000,10,"SUPER__1 90.0545","141274721 141365000 89740957 89840000"
"mMyoCai1.0.SUPER__1",234393516,67990000,88960000,"-","mMyoEvo1.0.SUPER__1",230788764,142126248,162973194,203578,20970000,16,"SUPER__1 97.5135","142126248 162973194 67990000 88960000"
"mMyoCai1.0.SUPER__4",126198552,125785000,125970000,"-","mMyoEvo1.0.SUPER__4",126131752,1225469,1391049,1782,185000,10,"SUPER__4 89.9219","1225469 1391049 125785000 125970000"
"mMyoCai1.0.SUPER__4",126198552,124820000,125764800,"-","mMyoEvo1.0.SUPER__4",126131752,1221401,2179129,8926,957728,12,"SUPER__4 93.7979","1221401 2179129 124820000 125764800"
