qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoEvo1.0.SUPER__1,230788764,64470128,64510000,+,mMyoThy1#0#SUPER__1,230758872,165866399,165904381,36898,39872,10,64470128_64510000_165866399_165904381
mMyoEvo1.0.SUPER__1,230788764,35000,150000,-,mMyoThy1#0#SUPER__1,230758872,230616887,230732377,106700,115490,9,35000_150000_230616887_230732377
mMyoEvo1.0.SUPER__1,230788764,139990000,140110190,+,mMyoThy1#0#SUPER__1,230758872,90161655,90300000,122497,143193,8,139990000_140115000_90161655_90304848
mMyoEvo1.0.SUPER__1,230788764,141390000,141401889,+,mMyoThy1#0#SUPER__1,230758872,89156676,89230101,63333,73425,7,141390000_141460000_89156676_89230101
mMyoEvo1.0.SUPER__1,230788764,75815000,76048624,-,mMyoThy1#0#SUPER__1,230758872,154126683,154375938,221846,249255,8,75815000_76048624_154126683_154375938
mMyoEvo1.0.SUPER__1,230788764,756174,793564,-,mMyoThy1#0#SUPER__1,230758872,230006208,230038848,27590,38144,4,756088_794232_230005743_230038987
mMyoEvo1.0.SUPER__2,217004436,107352693,107410000,-,mMyoThy1#0#SUPER__2,217270064,107494623,107554360,52853,59758,8,107352656_107410000_107494623_107554381
mMyoEvo1.0.SUPER__2,217004436,149170000,149202918,+,mMyoThy1#0#SUPER__2,217270064,149500896,149539808,300809,343465,8,149170000_149480000_149313844_149657309
mMyoEvo1.0.SUPER__1,230788764,227818211,227945000,-,mMyoThy1#0#SUPER__1,230758872,2888451,2930000,87473,135000,4,227810000_227945000_2888451_2998196
mMyoEvo1.0.SUPER__2,217004436,17030000,17984752,+,mMyoThy1#0#SUPER__3,224416797,221685181,222634749,921292,954752,12,17030000_17984752_221685181_222634749
mMyoEvo1.0.SUPER__3,215147351,191088747,191140000,+,mMyoThy1#0#SUPER__3,224416797,97435512,97478694,57453,72056,5,191067944_191140000_97410790_97478694
mMyoEvo1.0.SUPER__2,217004436,215850364,216989127,+,mMyoThy1#0#SUPER__2,217270064,216135268,217255000,1064691,1149695,9,215850304_216999999_216135268_217263714
mMyoEvo1.0.SUPER__1,230788764,875638,2250000,-,mMyoThy1#0#SUPER__1,230758872,228015610,229395000,1260989,1380028,8,875000_2250000_228015610_229395638
mMyoEvo1.0.SUPER__2,217004436,8236813,8275000,+,mMyoThy1#0#SUPER__2,217270064,8245384,8278842,36025,70000,2,8205000_8275000_8224614_8278842
mMyoEvo1.0.SUPER__4,126131752,36440627,36575000,+,mMyoThy1#0#SUPER__4,124798317,89410000,89542908,142947,145000,18,36430000_36575000_89399411_89542908
mMyoEvo1.0.SUPER__4,126131752,48820256,48919712,+,mMyoThy1#0#SUPER__4,124798317,77010385,77109840,99334,99744,23,48820256_48920000_77010385_77110128
mMyoEvo1.0.SUPER__4,126131752,52025541,52727375,-,mMyoThy1#0#SUPER__4,124798317,73158568,73865000,682264,707550,12,52025000_52727952_73157991_73865541
mMyoEvo1.0.SUPER__4,126131752,114717244,114805000,+,mMyoThy1#0#SUPER__4,124798317,11270000,11360740,79455,92970,6,114715000_114805000_11267770_11360740
mMyoEvo1.0.SUPER__3,215147351,212477105,215109398,+,mMyoThy1#0#SUPER__3,224416797,119175256,121785000,2491470,2635776,11,212475000_215110776_119172945_121786287
mMyoEvo1.0.SUPER__5,115719297,115095000,115227736,+,mMyoThy1#0#SUPER__5,115481225,114530071,114683436,108809,153365,4,115095000_115227736_114530071_114683436
mMyoEvo1.0.SUPER__5,115719297,70105000,70230649,-,mMyoThy1#0#SUPER__5,115481225,70170000,70298581,123734,129985,12,70105000_70232056_70168596_70298581
mMyoEvo1.0.SUPER__2,217004436,183920138,191990000,+,mMyoThy1#0#SUPER__2,217270064,184233552,192284737,7777092,8075944,12,183914056_191990000_184228033_192284737
mMyoEvo1.0.SUPER__2,217004436,57632800,66435389,+,mMyoThy1#0#SUPER__2,217270064,57745297,66626408,8481265,8885587,11,57632800_66440000_57745297_66630884
mMyoEvo1.0.SUPER__6,111209695,111142072,111199360,-,mMyoThy1#0#SUPER__6,110604897,15050,70000,93689,97536,14,111101824_111199360_15050_109949
mMyoEvo1.0.SUPER__7,100887357,98745000,98841585,+,mMyoThy1#0#SUPER__7,101229579,99593626,99700000,126503,136274,11,98745000_98875000_99593626_99729900
mMyoEvo1.0.SUPER__6,111209695,88328437,90544872,-,mMyoThy1#0#SUPER__6,110604897,20312597,22569744,2092556,2260282,9,88325352_90544872_20312597_22572879
mMyoEvo1.0.SUPER__7,100887357,100439216,100644355,+,mMyoThy1#0#SUPER__7,101229579,100604756,100810000,194955,220000,7,100435000_100655000_100604756_100820640
mMyoEvo1.0.SUPER__7,100887357,95633594,95870768,+,mMyoThy1#0#SUPER__7,101229579,96067255,96293678,208320,237184,8,95633584_95870768_96067255_96293678
mMyoEvo1.0.SUPER__7,100887357,94000000,94030000,+,mMyoThy1#0#SUPER__7,101229579,94130303,94159543,27741,30000,10,94000000_94030000_94130303_94159543
mMyoEvo1.0.SUPER__7,100887357,93890256,93991147,+,mMyoThy1#0#SUPER__7,101229579,93844145,93951872,80190,110939,4,93890256_93994448_93844145_93955084
mMyoEvo1.0.SUPER__2,217004436,111110000,127676375,+,mMyoThy1#0#SUPER__2,217270064,111157466,127705000,15796691,16569472,11,111110000_127679472_111157466_127714691
mMyoEvo1.0.SUPER__8,95574598,15000,129627,-,mMyoThy1#0#SUPER__25,2902662,2790000,2894970,104379,115000,10,15000_130000_2789627_2894970
mMyoEvo1.0.SUPER__8,95574598,94064823,95547101,+,mMyoThy1#0#SUPER__9,93446574,91951024,93435000,1432537,1523328,10,94025000_95548328_91913334_93436372
mMyoEvo1.0.SUPER__2,217004436,7832924,8174288,+,mMyoThy1#0#SUPER__2,217270064,7730128,8076369,7596554,8124288,10,50000_8174288_43883_8076369
mMyoEvo1.0.SUPER__7,100887357,95076304,95098864,+,mMyoThy1#0#SUPER__7,101229579,95210640,95235237,35896,81552,2,95031536_95098864_95153685_95235237
mMyoEvo1.0.SUPER__10,85569753,1055000,1435000,+,mMyoThy1#0#SUPER__35,726233,368107,724497,345183,380000,9,1055000_1435000_368107_724497
mMyoEvo1.0.SUPER__9,94522541,93515000,93575000,+,mMyoThy1#0#SUPER__8,94109772,93129668,93193318,56479,63650,9,93515000_93575000_93129668_93193318
mMyoEvo1.0.SUPER__10,85569753,190392,240916,+,mMyoThy1#0#SUPER__18,54782218,3283,52224,238604,301236,5,190392_472632_3283_304519
mMyoEvo1.0.SUPER__10,85569753,33822752,33940000,-,mMyoThy1#0#SUPER__10,87183007,52611139,52729725,90957,118586,4,33822752_33940000_52611139_52729725
mMyoEvo1.0.SUPER__8,95574598,175000,844397,-,mMyoThy1#0#SUPER__28,1427187,758616,1410789,755371,883976,7,175000_1058976_558097_1410789
mMyoEvo1.0.SUPER__11,84706695,7346404,7551424,-,mMyoThy1#0#SUPER__11,84664575,77156168,77365000,203668,210236,14,7345000_7551424_77156168_77366404
mMyoEvo1.0.SUPER__4,126131752,24463030,24491969,-,mMyoThy1#0#SUPER__4,124798317,101360000,101390000,23749863,24646515,12,2445000_27075000_98975461_123621976
mMyoEvo1.0.SUPER__12,80654332,80135000,80183539,+,mMyoThy1#0#SUPER__12,80721813,80430000,80439895,75304,79999,11,80135000_80214999_80362189_80439895
mMyoEvo1.0.SUPER__2,217004436,127743944,148904520,+,mMyoThy1#0#SUPER__2,217270064,127779380,149024484,20162752,21245104,11,127743944_148904520_127779380_149024484
mMyoEvo1.0.SUPER__11,84706695,1212664,2953365,-,mMyoThy1#0#SUPER__11,84664575,81491312,83267421,5113344,5422336,10,1212664_6635000_77884620_83267421
mMyoEvo1.0.SUPER__12,80654332,20000,1558688,+,mMyoThy1#0#SUPER__12,80721813,20157,1567227,1477434,1547070,11,20000_1558688_20157_1567227
mMyoEvo1.0.SUPER__11,84706695,29262257,32780000,-,mMyoThy1#0#SUPER__11,84664575,51967572,55454232,3452184,3650000,11,29130000_32780000_51967572_55585752
mMyoEvo1.0.SUPER__14,62863202,54420343,54479999,+,mMyoThy1#0#SUPER__14,62386317,54570000,54599055,60274,79999,5,54400000_54479999_54519067_54599055
mMyoEvo1.0.SUPER__14,62863202,54165000,54215894,+,mMyoThy1#0#SUPER__14,62386317,54282749,54339817,40548,57068,4,54165000_54220296_54282749_54339817
mMyoEvo1.0.SUPER__15,60262761,57711631,57770298,+,mMyoThy1#0#SUPER__16,60442534,57685000,57735000,50911,87101,2,57705000_57789480_57653590_57740691
mMyoEvo1.0.SUPER__14,62863202,49820128,49822694,+,mMyoThy1#0#SUPER__14,62386317,49875000,49875602,19024,48490,2,49820128_49850080_49827112_49875602
mMyoEvo1.0.SUPER__15,60262761,59305000,60238331,+,mMyoThy1#0#SUPER__16,60442534,59459779,60413592,867081,953888,9,59305000_60238376_59459779_60413667
mMyoEvo1.0.SUPER__15,60262761,41175000,41207053,+,mMyoThy1#0#SUPER__16,60442534,40559245,40614271,54868,55026,25,41175000_41230000_40559245_40614271
mMyoEvo1.0.SUPER__17,54744186,54197652,54210000,-,mMyoThy1#0#SUPER__18,54782218,432657,484232,71781,99456,5,54110544_54210000_432657_514070
mMyoEvo1.0.SUPER__18,54197208,48840128,52606297,+,mMyoThy1#0#SUPER__17,55958539,50543470,54378171,3598101,3855872,9,48840128_52696000_50543470_54378171
mMyoEvo1.0.SUPER__19,44476403,27737349,34400000,-,mMyoThy1#0#SUPER__19,45450922,10091798,16815000,6517614,6764427,12,27690624_34400000_10091798_16856225
mMyoEvo1.0.SUPER__21,20385632,15070000,15105000,-,mMyoThy1#0#SUPER__21,25455428,20347366,20382171,33855,35000,13,15070000_15105000_20347366_20382171
mMyoEvo1.0.SUPER__20,28550133,30000,1040000,+,mMyoThy1#0#SUPER__20,30203243,29351,1031292,951265,1010000,10,30000_1040000_29351_1031292
mMyoEvo1.0.SUPER__18,54197208,36195324,36219777,+,mMyoThy1#0#SUPER__17,55958539,36365000,36390000,5213631,5494144,11,31863312_37357456_32013956_37418483
mMyoEvo1.0.SUPER__22,17714760,15989746,16135904,-,mMyoThy1#0#SUPER__22,19341123,3128540,3290516,134633,161976,7,15986784_16135904_3128540_3290516
mMyoEvo1.0.SUPER__23,13357921,7506274,7830835,+,mMyoThy1#0#SUPER__23,16662462,7135000,7465000,320466,335281,12,7505000_7834856_7133725_7469006
mMyoEvo1.0.SUPER__23,13357921,11925000,12040000,-,mMyoThy1#0#SUPER__23,16662462,9909019,10024091,114903,115072,27,11925000_12040000_9909019_10024091
mMyoEvo1.0.SUPER__23,13357921,12851663,12960000,+,mMyoThy1#0#SUPER__23,16662462,10995000,11103336,109571,110004,23,12850000_12960000_10993332_11103336
mMyoEvo1.0.SUPER__23,13357921,5720008,5759908,+,mMyoThy1#0#SUPER__23,16662462,5220000,5259769,263805,270168,16,5530000_5795000_4989601_5259769
mMyoEvo1.0.SUPER__23,13357921,6240221,6255000,-,mMyoThy1#0#SUPER__23,16662462,5470000,5479899,139241,140301,20,6115000_6255000_5339598_5479899
mMyoEvo1.0.SUPER__6,111209695,102741389,102806088,-,mMyoThy1#0#SUPER__6,110604897,8145000,8215000,7481251,8401040,8,102665000_111066040_87420_8363715
mMyoEvo1.0.SUPER__24,3152711,13214,257451,+,mMyoThy1#0#SUPER__7,101229579,98220000,98459872,746132,814720,8,128_814848_98206775_99019046
mMyoEvo1.0.SUPER__25,2991095,12739,156721,-,mMyoThy1#0#SUPER__15,60547442,2375000,2515000,436019,476416,9,7048_483464_2064211_2517992
mMyoEvo1.0.SUPER__25,2991095,532769,1297440,-,mMyoThy1#0#SUPER__15,60547442,1162618,1970000,761110,840243,9,495000_1297440_1162618_2002861
mMyoEvo1.0.SUPER__27,2427474,395128,412059,+,mMyoThy1#0#SUPER__23,16662462,14391064,14410000,54868,69872,6,395128_465000_14391064_14447845
mMyoEvo1.0.SUPER__29,1913722,275000,336056,+,mMyoThy1#0#SUPER__25,2902662,100906,166248,57281,65342,8,275000_336056_100906_166248
mMyoEvo1.0.SUPER__34,982348,923212,977532,-,mMyoThy1#0#SUPER__27,1464328,812121,849104,44806,59136,6,923212_982348_812121_863112
