"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoLuc1.0.SUPER__1",244374582,60579,30793233,"+","mMyoOcc1.0.SUPER__1",232672419,60000,30840000,413756,42840000,17,"SUPER__1 98.1046","60000 30840000 60579 30793233"
"mMyoLuc1.0.SUPER__1",244374582,42830000,43210000,"+","mMyoOcc1.0.SUPER__1",232672419,42757139,43122107,3555,380000,14,"SUPER__1 96.3218","42757139 43122107 42830000 43210000"
"mMyoLuc1.0.SUPER__1",244374582,87940000,88033655,"+","mMyoOcc1.0.SUPER__1",232672419,87441552,87535000,1044,105000,12,"SUPER__1 94.2844","87441552 87535000 87940000 88033655"
"mMyoLuc1.0.SUPER__1",244374582,87461853,87640000,"+","mMyoOcc1.0.SUPER__1",232672419,87620000,87791869,2991,300000,15,"SUPER__1 96.9915","87620000 87791869 87461853 87640000"
"mMyoLuc1.0.SUPER__1",244374582,88118849,88243224,"+","mMyoOcc1.0.SUPER__1",232672419,87525000,87650000,2967,300000,15,"SUPER__1 97.0777","87525000 87650000 88118849 88243224"
"mMyoLuc1.0.SUPER__1",244374582,87640000,87749989,"+","mMyoOcc1.0.SUPER__1",232672419,88141003,88250000,1147,115000,10,"SUPER__1 88.9939","88141003 88250000 87640000 87749989"
"mMyoLuc1.0.SUPER__1",244374582,89895000,96365000,"+","mMyoOcc1.0.SUPER__1",232672419,89579282,96020000,64026,6470000,17,"SUPER__1 98.123","89579282 96020000 89895000 96365000"
"mMyoLuc1.0.SUPER__1",244374582,96405000,99210367,"+","mMyoOcc1.0.SUPER__1",232672419,96059131,98870000,28040,2859196,17,"SUPER__1 97.9423","96059131 98870000 96405000 99210367"
"mMyoLuc1.0.SUPER__1",244374582,100112814,100190000,"+","mMyoOcc1.0.SUPER__1",232672419,101265000,101351328,1036,104143,11,"SUPER__1 92.8161","101265000 101351328 100112814 100190000"
"mMyoLuc1.0.SUPER__1",244374582,111366689,112287874,"-","mMyoOcc1.0.SUPER__1",232672419,102420000,103335000,19176,1940000,18,"SUPER__1 98.4028","102420000 103335000 111366689 112287874"
"mMyoLuc1.0.SUPER__1",244374582,106733215,107400195,"+","mMyoOcc1.0.SUPER__1",232672419,102000000,102665000,19353,1940000,18,"SUPER__1 98.277","102000000 102665000 106733215 107400195"
"mMyoLuc1.0.SUPER__1",244374582,116890000,116940000,"+","mMyoOcc1.0.SUPER__1",232672419,103343918,103393776,499,50000,10,"SUPER__1 90.5325","103343918 103393776 116890000 116940000"
"mMyoLuc1.0.SUPER__1",244374582,110775764,111025000,"+","mMyoOcc1.0.SUPER__1",232672419,106690000,106974898,2844,285460,14,"SUPER__1 96.4396","106690000 106974898 110775764 111025000"
