qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoOcc1.0.SUPER__1,232672419,156619455,156702921,+,mMyoThy1#0#SUPER__1,230758872,153680000,153759744,107307,119424,9,156590256_156709680_153651610_153767130
mMyoOcc1.0.SUPER__1,232672419,127122304,127185000,+,mMyoThy1#0#SUPER__1,230758872,123446110,123512560,53946,66450,6,127122304_127185000_123446110_123512560
mMyoOcc1.0.SUPER__1,232672419,127190000,127318371,+,mMyoThy1#0#SUPER__1,230758872,123582337,123689823,92748,129664,5,127190000_127319664_123582337_123691182
mMyoOcc1.0.SUPER__1,232672419,126632033,126750000,+,mMyoThy1#0#SUPER__1,230758872,122895640,122993002,78192,131288,3,126618712_126750000_122882356_122993002
mMyoOcc1.0.SUPER__1,232672419,96020911,96049987,-,mMyoThy1#0#SUPER__1,230758872,97457767,97492696,24466,34969,4,96020816_96050000_97457767_97492736
mMyoOcc1.0.SUPER__1,232672419,126838274,127120000,+,mMyoThy1#0#SUPER__1,230758872,123060000,123317232,207665,281928,4,126838072_127120000_123059958_123317232
mMyoOcc1.0.SUPER__1,232672419,87450335,87530300,-,mMyoThy1#0#SUPER__1,230758872,89365000,89445000,146853,179626,6,87435000_87605000_89280390_89460016
mMyoOcc1.0.SUPER__1,232672419,153393740,153479200,+,mMyoThy1#0#SUPER__1,230758872,150375896,150464728,81971,126782,3,153357688_153479288_150338097_150464879
mMyoOcc1.0.SUPER__1,232672419,228998010,229573492,+,mMyoThy1#0#SUPER__1,230758872,227370256,227950000,545252,669696,6,228905000_229574696_227331253_227951227
mMyoOcc1.0.SUPER__1,232672419,125503534,126195000,+,mMyoThy1#0#SUPER__1,230758872,121626024,122438538,608896,812524,5,125503456_126195000_121626014_122438538
mMyoOcc1.0.SUPER__1,232672419,99824628,99913254,+,mMyoThy1#0#SUPER__1,230758872,100940000,101039584,158087,229899,4,99762272_99950000_100861969_101091868
mMyoOcc1.0.SUPER__1,232672419,100483252,100578287,+,mMyoThy1#0#SUPER__1,230758872,100435256,100519096,216419,292545,4,100460000_100729440_100413013_100705558
mMyoOcc1.0.SUPER__1,232672419,127910000,128874428,+,mMyoThy1#0#SUPER__1,230758872,124136844,125224664,809888,1088419,5,127910000_128875000_124136844_125225263
mMyoOcc1.0.SUPER__2,212937769,98025000,98058221,+,mMyoThy1#0#SUPER__2,217270064,116665582,116699048,28433,33653,6,98025000_98058408_116665582_116699235
mMyoOcc1.0.SUPER__2,212937769,101895000,102559326,-,mMyoThy1#0#SUPER__2,217270064,111976272,112605415,543740,665000,6,101895000_102560000_111975597_112605415
mMyoOcc1.0.SUPER__2,212937769,65890578,66010000,-,mMyoThy1#0#SUPER__2,217270064,149838069,149944616,98448,123008,6,65886992_66010000_149838069_149950715
mMyoOcc1.0.SUPER__1,232672419,231318601,231340000,+,mMyoThy1#0#SUPER__1,230758872,229655000,229672576,35523,84939,1,231260512_231340000_229587637_229672576
mMyoOcc1.0.SUPER__2,212937769,87256618,87275000,-,mMyoThy1#0#SUPER__2,217270064,127663662,127743720,57093,100000,2,87175000_87275000_127663662_127760692
mMyoOcc1.0.SUPER__2,212937769,103723154,103910000,-,mMyoThy1#0#SUPER__2,217270064,110952117,111129872,154678,190208,6,103719792_103910000_110952117_111132300
mMyoOcc1.0.SUPER__2,212937769,102771752,103304360,-,mMyoThy1#0#SUPER__2,217270064,111188328,111742335,408947,554104,4,102771752_103304360_111188231_111742335
mMyoOcc1.0.SUPER__2,212937769,114250000,114510366,+,mMyoThy1#0#SUPER__2,217270064,99988574,100274664,242562,299763,6,114250000_114529168_99988574_100288337
mMyoOcc1.0.SUPER__2,212937769,30953,1123592,-,mMyoThy1#0#SUPER__2,217270064,216141841,217239872,922658,1098645,6,30472_1123592_216141841_217240486
mMyoOcc1.0.SUPER__2,212937769,130860512,131403996,-,mMyoThy1#0#SUPER__2,217270064,82845240,83395000,480293,607421,5,130831080_131423720_82817558_83424979
mMyoOcc1.0.SUPER__2,212937769,193525000,195590000,-,mMyoThy1#0#SUPER__3,224416797,222329348,224415725,1875400,2086377,8,193525000_195590000_222329348_224415725
mMyoOcc1.0.SUPER__3,212757328,212557168,212705493,-,mMyoThy1#0#SUPER__3,224416797,121847696,121984616,108122,148352,4,212557168_212705520_121847696_121984819
mMyoOcc1.0.SUPER__2,212937769,130180000,130591852,-,mMyoThy1#0#SUPER__2,217270064,83430848,83878825,331472,477329,3,130180000_130655000_83401496_83878825
mMyoOcc1.0.SUPER__2,212937769,108075354,109651160,-,mMyoThy1#0#SUPER__2,217270064,104982332,106544744,1309022,1575808,6,108075352_109651160_104982332_106544745
mMyoOcc1.0.SUPER__1,232672419,107789929,109897908,+,mMyoThy1#0#SUPER__1,230758872,103405384,105611976,1729124,2211266,5,107785000_109898024_103400805_105612071
mMyoOcc1.0.SUPER__3,212757328,9014239,9034744,-,mMyoThy1#0#SUPER__3,224416797,112789478,112810000,23902,24744,13,9010000_9034744_112789478_112814210
mMyoOcc1.0.SUPER__1,232672419,71126,2904726,+,mMyoThy1#0#SUPER__1,230758872,51581,2855000,2412636,2838528,6,71024_2909552_51581_2860475
mMyoOcc1.0.SUPER__2,212937769,131533080,133559488,-,mMyoThy1#0#SUPER__2,217270064,80783508,82809488,1713865,2079488,6,131480000_133559488_80783508_82828422
mMyoOcc1.0.SUPER__2,212937769,98063458,101892952,-,mMyoThy1#0#SUPER__2,217270064,112705225,116660000,3249491,3957535,6,98060504_101892952_112705225_116662760
mMyoOcc1.0.SUPER__3,212757328,119350000,119398976,-,mMyoThy1#0#SUPER__3,224416797,217510213,217568065,43768,57852,5,119350000_119398976_217510213_217568065
mMyoOcc1.0.SUPER__3,212757328,184952744,184960000,-,mMyoThy1#0#SUPER__3,224416797,150228990,150300000,41858,74703,2,184895000_184960000_150228990_150303693
mMyoOcc1.0.SUPER__3,212757328,143705000,143775000,+,mMyoThy1#0#SUPER__3,224416797,192495591,192564252,58732,70000,6,143705000_143775000_192495591_192564252
mMyoOcc1.0.SUPER__3,212757328,143780567,144270000,-,mMyoThy1#0#SUPER__3,224416797,191958187,192488202,403733,530015,5,143780528_144270000_191958187_192488202
mMyoOcc1.0.SUPER__3,212757328,144271510,144559360,-,mMyoThy1#0#SUPER__3,224416797,191592740,191893653,240815,300913,5,144271488_144559360_191592740_191893653
mMyoOcc1.0.SUPER__3,212757328,188675000,188784526,-,mMyoThy1#0#SUPER__3,224416797,146200000,146319117,105536,138731,5,188675000_188795000_146180386_146319117
mMyoOcc1.0.SUPER__3,212757328,111656812,112167752,-,mMyoThy1#0#SUPER__3,224416797,9105000,9650000,451466,547314,6,111655000_112168336_9104484_9651798
mMyoOcc1.0.SUPER__2,212937769,93738166,98007920,-,mMyoThy1#0#SUPER__2,217270064,116710000,121103720,3551378,4394672,5,93735000_98008592_116709336_121104008
mMyoOcc1.0.SUPER__3,212757328,51103,2641925,-,mMyoThy1#0#SUPER__3,224416797,119175416,121755000,2190272,2590976,6,50952_2641928_119175413_121755025
mMyoOcc1.0.SUPER__2,212937769,133567621,138365106,-,mMyoThy1#0#SUPER__2,217270064,75796360,80723080,4222318,4942337,6,133560776_138410952_75788353_80730690
mMyoOcc1.0.SUPER__3,212757328,110081704,110743080,-,mMyoThy1#0#SUPER__3,224416797,10556981,11267601,543365,710620,5,110081704_110743080_10556981_11267601
mMyoOcc1.0.SUPER__3,212757328,110860000,111641800,-,mMyoThy1#0#SUPER__3,224416797,9711507,10545664,648879,834157,5,110860000_111641800_9711507_10545664
mMyoOcc1.0.SUPER__3,212757328,112240000,112935000,-,mMyoThy1#0#SUPER__3,224416797,8394229,9101333,538438,707104,4,112240000_112935000_8394229_9101333
mMyoOcc1.0.SUPER__3,212757328,108785000,110080000,-,mMyoThy1#0#SUPER__3,224416797,11336302,12733793,1073121,1397491,5,108785000_110080000_11336302_12733793
mMyoOcc1.0.SUPER__3,212757328,112942742,113271518,-,mMyoThy1#0#SUPER__3,224416797,7975000,8284744,237775,380294,3,112940000_113278416_7906864_8287158
mMyoOcc1.0.SUPER__3,212757328,66724314,66789716,-,mMyoThy1#0#SUPER__3,224416797,54810000,54890000,64685,108997,3,66721464_66815288_54785394_54894391
mMyoOcc1.0.SUPER__4,122401111,24775000,24882189,+,mMyoThy1#0#SUPER__4,124798317,101427103,101550000,99596,123612,6,24775000_24882904_101427103_101550715
mMyoOcc1.0.SUPER__4,122401111,25965000,26098077,+,mMyoThy1#0#SUPER__4,124798317,100161386,100313856,124576,154177,6,25965000_26100000_100161386_100315563
mMyoOcc1.0.SUPER__4,122401111,24917307,25259744,-,mMyoThy1#0#SUPER__4,124798317,100971148,101349360,305807,394753,5,24885472_25259744_100971148_101365901
mMyoOcc1.0.SUPER__4,122401111,27208842,27513720,-,mMyoThy1#0#SUPER__4,124798317,98621649,98933464,267659,315603,6,27206008_27513720_98621649_98937252
mMyoOcc1.0.SUPER__4,122401111,33192186,33259616,-,mMyoThy1#0#SUPER__4,124798317,92322273,92396288,53898,74087,4,33192032_33259616_92322273_92396360
mMyoOcc1.0.SUPER__4,122401111,35908376,36044776,+,mMyoThy1#0#SUPER__4,124798317,89400384,89540324,127741,143284,8,35905000_36044776_89397040_89540324
mMyoOcc1.0.SUPER__4,122401111,33391264,34339616,-,mMyoThy1#0#SUPER__4,124798317,91331515,92318120,794494,986605,5,33391264_34339616_91331515_92318120
