qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoAui1.0.SUPER__1,234041302,77383080,77465000,-,mMyoLuc1.0.SUPER__1,244374582,167672646,167742705,53686,81920,4,77383080_77465000_167672646_167742705
mMyoAui1.0.SUPER__1,234041302,80908575,80963170,-,mMyoLuc1.0.SUPER__1,244374582,164295000,164340000,59019,86973,4,80900000_80980000_164260719_164347692
mMyoAui1.0.SUPER__1,234041302,107972702,108035000,-,mMyoLuc1.0.SUPER__1,244374582,137982760,138044488,52377,65000,5,107970000_108035000_137982760_138047233
mMyoAui1.0.SUPER__1,234041302,107776021,107893372,-,mMyoLuc1.0.SUPER__1,244374582,138050216,138183720,96220,135402,4,107775832_107895000_138048415_138183817
mMyoAui1.0.SUPER__1,234041302,108527248,108649232,-,mMyoLuc1.0.SUPER__1,244374582,137470093,137593466,93434,123373,4,108527248_108649232_137470093_137593466
mMyoAui1.0.SUPER__2,216233548,105575000,105630000,-,mMyoLuc1.0.SUPER__2,212563729,108851324,108915887,51365,64563,6,105575000_105630000_108851324_108915887
mMyoAui1.0.SUPER__2,216233548,105634296,105678464,-,mMyoLuc1.0.SUPER__2,212563729,108720210,108765000,43434,49077,7,105630000_105678464_108720210_108769287
mMyoAui1.0.SUPER__2,216233548,66885095,67061188,-,mMyoLuc1.0.SUPER__2,212563729,146432200,146603336,139728,177568,5,66885000_67062568_146430843_146603431
mMyoAui1.0.SUPER__1,234041302,108145675,108440000,-,mMyoLuc1.0.SUPER__1,244374582,137722558,137975000,202692,295000,4,108145000_108440000_137722558_137975669
mMyoAui1.0.SUPER__2,216233548,31500000,31543875,-,mMyoLuc1.0.SUPER__2,212563729,181525472,181571209,98853,115000,7,31500000_31615000_181461948_181571209
mMyoAui1.0.SUPER__2,216233548,105756321,106266423,-,mMyoLuc1.0.SUPER__2,212563729,108230136,108714872,411277,511928,5,105755000_106266928_108229793_108716190
mMyoAui1.0.SUPER__1,234041302,3520256,4114816,+,mMyoLuc1.0.SUPER__1,244374582,239678384,240299032,519891,620648,6,3520256_4114816_239678384_240299032
mMyoAui1.0.SUPER__2,216233548,132347353,132537568,-,mMyoLuc1.0.SUPER__2,212563729,82200621,82402952,160736,219309,4,132330000_132537568_82200621_82419930
mMyoAui1.0.SUPER__1,234041302,109155000,109970000,-,mMyoLuc1.0.SUPER__1,244374582,136209957,136892536,608261,815000,5,109155000_109970000_136209957_136892536
mMyoAui1.0.SUPER__2,216233548,158585634,158672319,-,mMyoLuc1.0.SUPER__2,212563729,56414004,56484488,180571,264015,3,158490672_158750000_56414004_56678019
mMyoAui1.0.SUPER__2,216233548,158417306,158440026,+,mMyoLuc1.0.SUPER__2,212563729,56688446,56719816,36663,67824,2,158417176_158485000_56688446_56748439
mMyoAui1.0.SUPER__2,216233548,132706605,132895000,-,mMyoLuc1.0.SUPER__2,212563729,81990602,82198208,142559,207627,4,132706584_132895000_81990602_82198229
mMyoAui1.0.SUPER__2,216233548,140435000,140843280,-,mMyoLuc1.0.SUPER__2,212563729,73777376,74172390,376589,476926,5,140435000_140905000_73695464_74172390
mMyoAui1.0.SUPER__2,216233548,23640,1086014,-,mMyoLuc1.0.SUPER__2,212563729,211454084,212524300,925229,1070216,7,23640_1091032_211454084_212524300
mMyoAui1.0.SUPER__3,215394694,146379417,146415000,+,mMyoLuc1.0.SUPER__3,211792393,143700384,143740538,54810,66343,6,146350256_146415000_143674195_143740538
mMyoAui1.0.SUPER__1,234041302,132071800,133755000,-,mMyoLuc1.0.SUPER__1,244374582,106217138,107904347,1476339,1687209,7,132071800_133755000_106217138_107904347
mMyoAui1.0.SUPER__1,234041302,4266608,5505000,-,mMyoLuc1.0.SUPER__1,244374582,238202519,239440000,1065316,1256567,6,4250000_5505000_238202519_239459086
mMyoAui1.0.SUPER__3,215394694,121135000,121209751,+,mMyoLuc1.0.SUPER__3,211792393,119572469,119647110,51814,74751,3,121135000_121209751_119572469_119647110
mMyoAui1.0.SUPER__2,216233548,64464578,66878336,-,mMyoLuc1.0.SUPER__2,212563729,146703618,149050000,2166854,2505472,7,64372864_66878336_146703618_149124886
mMyoAui1.0.SUPER__3,215394694,103821219,105663328,+,mMyoLuc1.0.SUPER__3,211792393,102260000,103963301,1441194,1842944,5,103820384_105663328_102259150_103963301
mMyoAui1.0.SUPER__3,215394694,160455000,160510670,+,mMyoLuc1.0.SUPER__3,211792393,157204337,157248968,616091,843425,4,160455000_161260000_157204337_158047762
mMyoAui1.0.SUPER__3,215394694,205945000,206315644,+,mMyoLuc1.0.SUPER__3,211792393,202547720,202918088,309321,370688,6,205945000_206315688_202547720_202918132
mMyoAui1.0.SUPER__1,234041302,188112406,191114872,-,mMyoLuc1.0.SUPER__1,244374582,42635737,45619616,2598537,3003392,7,188111480_191114872_42635737_45620535
mMyoAui1.0.SUPER__3,215394694,103597235,103820000,+,mMyoLuc1.0.SUPER__3,211792393,101996408,102182424,153109,228080,4,103591920_103820000_101991237_102182424
mMyoAui1.0.SUPER__3,215394694,37940,244784,+,mMyoLuc1.0.SUPER__3,211792393,39984,239605,169405,206848,6,37936_244784_39982_239605
mMyoAui1.0.SUPER__1,234041302,103431576,107375000,-,mMyoLuc1.0.SUPER__1,244374582,138777273,142516429,3148397,3943424,5,103431576_107375000_138777273_142516429
mMyoAui1.0.SUPER__3,215394694,68536365,68590110,-,mMyoLuc1.0.SUPER__3,211792393,67411248,67470000,47960,61300,5,68535992_68594488_67409062_67470362
mMyoAui1.0.SUPER__3,215394694,68596024,69136866,+,mMyoLuc1.0.SUPER__3,211792393,67475303,68026215,454187,550912,6,68596024_69140000_67475303_68026215
mMyoAui1.0.SUPER__3,215394694,69275384,69582506,+,mMyoLuc1.0.SUPER__3,211792393,68125305,68413120,234022,307328,5,69275384_69582712_68125305_68413316
mMyoAui1.0.SUPER__3,215394694,79407114,79679872,-,mMyoLuc1.0.SUPER__3,211792393,78146478,78416530,236943,274872,7,79405000_79679872_78146478_78416530
mMyoAui1.0.SUPER__3,215394694,79820830,80154592,+,mMyoLuc1.0.SUPER__3,211792393,78590256,78913902,293419,333952,8,79820640_80154592_78590096_78913902
mMyoAui1.0.SUPER__3,215394694,79687264,79811814,-,mMyoLuc1.0.SUPER__3,211792393,78460336,78588712,114157,136521,6,79687264_79820000_78452191_78588712
mMyoAui1.0.SUPER__3,215394694,102385000,102506600,+,mMyoLuc1.0.SUPER__3,211792393,100745260,100858091,88964,121600,4,102385000_102506600_100745260_100858091
mMyoAui1.0.SUPER__3,215394694,101121152,101394673,+,mMyoLuc1.0.SUPER__3,211792393,99480845,99830000,205990,350833,3,101121152_101396480_99480845_99831678
mMyoAui1.0.SUPER__3,215394694,97635000,97905000,+,mMyoLuc1.0.SUPER__3,211792393,96232723,96514760,211228,282037,4,97635000_97905000_96232723_96514760
mMyoAui1.0.SUPER__3,215394694,97435000,97617655,+,mMyoLuc1.0.SUPER__3,211792393,95936106,96139889,143627,203783,4,97435000_97617655_95936106_96139889
mMyoAui1.0.SUPER__3,215394694,97906152,98584296,+,mMyoLuc1.0.SUPER__3,211792393,96566513,97214337,516434,678144,5,97906152_98584296_96566513_97214337
mMyoAui1.0.SUPER__3,215394694,99741853,100440000,+,mMyoLuc1.0.SUPER__3,211792393,98485000,99167575,1509189,1853848,5,98586152_100440000_97357572_99167575
mMyoAui1.0.SUPER__3,215394694,83451760,83547605,+,mMyoLuc1.0.SUPER__3,211792393,82130000,82225000,138766,188800,5,83360240_83549040_82070565_82226409
mMyoAui1.0.SUPER__4,125946359,56435735,56890000,-,mMyoLuc1.0.SUPER__4,121730464,67137936,67630000,381760,492903,5,56435000_56890000_67137936_67630839
mMyoAui1.0.SUPER__4,125946359,56899109,56941218,+,mMyoLuc1.0.SUPER__4,121730464,67097944,67133912,34780,45056,6,56899096_56944152_67097931_67136130
mMyoAui1.0.SUPER__2,216233548,99660946,105314872,-,mMyoLuc1.0.SUPER__2,212563729,109526013,115020000,4526010,5654400,5,99660472_105314872_109526013_115020460
mMyoAui1.0.SUPER__4,125946359,69153031,69675000,-,mMyoLuc1.0.SUPER__4,121730464,54787282,55360000,394314,573441,4,69152248_69675000_54787282_55360723
mMyoAui1.0.SUPER__4,125946359,69690000,70073931,-,mMyoLuc1.0.SUPER__4,121730464,54355000,54710824,274641,390000,4,69690000_70080000_54347228_54710824
mMyoAui1.0.SUPER__4,125946359,70790000,70858848,-,mMyoLuc1.0.SUPER__4,121730464,53672413,53742458,47771,70045,3,70790000_70858848_53672413_53742458
mMyoAui1.0.SUPER__4,125946359,71006920,71323464,-,mMyoLuc1.0.SUPER__4,121730464,53241689,53547602,215151,316544,3,71006920_71323464_53241689_53547602
mMyoAui1.0.SUPER__4,125946359,71335000,71403520,-,mMyoLuc1.0.SUPER__4,121730464,52875747,52946816,55988,71069,5,71335000_71403592_52875747_52946816
mMyoAui1.0.SUPER__4,125946359,72230309,72285000,+,mMyoLuc1.0.SUPER__4,121730464,52110512,52157534,35942,59616,3,72225384_72285000_52100531_52157534
